t,H,L
0.0,2.18,4.44
1.0,2.1829026150193522,4.432345003691626
2.0,2.1857696015757586,4.424800386706302
3.0,2.188600943244033,4.417364999708295
4.0,2.191396631049201,4.410037703207919
5.0,2.194156663618171,4.402817366922223
6.0,2.196881047319949,4.395702869170617
7.0,2.1995697963941097,4.388693096304903
8.0,2.2022229330672825,4.381786942173128
9.0,2.2048404876574303,4.374983307616695
10.0,2.2074224986657347,4.368281100000135
11.0,2.2099690128559244,4.3616792327729375
12.0,2.2124800853209265,4.355176625062809
13.0,2.2149557795367483,4.348772201299719
14.0,2.2173961674035243,4.342464890870071
15.0,2.2198013292737064,4.3362536278003025
16.0,2.222171353967404,4.33013735046923
17.0,2.2245063387749116,4.3241150013483916
18.0,2.226806389446497,4.318185526769649
19.0,2.229071620169562,4.312347876719288
20.0,2.2313021535333037,4.3066010046578205
21.0,2.2334981204810553,4.300943867364683
22.0,2.235659660250503,4.295375424807018
23.0,2.2377869203020087,4.289894640031675
24.0,2.239880056235302,4.2845004790796
25.0,2.2419392316948232,4.27919191092172
26.0,2.2439646182640343,4.273967907415446
27.0,2.245956395349037,4.268827443280898
28.0,2.247914750051859,4.263769496095947
29.0,2.249839877033789,4.258793046309154
30.0,2.2517319783691714,4.253897077269687
31.0,2.253591263390079,4.249080575273306
32.0,2.255417948522307,4.244342529623465
33.0,2.257212257113136,4.239681932706628
34.0,2.258974419251346,4.235097780080866
35.0,2.2607046715799446,4.230589070576808
36.0,2.2624032571021124,4.226154806410044
37.0,2.2640704249808543,4.221793993304079
38.0,2.2657064303328625,4.217505640622918
39.0,2.2673115340170984,4.21328876151243
40.0,2.2688860024186006,4.209142373049598
41.0,2.27043010722803,4.205065496398815
42.0,2.2719441252174595,4.20105715697438
43.0,2.273428338012913,4.197116384608388
44.0,2.2748830318641584,4.193242213723208
45.0,2.27630849741224,4.1894336835077715
46.0,2.2777050294552503,4.185689838096936
47.0,2.27907292671281,4.182009726753171
48.0,2.280412491589726,4.1783924040498945
49.0,2.2817240299392885,4.1748369300557515
50.0,2.2830078508266474,4.171342370519216
51.0,2.2842642662926993,4.167907797052879
52.0,2.2854935911189043,4.164532287316834
53.0,2.28669614259343,4.161214925200599
54.0,2.2878722402790115,4.157954801003045
55.0,2.2890222057828926,4.15475101160982
56.0,2.290146362529202,4.151602660667799
57.0,2.2912450355340943,4.148508858756125
58.0,2.2923185511839796,4.1454687235534085
59.0,2.293367237017128,4.142481380000716
60.0,2.294391421508935,4.139545960459996
61.0,2.2953914338611066,4.136661604867599
62.0,2.296367603795004,4.133827460882613
63.0,2.2973202613493715,4.131042684029741
64.0,2.2982497366826524,4.128306437836471
65.0,2.2991563598800777,4.125617893964337
66.0,2.300040460765694,4.122976232334073
67.0,2.3009023687194863,4.1203806412445045
68.0,2.301742412499719,4.117830317485035
69.0,2.302560920070619,4.11532446644162
70.0,2.3033582184354957,4.112862302196125
71.0,2.3041346334753783,4.1104430476190155
72.0,2.304890489793242,4.1080659344553165
73.0,2.3056261105638716,4.105730203403819
74.0,2.3063418173894012,4.103435104189526
75.0,2.3070379301605515,4.101179895629345
76.0,2.3077147669235774,4.098963845691054
77.0,2.3083726437529206,4.0967862315455825
78.0,2.309011874629554,4.0946463396126624
79.0,2.3096327713249907,4.09254346559993
80.0,2.3102356432909206,4.09047691453555
81.0,2.3108207975544293,4.088446000794465
82.0,2.3113885386187407,4.086450048118382
83.0,2.3119391683694177,4.084488389629606
84.0,2.3124729859859494,4.0825603678388545
85.0,2.3129902878586424,4.08066533464718
86.0,2.3134913675107276,4.0788026513421585
87.0,2.3139765155255887,4.07697168858848
88.0,2.314446019479014,4.075171826413102
89.0,2.314900163876363,4.0734024541851275
90.0,2.3153392300945366,4.071662970590579
91.0,2.315763496328646,4.069952783602225
92.0,2.316173237543251,4.068271310444641
93.0,2.3165687254280507,4.066617977554681
94.0,2.316950228357911,4.06499222053753
95.0,2.3173180113570915,4.063393484118516
96.0,2.3176723360675515,4.061821222090871
97.0,2.3180134607212066,4.060274897259601
98.0,2.3183416401160035,4.058753981381658
99.0,2.318657125595685,4.057257955102597
100.0,2.3189601650331153,4.055786307889868
101.0,2.319251002817034,4.054338537962951
102.0,2.3195298798421105,4.052914152220486
103.0,2.319797033502168,4.051512666164574
104.0,2.320052697686452,4.05013360382242
105.0,2.3202971027788144,4.0487764976654885
106.0,2.320530475659687,4.047440888526318
107.0,2.320753039710724,4.046126325513172
108.0,2.320965014821986,4.044832365922675
109.0,2.321166617401554,4.043558575150584
110.0,2.321358060387445,4.042304526600849
111.0,2.3215395532617213,4.041069801593104
112.0,2.3217113020666806,4.039853989268733
113.0,2.3218735094230087,4.038656686495643
114.0,2.322026374549795,4.037477497771885
115.0,2.3221700932863,4.036316035128242
116.0,2.3223048581153756,4.0351719180299135
117.0,2.3224308581884348,4.03404477327742
118.0,2.3225482793518752,4.0329342349068344
119.0,2.3226573041748635,4.031839944089464
120.0,2.322758111978386,4.0307615490310775
121.0,2.3228508788654807,4.029698704870789
122.0,2.3229357777525617,4.028651073579695
123.0,2.3230129784017537,4.027618323859363
124.0,2.32308264745416,4.026600131040251
125.0,2.323144948463983,4.025596176980163
126.0,2.3232000419334238,4.024606149962805
127.0,2.32324808534829,4.023629744596529
128.0,2.3232892332142465,4.022666661713342
129.0,2.3233236370936345,4.021716608268243
130.0,2.323351445642805,4.020779297238967
131.0,2.323372804649901,4.019854447526183
132.0,2.3233878570730324,4.018941783854226
133.0,2.323396743078786,4.018041036672404
134.0,2.3233996000810206,4.017151942056941
135.0,2.323396562779895,4.016274241613604
136.0,2.32338776320108,4.015407682381061
137.0,2.3233733307351123,4.014552016735017
138.0,2.323353392176842,4.013707002293165
139.0,2.3233280717649354,4.0128724018209905
140.0,2.3232974912213935,4.012047983138469
141.0,2.323261769791049,4.011233519027684
142.0,2.323221024281007,4.010428787141399
143.0,2.3231753690999937,4.009633569912613
144.0,2.3231249162975867,4.008847654465116
145.0,2.3230697756032943,4.008070832525081
146.0,2.3230100544654557,4.007302900333701
147.0,2.322945858089939,4.006543658560898
148.0,2.322877289478608,4.005792912220116
149.0,2.3228044494675415,4.005050470584215
150.0,2.3227274367649775,4.004316147102479
151.0,2.322646347988967,4.003589759318747
152.0,2.3225612777047178,4.002871128790684
153.0,2.322472318461609,4.0021600810101825
154.0,2.3223795608298645,4.001456445324927
155.0,2.322283093436868,4.000760054861103
156.0,2.3221830030031083,4.000070746447264
157.0,2.3220793743777395,3.999388360539365
158.0,2.321972290573749,3.9987127411469467
159.0,2.3218618328027225,3.998043735760488
