t,H,L
0.0,2.18,4.44
1.0,2.1798513103753963,4.4399943791566425
2.0,2.179703279887664,4.4399871067121435
3.0,2.179555898980051,4.4399782031262145
4.0,2.179409158228507,4.4399676885805
5.0,2.17926304833971,4.439955582982586
6.0,2.1791175601491277,4.439941905969943
7.0,2.178972684619105,4.439926676913811
8.0,2.17882841283699,4.439909914923024
9.0,2.1786847360132873,4.439891638847767
10.0,2.1785416454798394,4.439871867283283
11.0,2.178399132688042,4.439850618573517
12.0,2.1782571892070863,4.439827910814704
13.0,2.1781158067222286,4.439803761858905
14.0,2.1779749770330907,4.439778189317482
15.0,2.1778346920519853,4.439751210564523
16.0,2.1776949438022695,4.439722842740215
17.0,2.1775557244167247,4.439693102754162
18.0,2.1774170261359633,4.439662007288652
19.0,2.1772788413068587,4.439629572801879
20.0,2.177141162381002,4.439595815531108
21.0,2.1770039819131846,4.439560751495799
22.0,2.1768672925599,4.439524396500675
23.0,2.1767310870778767,4.439486766138753
24.0,2.1765953583226274,4.439447875794319
25.0,2.1764600992470258,4.439407740645867
26.0,2.1763253028999023,4.439366375668986
27.0,2.176190962424666,4.439323795639208
28.0,2.1760570710579428,4.43928001513481
29.0,2.1759236221282414,4.439235048539578
30.0,2.175790609054634,4.439188910045523
31.0,2.1756580253454616,4.439141613655562
32.0,2.1755258645970574,4.439093173186156
33.0,2.1753941204924923,4.439043602269908
34.0,2.175262786800336,4.438992914358125
35.0,2.1751318573734415,4.43894112272334
36.0,2.175001326147746,4.438888240461794
37.0,2.17487118714109,4.438834280495886
38.0,2.1747414344520566,4.438779255576583
39.0,2.174612062258826,4.438723178285797
40.0,2.17448306481805,4.438666061038722
41.0,2.1743544364637426,4.438607916086143
42.0,2.1742261716061866,4.438548755516705
43.0,2.174098264730859,4.438488591259153
44.0,2.1739707103973704,4.438427435084537
45.0,2.1738435032384236,4.438365298608384
46.0,2.1737166379587842,4.43830219329284
47.0,2.1735901093342695,4.438238130448777
48.0,2.1734639122107517,4.4381731212378766
49.0,2.173338041503177,4.438107176674674
50.0,2.1732124921945974,4.438040307628579
51.0,2.1730872593352197,4.437972524825864
52.0,2.172962338041467,4.437903838851625
53.0,2.172837723495054,4.437834260151713
54.0,2.1727134109420785,4.437763799034637
55.0,2.1725893956921234,4.437692465673442
56.0,2.1724656731173746,4.437620270107558
57.0,2.1723422386517504,4.4375472222446195
58.0,2.172219087790044,4.437473331862265
59.0,2.1720962160870796,4.437398608609904
60.0,2.1719736191568813,4.437323062010466
61.0,2.171851292671852,4.437246701462117
62.0,2.1717292323619666,4.437169536239954
63.0,2.171607434013977,4.437091575497678
64.0,2.171485893470628,4.43701282826924
65.0,2.1713646066298837,4.4369333034704646
66.0,2.1712435694441687,4.4368530099006485
67.0,2.1711227779196163,4.43677195624414
68.0,2.1710022281153307,4.436690151071892
69.0,2.1708819161426587,4.436607602842996
70.0,2.170761838164472,4.436524319906192
71.0,2.170641990394462,4.436440310501358
72.0,2.170522369096439,4.436355582760981
73.0,2.17040297058365,4.4362701447115995
74.0,2.1702837912181003,4.436184004275237
75.0,2.170164827409886,4.436097169270803
76.0,2.1700460756165385,4.436009647415482
77.0,2.169927532342375,4.4359214463261045
78.0,2.169809194137862,4.435832573520489
79.0,2.1696910575989854,4.435743036418779
80.0,2.1695731193666297,4.435652842344743
81.0,2.1694553761259683,4.4355619985270796
82.0,2.1693378246058606,4.435470512100681
83.0,2.169220461578258,4.435378390107895
84.0,2.169103283857619,4.435285639499761
85.0,2.168986288300333,4.435192267137232
86.0,2.1688694718041495,4.435098279792381
87.0,2.1687528313076205,4.435003684149585
88.0,2.168636363789547,4.434908486806699
89.0,2.1685200662684334,4.434812694276208
90.0,2.1684039358019516,4.434716312986367
91.0,2.168287969486412,4.434619349282325
92.0,2.168172164456241,4.434521809427229
93.0,2.168056517883467,4.434423699603319
94.0,2.167941026977215,4.434325025913002
95.0,2.167825688983203,4.434225794379915
96.0,2.1677105011832527,4.434126010949974
97.0,2.1675954608948023,4.434025681492402
98.0,2.1674805654704272,4.433924811800751
99.0,2.1673658122973682,4.433823407593906
100.0,2.1672511987970666,4.433721474517073
101.0,2.1671367224247033,4.433619018142759
102.0,2.1670223806687483,4.433516043971732
103.0,2.1669081710505127,4.433412557433974
104.0,2.16679409112371,4.433308563889617
105.0,2.166680138474021,4.433204068629866
106.0,2.1665663107186672,4.433099076877913
107.0,2.166452605505988,4.432993593789833
108.0,2.166339020515026,4.432887624455472
109.0,2.166225553455115,4.432781173899324
110.0,2.1661122020654773,4.432674247081388
111.0,2.1659989641148245,4.432566848898024
112.0,2.1658858374009635,4.432458984182792
113.0,2.16577281975041,4.432350657707273
114.0,2.1656599090180038,4.432241874181895
115.0,2.1655471030865354,4.432132638256732
116.0,2.1654343998663705,4.4320229545223
117.0,2.165321797295085,4.431912827510342
118.0,2.1652092933371034,4.431802261694596
119.0,2.165096885983341,4.431691261491565
120.0,2.1649845732508544,4.431579831261263
121.0,2.1648723531824916,4.431467975307958
122.0,2.164760223846552,4.431355697880908
123.0,2.1646481833364493,4.431243003175075
124.0,2.1645362297703765,4.431129895331844
125.0,2.16442436129098,4.431016378439724
126.0,2.164312576065035,4.430902456535037
127.0,2.1642008722831254,4.430788133602608
128.0,2.1640892481593306,4.430673413576433
129.0,2.1639777019309134,4.43055830034035
130.0,2.1638662318580155,4.430442797728691
131.0,2.163754836223353,4.430326909526931
132.0,2.1636435133319214,4.430210639472326
133.0,2.163532261510698,4.430093991254547
134.0,2.163421079108355,4.4299769685162955
135.0,2.1633099644949727,4.429859574853921
136.0,2.1631989160617575,4.429741813818025
137.0,2.1630879322207623,4.4296236889140586
138.0,2.1629770114046147,4.4295052036029094
139.0,2.1628661520662438,4.429386361301485
140.0,2.1627553526786145,4.429267165383284
141.0,2.1626446117344638,4.429147619178965
142.0,2.162533927746041,4.4290277259769
143.0,2.162423299244852,4.428907489023729
144.0,2.1623127247814047,4.428786911524899
145.0,2.1622022029249615,4.428665996645204
146.0,2.1620917322632924,4.428544747509314
147.0,2.161981311402432,4.428423167202291
148.0,2.161870938966442,4.428301258770109
149.0,2.1617606135971714,4.428179025220162
150.0,2.161650333954027,4.428056469521762
151.0,2.161540098713741,4.4279335946066345
152.0,2.1614299065701474,4.427810403369408
153.0,2.161319756233954,4.427686898668093
154.0,2.161209646432525,4.42756308332456
155.0,2.161099575909662,4.427438960125003
156.0,2.1609895434253894,4.427314531820407
157.0,2.160879547755743,4.427189801127003
158.0,2.16076958769256,4.427064770726716
159.0,2.160659662043273,4.426939443267612
160.0,2.1605497696307068,4.426813821364334
161.0,2.1604399092928777,4.426687907598536
162.0,2.1603300798827947,4.426561704519311
163.0,2.160220280268265,4.4264352146436075
164.0,2.1601105093317003,4.42630844045665
165.0,2.1600007659699276,4.426181384412349
166.0,2.159891049094001,4.426054048933699
167.0,2.159781357629015,4.425926436413187
168.0,2.159671690513925,4.42579854921318
