t,H,L
0.0,2.18,4.44
1.0,2.1798513103753963,4.4399943791566425
2.0,2.1797033032334965,4.439987106845648
3.0,2.179555968887674,4.439978203791223
4.0,2.179409297785801,4.439967690435749
5.0,2.179263280508251,4.43995558694385
6.0,2.179117907765925,4.439941913206397
7.0,2.178973170398317,4.439926688844442
8.0,2.1788290593716093,4.439909933213098
9.0,2.1786855657768,4.439891665405355
10.0,2.178542680827858,4.439871904255836
11.0,2.1784003958599123,4.439850668344492
12.0,2.1782587023274687,4.439827976000246
13.0,2.1781175918026547,4.439803845304574
14.0,2.1779770559734954,4.439778294095032
15.0,2.1778370866422145,4.439751339968728
16.0,2.1776976757235653,4.439723000285744
17.0,2.177558815243186,4.439693292172499
18.0,2.177420497335985,4.439662232525066
19.0,2.177282714244547,4.439629838012435
20.0,2.17714545831757,4.439596125079722
21.0,2.1770087220083236,4.439561109951339
22.0,2.1768724978731333,4.439524808634109
23.0,2.176736778569888,4.4394872369203275
24.0,2.1766015568565735,4.439448410390793
25.0,2.176466825589826,4.4394083444177745
26.0,2.1763325777235094,4.439367054167948
27.0,2.176198806307318,4.439324554605278
28.0,2.1760655044853965,4.439280860493862
29.0,2.175932665494984,4.439235986400729
30.0,2.175800282665081,4.439189946698597
31.0,2.1756683494151328,4.439142755568587
32.0,2.1755368592537385,4.4390944270029005
33.0,2.175405805777376,4.4390449748074525
34.0,2.1752751826691483,4.438994412604468
35.0,2.1751449836975505,4.438942753835037
36.0,2.1750152027152536,4.438890011761633
37.0,2.174885833657908,4.438836199470598
38.0,2.174756870542968,4.438781329874579
39.0,2.1746283074685273,4.438725415714942
40.0,2.1745001386121823,4.438668469564143
41.0,2.1743723582299044,4.4386105038280625
42.0,2.1742449606549332,4.4385515307483105
43.0,2.1741179402966866,4.438491562404493
44.0,2.1739912916396875,4.438430610716448
45.0,2.1738650092425047,4.43836868744645
46.0,2.1737390877367138,4.438305804201374
47.0,2.173613521825869,4.438241972434841
48.0,2.173488306284496,4.438177203449318
49.0,2.1733634359570937,4.4381115083982
50.0,2.1732389057571577,4.43804489828785
51.0,2.1731147106662134,4.43797738397962
52.0,2.172990845732866,4.4379089761918324
53.0,2.172867306071863,4.437839685501744
54.0,2.172744086863174,4.437769522347468
55.0,2.1726211833510813,4.437698497029881
56.0,2.1724985908432837,4.4376266197144965
57.0,2.1723763047100157,4.437553900433305
58.0,2.1722543203831806,4.437480349086603
59.0,2.1721326333554924,4.437405975444782
60.0,2.1720112391796347,4.437330789150095
61.0,2.171890133467429,4.437254799718404
62.0,2.1717693118890176,4.4371780165408925
63.0,2.1716487701720566,4.4371004488857615
64.0,2.1715285041009222,4.437022105899898
65.0,2.1714085095159286,4.436942996610519
66.0,2.1712887823125557,4.43686312992679
67.0,2.171169318440691,4.43678251464143
68.0,2.1710501139038803,4.436701159432281
69.0,2.170931164758589,4.436619072863863
70.0,2.1708124671134774,4.436536263388904
71.0,2.1706940171286826,4.436452739349851
72.0,2.170575811015114,4.436368508980355
73.0,2.170457845033757,4.43628358040674
74.0,2.170340115494988,4.436197961649449
75.0,2.1702226187578986,4.436111660624467
76.0,2.1701053512296293,4.436024685144727
77.0,2.1699883093647148,4.4359370429215
78.0,2.169871489664437,4.435848741565752
79.0,2.169754888676187,4.4357597885894995
80.0,2.1696385029928376,4.435670191407132
81.0,2.1695223292521235,4.435579957336723
82.0,2.1694063641360333,4.435489093601323
83.0,2.1692906043702056,4.435397607330225
84.0,2.1691750467233373,4.435305505560229
85.0,2.169059688006599,4.43521279523687
86.0,2.168944525073061,4.435119483215646
87.0,2.1688295548171213,4.435025576263217
88.0,2.168714774173951,4.43493108105859
89.0,2.1686001801189403,4.434836004194291
90.0,2.168485769667153,4.434740352177518
91.0,2.168371539872794,4.434644131431278
92.0,2.168257487828679,4.434547348295509
93.0,2.1681436106657124,4.434450009028185
94.0,2.168029905552377,4.434352119806408
95.0,2.167916369694224,4.434253686727482
96.0,2.167803000333378,4.434154715809975
97.0,2.16768979474804,4.434055212994766
98.0,2.167576750252007,4.433955184146072
99.0,2.1674638641941906,4.43385463505247
100.0,2.167351133958147,4.4337535714279
101.0,2.1672385569616104,4.433651998912651
102.0,2.167126130656037,4.433549923074339
103.0,2.1670138525261518,4.433447349408871
104.0,2.1669017200895015,4.433344283341391
105.0,2.166789730896018,4.433240730227218
106.0,2.166677882527583,4.433136695352769
107.0,2.1665661725976015,4.43303218393647
108.0,2.1664545987505806,4.432927201129653
109.0,2.166343158661714,4.432821752017442
110.0,2.1662318500364726,4.432715841619628
111.0,2.1661206706102005,4.432609474891532
112.0,2.166009618147717,4.432502656724848
113.0,2.165898690442923,4.432395391948493
114.0,2.1657878853184154,4.432287685329422
115.0,2.1656772006251033,4.432179541573452
116.0,2.1655666342418325,4.432070965326064
117.0,2.165456184075014,4.431961961173195
118.0,2.165345848058258,4.431852533642023
119.0,2.165235624152012,4.43174268720174
120.0,2.1651255103432043,4.4316324262643105
121.0,2.1650155046448942,4.4315217551852255
122.0,2.164905605095924,4.4314106782642435
123.0,2.1647958097605784,4.431299199746121
124.0,2.1646861167282467,4.431187323821335
125.0,2.1645765241130914,4.43107505462679
126.0,2.164467030053719,4.430962396246528
127.0,2.1643576327128584,4.430849352712414
128.0,2.1642483302770406,4.430735928004822
129.0,2.1641391209562846,4.430622126053308
130.0,2.1640300029837873,4.430507950737275
131.0,2.1639209746156185,4.4303934058866306
132.0,2.1638120341304177,4.43027849528243
133.0,2.1637031798290973,4.430163222657518
134.0,2.1635944100345483,4.430047591697156
135.0,2.1634857230913513,4.429931606039648
136.0,2.1633771173654908,4.429815269276944
137.0,2.1632685912440737,4.429698584955257
138.0,2.163160143135051,4.4295815565756484
139.0,2.163051771466943,4.429464187594624
140.0,2.162943474688571,4.4293464814247105
141.0,2.1628352512687883,4.429228441435031
142.0,2.162727099696218,4.429110070951868
143.0,2.1626190184789937,4.4289913732592225
144.0,2.1625110061445034,4.428872351599364
145.0,2.1624030612391367,4.428753009173373
146.0,2.1622951823280356,4.428633349141675
147.0,2.162187367994849,4.428513374624574
148.0,2.1620796168414897,4.428393088702766
149.0,2.161971927487896,4.428272494417862
150.0,2.1618642985717953,4.428151594772889
151.0,2.161756728748471,4.428030392732795
152.0,2.1616492166905337,4.4279088912249405
153.0,2.161541761087694,4.427787093139586
154.0,2.1614343606465387,4.427665001330375
155.0,2.1613270140903116,4.427542618614808
156.0,2.161219720158695,4.42741994777471
157.0,2.161112477607595,4.427296991556693
158.0,2.16100528520893,4.427173752672613
159.0,2.160898141750422,4.42705023380002
160.0,2.1607910460353903,4.4269264375825985
161.0,2.160683996882548,4.4268023666306116
162.0,2.1605769931258028,4.426678023521328
163.0,2.160470033614056,4.4265534107994515
164.0,2.1603631172110105,4.426428530977541
165.0,2.1602562427949765,4.426303386536425
166.0,2.160149409258682,4.4261779799256145
167.0,2.160042615509085,4.426052313563704
