t,H,L
0.0,2.18,4.44
1.0,2.1798513103753963,4.4399943791566425
2.0,2.1797033565954,4.439987107150802
3.0,2.1795561286765257,4.439978205311243
4.0,2.1794096167739014,4.439967694676319
5.0,2.1792638111791978,4.4399555959981765
6.0,2.179118702318594,4.439941929746881
7.0,2.1789742807507775,4.439926716114491
8.0,2.178830537164977,4.439909975019053
9.0,2.178687462379026,4.439891726108547
10.0,2.178545047337462,4.439871988764759
11.0,2.178403283109652,4.439850782107101
12.0,2.1782621608879524,4.4398281249963665
13.0,2.178121671985898,4.439804036038429
14.0,2.17798180783642,4.439778533587881
15.0,2.177842559990093,4.43975163575162
16.0,2.1777039201134123,4.439723360392374
17.0,2.1775658799870956,4.439693725132177
18.0,2.177428431504415,4.439662747355787
19.0,2.1772915666695543,4.439630444214056
20.0,2.177155277595994,4.43959683262724
21.0,2.177019556504922,4.439561929288267
22.0,2.176884395723668,4.439525750665949
23.0,2.1767497876841637,4.439488313008147
24.0,2.17661572492143,4.43944963234489
25.0,2.1764822000720847,4.439409724491439
26.0,2.1763492058728753,4.439368605051312
27.0,2.1762167351592354,4.439326289419261
28.0,2.176084780863864,4.439282792784201
29.0,2.175953336015326,4.439238130132097
30.0,2.1758223937366754,4.439192316248806
31.0,2.1756919472441005,4.439145365722881
32.0,2.17556198984559,4.439097292948324
33.0,2.1754325149396188,4.439048112127304
34.0,2.175303516013857,4.438997837272837
35.0,2.1751749866438956,4.4389464822114135
36.0,2.175046920491995,4.4388940605856
37.0,2.1749193113058514,4.438840585856597
38.0,2.1747921529173815,4.438786071306754
39.0,2.174665439241528,4.438730530042055
40.0,2.1745391642750818,4.438673974994563
41.0,2.1744133220955235,4.438616418924825
42.0,2.174287906859881,4.43855787442425
43.0,2.1741629128036073,4.438498353917442
44.0,2.1740383342394725,4.438437869664509
45.0,2.1739141655564747,4.438376433763326
46.0,2.1737904012187665,4.438314058151775
47.0,2.173667035764599,4.438250754609949
48.0,2.173544063805279,4.438186534762318
49.0,2.1734214800241465,4.438121410079872
50.0,2.1732992791755636,4.438055391882228
51.0,2.1731774560839208,4.4379884913397065
52.0,2.1730560056426573,4.437920719475377
53.0,2.1729349228132966,4.437852087167077
54.0,2.1728142026244956,4.437782605149397
55.0,2.172693840171111,4.4377122840156416
56.0,2.172573830613275,4.437641134219759
57.0,2.1724541691754875,4.437569166078241
58.0,2.172334851145724,4.437496389772
59.0,2.1722158718745512,4.437422815348216
60.0,2.172097226774261,4.4373484527221585
61.0,2.171978911318014,4.43727331167898
62.0,2.171860921038998,4.437197401875483
63.0,2.1717432515295974,4.437120732841871
64.0,2.171625898440575,4.437043313983456
65.0,2.171508857480267,4.436965154582363
66.0,2.171392124413788,4.436886263799191
67.0,2.171275695062251,4.436806650674665
68.0,2.1711595653019935,4.436726324131255
69.0,2.1710437310638206,4.436645292974776
70.0,2.170928188332256,4.436563565895965
71.0,2.170812933144804,4.436481151472034
72.0,2.170697961591223,4.4363980581682005
73.0,2.1705832698128114,4.436314294339201
74.0,2.1704688540016983,4.436229868230779
75.0,2.1703547104001513,4.436144787981148
76.0,2.1702408352998903,4.436059061622446
77.0,2.1701272250414116,4.435972697082155
78.0,2.1700138760133236,4.435885702184511
79.0,2.1699007846516896,4.435798084651891
80.0,2.1697879474393815,4.435709852106177
81.0,2.169675360905444,4.435621012070106
82.0,2.1695630216244646,4.435531571968599
83.0,2.1694509262159567,4.4354415391300686
84.0,2.169339071343748,4.435350920787715
85.0,2.1692274537153806,4.435259724080796
86.0,2.1691160700815164,4.435167956055882
87.0,2.169004917235355,4.435075623668102
88.0,2.1688939920120562,4.434982733782355
89.0,2.1687832912881735,4.434889293174518
90.0,2.1686728119810943,4.434795308532635
91.0,2.168562551048488,4.4347007864580865
92.0,2.1684525054877617,4.434605733466743
93.0,2.168342672335526,4.434510155990103
94.0,2.1682330486670645,4.434414060376418
95.0,2.168123631595815,4.434317452891798
96.0,2.1680144182728536,4.4342203397213025
97.0,2.167905405886391,4.434122726970019
98.0,2.167796591661271,4.434024620664123
99.0,2.1676879728584804,4.433926026751925
100.0,2.1675795467746615,4.433826951104905
101.0,2.1674713107416363,4.4337273995187285
102.0,2.1673632621259338,4.433627377714253
103.0,2.167255398328324,4.433526891338517
104.0,2.167147716783361,4.433425945965717
105.0,2.1670402149589307,4.43332454709817
106.0,2.1669328903558043,4.433222700167267
107.0,2.1668257405071993,4.433120410534407
108.0,2.166718762978346,4.433017683491922
109.0,2.1666119553660614,4.432914524263991
110.0,2.166505315298326,4.432810938007534
111.0,2.166398840433869,4.432706929813104
112.0,2.16629252846176,4.432602504705761
113.0,2.1661863771010026,4.432497667645931
114.0,2.166080384100138,4.432392423530262
115.0,2.1659745472368512,4.432286777192459
116.0,2.1658688643175843,4.432180733404118
117.0,2.165763333177154,4.432074296875535
118.0,2.1656579516783743,4.431967472256518
119.0,2.165552717711686,4.431860264137177
120.0,2.16544762919479,4.431752677048714
121.0,2.165342684072286,4.43164471546419
122.0,2.1652378803153147,4.431536383799289
123.0,2.1651332159212098,4.431427686413074
124.0,2.1650286889131474,4.431318627608727
125.0,2.164924297339807,4.43120921163428
126.0,2.1648200392750327,4.4310994426833386
127.0,2.1647159128175018,4.430989324895794
128.0,2.164611916090396,4.4308788623585285
129.0,2.1645080472410783,4.430768059106104
130.0,2.164404304440774,4.43065691912145
131.0,2.1643006858842564,4.430545446336538
132.0,2.164197189789535,4.430433644633045
133.0,2.1640938143975506,4.430321517843013
134.0,2.163990557971874,4.430209069749496
135.0,2.1638874187984065,4.430096304087198
136.0,2.163784395185087,4.429983224543106
137.0,2.1636814854616024,4.42986983475711
138.0,2.1635786879791015,4.4297561383226185
139.0,2.1634760011099123,4.429642138787163
140.0,2.1633734232472657,4.429527839652997
141.0,2.163270952805019,4.429413244377684
142.0,2.1631685882173874,4.4292983563746775
143.0,2.163066327938676,4.429183179013901
144.0,2.1629641704430154,4.429067715622306
145.0,2.162862114224104,4.428951969484438
146.0,2.162760157794951,4.428835943842983
147.0,2.1626582996876227,4.4287196418993116
148.0,2.162556538452994,4.428603066814018
149.0,2.162454872660503,4.428486221707448
150.0,2.162353300897906,4.428369109660221
151.0,2.1622518217710414,4.428251733713745
152.0,2.162150433903591,4.428134096870727
153.0,2.1620491359368468,4.428016202095671
154.0,2.161947926529484,4.4278980523153795
155.0,2.1618468043573307,4.427779650419434
156.0,2.1617457681131462,4.4276609992606835
157.0,2.1616448165064006,4.4275421016557175
158.0,2.161543948263055,4.427422960385335
159.0,2.161443162125349,4.427303578195007
160.0,2.1613424568515867,4.427183957795336
161.0,2.1612418312159294,4.427064101862506
162.0,2.1611412840081883,4.426944013038724
163.0,2.1610408140336204,4.426823693932663
164.0,2.1609404201127287,4.4267031471198965
165.0,2.1608401010810634,4.42658237514332
166.0,2.160739855789027,4.426461380513577
167.0,2.1606396831016816,4.426340165709475
168.0,2.1605395818985564,4.4262187331783975
