t,H,L
0.0,2.18,4.44
1.0,2.178107101408531,4.443552699865886
2.0,2.176233618027531,4.447071818662992
3.0,2.174379150915161,4.450557994425594
4.0,2.172543313188682,4.454011846911011
5.0,2.1707257295461813,4.45743397829619
6.0,2.1689260358116917,4.460824973841279
7.0,2.1671438785023507,4.464185402522055
8.0,2.1653789144163293,4.467515817632939
9.0,2.1636308102403503,4.470816757362244
10.0,2.1618992421756924,4.474088745341171
11.0,2.1601838955816457,4.477332291167981
12.0,2.1584844646354546,4.480547890908687
13.0,2.156800652007844,4.483736027575517
14.0,2.1551321685532785,4.486897171584328
15.0,2.153478733014164,4.490031781192068
16.0,2.1518400717382473,4.493140302915332
17.0,2.1502159184085134,4.496223171930993
18.0,2.1486060137849234,4.499280812459799
19.0,2.1470101054573814,4.502313638133829
20.0,2.1454279476093463,4.505322052348606
21.0,2.1438593007915476,4.508306448600621
22.0,2.14230393170529,4.511267210811012
23.0,2.140761612994866,4.514204713636059
24.0,2.1392321230486218,4.517119322765137
25.0,2.1377152458082476,4.520011395206744
26.0,2.1362107705858895,4.522881279563157
27.0,2.1347184918887003,4.525729316294273
28.0,2.133238209250474,4.528555837971121
29.0,2.1317697270700178,4.53136116951956
30.0,2.1303128544559495,4.534145628454582
31.0,2.1288674050776084,4.536909525105678
32.0,2.127433197021801,4.539653162833659
33.0,2.1260100526551065,4.542376838239331
34.0,2.1245977984914846,4.545080841364378
35.0,2.1231962650649474,4.5477654558848055
36.0,2.121805286807062,4.550430959297283
37.0,2.1204247019290645,4.553077623098673
38.0,2.1190543523083862,4.555705712959074
39.0,2.1176940833793862,4.558315488888629
40.0,2.116343744028113,4.560907205398394
41.0,2.1150031864909145,4.563481111655497
42.0,2.1136722662567293,4.566037451632843
43.0,2.112350841972904,4.568576464253591
44.0,2.1110387753543787,4.57109838353062
45.0,2.109735931096105,4.573603438701188
46.0,2.108442176788554,4.576091854356994
47.0,2.1071573828361885,4.578563850569818
48.0,2.1058814223787716,4.581019643012923
49.0,2.1046141712153994,4.583459443078394
50.0,2.103355507731143,4.585883457990567
51.0,2.102105312826191,4.588291890915718
52.0,2.100863469847397,4.590684941068142
53.0,2.0996298645221287,4.5930628038127805
54.0,2.098404384894333,4.595425670764522
55.0,2.0971869212627197,4.597773729884305
56.0,2.095977366120994,4.600107165572151
57.0,2.0947756141000404,4.6024261587572415
58.0,2.0935815619119977,4.604730886985151
59.0,2.092395108296141,4.607021524502348
60.0,2.091216153966507,4.609298242338057
61.0,2.0900446015611895,4.611561208383594
62.0,2.088880355593254,4.613810587469251
63.0,2.0877233224031935,4.616046541438838
64.0,2.0865734101128814,4.618269229221954
65.0,2.0854305285809587,4.620478806904081
66.0,2.084294589359604,4.622675427794568
67.0,2.0831655056526364,4.624859242492589
68.0,2.082043192274899,4.627030398951149
69.0,2.0809275656128823,4.629189042539194
70.0,2.079818543586535,4.631335316101909
71.0,2.0787160456122256,4.633469360019261
72.0,2.077619992566813,4.635591312262839
