t,H,L
0.0,2.18,4.44
1.0,2.177957578809153,4.4435518480399265
2.0,2.1759355080151765,4.447068442267929
3.0,2.1739333601428585,4.450550465760556
4.0,2.1719507209140616,4.45399858162368
5.0,2.1699871887132662,4.457413433769471
6.0,2.168042374079802,4.460795647655781
7.0,2.1661158992251877,4.46414583099011
8.0,2.164207397574109,4.4674645744001795
9.0,2.1623165133276614,4.470752452072989
10.0,2.1604429010475754,4.474010022364137
11.0,2.1585862252602324,4.477237828379048
12.0,2.156746160079351,4.4804363985276465
13.0,2.1549223888463023,4.483606247053937
14.0,2.1531146037870745,4.48674787454183
15.0,2.1513225056849765,4.489861768398495
16.0,2.1495458035682184,4.492948403316425
17.0,2.1477842144115735,4.4960082417153355
18.0,2.1460374628513614,4.499041734164947
19.0,2.1443052809130534,4.502049319789633
20.0,2.1425874077508316,4.505031426655871
21.0,2.1408835893984817,4.5079884721433565
22.0,2.1391935785310343,4.510920863300614
23.0,2.1375171342366035,4.513828997185872
24.0,2.135854021797903,4.516713261193929
25.0,2.134204012482959,4.519574033369701
26.0,2.132566883344551,4.522411682709099
27.0,2.1309424170279563,4.525226569447844
28.0,2.129330401586586,4.5280190453388025
29.0,2.12773063030513,4.530789453918379
30.0,2.1261429015298434,4.53353813076249
31.0,2.12456701850564,4.5362654037326
32.0,2.1230027892196595,4.538971593212283
33.0,2.1214500262510096,4.541657012334746
34.0,2.1199085466263905,4.544321967201722
35.0,2.1183781716813277,4.546966757094128
36.0,2.116858726926758,4.5495916746748595
37.0,2.1153500419207183,4.552197006184069
38.0,2.1138519501449085,4.554783031627258
39.0,2.1123642888859084,4.5573500249565075
40.0,2.1108868991208403,4.559898254245141
41.0,2.109419625407276,4.562427981856097
42.0,2.1079623157772076,4.5649394646043
43.0,2.1065148216348972,4.567432953913265
44.0,2.105076997658441,4.569908695966197
45.0,2.103648701704887,4.572366931851807
46.0,2.102229794718749,4.574807897705064
47.0,2.1008201406437825,4.577231824843106
48.0,2.099419606337872,4.579638939896494
49.0,2.0980280614909095,4.5820294649360065
50.0,2.096645378545532,4.5844036175951555
51.0,2.0952714326206046,4.586761611188599
52.0,2.0939061014373346,4.5891036548266095
53.0,2.092549265247907,4.591429953525754
54.0,2.091200806766542,4.593740708315947
55.0,2.089860611102875,4.596036116344001
56.0,2.0885285656975654,4.598316370973832
57.0,2.087204560260052,4.600581661883428
58.0,2.085888486708357,4.602832175158724
59.0,2.084580239110871,4.605068093384489
60.0,2.0832797136300365,4.6072895957323405
61.0,2.0819868084678537,4.6094968580460085
62.0,2.080701423813143,4.611690052923928
63.0,2.079423461790496,4.613869349799282
64.0,2.0781528264108444,4.616034915017578
65.0,2.0768894235235997,4.618186911911849
66.0,2.0756331607702863,4.6203255008755715
67.0,2.074383947539628,4.6224508394333785
68.0,2.073141694924027,4.624563082309648
69.0,2.0719063156773805,4.6266623814950485
70.0,2.0706777241741965,4.6287488863111035
71.0,2.069455836369949,4.6308227434728595
72.0,2.068240569762637,4.63288409714971
73.0,2.0670318433555,4.634933089024453
74.0,2.0658295776208493,4.636969858350633
75.0,2.0646336944649732,4.638994542008236
76.0,2.0634441171940825,4.6410072745577855
77.0,2.0622607704812568,4.643008188292904
78.0,2.0610835803343566,4.6449974132913825
79.0,2.0599124740648675,4.6469750774648135
80.0,2.0587473802576466,4.64894130660684
81.0,2.057588228741536,4.650896224440055
