t,H,L
0.0,2.18,4.44
1.0,2.177957578809153,4.4435518480399265
2.0,2.1759353290930665,4.447068441257913
3.0,2.1739328244773652,4.450550460756247
4.0,2.1719496517394608,4.453998567737266
5.0,2.1699854102763445,4.457413404277022
6.0,2.1680397115989356,4.460795594061559
7.0,2.1661121788514137,4.46414574308794
8.0,2.1642024463540745,4.467464440332043
9.0,2.162310159168341,4.470752258385005
10.0,2.1604349726826593,4.474009754060055
11.0,2.158576552218088,4.477237468971402
12.0,2.1567345726524745,4.480435930086692
13.0,2.154908718062171,4.483605650254482
14.0,2.153098681380331,4.486747128708078
15.0,2.1513041640708654,4.489860851547001
16.0,2.149524875817216,4.49294729219726
17.0,2.1477605342251374,4.4960069118515555
18.0,2.146010864538749,4.499040159890444
19.0,2.144275599369149,4.502047474285458
20.0,2.1425544784349313,4.505029281985102
21.0,2.140847248313986,4.50798599928458
22.0,2.1391536622060032,4.510918032180092
23.0,2.1374734797051276,4.513825776708453
24.0,2.135806466582255,4.5167096192727705
25.0,2.1341523945764806,4.519569936954853
26.0,2.132511041195243,4.522407097815004
27.0,2.1308821895227363,4.525221461179811
28.0,2.1292656280361824,4.528013377918487
29.0,2.127661150429578,4.530783190708333
30.0,2.126068555444559,4.5335312342898115
31.0,2.124487646708041,4.536257835711728
32.0,2.122918232576311,4.538963314566974
33.0,2.121360125985265,4.541647983219269
34.0,2.11981314430651,4.544312147021308
35.0,2.1182771092090498,4.546956104524706
36.0,2.116751846526302,4.54958014768211
37.0,2.1152371861282027,4.552184562041819
38.0,2.1137329617981617,4.554769626935256
39.0,2.112239011114658,4.557335615657596
40.0,2.11075517533726,4.559882795641855
41.0,2.1092812992968812,4.562411428626712
42.0,2.107817231290077,4.564921770818355
43.0,2.106362822977212,4.567414073046578
44.0,2.104917929284323,4.569888580915394
45.0,2.1034824083085275,4.572345534948385
46.0,2.1020561212268154,4.574785170729013
47.0,2.100638932208087,4.577207719036093
48.0,2.0992307083282964,4.579613405974642
49.0,2.097831319488571,4.5820024531022705
50.0,2.0964406383361855,4.584375077551328
51.0,2.0950585401882678,4.586731492146938
52.0,2.0936849029581253,4.589071905521122
53.0,2.0923196070840895,4.59139652222314
54.0,2.0909625354607697,4.593705542826215
55.0,2.0896135733726235,4.595999164030775
56.0,2.0882726084297496,4.59827757876435
57.0,2.086939530505814,4.600540976278256
58.0,2.085614231678027,4.602789542241187
59.0,2.0842966061690884,4.605023458829829
60.0,2.082986550291025,4.607242904816626
61.0,2.0816839623908496,4.609448055654779
62.0,2.080388742797964,4.611639083560607
63.0,2.0791007937732506,4.613816157593351
64.0,2.0778200194597756,4.61597944373253
65.0,2.0765463258350527,4.618129104952923
66.0,2.075279620664806,4.620265301297278
67.0,2.0740198134581704,4.622388189946819
68.0,2.0727668154242878,4.624497925289649
69.0,2.0715205394302343,4.626594658987095
70.0,2.0702808999602413,4.6286785400380985
71.0,2.0690478130761543,4.630749714841703
72.0,2.0678211963790916,4.632808327257711
73.0,2.0666009689722538,4.634854518665576
74.0,2.0653870514248474,4.6368884280215825
75.0,2.0641793657370804,4.63891019191439
76.0,2.062977835306193,4.6409199446189815
77.0,2.061782384893486,4.642917818149075
78.0,2.060592940592313,4.644903942308061
79.0,2.059409429797003,4.646878444738495
80.0,2.05823178117268,4.648841450970217
81.0,2.0570599246259498,4.650793084467125
82.0,2.055893791276424,4.6527334666726645
