t,H,L
0.0,2.18,4.44
1.0,2.177957578809153,4.4435518480399265
2.0,2.1759357380578894,4.447068443566523
3.0,2.1739340488556316,4.450550472194674
4.0,2.1719520955670966,4.453998599477678
5.0,2.1699894752749405,4.4574134716884615
6.0,2.168045797269264,4.4607957165629815
7.0,2.1661206825623887,4.464145944007972
8.0,2.164213763427413,4.467464746775083
9.0,2.1623246829591807,4.470752701103326
10.0,2.160453094656354,4.474010367331573
11.0,2.1585986620234032,4.47723829048281
12.0,2.1567610581913796,4.480437000821666
13.0,2.154939965556419,4.483607014386695
14.0,2.1531350754349994,4.48674883349877
15.0,2.151346087735026,4.489862947246864
16.0,2.149572710641885,4.4929498319524175
17.0,2.147814660318653,4.496009951613428
18.0,2.146071660619713,4.499043758329303
19.0,2.1443434428170587,4.502051692707485
20.0,2.142629745338619,4.505034184252772
21.0,2.1409303135179876,4.507991651740219
22.0,2.1392448993549493,4.510924503572438
23.0,2.1375732612862697,4.513833138122089
24.0,2.135915163966211,4.516717944060278
25.0,2.1342703780562933,4.51957930067157
26.0,2.1326386800238333,4.522417578156259
27.0,2.13101985194883,4.5252331379205115
28.0,2.129413681338783,4.528026332854966
29.0,2.1278199609510593,4.530797507602339
30.0,2.12623848862244,4.533546998814546
31.0,2.1246690671055077,4.536275135399846
32.0,2.123111503911541,4.538982238760449
33.0,2.121565611159617,4.541668623021045
34.0,2.120031205431622,4.544334595248664
35.0,2.1185081076329046,4.546980455664246
36.0,2.116996142858302,4.54960649784632
37.0,2.115495140263299,4.552213008927118
38.0,2.114004932940083,4.5548002697814765
39.0,2.112525357798277,4.557368555208839
40.0,2.111056255450136,4.559918134108653
41.0,2.1095974701000157,4.562449269649455
42.0,2.1081488494379137,4.5649622194319175
43.0,2.106710244536919,4.567457235646108
44.0,2.1052815097543847,4.5699345652232095
45.0,2.103862502636676,4.572394449981935
46.0,2.1024530838273296,4.57483712676986
47.0,2.101053116978485,4.577262827599879
48.0,2.099662468665449,4.579671779781993
49.0,2.098281008304259,4.582064206050615
50.0,2.0969086080721233,4.5844403246875745
51.0,2.095545142830613,4.586800349641
52.0,2.0941904900515027,4.58914449064024
53.0,2.0928445297451392,4.5914729533069805
54.0,2.0915071443912456,4.593785939262717
55.0,2.0901782188720572,4.5960836462327075
56.0,2.088857640407697,4.598366268146565
57.0,2.0875452984937017,4.600633995235603
58.0,2.0862410848406134,4.602887014127067
59.0,2.0849448933155554,4.60512550793537
60.0,2.0836566198857143,4.607349656350448
61.0,2.082376162563654,4.609559635723333
62.0,2.081103421354395,4.611755619149068
63.0,2.079838298204183,4.613937776547045
64.0,2.078580696950892,4.616106274738873
65.0,2.0773305232759935,4.618261277523855
66.0,2.0760876846580336,4.620402945752179
67.0,2.0748520903275667,4.62253143739589
68.0,2.073623651223485,4.624646907617729
69.0,2.072402279950696,4.626749508837921
70.0,2.071187890739098,4.628839390798977
71.0,2.069980399403806,4.6309167006285845
72.0,2.0687797233065823,4.632981582900653
73.0,2.0675857813184284,4.635034179694583
74.0,2.0663984937832987,4.637074630652813
75.0,2.065217782482892,4.639103073036711
76.0,2.0640435706024856,4.641119641780867
77.0,2.062875782697776,4.643124469545834
78.0,2.0617143446626875,4.645117686769376
79.0,2.060559183698118,4.647099421716287
80.0,2.0594102282815876,4.6490698005267905
81.0,2.058267408137762,4.651028947263619
82.0,2.0571306542098164,4.652976983957768
