t,H,L
0.0,2.18,4.44
1.0,2.1794817359397665,4.441666878930298
2.0,2.1789663595250386,4.443328734508927
3.0,2.178453847073498,4.444985604078111
4.0,2.1779441751819872,4.446637524562523
5.0,2.177437320722172,4.448284532475507
6.0,2.1769332608362886,4.449926663925194
7.0,2.1764319729329697,4.451563954620497
8.0,2.175933434683154,4.453196439876996
9.0,2.1754376240160704,4.454824154622726
10.0,2.1749445191153,4.456447133403837
11.0,2.174454098414913,4.458065410390172
12.0,2.173966340595676,4.45967901938073
13.0,2.1734812245813337,4.461287993809035
14.0,2.172998729534958,4.462892366748405
15.0,2.1725188348553646,4.464492170917133
16.0,2.1720415201735994,4.466087438683563
17.0,2.1715667653494855,4.467678202071088
18.0,2.171094550468237,4.469264492763048
19.0,2.1706248558371337,4.470846342107549
20.0,2.1701576619822576,4.472423781122194
21.0,2.169692949645287,4.473996840498726
22.0,2.1692306997803503,4.4755655506076
23.0,2.168770893550938,4.477129941502462
24.0,2.1683135123268666,4.478690042924561
25.0,2.167858537681301,4.4802458843070765
26.0,2.167405951387828,4.481797494779376
27.0,2.166955735417582,4.483344903171197
28.0,2.1665078719364232,4.484888138016757
29.0,2.1660623433021646,4.486427227558791
30.0,2.165619132061849,4.487962199752527
31.0,2.165178220949072,4.4894930822695835
32.0,2.164739592881355,4.491019902501812
33.0,2.1643032309575614,4.492542687565062
34.0,2.1638691184553585,4.494061464302897
35.0,2.1634372388287235,4.495576259290235
36.0,2.1630075757054947,4.497087098836937
37.0,2.162580112884961,4.498594008991329
38.0,2.1621548343354964,4.5000970155436715
39.0,2.1617317241922325,4.501596144029568
40.0,2.161310766754772,4.503091419733316
41.0,2.1608919464849414,4.504582867691209
42.0,2.1604752480045812,4.506070512694774
43.0,2.160060656093372,4.5075543792939685
44.0,2.1596481556867015,4.509034491800315
45.0,2.159237731873562,4.51051087428999
46.0,2.158829369894486,4.5119835506068595
47.0,2.158423055139518,4.513452544365473
48.0,2.158018773146214,4.514917878953998
49.0,2.157616509597682,4.516379577537118
50.0,2.157216250320648,4.517837663058876
51.0,2.1568179812835573,4.519292158245479
52.0,2.156421688594708,4.5207430856080535
53.0,2.15602735850041,4.522190467445361
54.0,2.1556349773831815,4.523634325846468
