t,H,L
0.0,1.68,2.44
1.0,1.6800684934525087,2.4403033519036357
2.0,1.6801369703004434,2.440606633351549
3.0,1.6802054304969873,2.440909844388815
4.0,1.6802738739954364,2.4412129850603863
5.0,1.6803423007491982,2.4415160554110935
6.0,1.680410710711792,2.441819055485644
7.0,1.6804791038368483,2.4421219853286225
8.0,1.6805474800781084,2.4424248449844934
9.0,1.6806158393894244,2.4427276344975986
10.0,1.6806841817247586,2.4430303539121594
11.0,1.6807525070381835,2.443333003272276
12.0,1.6808208152838806,2.443635582621929
13.0,1.6808891064161415,2.443938092004978
14.0,1.6809573803893665,2.4442405314651636
15.0,1.6810256371580645,2.444542901046107
16.0,1.6810938766768533,2.4448452007913097
17.0,1.6811620989004583,2.4451474307441554
18.0,1.681230303783713,2.445449590947909
19.0,1.6812984912815587,2.4457516814457168
20.0,1.681366661349043,2.446053702280609
21.0,1.6814348139413213,2.4463556534954964
22.0,1.681502949013655,2.4466575351331747
23.0,1.6815710665214123,2.4469593472363216
24.0,1.6816391664200667,2.4472610898474985
25.0,1.681707248665198,2.4475627630091514
26.0,1.6817753132124913,2.44786436676361
27.0,1.6818433600177365,2.4481659011530894
28.0,1.6819113890368287,2.4484673662196883
29.0,1.681979400225767,2.4487687620053915
30.0,1.6820473935406552,2.4490700885520695
31.0,1.6821153689377006,2.4493713459014783
32.0,1.6821833263732144,2.44967253409526
33.0,1.682251265803611,2.449973653174944
34.0,1.6823191871854077,2.450274703181945
35.0,1.682387090475225,2.4505756841575668
36.0,1.682454975629785,2.450876596142999
37.0,1.6825228426059131,2.45117743917932
38.0,1.6825906913605357,2.4514782133074955
39.0,1.682658521850681,2.45177891856838
40.0,1.6827263340334788,2.4520795550027175
41.0,1.6827941278661593,2.4523801226511392
42.0,1.6828619033060541,2.4526806215541677
43.0,1.6829296603105948,2.4529810517522135
44.0,1.6829973988373135,2.453281413285578
45.0,1.683065118843842,2.4535817061944525
46.0,1.6831328202879114,2.4538819305189192
47.0,1.683200503127353,2.454182086298951
48.0,1.683268167320096,2.454482173574412
49.0,1.6833358128241693,2.454782192385057
50.0,1.6834034395977,2.4550821427705336
51.0,1.6834710475989134,2.455382024770381
52.0,1.6835386367861327,2.4556818384240313
53.0,1.6836062071177786,2.4559815837708086
54.0,1.6836737585523696,2.45628126084993
55.0,1.683741291048521,2.4565808697005056
56.0,1.683808804564945,2.4568804103615403
57.0,1.6838762990604506,2.457179882871932
58.0,1.6839437744939427,2.4574792872704725
59.0,1.6840112308244228,2.4577786235958485
60.0,1.6840786680109878,2.4580778918866413
61.0,1.6841460860128301,2.458377092181327
62.0,1.6842134847892376,2.458676224518277
63.0,1.6842808642995928,2.4589752889357586
64.0,1.6843482245033732,2.459274285471935
65.0,1.6844155653601507,2.4595732141648656
66.0,1.6844828868295914,2.459872075052506
67.0,1.6845501888714551,2.460170868172708
68.0,1.6846174714455955,2.4604695935632224
69.0,1.6846847345119595,2.460768251261695
70.0,1.6847519780305877,2.46106684130567
71.0,1.6848192019616128,2.4613653637325905
72.0,1.6848864062652606,2.4616638185797965
73.0,1.6849535909018492,2.4619622058845265
74.0,1.6850207558317887,2.4622605256839187
75.0,1.685087901015581,2.4625587780150093
76.0,1.68515502641382,2.462856962914734
77.0,1.6852221319871905,2.463155080419929
78.0,1.6852892176964687,2.463453130567329
79.0,1.6853562835025213,2.463751113393569
80.0,1.6854233293663061,2.464049028935185
81.0,1.685490355248871,2.4643468772286137
