t,H,L
0.0,2.18,4.44
1.0,2.178955851433765,4.44273908196368
2.0,2.177920875239627,4.445462287201245
3.0,2.1768949396847184,4.448169825456798
4.0,2.175877915794836,4.45086190230724
5.0,2.174869677278453,4.453538719272559
6.0,2.1738701004533225,4.456200473922475
7.0,2.172879064175561,4.458847359979602
8.0,2.1718964497711166,4.461479567419236
9.0,2.170922140969528,4.464097282565929
10.0,2.169956023839877,4.466700688186956
11.0,2.168997986728854,4.469289963582799
12.0,2.16804792020085,4.471865284674761
13.0,2.167105716980001,4.474426824089822
14.0,2.166171271894103,4.476974751242834
15.0,2.1652444818203285,4.479509232416166
16.0,2.164325245632677,4.482030430836876
17.0,2.1634134641510947,4.484538506751527
18.0,2.162509040092193,4.4870336174987
19.0,2.161611878021516,4.489515917579329
20.0,2.160721884307292,4.491985558724893
21.0,2.1598389670756157,4.49444268996358
22.0,2.1589630361670125,4.496887457684471
23.0,2.1580940030943268,4.499320005699829
24.0,2.1572317810018937,4.501740475305549
25.0,2.156376284625942,4.504149005339844
26.0,2.1555274302561886,4.5065457322402205
27.0,2.1546851356985757,4.50893079009881
28.0,2.1538493202391207,4.511304310716104
29.0,2.153019904608826,4.513666423653162
30.0,2.1521968109496243,4.516017256282325
31.0,2.151379962781313,4.5183569338365075
32.0,2.1505692849694493,4.520685579457095
33.0,2.1497647036941734,4.523003314240511
34.0,2.148966146419922,4.5253102572834845
35.0,2.1481735418660093,4.527606525727073
36.0,2.1473868199780384,4.529892234799471
37.0,2.1466059119001226,4.532167497857653
38.0,2.145830749947885,4.534432426427887
39.0,2.145061267582208,4.536687130245144
40.0,2.144297399383716,4.538931717291463
41.0,2.143539081027959,4.541166293833279
42.0,2.1427862492612775,4.543390964457763
43.0,2.142038841877326,4.545605832108206
44.0,2.141296797694236,4.547810998118462
45.0,2.1405600565323932,4.550006562246504
46.0,2.1398285591928117,4.5521926227070955
47.0,2.139102247436088,4.554369276203619
48.0,2.138381063961913,4.556536617959092
49.0,2.1376649523891262,4.55869474174638
50.0,2.136953857236293,4.560843739917645
51.0,2.1362477239027937,4.562983703433044
52.0,2.135546498650401,4.565114721888711
53.0,2.134850128585338,4.567236883544026
54.0,2.134158561640796,4.569350275348212
55.0,2.133471746559902,4.571454982966269
56.0,2.1327896328791214,4.573551090804268
57.0,2.132112170912079,4.57563868203402
58.0,2.131439311733793,4.5777178386171435
59.0,2.1307710071653014,4.57978864132855
60.0,2.130107209758676,4.581851169779352
61.0,2.1294478727824058,4.583905502439228
62.0,2.128792950207146,4.585951716658243
63.0,2.128142396691817,4.5879898886881545
64.0,2.1274961675700435,4.59002009370321
65.0,2.1268542188369244,4.5920424058204485
66.0,2.1262165071361268,4.594056898119534
67.0,2.125582989747288,4.596063642662117
68.0,2.124953624573726,4.598062710510743
69.0,2.1243283701304376,4.60005417174733
70.0,2.123707185532388,4.602038095491216
