t,H,L
0.0,2.18,4.44
1.0,2.178555668293176,4.443555256740605
2.0,2.1771279664406125,4.4470819589896085
3.0,2.1757165759142083,4.450580617668
4.0,2.1743211871731534,4.454051730007133
5.0,2.1729414993309786,4.457495780036563
6.0,2.17157721983783,4.460913239050267
7.0,2.170228064177138,4.46430456605238
8.0,2.16889375557591,4.467670208183528
9.0,2.1675740247279167,4.471010601128762
10.0,2.166268609529096,4.474326169508039
11.0,2.1649772548245334,4.477617327250149
12.0,2.1636997121664123,4.48088447795091
13.0,2.162435739582381,4.484128015216432
14.0,2.1611851013537917,4.487348322992197
15.0,2.159947567803321,4.490545775878639
16.0,2.1587229150914973,4.493720739433893
17.0,2.1575109250216906,4.496873570464347
18.0,2.156311384853152,4.500004617303553
19.0,2.1551240871217003,4.503114220080094
20.0,2.1539488294676916,4.506202710974892
21.0,2.152785414470917,4.509270414468479
22.0,2.1516336494920973,4.5123176475786835
23.0,2.150493346520664,4.5153447200891845
24.0,2.1493643220285263,4.518351934769351
25.0,2.148246396829548,4.521339587585755
26.0,2.147139395944469,4.524307967905752
27.0,2.146043148471018,4.52725735869346
28.0,2.1449574874589845,4.530188036698502
29.0,2.1438822497900207,4.533100272637813
30.0,2.142817276061961,4.535994331370822
31.0,2.1417624104774595,4.538870472068296
32.0,2.140717500736754,4.541728948375124
33.0,2.139682397934371,4.544570008567295
34.0,2.138656956459604,4.547393895703318
35.0,2.1376410339006005,4.550200847770331
36.0,2.1366344909518973,4.552991097825093
37.0,2.1356371913252667,4.555764874130115
38.0,2.1346490016637207,4.558522400285086
39.0,2.13366979145855,4.561263895353823
40.0,2.132699432969265,4.563989573986909
41.0,2.1317378011463206,4.566699646540193
42.0,2.1307847735565084,4.569394319189335
43.0,2.1298402303109083,4.572073794040537
44.0,2.1289040539952926,4.574738269237613
45.0,2.1279761296028865,4.5773879390655585
46.0,2.127056344469388,4.580022994050738
47.0,2.126144588210157,4.58264362105783
48.0,2.1252407526594888,4.585250003383656
49.0,2.1243447318118878,4.587842320848013
50.0,2.1234564217652654,4.590420749881621
51.0,2.122575720665986,4.592985463611297
52.0,2.1217025286556876,4.595536631942463
53.0,2.120836747819813,4.598074421639079
54.0,2.119978282137782,4.600598996401109
55.0,2.1191270374347457,4.603110516939599
56.0,2.1182829213348606,4.605609141049465
57.0,2.1174458432160277,4.608095023680071
58.0,2.116615714166039,4.61056831700367
59.0,2.1157924469400844,4.613029170481802
60.0,2.1149759559195616,4.615477730929703
61.0,2.114166157072149,4.617914142578809
62.0,2.11336296791309,4.620338547137421
63.0,2.1125663074676475,4.622751083849588
64.0,2.1117760962346863,4.625151889552277
65.0,2.1109922561513423,4.627541098730895
66.0,2.1102147105587408,4.629918843573204
67.0,2.109443384168726,4.6322852540217
68.0,2.1086782030315656,4.634640457824498
69.0,2.1079190945046014,4.636984580584786
70.0,2.107165987221803,4.639317745808875
71.0,2.106418811064206,4.6416400749529245
72.0,2.1056774971311927,4.643951687468348
73.0,2.1049419777125937,4.6462527008459835
74.0,2.1042121862615826,4.6485432306590315
75.0,2.10348805736833,4.650823390604836
76.0,2.1027695267344026,4.6530932925455195
77.0,2.1020565311478707,4.655353046547519
78.0,2.1013490084591093,4.657602760920065
79.0,2.1006468975572656,4.659842542252632
80.0,2.099950138347373,4.662072495451382
81.0,2.0992586717280872,4.664292723774658
82.0,2.0985724395700305,4.666503328867532
83.0,2.0978913846947176,4.668704410795459
84.0,2.0972154508540486,4.670896068077048
85.0,2.096544582710349,4.673078397715985
86.0,2.095878725816942,4.675251495232136
87.0,2.095217826599232,4.677415454691851
88.0,2.0945618323362876,4.679570368737501
89.0,2.0939106911429044,4.681716328616252
90.0,2.0932643519521372,4.683853424208132
91.0,2.0926227644982824,4.685981744053374
92.0,2.0919858793003,4.688101375379096
93.0,2.0913536476456596,4.690212404125298
94.0,2.0907260215746,4.692314914970233
95.0,2.0901029538647875,4.6944089913551394
96.0,2.0894843980163604,4.696494715508384
97.0,2.088870308237351,4.698572168468999
98.0,2.088260639429472,4.700641430109666
99.0,2.087655347174254,4.702702579159132
100.0,2.0870543877195313,4.704755693224091
101.0,2.086457717966255,4.706800848810551
102.0,2.0858652954556343,4.708838121344682
103.0,2.085277078356587,4.710867585193175
104.0,2.084693025453499,4.7128893136831245
105.0,2.0841130961342773,4.714903379121441
106.0,2.0835372503786913,4.7169098528138145
107.0,2.0829654487469917,4.718908805083233
108.0,2.0823976523688037,4.720900305288079
109.0,2.0818338229322797,4.7228844218398045
110.0,2.081273922673511,4.724861222220206
111.0,2.080717914366188,4.726830772998304
112.0,2.0801657613115014,4.728793139846836
113.0,2.079617427328278,4.730748387558386
114.0,2.0790728767433473,4.732696580061142
115.0,2.0785320743821276,4.73463778043431
