t,H,L
0.0,2.18,4.44
1.0,2.178755030912951,4.443556393802226
2.0,2.1775250819619942,4.447086469009326
3.0,2.176309870221037,4.450590679675054
4.0,2.1751091204659114,4.454069468096047
5.0,2.173922564899081,4.457523265216324
6.0,2.1727499428864907,4.460952491014472
7.0,2.1715910007059303,4.4643575548744145
8.0,2.1704454913063116,4.467738855940569
9.0,2.1693131740772977,4.47109678345821
10.0,2.168193814628753,4.474431717099747
11.0,2.1670871845795223,4.477744027277625
12.0,2.165993061355068,4.481034075444501
13.0,2.1649112279935214,4.484302214381303
14.0,2.16384147295974,4.487548788473781
15.0,2.1627835899669687,4.490774133978062
16.0,2.161737377805746,4.4939785792757645
17.0,2.160702640179697,4.497162445119147
18.0,2.1596791855478905,4.50032604486675
19.0,2.1586668269734433,4.503469684709983
20.0,2.1576653819780813,4.50659366389107
21.0,2.156674672402379,4.5096982749127354
22.0,2.155694524271409,4.5127838037400245
23.0,2.1547247676655625,4.515850529994587
24.0,2.1537652365962927,4.5188987271417815
25.0,2.1528157688865677,4.521928662670899
26.0,2.1518762060558148,4.524940598268826
27.0,2.15094639320916,4.527934789987417
28.0,2.1500261789307697,4.530911488404851
29.0,2.1491154151811123,4.533870938781246
30.0,2.148213957197975,4.536813381208748
31.0,2.1473216634010637,4.5397390507563555
32.0,2.1464383953000405,4.542648177609685
33.0,2.1455640174058455,4.5455409872058885
34.0,2.144698397145165,4.548417700363934
35.0,2.1438414047779184,4.551278533410428
36.0,2.142992913317625,4.554123698301171
37.0,2.142152798454547,4.556953402738613
38.0,2.1413209384814818,4.5597678502853745
39.0,2.1404972142220973,4.562567240473997
40.0,2.1396815089617123,4.565351768913065
41.0,2.1388737083804155,4.568121627389849
42.0,2.138073700488433,4.570877003969595
43.0,2.1372813755636546,4.573618083091607
44.0,2.1364966260912315,4.576345045662238
45.0,2.135719346705165,4.579058069144905
46.0,2.1349494341318067,4.581757327647243
47.0,2.1341867871351976,4.5844429920055205
48.0,2.133431306464175,4.587115229866397
49.0,2.132682894801175,4.589774205766139
50.0,2.131941456712674,4.59242008120738
51.0,2.131206898601198,4.595053014733528
52.0,2.1304791286588456,4.597673162000884
53.0,2.1297580568222685,4.600280675848582
54.0,2.129043594729053,4.602875706366411
55.0,2.1283356556754502,4.6054584009606
56.0,2.1276341545754076,4.6080289044176475
57.0,2.1269390079208526,4.6105873589662485
58.0,2.126250133743183,4.613133904337404
59.0,2.1255674515759213,4.6156686778227645
60.0,2.1248908824184904,4.61819181433128
61.0,2.124220348701069,4.620703446444202
62.0,2.1235557742504936,4.623203704468508
63.0,2.1228970842571626,4.625692716488792
64.0,2.122244205242915,4.628170608417685
65.0,2.1215970650298424,4.630637504044846
66.0,2.1209555927100094,4.633093525084569
67.0,2.1203197186160434,4.6355387912220705
68.0,2.11968937429257,4.637973420158478
69.0,2.1190644924684623,4.640397527654582
70.0,2.118445007029876,4.6428112275733815
71.0,2.117830852994048,4.6452146319214656
72.0,2.117221966483824,4.647607850889271
73.0,2.1166182847029025,4.649990992890251
74.0,2.116019745911762,4.652364164598989
75.0,2.115426289404252,4.654727470988293
76.0,2.1148378554848284,4.6570810153653035
77.0,2.1142543854464075,4.659424899406646
78.0,2.113675821548823,4.6617592231926555
79.0,2.113102106997863,4.664084085240709
80.0,2.1125331859248724,4.666399582537685
81.0,2.1119690033668967,4.668705810571588
82.0,2.111409505247357,4.67100286336235
83.0,2.110854638357232,4.67329083349185
84.0,2.1103043503367394,4.675569812133162
85.0,2.1097585896574915,4.677839889079062
86.0,2.10921730560512,4.6801011527698195
87.0,2.1086804482623474,4.682353690320287
88.0,2.1081479684924957,4.6845975875463095
89.0,2.107619817923419,4.686832928990485
90.0,2.107095948931842,4.689059797947282
91.0,2.1065763146281027,4.691278276487539
92.0,2.1060608688412716,4.693488445482368
93.0,2.1055495661046537,4.695690384626469
94.0,2.1050423616416456,4.6978841724608875
95.0,2.1045392113519497,4.700069886395212
96.0,2.104040071798126,4.7022476027292495
97.0,2.1035449001924786,4.704417396674173
98.0,2.1030536543842606,4.706579342373173
99.0,2.102566292847193,4.708733512921619
100.0,2.1020827746672865,4.710879980386741
101.0,2.101603059530957,4.7130188158268576
102.0,2.1011271077134275,4.715150089310148
103.0,2.1006548800674083,4.717273869932993
104.0,2.100186338012046,4.719390225837888
105.0,2.0997214435221325,4.721499224230947
106.0,2.0992601591175752,4.723600931399009
107.0,2.098802447853107,4.725695412726341
108.0,2.098348273308242,4.727782732710979
109.0,2.0978975995774625,4.729862954980691
110.0,2.0974503912606353,4.731936142308576
111.0,2.0970066134536482,4.734002356628328
112.0,2.0965662317392613,4.736061659049147
113.0,2.096129212178167,4.7381141098703266
114.0,2.095695521300255,4.740159768595514
115.0,2.095265126096075,4.742198693946663
116.0,2.0948379940084894,4.744230943877677
117.0,2.094414092924518,4.746256575587755
118.0,2.0939933911673596,4.748275645534449
119.0,2.093575857488597,4.75028820944644
120.0,2.09316146106057,4.7522943223360405
121.0,2.092750171468919,4.754294038511424
122.0,2.0923419587052923,4.7562874115886
123.0,2.091936793160212,4.75827449450313
124.0,2.0915346456160973,4.760255339521599
125.0,2.0911354872404355,4.762229998252845
126.0,2.0907392895791053,4.764198521658953
127.0,2.0903460245498398,4.766160960066017
128.0,2.089955664435831,4.768117363174683
129.0,2.089568181879471,4.770067780070472
130.0,2.0891835498762243,4.772012259233888
131.0,2.088801741768633,4.773950848550319
132.0,2.088422731240445,4.775883595319742
133.0,2.0880464923108675,4.777810546266221
134.0,2.0876729993289382,4.7797317475472205
135.0,2.0873022269680175,4.781647244762724
136.0,2.08693415022039,4.783557082964178
137.0,2.0865687443919816,4.785461306663245
138.0,2.0862059850971812,4.787359959840393
139.0,2.085845848253773,4.789253085953313
140.0,2.085488310077968,4.79114072794516
141.0,2.0851333470795383,4.793022928252642
142.0,2.0847809360570495,4.794899728813952
143.0,2.084431054093189,4.796771171076532
144.0,2.0840836785501886,4.798637296004698
145.0,2.0837387870653377,4.800498144087115
146.0,2.083396357546586,4.80235375534412
147.0,2.083056368168234,4.804204169334916
148.0,2.082718797366708,4.806049425164619
149.0,2.082383623836418,4.807889561491171
150.0,2.082050826525698,4.80972461653213
151.0,2.0817203846328236,4.81155462807132
152.0,2.0813922776021094,4.813379633465364
153.0,2.0810664851200804,4.815199669650089
154.0,2.080742987111717,4.817014773146813
155.0,2.0804217637367737,4.818824980068517
156.0,2.080102795386167,4.820630326125899
157.0,2.079786062678432,4.822430846633316
158.0,2.0794715464562494,4.824226576514618
159.0,2.079159227783033,4.826017550308873
