t,H,L
0.0,2.18,4.44
1.0,2.178573610940049,4.44355535905919
2.0,2.177163558676538,4.447082363918699
3.0,2.1757695288648526,4.450581518642465
4.0,2.174391215995189,4.454053313835827
5.0,2.173028323066546,4.4574982271232875
6.0,2.171680561275567,4.46091672360519
7.0,2.1703476497194223,4.464309256294409
8.0,2.1690293151119833,4.467676266534099
9.0,2.1677252915125855,4.471018184397488
10.0,2.166435320066714,4.474335429070629
11.0,2.1651591487579904,4.477628409218974
12.0,2.1638965321708796,4.480897523338601
13.0,2.1626472312635614,4.484143160092835
14.0,2.161411013150454,4.487365698635022
15.0,2.160187650893902,4.490565508918098
16.0,2.1589769233045693,4.493742951991628
17.0,2.1577786147501046,4.496898380286904
18.0,2.1565925149716754,4.500032137890683
19.0,2.1554184189079817,4.503144560808095
20.0,2.1542561265263926,4.506235977215247
21.0,2.1531054426608587,4.509306707701989
22.0,2.1519661768562797,4.512357065505317
23.0,2.1508381432190236,4.515387356733826
24.0,2.149721160273304,4.518397880583635
25.0,2.1486150508231465,4.521388929546168
26.0,2.1475196418196862,4.524360789608158
27.0,2.146434764233548,4.527313740444215
28.0,2.1453602529320834,4.530248055602298
29.0,2.1442959465612383,4.533164002682404
30.0,2.143241687431852,4.536061843508753
31.0,2.142197321410181,4.538941834295774
32.0,2.1411626978124687,4.541804225808148
33.0,2.1401376693033782,4.544649263515157
34.0,2.1391220917981233,4.54747718773959
35.0,2.1381158243681355,4.550288233801435
36.0,2.1371187291501164,4.553082632156569
37.0,2.1361306712583294,4.555860608530655
38.0,2.1351515186999976,4.558622384048453
39.0,2.134181142293671,4.5613681753587185
40.0,2.1332194155904447,4.564098194754881
41.0,2.132266214797907,4.566812650291665
42.0,2.131321418706705,4.569511745897818
43.0,2.1303849086196225,4.572195681485106
44.0,2.1294565682830635,4.574864653053719
45.0,2.1285362838208504,4.577518852794225
46.0,2.12762394367024,4.580158469186214
47.0,2.126719438520069,4.582783687093762
48.0,2.125822661250946,4.585394687857827
49.0,2.124933506877409,4.587991649385702
50.0,2.1240518724919717,4.590574746237646
51.0,2.1231776572109857,4.593144149710776
52.0,2.1223107621222463,4.595700027920347
53.0,2.121451090234278,4.598242545878503
54.0,2.120598546427234,4.600771865570603
55.0,2.11975303740535,4.603288146029196
56.0,2.118914471650891,4.605791543405754
57.0,2.118082759379538,4.6082822110402235
58.0,2.1172578124971606,4.610760299528485
59.0,2.1164395445579225,4.613225956787793
60.0,2.115627870723674,4.615679328120276
61.0,2.1148227077245814,4.618120556274548
62.0,2.114023973820951,4.62054978150552
63.0,2.113231588766202,4.622967141632458
64.0,2.1124454737709497,4.625372772095354
65.0,2.111665551468158,4.627766806009681
66.0,2.1108917458793246,4.630149374219554
67.0,2.1101239823816575,4.632520605349403
68.0,2.1093621876762185,4.6348806258541515
69.0,2.1086062897569873,4.637229560068001
70.0,2.1078562178808258,4.639567530251836
71.0,2.107111902538302,4.641894656639308
72.0,2.106373275425352,4.644211057481646
73.0,2.1056402694157454,4.6465168490912285
74.0,2.104912818534332,4.648812145883959
75.0,2.104190857931039,4.651097060420487
76.0,2.1034743238555973,4.653371703446315
77.0,2.102763153632968,4.655636183930817
78.0,2.1020572856394537,4.6578906091052135
79.0,2.1013566592794626,4.660135084499536
80.0,2.1006612149629103,4.662369713978604
81.0,2.099970894083238,4.664594599777063
82.0,2.0992856389960246,4.666809842533487
83.0,2.0986053929981745,4.669015541323608
84.0,2.0979301003076647,4.671211793692668
85.0,2.0972597060438294,4.6733986956869416
86.0,2.09659415620817,4.675576341884452
87.0,2.0959333976656698,4.677744825424891
88.0,2.0952773781265974,4.679904238038787
89.0,2.0946260461287887,4.682054670075933
90.0,2.093979351020386,4.684196210533094
91.0,2.0933372429430257,4.686328947081025
92.0,2.092699672815455,4.688452966090815
93.0,2.09206659231757,4.690568352659578
94.0,2.091437953874861,4.692675190635506
95.0,2.0908137106432467,4.694773562642313
96.0,2.090193816494298,4.696863550103077
97.0,2.0895782260008264,4.698945233263506
98.0,2.088966894422833,4.701018691214638
99.0,2.088359777693808,4.703084001914994
100.0,2.08775683240737,4.705141242212208
101.0,2.087158015804228,4.70719048786413
102.0,2.0865632857594694,4.709231813559438
103.0,2.0859726007701513,4.7112652929377585
104.0,2.085385919943199,4.713290998609311
105.0,2.0848032029835903,4.715309002174105
106.0,2.084224410182827,4.717319374240675
107.0,2.0836495024076815,4.719322184444393
108.0,2.0830784410892096,4.721317501465354
109.0,2.0825111882120244,4.72330539304585
