t,H,L
0.0,2.18,4.44
1.0,2.1779298645112615,4.444832162558915
2.0,2.1758921870075576,4.449607648707997
3.0,2.1738860779868094,4.454327899711803
4.0,2.171910683557907,4.458994301888573
5.0,2.1699651835743983,4.463608189386532
6.0,2.168048789888497,4.46817084678632
7.0,2.1661607447162456,4.472683511542501
8.0,2.1643003191054553,4.477147376275964
9.0,2.1624668114987897,4.481563590928055
10.0,2.160659546384997,4.4859332647863495
11.0,2.1588778730318947,4.490257468391151
12.0,2.1571211642952415,4.494537235331092
13.0,2.155388815498122,4.498773563935478
14.0,2.153680243375895,4.50296741887047
15.0,2.151994885082175,4.50711973264558
16.0,2.1503321972516556,4.511231407036494
17.0,2.148691655115937,4.51530331442974
18.0,2.1470727516687975,4.519336299094325
19.0,2.1454749968776423,4.523331178385043
20.0,2.1438979169380983,4.527288743881845
21.0,2.142341053568961,4.531209762469303
22.0,2.1408039633449034,4.535094977359922
23.0,2.139286217064554,4.538945109064777
24.0,2.137787399151717,4.542760856314714
25.0,2.1363071070876782,4.546542896935094
26.0,2.134844950872685,4.550291888676895
27.0,2.1334005525148187,4.554008470006747
28.0,2.1319735455446107,4.557693260858325
29.0,2.130563574553864,4.561346863347356
30.0,2.1291702947572504,4.564969862452333
31.0,2.1277933715753465,4.568562826662903
32.0,2.1264324802378667,4.572126308597748
33.0,2.1250873054059336,4.575660845593685
34.0,2.123757540812302,4.579166960267568
35.0,2.122442888918522,4.582645161052505
36.0,2.1211430605880977,4.586095942709769
37.0,2.1198577747747565,4.589519786817744
38.0,2.1185867582249953,4.592917162239107
39.0,2.1173297451941333,4.59628852556742
40.0,2.1160864771751413,4.599634321554209
41.0,2.114856702639563,4.6029549835175425
42.0,2.1136401767898922,4.606250933733074
43.0,2.1124366613228025,4.60952258380844
44.0,2.111245924202664,4.6127703350418585
45.0,2.110067739444818,4.615994578765728
46.0,2.1089018869081113,4.619195696675976
47.0,2.107748152096215,4.622374061147851
48.0,2.106606325967296,4.625530035538843
49.0,2.105476204751613,4.628663974479342
50.0,2.1043575897766527,4.631776224151632
51.0,2.1032502872994345,4.634867122557786
52.0,2.1021541083456317,4.63793699977698
53.0,2.101068868555184,4.640986178212727
54.0,2.0999943880340872,4.644014972830508
55.0,2.09893049121207,4.647023691386238
56.0,2.0978770067058727,4.650012634645993
57.0,2.096833767187877,4.652982096597397
58.0,2.0958006092598276,4.655932364653048
59.0,2.094777373331417,4.658863719846334
60.0,2.0937639035035085,4.661776437019991
61.0,2.0927600474557884,4.664670785007714
62.0,2.091765656338647,4.667547026809133
