t,H,L
0.0,2.2236,4.0548
1.0,2.2214839713386922,4.059210160332959
2.0,2.2193989927491793,4.063572330876662
3.0,2.2173442687849234,4.067887645593445
4.0,2.215319033720943,4.072157198277536
5.0,2.213322550100708,4.076382044441679
6.0,2.2113541073704326,4.080563203093858
7.0,2.209413020594547,4.084701658411743
8.0,2.20749862924664,4.088798361321857
9.0,2.2056102960706268,4.092854230989913
10.0,2.2037474060073166,4.096870156228268
11.0,2.2019093651819346,4.100846996825968
12.0,2.2000955999485012,4.104785584806471
13.0,2.198305555987292,4.108686725617705
14.0,2.196538697451885,4.112551199258807
15.0,2.1947945061625718,4.116379761347552
16.0,2.1930724808431465,4.120173144132191
17.0,2.191372136398313,4.12393205745113
18.0,2.1896930032291464,4.127657189643678
19.0,2.188034626584239,4.131349208414806
20.0,2.1863965659443245,4.135008761656709
21.0,2.184778394438332,4.1386364782297225
22.0,2.1831796982889755,4.142232968704996
23.0,2.1816000762861005,4.145798826071159
24.0,2.180039139286146,4.149334626407049
25.0,2.1784906378212057,4.152852123928066
26.0,2.176943588799082,4.156372188420748
27.0,2.1753972993610646,4.159896143509068
28.0,2.1738516171987454,4.163424285796337
29.0,2.172306387443676,4.166956918663697
30.0,2.17076145249941,4.1704943526410085
31.0,2.1692166518644758,4.174036905798972
32.0,2.167671821945566,4.177584904164105
33.0,2.1661267958601735,4.181138682158346
34.0,2.1645814032278223,4.184698583065214
35.0,2.1630354699489787,4.1882649595246315
36.0,2.1614888179706293,4.191838174058706
37.0,2.15994126503743,4.195418599630995
38.0,2.1583926244272136,4.199006620242014
39.0,2.1568427046695344,4.202602631564019
40.0,2.155291309245795,4.206207041618386
41.0,2.15373823626935,4.209820271499268
42.0,2.1521832781438297,4.213442756147549
43.0,2.1506262211977267,4.217074945179566
44.0,2.1490668452931025,4.220717303775531
45.0,2.1475049234060224,4.2243703136330915
46.0,2.1459402211760805,4.228034473992107
47.0,2.1443724964220783,4.231710302737349
48.0,2.142801498620585,4.235398337586609
49.0,2.1412269683437426,4.239099137372575
50.0,2.1396486366522365,4.24281328342777
51.0,2.138066224438889,4.246541381083011
52.0,2.136479753348436,4.250283441328931
53.0,2.1349024779673695,4.254013105297789
54.0,2.133344770989136,4.257709591199294
55.0,2.131806217301687,4.261373549472404
56.0,2.130286414656436,4.265005611409183
57.0,2.12878497314538,4.26860638990358
58.0,2.1273015147044183,4.2721764801638225
59.0,2.1258356726413314,4.2757164603905276
60.0,2.1243870911869527,4.279226892422499
61.0,2.122955425068191,4.282708322352042
62.0,2.121540339101641,4.286161281111517
63.0,2.120141507806602,4.2895862850327235
64.0,2.118758615036409,4.292983836380632
65.0,2.1173913536270472,4.2963544238628435
66.0,2.1160394250620866,4.299698523116117
67.0,2.114702539153043,4.3030165971711725
68.0,2.1133804137343164,4.306309096896945
69.0,2.112072774371925,4.309576461425364
70.0,2.110779354085288,4.312819118557675
71.0,2.109499893081367,4.316037485153261
72.0,2.1082341385005163,4.319231967501875
73.0,2.106981844173425,4.322402961680105
74.0,2.1057427703885834,4.325550853892884
75.0,2.1045166836697233,4.328676020800797
76.0,2.103303356562736,4.331778829833874
77.0,2.1021025674315794,4.334859639492549
78.0,2.100914100262727,4.3379187996364035
79.0,2.099737744477737,4.3409566517612905
80.0,2.098573294753539,4.343973529265394
81.0,2.097420550850059,4.346969757704756
82.0,2.0962793174448304,4.34994565503876
83.0,2.0951494039742538,4.352901531866051
84.0,2.094030624481186,4.355837691651331
85.0,2.092922797468563,4.358754430943459
86.0,2.091825745758767,4.361652039585239
87.0,2.0907392963584748,4.364530800915295
88.0,2.089663280328734,4.367390991962365
89.0,2.0885975326600206,4.370232883632376
90.0,2.08754189215206,4.373056740888609
91.0,2.0864962012981882,4.37586282292526
92.0,2.085460306174053,4.378651383334684
93.0,2.084434056330461,4.381422670268604
94.0,2.083417304690187,4.384176926593541
95.0,2.0824099074485716,4.386914390040706
96.0,2.0814117239777405,4.389635293350606
97.0,2.080422616734292,4.392339864412564
98.0,2.0794424511702996,4.395028326399391
99.0,2.0784710956474903,4.397700897897389
100.0,2.0775084213544632,4.4003577930319
101.0,2.076554302226821,4.402999221588563
102.0,2.075608614870093,4.405625389130466
103.0,2.0746712384853305,4.4082364971113615
104.0,2.0737420547972705,4.4108327429850895
105.0,2.0728209479849533,4.413414320311378
106.0,2.071907804614706,4.41598141885815
107.0,2.0710025135753836,4.418534224700483
108.0,2.0701049660157866,4.421072920316345
109.0,2.0692150552841655,4.423597684679241
110.0,2.068332676869725,4.426108693347886
111.0,2.0674577283460565,4.428606118553008
112.0,2.0665901093164183,4.431090129281412
113.0,2.0657297213607944,4.433560891357391
114.0,2.0648764679846594,4.436018567521586
115.0,2.0640302545693894,4.4384633175074
116.0,2.0631909883242523,4.440895298115052
117.0,2.0623585782399183,4.4433146632833465
118.0,2.0615329350434335,4.445721564159267
119.0,2.0607139711546036,4.448116149165449
120.0,2.059901600643731,4.450498564065623
121.0,2.059095739190661,4.452868952028099
122.0,2.0582963040450815,4.4552274536873515
123.0,2.0575032139880407,4.4575742072037965
124.0,2.056716389294627,4.459909348321796
125.0,2.0559357516977768,4.462233010425974
126.0,2.055161224353169,4.4645453245958935
127.0,2.054392731805164,4.46684641965915
