t,H,L,aH,aL
0.0,2.18,4.44,2.3,4.7
1.0,2.172428372284229,4.4560891204606765,2.2883165740089586,4.73063435273138
2.0,2.165332241770137,4.471310699378371,2.281817045991319,4.7445750560499125
3.0,2.158655961330115,4.4857616418048485,2.275657377324948,4.757906170606346
4.0,2.152353212174856,4.499523045581407,2.2698026779771614,4.770686564499197
5.0,2.1463850151358246,4.512663509760071,2.26422345019042,4.782966351207146
6.0,2.1407182475741853,4.525241613128501,2.2588944852342028,4.794788632731747
7.0,2.1353245185910987,4.537307802148641,2.253794037829623,4.806190812858607
8.0,2.1301793031049416,4.5489058504701045,2.248903196272143,4.817205605455614
9.0,2.1252612662135157,4.560074002291194,2.2442053937385973,4.827861821403898
10.0,2.1205517296138563,4.5708458788087984,2.239686023535551,4.838184991612001
11.0,2.1160342455699106,4.5812512046599085,2.2353321322406456,4.848197866520418
12.0,2.1116942533421947,4.591316395859843,2.2311321721386674,4.857920821100073
13.0,2.107518799581096,4.601065039944058,2.227075799428652,4.867372186540941
14.0,2.103496308863713,4.610518291327908,2.2231537082069965,4.8765685243716135
15.0,2.099616393924836,4.619695199339384,2.2193574927308495,4.885524854868545
16.0,2.0958696975937103,4.62861298230894,2.215679532265833,4.89425484880574
17.0,2.092247760267183,4.63728725808304,2.212112894137845,4.902770989534249
18.0,2.0887429081095035,4.645732239066309,2.208651251583523,4.911084710847054
19.0,2.085348158196095,4.65396089818404,2.205288813725413,4.9192065149297886
20.0,2.0820571376019994,4.661985110846727,2.2020202655528545,4.927146073817719
21.0,2.0788640140386616,4.669815776987301,2.1988407162151953,4.934912317102325
22.0,2.0757634361108077,4.677462926454996,2.1957456542634217,4.942513508104657
23.0,2.0727504816313806,4.684935810432682,2.192730908733681,4.949957310320249
24.0,2.0698206127212377,4.69224298105689,2.1897926151688902,4.957250845614505
25.0,2.066969636649469,4.699392361031726,2.186927185835544,4.9644007453879855
26.0,2.064193671553379,4.706391304717155,2.1841312835215083,4.9714131957228656
27.0,2.0614891163244216,4.713246651921648,2.1814017984041034,4.9782939773538875
28.0,2.0588526240655103,4.71996477542621,2.1787358275616895,4.985048501170577
29.0,2.05628107862202,4.726551623101285,2.176130656770314,4.991681839846036
30.0,2.0537715737680178,4.733012755342461,2.173583744282965,4.998198756095893
31.0,2.051321394694394,4.739353378439223,2.1710927063351466,5.004603727995382
32.0,2.0489280014992968,4.745578374398584,2.168655304158657,5.010900971719623
33.0,2.046589014425922,4.751692327668659,2.166269432317249,5.017094462019809
34.0,2.0443022006298275,4.757699549143097,2.1639331082043785,5.023187950704119
35.0,2.042065462289059,4.7636040977736,2.161644462565551,5.029184983355218
36.0,2.039876825896467,4.769409800072494,2.159401730926517,5.03508891448507
37.0,2.0377344325956144,4.775120267749156,2.1572032458244723,5.040902921301313
38.0,2.0356365294403096,4.780738913691716,2.15504742975288,5.046630016236977
39.0,2.033581461473593,4.7862689664779206,2.1529327887420164,5.0522730583761035
40.0,2.0315676645355056,4.791713483575525,2.150857906507169,5.05783476389138
41.0,2.029593658720464,4.797075363372499,2.1488214391048186,5.06331771559576
42.0,2.0276580424149446,4.802357356160008,2.1468221100443876,5.0687243716978525
43.0,2.025759486854674,4.8075620741762926,2.144858705809385,5.07405707384032
44.0,2.023896731147821,4.812692000806694,2.1429300717471733,5.079318054491388
45.0,2.0220685777170395,4.817749499023944,2.141035108291291,5.084509443751637
46.0,2.0202738881186773,4.822736819143204,2.1391727674843213,5.089633275631316
47.0,2.018511579202237,4.827656105957877,2.137342049772877,5.094691493847355
48.0,2.0167806195773377,4.83250940531493,2.1355420010493615,5.099685957184009
49.0,2.0150800263590383,4.837298670181999,2.1337717099179203,5.104618444456325
50.0,2.01340886216557,4.8420257662529655,2.132030305164339,5.109490659111625
51.0,2.0117662323453045,4.846692477133701,2.130316953411823,5.1143042335005475
52.0,2.0101512824122323,4.851300509145379,2.12863085694638,5.1190607328459725
53.0,2.008563195671388,4.855851495778864,2.1269712516972166,5.123761658935406
54.0,2.0070011910175505,4.860347001830322,2.125337405358998,5.128408453559823
55.0,2.005464520892248,4.864788527245195,2.1237286156441044,5.133002501719802
56.0,2.0039524693855664,4.86917751069499,2.1221442086541784,5.137545134617746
57.0,2.0024643504706074,4.8735153329089815,2.1205835373612683,5.142037632453283
58.0,2.000999506359603,4.8778033197808215,2.1190459801897807,5.146481227037303
59.0,1.9995573059717453,4.882042745268143,2.117530939691287,5.150877104238698
60.0,1.9981371435037367,4.886234834101586,2.1160378413049408,5.155226406276632
61.0,1.9967384370948849,4.890380764318164,2.114566132196912,5.15953023386996
62.0,1.9953606275793287,4.894481669632513,2.1131152801728517,5.163789648254494
63.0,1.9940031773186544,4.8985386416584085,2.1116847726579087,5.168005673077781
64.0,1.9926655691087396,4.902552731991788,2.110274115739301,5.172179296180334
65.0,1.9913473051552435,4.90652495416558,2.108882833266872,5.1763114712714176
66.0,1.9900479061126168,4.910456285485731,2.1075104660074526,5.180403119506885
67.0,1.988766910181956,4.91434766875704,2.1061565708491896,5.1844551309758895
68.0,1.987503872263429,4.918200013906683,2.1048207200523277,5.18846836610279
69.0,1.986258363159348,4.922014199512647,2.103502500543207,5.192443656970013
70.0,1.9850299688242976,4.925791074243737,2.10220151324852,5.196381808567233
71.0,1.983818289659024,4.929531458217219,2.1009173724670775,5.200283599971748
72.0,1.982622939845038,4.933236144279757,2.0996497052765735,5.204149785464616
73.0,1.981443546717158,4.936905899216783,2.098398150973022,5.207981095586724
74.0,1.9802797501714149,4.940541464895081,2.09716236054073,5.2117782381386375
75.0,1.9791312021059495,4.9441435593429865,2.0959419961508106,5.2155418991278575
76.0,1.977997565892728,4.947712877772258,2.094736730686413,5.219272743666753
77.0,1.9768785158780384,4.951250093545386,2.0935462472929767,5.222971416824262
78.0,1.975773736909928,4.954755859091808,2.0923702389519274,5.226638544434213
79.0,1.9746829238908312,4.958230806776261,2.091208408076366,5.230274733862906
80.0,1.9736057813538084,4.961675549722243,2.0900604661273965,5.233880574738412
81.0,1.9725420230609052,4.965090682593363,2.088926133249836,5.23745663964387
82.0,1.971491371622264,4.968476782335147,2.0878051379261375,5.241003484776925
83.0,1.970453558134708,4.971834408879688,2.086697216647446,5.2445216505772745
84.0,1.969428321838616,4.975164105815369,2.0856021136007694,5.248011662324171
85.0,1.9684154097919937,4.9784664010237165,2.0845195803713312,5.251474030705604
86.0,1.9674145765607007,4.981741807285313,2.083449375659216,5.25490925236078
87.0,1.9664255839238969,4.984990822856576,2.0823912650094987,5.258317810397373
88.0,1.9654482005938076,4.988213932019056,2.0813450205550885,5.261700174884984
89.0,1.9644822019489867,4.991411605602839,2.0803104207715744,5.265056803326095
90.0,1.963527369780298,4.994584301485493,2.079287250243399,5.2683881411057545
91.0,1.962583492048897,4.997732465067937,2.0782752994407483,5.271694621921154
92.0,1.9616503626555375,5.000856529728503,2.077274364506557,5.274976668192157
93.0,1.9607277812205732,5.003956917256382,2.0762842470530947,5.2782346914538
94.0,1.9598155528740608,5.00703403826558,2.075304753967612,5.281469092731718
95.0,1.958913488055416,5.010088292590427,2.0743356972265667,5.284680262901371
96.0,1.958021402322106,5.013120069663616,2.07337689371798,5.287868583031927
97.0,1.9571391161668867,5.016129748877706,2.0724281650714955,5.291034424715569
98.0,1.9562664548431377,5.019117699930946,2.071489337495746,5.294178150382982
99.0,1.955403248197864,5.022084283158231,2.070560241622651,5.297300113605693
100.0,1.9545493305119623,5.025029849847965,2.06964071235829,5.300400659385947
101.0,1.9537045403473827,5.027954742545536,2.0687305887400274,5.303480124434719
102.0,1.9528687204008195,5.03085929534408,2.0678297137995703,5.30653883743844
103.0,1.952041717363611,5.03374383416319,2.0669379344316665,5.309577119315001
104.0,1.9512233817875275,5.036608677016137,2.0660551012681667,5.312595283459535
105.0,1.9504135679561525,5.03945413426619,2.06518106855719,5.315593635980477
106.0,1.9496121337615848,5.042280508872572,2.0643156940471425,5.318572475926358
107.0,1.948818940586193,5.045088096626527,2.06345883887536,5.321532095503783
108.0,1.9480338531891812,5.047877186378,2.0626103674611542,5.324472780286961
109.0,1.9472567395977256,5.050648060253365,2.0617701474030565,5.327394809419246
110.0,1.946487471002472,5.053400993864623,2.060938049380051,5.330298455806988
111.0,1.9457259216571785,5.05613625651047,2.0601139470566316,5.333183986306093
112.0,1.9449719687823084,5.058854111369626,2.0592977169914937,5.336051661901592
113.0,1.944225492472395,5.061554815686751,2.058489238549689,5.338901737880553
114.0,1.943486375606991,5.064238620951327,2.0576883938181085,5.341734463998612
115.0,1.942754503765046,5.066905773069794,2.0568950675241156,5.344550084640427
116.0,1.942029765142553,5.069556512531256,2.0561091469572093,5.347348838974294
117.0,1.9413120504733132,5.072191074567047,2.0553305218935782,5.350130961101216
118.0,1.9406012529526775,5.074809689304424,2.054559084523414,5.352896680198623
119.0,1.939897268164137,5.077412581914649,2.05379472938086,5.355646220659004
120.0,1.9391999940086289,5.079999972755699,2.0530373532765003,5.3583798022236495
121.0,1.938509330636442,5.082572077509853,2.0522868552322513,5.3610976401117245
122.0,1.937825180381608,5.085129107316351,2.0515431364185797,5.363799945144848
123.0,1.9371474476986672,5.087671268899363,2.05080610009393,5.366486923867397
124.0,1.9364760391017095,5.090198764691445,2.050075651546277,5.369158778662672
125.0,1.9358108631055928,5.09271179295269,2.0493516980367126,5.37181570786513
126.0,1.935151830169241,5.095210547885734,2.048634148744982,5.374457905868823
127.0,1.934498852640945,5.097695219746814,2.047922914716888,5.3770855632322085
128.0,1.933851844705568,5.100165994953018,2.047217908813489,5.3796988667794645
129.0,1.9332107223335868,5.102623056185895,2.0465190456620177,5.382297999698459
130.0,1.932575403231892,5.105066582491569,2.0458262416084443,5.384883141635506
131.0,1.9319458067962645,5.107496749377504,2.0451394146716324,5.3874544687870305
132.0,1.931321854065478,5.10991372890605,2.04445848449901,5.39001215398826
133.0,1.9307034676769417,5.112317689784886,2.0437833723236976,5.392556366799068
134.0,1.930090571823837,5.114708797454513,2.0431140009230497,5.395087273587078
135.0,1.9294830922136796,5.117087214172883,2.0424502945785354,5.397605037608112
136.0,1.928880956028252,5.1194530990972895,2.041792179036919,5.400109819084129
137.0,1.9282840918848567,5.12180660836363,2.0411395814726836,5.402601775278692
138.0,1.9276924297988307,5.124147895163125,2.0404924304516574,5.4050810605701045
139.0,1.9271059011472789,5.126477109816612,2.039850655895788,5.407547826522279
140.0,1.9265244386339757,5.128794399846491,2.039214189049028,5.410002221953427
141.0,1.92594797625539,5.131099910046415,2.0385829624442886,5.412444393002647
142.0,1.9253764492677945,5.133393782548811,2.0379569098714168,5.414874483194503
143.0,1.9248097941554092,5.135676156890319,2.037335966346168,5.417292633501639
144.0,1.9242479485995536,5.137947170075203,2.0367200680801223,5.419698982405528
145.0,1.9236908514487552,5.140206956636845,2.0361091524515293,5.42209366595541
146.0,1.9231384426897884,5.142455648697356,2.035503157977028,5.424476817825483
147.0,1.9225906634196088,5.144693376025398,2.0349020242842277,5.4268485693704065
148.0,1.9220474558181424,5.146920266092264,2.034305692085099,5.429209049679189
149.0,1.921508763121909,5.1491364441263,2.033714103150168,5.431558385627503
150.0,1.9209745295984413,5.151342033165697,2.033127200283473,5.433896701928499
151.0,1.9204447005214744,5.153537154109747,2.032544927298248,5.436224121182135
152.0,1.919919222146876,5.155721925768585,2.031967228993333,5.438540763923128
153.0,1.9193980416892955,5.1578964649114925,2.0313940511302566,5.440846748667523
154.0,1.9188811072995025,5.160060886313801,2.0308253404109893,5.4431421919579535
155.0,1.9183683680423864,5.162215302802447,2.0302610444563354,5.445427208407629
156.0,1.9178597738756071,5.164359825300227,2.029701111784938,5.447701910743109
157.0,1.917355275628858,5.166494562868796,2.029145491792888,5.449966409845862
158.0,1.9168548249837325,5.1686196227504455,2.028594134733899,5.452220814792712
159.0,1.9163583744541648,5.1707351104087165,2.0280469917000516,5.454465232895151
160.0,1.9158658773674344,5.172841129567874,2.0275040146030645,5.456699769737584
161.0,1.915377287845704,5.174937782251286,2.026965156156094,5.458924529214548
162.0,1.91489256078808,5.177025168818744,2.02643036985603,5.461139613566918
163.0,1.914411651853179,5.179103388002761,2.0258996099662836,5.463345123417133
164.0,1.913934517442179,5.181172536943871,2.025372831500043,5.4655411578035045
165.0,1.9134611146823377,5.183232711224981,2.0248499902039807,5.4677278142136
166.0,1.9129914014109728,5.185284004904792,2.02433104254241,5.469905188616742
167.0,1.912525336159876,5.187326510550316,2.023815945681859,5.47207337549567
168.0,1.9120628781401527,5.189360319268537,2.0233046574760563,5.4742324678773615
169.0,1.9116039872274764,5.191385520737219,2.0227971364513277,5.476382557363058
170.0,1.9111486239477395,5.193402203234914,2.022293341792365,5.478523734157518
171.0,1.9106967494630889,5.195410453670168,2.0217932333283755,5.480656087097515
172.0,1.910248325558335,5.197410357609975,2.021296771519598,5.482779703679612
173.0,1.9098033146277216,5.199401999307485,2.0208039174441605,5.484894670087224
174.0,1.9093616796620472,5.201385461728999,2.0203146327852877,5.487001071217001
175.0,1.90892338423612,5.203360826580273,2.0198288798188315,5.489098990704545
176.0,1.908488392496548,5.205328174332137,2.019346621401124,5.491188510949483
177.0,1.90805666914984,5.20728758424548,2.01886782095714,5.49326971313992
178.0,1.9076281794508172,5.20923913439559,2.018392442468959,5.495342677276282
179.0,1.907202889191327,5.211182901695882,2.017920450464522,5.497407482194576
180.0,1.9067807646892372,5.213118961921041,2.0174518100066616,5.499464205589066
181.0,1.9063617727777196,5.215047389729575,2.016986486682419,5.501512924034424
182.0,1.905945880794797,5.216968258685821,2.0165244465926166,5.5035537130073084
183.0,1.9055330565731632,5.218881641281399,2.0160656563416914,5.50558664690745
184.0,1.9051232684302488,5.220787608956148,2.015610083027783,5.5076117990782185
185.0,1.9047164851585423,5.222686232118542,2.0151576942330554,5.509629241826695
186.0,1.904312676016148,5.224577580165613,2.014708458014265,5.5116390464432685
187.0,1.9039118107175776,5.226461721502401,2.0142623428935496,5.513641283220783
188.0,1.9035138594247716,5.22833872356092,2.0138193178494435,5.515636021473204
189.0,1.903118792738334,5.230208652818683,2.013379352308107,5.517623329553878
190.0,1.902726581688988,5.232071574816779,2.0129424161347673,5.5196032748733455
191.0,1.902337197729234,5.233927554177527,2.0125084796253625,5.521575923916744
192.0,1.9019506127252093,5.235776654621707,2.0120775134983795,5.523541342260819
193.0,1.901566798948745,5.237618938985389,2.011649488886891,5.525499594590529
194.0,1.901185729069612,5.239454469236375,2.0112243773307776,5.527450744715283
195.0,1.90080737614795,5.241283306490246,2.010802150769123,5.529394855584798
196.0,1.9004317136268785,5.243105511026049,2.010382781532801,5.531331989304602
197.0,1.9000587153252784,5.244921142301617,2.009966242337221,5.533262207151188
198.0,1.8996883554307469,5.24673025896854,2.009552506275247,5.535185569586822
199.0,1.8993206084927103,5.248532918886794,2.009141546810277,5.537102136274028
200.0,1.8989554494157077,5.250329179139035,1.9681004372194078,5.433983983728585
201.0,1.898592853452816,5.252119096044573,1.9677135523134646,5.43583803586075
202.0,1.8982327961992385,5.253902725173033,1.9673292835551799,5.437685647617872
203.0,1.8978752535860333,5.255680121357706,1.966947606495319,5.439526874287397
204.0,1.897520201873988,5.257451338708605,1.9665684970153887,5.441361770437883
205.0,1.89716761764763,5.2592164306252265,1.9661919313216998,5.443190389931531
206.0,1.8968174778093765,5.260975449809041,1.9658178859395647,5.445012785936431
207.0,1.896469759573813,5.262728448275694,1.9654463377076212,5.446829010938544
208.0,1.8961244404621007,5.264475477366954,1.965077263772283,5.448639116753433
209.0,1.895781498296509,5.266216587762389,1.9647106415823152,5.450443154537725
210.0,1.89544091119507,5.267951829490797,1.9643464488835243,5.452241174800346
211.0,1.895102657566348,5.2696812519413845,1.9639846637135663,5.454033227413505
212.0,1.894766716104327,5.271404903874709,1.96362526439687,5.45581936162344
213.0,1.894433065783412,5.273122833433383,1.9632682295396695,5.4575996260609525
214.0,1.894101685853532,5.274835088152552,1.9629135380251408,5.459374068751703
215.0,1.8937725558353595,5.276541714970154,1.9625611690086449,5.461142737126301
216.0,1.8934456555156227,5.278242760236951,1.9622111019130748,5.462905678030184
217.0,1.8931209649425276,5.279938269726363,1.9618633164243005,5.4646629377332765
218.0,1.8927984644212716,5.2816282886440815,1.9615177924867067,5.4664145619394775
219.0,1.892478134509658,5.2833128616375,1.96117451029883,5.468160595795919
220.0,1.8921599560138005,5.28499203280493,1.9608334503090865,5.469901083902065
221.0,1.8918439099839184,5.286665845704642,1.9604945932115871,5.471636070318594
222.0,1.8915299777102228,5.288334343363707,1.960157919942042,5.473365598576133
223.0,1.8912181407188875,5.289997568286669,1.959823411673748,5.475089711683784
224.0,1.890908380768104,5.291655562464031,1.9594910498136628,5.476808452137503
225.0,1.8906006798442176,5.293308367380571,1.9591608159985558,5.47852186192829
226.0,1.890295020157949,5.294956024023495,1.95883269209124,5.480229982550233
227.0,1.8899913841406843,5.296598572890415,1.958506660176882,5.4819328550083775
228.0,1.8896897544408515,5.298236053997174,1.9581827025593832,5.483630519826447
229.0,1.8893901139203624,5.299868506885517,1.957860801757839,5.485323017054411
230.0,1.8890924456511344,5.3014959706306,1.957540940503068,5.487010386275902
231.0,1.8887967329116768,5.303118483848357,1.9572231017342054,5.488692666615476
232.0,1.8885029591837508,5.304736084702722,1.9569072685953768,5.490369896745763
233.0,1.888211108149093,5.306348810912702,1.956593424432424,5.492042114894433
234.0,1.887921163686208,5.307956699759317,1.9562815527897073,5.493709358851072
235.0,1.8876331098672223,5.309559788092405,1.955971637406964,5.495371665973895
236.0,1.8873469309548017,5.31115811233729,1.955663662216234,5.497029073196336
237.0,1.887062611399132,5.312751708501327,1.9553576113388396,5.498681617033517
238.0,1.8867801358349543,5.314340612180311,1.9550534690824304,5.500329333588604
239.0,1.886499489078664,5.315924858564779,1.9547512199380814,5.501972258559006
240.0,1.886220656125464,5.317504482446171,1.9544508485774508,5.503610427242503
241.0,1.885943622146571,5.319079518222889,1.9541523398499894,5.50524387454322
242.0,1.8856683724864836,5.320649999906238,1.9538556787802062,5.506872634977517
243.0,1.8853948926602928,5.322215961126248,1.9535608505649855,5.508496742679744
244.0,1.885123168351055,5.323777435137391,1.9532678405709536,5.510116231407909
245.0,1.884853185407207,5.325334454824194,1.9529766343318993,5.511731134549233
246.0,1.8845849298400352,5.326887052706741,1.9526872175462409,5.513341485125595
247.0,1.884318387821192,5.328435260946075,1.9523995760745396,5.514947315798897
248.0,1.8840535456802576,5.329979111349498,1.952113695937064,5.516548658876294
249.0,1.883790389902352,5.331518635375778,1.951829563311394,5.518145546315378
250.0,1.8835289071257864,5.333053864140252,1.9515471645300768,5.519738009729226
251.0,1.8832690841397648,5.334584828419846,1.9512664860783206,5.521326080391367
252.0,1.8830109078821224,5.336111558657991,1.950987514591733,5.52290978924068
253.0,1.882754365437111,5.33763408496946,1.9507102368541027,5.5244891668861715
254.0,1.8824994440332248,5.33915243714511,1.950434639795218,5.526064243611691
255.0,1.8822461310410616,5.340666644656545,1.9501607104887309,5.52763504938055
256.0,1.8819944139712328,5.342176736660686,1.9498884361500557,5.529201613840067
257.0,1.8817442804723,5.343682742004266,1.9496178041343057,5.530763966326022
258.0,1.88149571832876,5.345184689228247,1.9493488019342717,5.532322135867046
259.0,1.8812487154590605,5.346682606572146,1.9490814171784323,5.533876151188915
260.0,1.8810032599136528,5.348176521978299,1.9488156376290018,5.535426040718783
