t,H,L
0.0,2.18,4.44
0.25,2.179643345065013,4.440891528208836
0.5,2.17928772357207,4.441781264402105
0.75,2.178933130465492,4.442669216673839
1.0,2.1785795607259675,4.4435553930627885
1.25,2.178227009370205,4.444439801552925
1.5,2.177875471450594,4.445322450073944
1.75,2.1775249420548635,4.446203346501757
2.0,2.177175416305752,4.447082498658979
2.25,2.176826889360676,4.447959914315414
2.5,2.1764793564114036,4.448835601188528
2.75,2.1761328126837336,4.449709566943928
3.0,2.1757872534371763,4.450581819195819
3.25,2.175442673964639,4.451452365507475
3.5,2.175099069592116,4.452321213391685
3.75,2.174756435678379,4.4531883703112145
4.0,2.1744147676146754,4.454053843679244
4.25,2.1740740608244264,4.4549176408598115
4.5,2.1737343107629314,4.4557797691682515
4.75,2.1733955129170734,4.456640235871622
5.0,2.173057662805029,4.457499048189134
5.25,2.1727207559759827,4.458356213292572
5.5,2.1723847880098415,4.4592117383067125
5.75,2.172049754516956,4.460065630309732
6.0,2.1717156511378426,4.460917896333621
6.25,2.1713824735429097,4.461768543364584
6.5,2.171050217432186,4.462617578343438
6.75,2.1707188785350544,4.46346500816601
7.0,2.1703884526099846,4.464310839683526
7.25,2.170058935444273,4.465155079702994
7.5,2.169730322853784,4.4659977349875914
7.75,2.1694026106826922,4.46683881225704
8.0,2.1690757948032307,4.46767831818798
8.25,2.1687498711154394,4.468516259414339
8.5,2.1684248355469187,4.469352642527699
8.75,2.168100684052584,4.470187474077658
9.0,2.1677774126144227,4.471020760572188
9.25,2.167455017241256,4.471852508477988
9.5,2.167133493968501,4.472682724220836
9.75,2.1668128388579375,4.473511414185936
10.0,2.166493047997475,4.474338584718256
10.25,2.1661741175009235,4.475164242122877
10.5,2.1658560435077683,4.475988392665318
10.75,2.165538822182944,4.476811042571876
11.0,2.1652224497166146,4.4776321980299505
11.25,2.1649069223239517,4.4784518651883705
11.5,2.164592236244919,4.479270050157717
11.75,2.164278387744058,4.480086759010639
12.0,2.163965373110275,4.480901997782173
12.25,2.1636531886566295,4.481715772470048
12.5,2.16334183072013,4.482528089035003
12.75,2.1630312956615243,4.483338953401083
13.0,2.1627215798650985,4.484148371455951
13.25,2.162412679738476,4.484956349051178
13.5,2.162104591712416,4.485762892002546
13.75,2.1617973122406196,4.486568006090337
14.0,2.1614908377995317,4.487371697059626
14.25,2.1611851648881513,4.488173970620565
14.5,2.160880290027838,4.48897483244867
14.75,2.1605762097621244,4.4897742881851
15.0,2.160272920656529,4.490572343436939
15.25,2.159970419298372,4.491369003777464
15.5,2.159668702296591,4.492164274746428
15.75,2.159367766281561,4.492958161850322
16.0,2.1590676079049143,4.493750670562646
16.25,2.1587682238393646,4.494541806324172
16.5,2.1584696107785306,4.495331574543208
16.75,2.158171765436762,4.4961199805958545
17.0,2.1578746845489674,4.496907029826264
17.25,2.1575783648704463,4.4976927275468945
17.5,2.157282803176719,4.498477079038758
17.75,2.156987996263359,4.499260089551675
18.0,2.1566939409458312,4.500041764304517
18.25,2.1564006340593256,4.500822108485453
18.5,2.1561080724585975,4.501601127252189
18.75,2.155816253017807,4.502378825732211
19.0,2.1555251726303606,4.503155209023018
19.25,2.155234828208755,4.50393028219236
19.5,2.1549452166844216,4.504704050278468
19.75,2.154656335007573,4.505476518290286
20.0,2.1543681801470504,4.506247691207698
20.25,2.154080749090175,4.507017573981756
20.5,2.1537940388425976,4.507786171534897
20.75,2.1535080464281506,4.508553488761172
21.0,2.1532227688887033,4.5093195305264615
21.25,2.152938203284017,4.510084301668692
21.5,2.1526543466916013,4.510847806998053
21.75,2.1523711962065732,4.511610051297209
22.0,2.152088748941517,4.5123710393215095
22.25,2.151807002026344,4.5131307757991985
22.5,2.1515259526081567,4.513889265431621
22.75,2.151245597851112,4.514646512893431
23.0,2.1509659349362864,4.515402522832788
23.25,2.150686961061542,4.516157299871563
23.5,2.1504086734413943,4.516910848605537
23.75,2.150131069306883,4.517663173604598
24.0,2.1498541459054406,4.518414279412933
24.25,2.1495779005007645,4.519164170549226
24.5,2.1493023303726906,4.519912851506848
24.75,2.1490274328170664,4.520660326754045
25.0,2.1487532051456273,4.521406600734129
25.25,2.1484796446858727,4.522151677865663
25.5,2.1482067487809435,4.5228955625426455
25.75,2.1479345147895015,4.523638259134692
26.0,2.1476629400856093,4.52437977198722
26.25,2.1473920220586122,4.525120105421621
26.5,2.1471217581130193,4.525859263735449
26.75,2.1468521456683884,4.526597251202587
27.0,2.1465831821592096,4.527334072073428
27.25,2.146314865034791,4.528069730575042
27.5,2.1460471917591475,4.528804230911351
27.75,2.1457801598108848,4.5295375772633015
28.0,2.145513766683093,4.5302697737890245
28.25,2.145248009883232,4.5310008246240105
28.5,2.144982886933027,4.531730733881269
28.75,2.1447183953683577,4.532459505651495
29.0,2.144454532739151,4.53318714400323
29.25,2.1441912966092778,4.533913652983021
29.5,2.143928684556445,4.534639036615584
29.75,2.1436666941720945,4.535363298903958
