t,H,L
0.0,2.18,4.44
1.0,2.1777582151066137,4.443550712633962
2.0,2.175538051698558,4.44706394340048
3.0,2.1733390427998196,4.450540437712706
4.0,2.1711607362450325,4.453980918615667
5.0,2.169002694063436,4.457386087679714
6.0,2.166864491894423,4.460756625849606
7.0,2.1647457184327545,4.464093194251843
8.0,2.1626459749016584,4.467396434962702
9.0,2.160564874552147,4.470666971739257
10.0,2.1585020421870142,4.473905410715505
11.0,2.156457113708062,4.477112341065593
12.0,2.15442973568522,4.480288335635976
13.0,2.152419564946295,4.483433951548281
14.0,2.150426268186188,4.4865497307744535
15.0,2.1484495215944737,4.489636200685738
16.0,2.1464890105003285,4.492693874576893
17.0,2.14454442903384,4.495723252166983
18.0,2.1426154798028088,4.498724820077995
19.0,2.140701873584197,4.501699052292443
20.0,2.1388033290294364,4.504646410591074
21.0,2.1369195723828622,4.507567344971698
22.0,2.1350503372125718,4.5104622940501145
23.0,2.1331953641530634,4.513331685444054
24.0,2.1313544006590397,4.51617593614099
25.0,2.1295272007698034,4.518995452850626
26.0,2.1277135248837027,4.52179063234283
27.0,2.1259131395421185,4.524561861771723
28.0,2.124125817222512,4.527309518986605
29.0,2.122351336140087,4.530033972830357
30.0,2.1205894800576335,4.532735583425916
31.0,2.11884003810316,4.535414702451398
32.0,2.1171028045949267,4.538071673404402
33.0,2.115377578873534,4.540706831856009
34.0,2.113664165140716,4.543320505694948
35.0,2.111962372304533,4.545913015362387
36.0,2.110272013830651,4.548484674077784
37.0,2.1085929075994323,4.551035788056196
38.0,2.106924875768561,4.553566656717436
39.0,2.1052677446409533,4.556077572887446
40.0,2.103621344537709,4.558568822992229
41.0,2.1019855096758753,4.561040687244667
42.0,2.100360078050807,4.563493439824539
43.0,2.0987448913229185,4.565927349052038
44.0,2.0971397947086317,4.568342677555061
45.0,2.095544636875335,4.570739682430542
46.0,2.0939592698401785,4.573118615400083
47.0,2.0923835488725393,4.575479722960125
48.0,2.090817332399997,4.57782324652688
49.0,2.0892604819176723,4.580149422576254
50.0,2.087712861900784,4.5824584827789545
51.0,2.0861743397202845,4.584750654131
52.0,2.0846447855614554,4.587026159079793
53.0,2.0831240723453273,4.589285215645961
54.0,2.081612075652818,4.59152803754112
55.0,2.0801086736514693,4.59375483428173
56.0,2.078613747024682,4.595965811299195
57.0,2.077127178903344,4.5981611700463585
58.0,2.0756488547997596,4.600341108100532
59.0,2.0741786625437815,4.602505819263197
60.0,2.0727164922210655,4.604655493656497
61.0,2.071262236113358,4.606790317816665
62.0,2.0698157886407422,4.608910474784475
63.0,2.0683770463057587,4.611016144192855
64.0,2.066945907639338,4.613107502351757
65.0,2.065522273148467,4.615184722330381
66.0,2.064106045265528,4.617247974036867
67.0,2.0626971282992437,4.61929742429554
68.0,2.0612954283871696,4.621333236921788
69.0,2.0599008534496748,4.623355572794683
70.0,2.0585133131453572,4.625364589927403
71.0,2.057132718827837,4.62736044353555
72.0,2.0557589835038796,4.629343286103433
73.0,2.054392021792802,4.631313267448387
74.0,2.0530317498871082,4.633270534783204
75.0,2.05167808551432,4.635215232776737
76.0,2.050330947899947,4.6371475036127405
77.0,2.048990257731571,4.639067487047014
78.0,2.047655937123989,4.6409753204629025
79.0,2.046327909585388,4.642871138925211
80.0,2.0450060999845157,4.644755075232592
81.0,2.0436904345188016,4.646627259968447
82.0,2.04238084068341,4.64848782155041
83.0,2.041077247241181,4.650336886278439
84.0,2.039779584193435,4.6521745783815796
85.0,2.038487782751612,4.654001020063436
86.0,2.0372017753097102,4.655816331546398
87.0,2.0359214954175076,4.657620631114653
88.0,2.034646877754531,4.659414035156038
89.0,2.0333778581047506,4.661196658202764
90.0,2.032114373331981,4.662968612971036
91.0,2.0308563613559554,4.66473001039963
92.0,2.0296037611290596,4.666480959687435
93.0,2.0283565126137,4.66822156833001
94.0,2.027114556760287,4.669951942155175
95.0,2.0258778354858107,4.671672185357681
96.0,2.024646291652995,4.67338240053297
97.0,2.023419869050005,4.675082688710065
98.0,2.022198512370698,4.676773149383622
99.0,2.020982167195393,4.67845388054515
100.0,2.0197707799721494,4.680124978713445
101.0,2.0185642979985308,4.68178653896425
102.0,2.0173626694038482,4.683438654959171
103.0,2.016165843131862,4.685081418973865
104.0,2.0149737689239275,4.6867149219255255
105.0,2.013786397302575,4.688339253399693
106.0,2.012603679555508,4.689954501676394
107.0,2.0114255677200066,4.6915607537556445
108.0,2.010252014567727,4.69315809538233
109.0,2.0090829735898805,4.694746611070478
110.0,2.0079183989827847,4.696326384126946
111.0,2.006758245633774,4.69789749667454
112.0,2.0056024691074583,4.699460029674572
113.0,2.004451025632322,4.701014062948894
114.0,2.0033038720876495,4.7025596752013925
115.0,2.0021609659907713,4.70409694403899
116.0,2.0010222654846186,4.705625945992142
117.0,1.9998877293255812,4.707146756534865
118.0,1.9987573168716546,4.708659450104289
119.0,1.9976309880708722,4.710164100119764
120.0,1.996508703450014,4.711660779001521
121.0,1.9953904241035814,4.713149558188911
122.0,1.9942761116830343,4.714630508158218
123.0,1.9931657283862796,4.716103698440081
124.0,1.9920592369474062,4.717569197636506
125.0,1.9909566006266586,4.719027073437508
126.0,1.9898577832006443,4.720477392637371
127.0,1.988762748952765,4.721920221150552
128.0,1.9876714626638698,4.723355624027226
129.0,1.9865838896031205,4.72478366546849
130.0,1.9854999955190653,4.726204408841232
131.0,1.9844197466309155,4.727617916692676
132.0,1.9833431096200178,4.7290242507646045
133.0,1.9822700516215197,4.730423472007279
134.0,1.9812005402162198,4.73181564059305
135.0,1.9801345434225999,4.7332008159296866
136.0,1.9790720296890345,4.734579056673408
137.0,1.9780129678861718,4.735950420741647
138.0,1.9769573272994816,4.737314965325532
139.0,1.975905077621967,4.7386727469021155
140.0,1.974856188947035,4.7400238212463375
141.0,1.9738106317615207,4.74136824344274
142.0,1.9727683769388633,4.742706067896939
143.0,1.9717293957324287,4.744037348346854
144.0,1.9706936597689741,4.74536213787371
145.0,1.969661141042254,4.746680488912806
146.0,1.9686318119067596,4.747992453264067
147.0,1.967605645071593,4.749298082102382
148.0,1.9665826135944684,4.750597425987725
149.0,1.9655626908758403,4.751890534875074
150.0,1.9645458506531546,4.753177458124134
151.0,1.9635320669952177,4.754458244508856
152.0,1.9625213142966844,4.755732942226774
153.0,1.9615135672726585,4.757001598908145
154.0,1.9605088009534033,4.75826426162492
155.0,1.959506990679163,4.7595209768995295
156.0,1.9585081120950867,4.760771790713495
157.0,1.9575121411462582,4.762016748515876
158.0,1.9565190540728241,4.76325589523155
159.0,1.9555288274052216,4.764489275269331
160.0,1.954541437959501,4.765716932529929
161.0,1.9535568628327424,4.766938910413759
162.0,1.9525750793985635,4.768155251828598
163.0,1.951596065302716,4.769365999197094
164.0,1.9506197984587696,4.770571194464132
165.0,1.9496462570438806,4.771770879104065
166.0,1.9486754194946434,4.772965094127798
167.0,1.9477072645030233,4.774153880089748
168.0,1.9467417710123682,4.775337277094667
169.0,1.9457789182134972,4.77651532480434
170.0,1.944818685540866,4.777688062444157
171.0,1.9438610526688038,4.778855528809565
172.0,1.942905999507825,4.780017762272396
173.0,1.941953506201009,4.781174800787082
174.0,1.9410035531204495,4.782326681896755
175.0,1.9400561208637725,4.783473442739235
176.0,1.939111190250718,4.7846151200529095
177.0,1.9381687423197866,4.785751750182501
178.0,1.9372287583249492,4.786883369084743
179.0,1.9362912197324185,4.788010012333936
180.0,1.9353561082174795,4.78913171512742
181.0,1.9344234056613796,4.790248512290936
182.0,1.9334930941482755,4.791360438283902
183.0,1.932565155962237,4.792467527204588
184.0,1.9316395735843042,4.793569812795204
185.0,1.9307163296896008,4.794667328446896
186.0,1.9297954071444976,4.795760107204652
187.0,1.928876789003829,4.796848181772128
188.0,1.927960458508159,4.797931584516383
189.0,1.9270463990810962,4.799010347472539
190.0,1.9261345943266586,4.800084502348351
191.0,1.9252250280266827,4.801154080528709
192.0,1.9243176841382819,4.80221911308005
193.0,1.923412546791347,4.803279630754705
194.0,1.9225096002860937,4.804335663995167
195.0,1.9216088290906512,4.805387242938288
196.0,1.9207102178386941,4.8064343974194
197.0,1.9198137513271156,4.807477156976375
198.0,1.9189194145137416,4.808515550853606
199.0,1.9180271925150838,4.809549608005932
200.0,1.9171370706041329,4.810579357102489
201.0,1.916249034208188,4.8116048265304965
202.0,1.9153630689067256,4.812626044398993
203.0,1.9144791604293037,4.813643038542491
204.0,1.9135972946535018,4.814655836524588
205.0,1.9127174576028971,4.815664465641509
206.0,1.9118396354450735,4.8166689529255935
207.0,1.9109638144896652,4.817669325148724
208.0,1.9100899811864334,4.818665608825704
209.0,1.9092181221233748,4.8196578302175705
210.0,1.9083482240248626,4.820646015334868
211.0,1.907480273749817,4.821630189940852
212.0,1.9066142582899084,4.822610379554658
213.0,1.9057501647677877,4.823586609454407
214.0,1.904887980435349,4.8245589046802655
215.0,1.9040276926720179,4.825527290037463
216.0,1.9031692889830703,4.826491790099249
217.0,1.9023127569979765,4.827452429209816
218.0,1.901458084468775,4.828409231487168
219.0,1.9006052592684701,4.829362220825947
220.0,1.8997542693894576,4.8303114209002125
221.0,1.8989051029419741,4.831256855166185
222.0,1.8980577481525733,4.832198546864937
223.0,1.897212193362625,4.83313651902505
224.0,1.8963684270268386,4.834070794465224
225.0,1.8955264377118115,4.835001395796852
226.0,1.8946862140945986,4.835928345426554
227.0,1.8938477449613056,4.836851665558669
228.0,1.8930110192057046,4.837771378197711
229.0,1.8921760258278713,4.838687505150792
230.0,1.891342753932843,4.839600068029995
231.0,1.890511192729299,4.840509088254729
232.0,1.8896813315282608,4.841414587054033
233.0,1.8888531597418117,4.842316585468858
234.0,1.8880266668818382,4.8432151043543
235.0,1.8872018425587893,4.844110164381817
236.0,1.8863786764804558,4.845001786041397
237.0,1.8855571584507675,4.845889989643704
238.0,1.8847372783686103,4.846774795322191
239.0,1.8839190262266596,4.847656223035175
240.0,1.883102392110233,4.84853429256789
241.0,1.8822873661961594,4.849409023534505
242.0,1.8814739387516661,4.850280435380113
243.0,1.880662100133282,4.851148547382693
244.0,1.8798518407857574,4.85201337865504
245.0,1.8790431512410006,4.852874948146671
246.0,1.87823602211703,4.853733274645701
247.0,1.8774304441169414,4.85458837678069
248.0,1.8766264080278918,4.855440273022469
249.0,1.8758239047200975,4.856288981685937
250.0,1.875022925145847,4.857134520931828
251.0,1.8742234603385286,4.85797690876846
252.0,1.8734255014116723,4.858816163053456
253.0,1.872629039558006,4.859652301495439
254.0,1.8718340660485258,4.860485341655704
255.0,1.871040572231578,4.8613153009498715
256.0,1.8702485495319572,4.862142196649506
257.0,1.8694579894500154,4.862966045883726
258.0,1.868668883560785,4.863786865640781
259.0,1.867881223513114,4.8646046727696115
260.0,1.8670950010288134,4.865419483981384
261.0,1.8663102079018181,4.86623131585101
262.0,1.865526835997358,4.867040184818638
263.0,1.8647448772511426,4.867846107191128
264.0,1.8639643236685555,4.868649099143508
265.0,1.8631851673238622,4.869449176720406
266.0,1.8624074003594278,4.8702463558374625
267.0,1.8616310149849453,4.87104065228273
268.0,1.860856003476677,4.871832081718046
269.0,1.8600823581767039,4.872620659680393
270.0,1.8593100714921869,4.873406401583236
271.0,1.8585391358946388,4.874189322717844
272.0,1.8577695439192052,4.874969438254593
273.0,1.857001288163956,4.875746763244255
274.0,1.8562343612891867,4.876521312619262
275.0,1.85546875601673,4.877293101194964
276.0,1.8547044651292748,4.878062143670859
277.0,1.853941481469697,4.8788284546318135
278.0,1.8531797979403983,4.879592048549267
279.0,1.8524194075026532,4.880352939782418
280.0,1.851660303175967,4.881111142579394
281.0,1.8509024780374403,4.88186667107841
282.0,1.8501459252211436,4.882619539308909
283.0,1.8493906379174998,4.883369761192684
284.0,1.848636609372675,4.884117350544997
285.0,1.8478838328879772,4.88486232107567
286.0,1.8471323018192642,4.8856046863901685
287.0,1.8463820095763577,4.886344459990673
288.0,1.8456329496224666,4.887081655277134
289.0,1.8448851154736172,4.887816285548309
290.0,1.844138500698092,4.888548364002797
291.0,1.8433930989158736,4.889277903740047
292.0,1.842648903798099,4.8900049177613685
293.0,1.841905909066519,4.8907294189709125
294.0,1.8411641084929649,4.891451420176655
295.0,1.8404234958988226,4.892170934091357
296.0,1.839684065154514,4.89288797333352
297.0,1.8389458101789846,4.893602550428326
298.0,1.8382087249391967,4.894314677808562
299.0,1.8374728034496315,4.8950243678155445
300.0,1.8367380397717956,4.89573163270002
301.0,1.8360044280137353,4.89643648462306
302.0,1.835271962329556,4.8971389356569475
303.0,1.8345406369189479,4.897838997786043
304.0,1.833810446026719,4.898536682907653
305.0,1.8330813839423328,4.899232002832877
306.0,1.8323534449994514,4.899924969287448
307.0,1.8316266235754866,4.9006155939125655
308.0,1.8309009140911545,4.901303888265713
309.0,1.8301763110100366,4.901989863821469
310.0,1.8294528088381465,4.902673531972307
311.0,1.8287304021235022,4.903354904029387
312.0,1.8280090854557027,4.904033991223334
313.0,1.8272888534655114,4.9047108047050125
314.0,1.8265697008244437,4.905385355546287
315.0,1.82585162224436,4.906057654740778
316.0,1.8251346124770635,4.9067277132045986
