t,H,L
0.0,2.18,4.44
1.0,2.1777582151066137,4.443550712633962
2.0,2.1755382817420394,4.447063944697896
3.0,2.1733397315180354,4.450540444138476
4.0,2.1711621109176944,4.453980936439521
5.0,2.1690049806763043,4.457386125519982
6.0,2.166867915193982,4.460756694587299
7.0,2.1647505019781508,4.464093306948763
8.0,2.162652341114066,4.4673966067833515
9.0,2.1605730447617097,4.470667219876328
10.0,2.158512236677506,4.473905754318754
11.0,2.156469551759399,4.477112801173904
12.0,2.1544446356139444,4.480288935112454
13.0,2.1524371441441503,4.4834347150181895
14.0,2.1504467431568868,4.486550684565863
15.0,2.1484731079887642,4.489637372772727
16.0,2.1465159231494497,4.492695294525173
17.0,2.144574881981456,4.495724951081821
18.0,2.1426496863355022,4.498726830554315
19.0,2.140740046260601,4.501701408366988
20.0,2.1388456797080777,4.504649147696535
21.0,2.1369663122487794,4.507570499892698
22.0,2.135101676802778,4.510465904880969
23.0,2.1332515133809093,4.513335791548209
24.0,2.1314155688375367,4.516180578112056
25.0,2.129593596633956,4.519000672474943
26.0,2.127785356611902,4.521796472563473
27.0,2.1259906147766454,4.524568366653887
28.0,2.1242091430891925,4.527316733684309
29.0,2.12244071926714,4.530041943554394
30.0,2.120685126593755,4.532744357413005
31.0,2.118942153734873,4.535424327934467
32.0,2.1172115945632424,4.538082199583965
33.0,2.115493247989948,4.5407183088725755
34.0,2.113786917802576,4.543332984602427
35.0,2.112092412509804,4.545926548102437
36.0,2.110409545192112,4.548499313455069
37.0,2.108738133358322,4.551051587714503
38.0,2.1070779988077053,4.5535836711166295
39.0,2.105428967497396,4.556095857281205
40.0,2.1037908694148646,4.558588433406547
41.0,2.102163538455231,4.561061680457079
42.0,2.1005468123031896,4.56351587334404
43.0,2.0989405323193475,4.565951281099674
44.0,2.0973445434307756,4.568368167045153
45.0,2.0957586940255895,4.570766788952527
46.0,2.09418283585138,4.573147399200942
47.0,2.0926168239173344,4.575510244927371
48.0,2.0910605163998772,4.577855568172093
49.0,2.089513774551691,4.58018360601913
50.0,2.087976462613968,4.5824945907318595
51.0,2.086448447731755,4.584788749883999
52.0,2.0849295998722672,4.587066306486142
53.0,2.0834197917460395,4.589327479108042
54.0,2.081918898730807,4.5915724819968
55.0,2.0804267987979954,4.593801525191132
56.0,2.0789433724417172,4.596014814631864
57.0,2.077468502610173,4.598212552268801
58.0,2.0760020746393617,4.60039493616413
59.0,2.074543976189002,4.602562160592466
60.0,2.073094097180585,4.604714416137691
61.0,2.07165232973747,4.606851889786697
62.0,2.0702185681269394,4.608974765020161
63.0,2.0687927087041444,4.61108322190046
64.0,2.0673746498578627,4.6131774371568275
65.0,2.065964291957999,4.61525758426787
66.0,2.064561537304764,4.617323833541524
67.0,2.0631662900794674,4.6193763521925595
68.0,2.06177845629686,4.621415304417726
69.0,2.0603979437589737,4.6234408514686045
70.0,2.059024662010397,4.625453151722272
71.0,2.0576585222949384,4.627452360749849
72.0,2.0562994375136214,4.629438631382997
73.0,2.0549473221839665,4.63141211377846
74.0,2.0536020924005096,4.633372955480692
75.0,2.0522636657965165,4.635321301482669
76.0,2.0509319615068464,4.6372572942849155
77.0,2.049606900131925,4.639181073952838
78.0,2.0482884037027875,4.641092778172405
79.0,2.0469763956471563,4.6429925423042375
80.0,2.0456708007565108,4.644880499436162
81.0,2.0443715451541213,4.6467567804342815
82.0,2.0430785562640086,4.648621513992609
83.0,2.041791762780802,4.650474826681321
84.0,2.0405110946404585,4.652316842993665
85.0,2.0392364829918224,4.654147685391576
86.0,2.0379678601689863,4.655967474350042
87.0,2.0367051596644368,4.657776328400253
88.0,2.03544831610295,4.659574364171584
89.0,2.0341972652162195,4.661361696432442
90.0,2.0329519438181833,4.663138438130019
91.0,2.031712289781038,4.664904700428981
92.0,2.030478242011905,4.666660592749129
93.0,2.0292497404301395,4.668406222802066
94.0,2.0280267259452516,4.670141696626902
95.0,2.0268091404354265,4.671867118625027
96.0,2.0255969267266214,4.673582591593974
97.0,2.02439002857222,4.675288216760416
98.0,2.0231883906332286,4.676984093812303
99.0,2.021991958458997,4.678670320930186
100.0,2.0208006784684454,4.680346994817741
101.0,2.019614497931783,4.682014210731518
102.0,2.0184333649527044,4.683672062509941
103.0,2.0172572284510437,4.685320642601584
104.0,2.0160860381458807,4.686960042092741
105.0,2.014919744539076,4.688590350734308
106.0,2.013758298899229,4.690211656968006
107.0,2.0126016532460413,4.691824047951961
108.0,2.0114497603350774,4.693427609585652
109.0,2.0103025736429063,4.695022426534261
110.0,2.0091600473526174,4.696608582252427
111.0,2.0080221363396946,4.698186159007432
112.0,2.006888796158241,4.699755237901829
113.0,2.005759983027544,4.701315898895532
114.0,2.0046356538189696,4.702868220827385
115.0,2.0035157660431757,4.704412281436212
116.0,2.0024002778376384,4.705948157381383
117.0,2.0012891479544774,4.707475924262894
118.0,2.000182335748576,4.70899565664098
119.0,1.9990798011659863,4.710507428055272
120.0,1.9979815047326077,4.7120113110435184
121.0,1.9968874075431384,4.713507377159868
122.0,1.9957974712502844,4.714995696992743
123.0,1.9947116580542237,4.716476340182301
124.0,1.9936299306923175,4.717949375437505
125.0,1.9925522524290602,4.719414870552805
126.0,1.9914785870462626,4.720872892424452
127.0,1.9904088988334616,4.722323507066435
128.0,1.9893431525785512,4.723766779626086
129.0,1.988281313558627,4.725202774399313
130.0,1.9872233475310388,4.726631554845521
131.0,1.9861692207246475,4.728053183602189
132.0,1.9851188998312779,4.729467722499139
133.0,1.9840723519973642,4.730875232572493
134.0,1.9830295448157824,4.732275774078324
135.0,1.9819904463178646,4.733669406506016
136.0,1.9809550249655903,4.735056188591343
137.0,1.9799232496439505,4.736436178329253
138.0,1.9788950896534785,4.7378094329864
139.0,1.9778705147029463,4.739176009113398
140.0,1.9768494949022175,4.740535962556817
141.0,1.975832000755258,4.741889348470935
142.0,1.9748180031532958,4.743236221329239
143.0,1.9738074733681288,4.744576634935684
144.0,1.9728003830455758,4.745910642435727
145.0,1.9717967041990678,4.747238296327127
146.0,1.9707964092033743,4.748559648470522
147.0,1.9697994707884632,4.749874750099799
148.0,1.9688058620334903,4.751183651832242
149.0,1.9678155563609143,4.752486403678477
150.0,1.966828527530735,4.753783055052221
151.0,1.965844749634851,4.755073654779831
152.0,1.9648641970915364,4.75635825110966
153.0,1.9638868446400277,4.757636891721231
154.0,1.962912667335226,4.758909623734224
155.0,1.9619416405425048,4.76017649371729
156.0,1.9609737399326255,4.761437547696683
157.0,1.960008941476755,4.762692831164734
158.0,1.959047221441585,4.763942389088151
159.0,1.958088556384549,4.765186265916158
160.0,1.957132923149135,4.766424505588481
161.0,1.9561802988602937,4.7676571515431725
162.0,1.9552306609199355,4.7688842467242925
163.0,1.9542839870025195,4.7701058335894375
164.0,1.9533402550507273,4.771321954117128
165.0,1.9523994432712237,4.772532649814052
166.0,1.9514615301304996,4.77373796172218
167.0,1.9505264943507965,4.774937930425732
168.0,1.9495943149061097,4.776132596058026
169.0,1.94866497101827,4.777321998308192
170.0,1.9477384421530999,4.778506176427765
171.0,1.9468147080166447,4.779685169237145
172.0,1.9458937485514753,4.780859015131953
173.0,1.9449755439330616,4.782027752089256
174.0,1.944060074566215,4.783191417673686
175.0,1.9431473210815986,4.784350049043445
176.0,1.9422372643323023,4.785503682956195
177.0,1.9413298853904835,4.786652355774851
178.0,1.94042516554407,4.787796103473259
179.0,1.9395230862935253,4.788934961641779
180.0,1.9386236293486723,4.7900689654927655
181.0,1.9377267766255775,4.791198149865947
182.0,1.936832510243493,4.792322549233711
183.0,1.9359408125218527,4.7934421977063
184.0,1.935051665977326,4.794557129036906
185.0,1.9341650533209236,4.7956673766266835
186.0,1.9332809574551564,4.796772973529672
187.0,1.932399361471247,4.797873952457627
188.0,1.9315202486463894,4.798970345784775
189.0,1.9306436024410607,4.800062185552481
190.0,1.9297694064963784,4.8011495034738365
191.0,1.9288976446315071,4.802232330938164
192.0,1.92802830084111,4.803310699015451
193.0,1.9271613592928467,4.804384638460704
194.0,1.926296804324914,4.805454179718227
195.0,1.9254346204436317,4.806519352925832
196.0,1.9245747923210692,4.807580187918971
197.0,1.9237173047927147,4.808636714234803
198.0,1.9228621428551849,4.809688961116192
199.0,1.9220092916639737,4.810736957515638
200.0,1.9211587365312415,4.8117807320991375
201.0,1.9203104629236412,4.812820313249987
202.0,1.9194644564601824,4.81385572907252
203.0,1.9186207029101319,4.814887007395777
204.0,1.9177791881909503,4.815914175777124
205.0,1.916939898366264,4.816937261505806
206.0,1.916102819643871,4.817956291606443
207.0,1.9152679383737807,4.818971292842467
208.0,1.9144352410462873,4.819982291719509
209.0,1.9136047142900745,4.820989314488725
210.0,1.9127763448703532,4.8219923871500665
211.0,1.9119501196870294,4.822991535455509
212.0,1.9111260257729035,4.8239867849122176
213.0,1.9103040502918978,4.8249781607856645
214.0,1.9094841805373153,4.8259656881027
215.0,1.9086664039301262,4.826949391654573
216.0,1.9078507080172826,4.8279292959999
217.0,1.9070370804700607,4.828905425467596
218.0,1.9062255090824305,4.8298778041597465
219.0,1.9054159817694516,4.830846455954445
220.0,1.9046084865656956,4.831811404508583
221.0,1.903803011623693,4.832772673260593
222.0,1.9029995452124064,4.833730285433155
223.0,1.902198075715727,4.834684264035854
224.0,1.9013985916309966,4.835634631867801
225.0,1.9006010815675511,4.836581411520216
226.0,1.89980553424529,4.83752462537896
227.0,1.8990119384932658,4.838464295627046
228.0,1.8982202832482975,4.839400444247091
229.0,1.8974305575536055,4.840333093023751
230.0,1.8966427505574677,4.841262263546102
231.0,1.895856851511897,4.8421879772099965
232.0,1.895072849771339,4.843110255220379
233.0,1.8942907347913909,4.844029118593568
234.0,1.8935104961275393,4.844944588159502
235.0,1.8927321234339178,4.845856684563957
236.0,1.8919556064620844,4.846765428270724
237.0,1.8911809350598163,4.847670839563761
238.0,1.8904080991699255,4.848572938549306
239.0,1.8896370888290899,4.849471745157966
240.0,1.888867894166704,4.850367279146771
241.0,1.8881005054037465,4.851259560101199
242.0,1.8873349128516645,4.852148607437169
243.0,1.8865711069112765,4.8530344404030075
244.0,1.885809078071689,4.85391707808139
245.0,1.8850488169092317,4.854796539391245
246.0,1.884290314086408,4.855672843089637
247.0,1.8835335603508612,4.856546007773625
248.0,1.8827785465343552,4.857416051882083
249.0,1.8820252635517718,4.858282993697509
250.0,1.881273702400122,4.859146851347797
251.0,1.8805238541575717,4.860007642807988
252.0,1.8797757099824823,4.860865385901995
253.0,1.8790292611124653,4.861720098304309
254.0,1.8782844988634502,4.862571797541668
255.0,1.8775414146287668,4.863420500994719
256.0,1.8767999998782403,4.864266225899643
257.0,1.8760602461572995,4.865108989349765
258.0,1.875322145086098,4.865948808297138
259.0,1.8745856883586482,4.866785699554106
260.0,1.8738508677419685,4.867619679794848
261.0,1.8731176750752403,4.8684507655568945
262.0,1.87238610226898,4.8692789732426265
263.0,1.8716561413042214,4.870104319120757
264.0,1.8709277842317087,4.870926819327787
265.0,1.8702010231711035,4.8717464898694445
266.0,1.8694758503102005,4.872563346622102
267.0,1.868752257904156,4.8733774053341765
268.0,1.8680302382747263,4.874188681627508
269.0,1.867309783809517,4.874997190998725
270.0,1.866590886961243,4.875802948820582
271.0,1.8658735402469993,4.876605970343292
272.0,1.8651577362475396,4.877406270695824
273.0,1.8644434676065686,4.878203864887201
274.0,1.8637307270300412,4.87899876780777
275.0,1.8630195072854718,4.879790994230457
276.0,1.862309801201255,4.880580558812005
277.0,1.861601601665993,4.881367476094199
278.0,1.860894901627834,4.882151760505069
279.0,1.8601896940938187,4.882933426360085
280.0,1.8594859721292365,4.8837124878633285
281.0,1.8587837288569897,4.884488959108651
282.0,1.8580829574569668,4.885262854080823
283.0,1.8573836511654238,4.886034186656658
284.0,1.8566858032743743,4.886802970606131
285.0,1.8559894071309877,4.887569219593476
286.0,1.8552944561369948,4.8883329471782755
287.0,1.854600943748103,4.889094166816529
288.0,1.8539088634734167,4.889852891861712
289.0,1.853218208874868,4.890609135565823
290.0,1.852528973566654,4.891362911080413
291.0,1.8518411512146797,4.892114231457602
292.0,1.8511547355360123,4.892863109651088
293.0,1.8504697202983387,4.893609558517137
294.0,1.849786099319432,4.894353590815562
295.0,1.8491038664666246,4.895095219210695
296.0,1.8484230156562893,4.895834456272336
297.0,1.8477435408533247,4.8965713144767
298.0,1.8470654360706495,4.897305806207348
299.0,1.8463886953687028,4.898037943756109
300.0,1.8457133128549494,4.898767739323985
301.0,1.8450392826833943,4.899495205022047
302.0,1.844366599054101,4.900220352872327
303.0,1.8436952562127162,4.900943194808687
304.0,1.8430252484500027,4.901663742677687
305.0,1.8423565701013755,4.902382008239435
306.0,1.8416892155464457,4.903098003168436
307.0,1.8410231792085687,4.903811739054418
308.0,1.8403584555544004,4.904523227403158
309.0,1.8396950390934559,4.905232479637295
310.0,1.8390329243776768,4.905939507097132
311.0,1.8383721060010019,4.906644321041429
312.0,1.8377125785989439,4.907346932648187
313.0,1.8370543368481715,4.908047353015419
314.0,1.8363973754660972,4.908745593161921
315.0,1.8357416892104683,4.90944166402802
