t,H,L
0.0,2.18,4.44
1.0,2.1784061461505893,4.443554404216166
2.0,2.1768296044199666,4.447078575649329
3.0,2.175270031842958,4.450573063563051
4.0,2.173727095353971,4.454038402170116
5.0,2.1722004714119234,4.457475111180918
6.0,2.170689845642701,4.460883696327014
7.0,2.16919491249818,4.46426464986115
8.0,2.167715374930898,4.467618451035061
9.0,2.1662509440835267,4.470945566556189
10.0,2.1648013389923424,4.474246451024446
11.0,2.1633662863039502,4.47752154735006
12.0,2.161945520004556,4.480771287153475
13.0,2.1605387811611276,4.483996091148237
14.0,2.159145817673826,4.48719636950771
15.0,2.157766384039124,4.4903725222164566
16.0,2.156400241123064,4.493524939407038
17.0,2.15504715594414,4.496654001682956
18.0,2.1537069014653207,4.499760080428418
19.0,2.1523792563947546,4.502843538105569
20.0,2.1510640049947267,4.505904728539797
21.0,2.149760936898464,4.50894399719367
22.0,2.148469846934402,4.511961681430071
23.0,2.147190534957559,4.514958110765007
24.0,2.145922805687666,4.517933607110606
25.0,2.1446664685537433,4.520888485008738
26.0,2.143421337544808,4.523823051855695
27.0,2.142187231066432,4.526737608118346
28.0,2.140963971802874,4.529632447542142
29.0,2.1397513865845315,4.532507857351353
30.0,2.1385493062604684,4.535364118441865
31.0,2.137357565575783,4.538201505566879
32.0,2.1361760030536048,4.5410202875158285
33.0,2.135004460881508,4.543820727286796
34.0,2.1338427848021455,4.546603082252723
35.0,2.132690824007919,4.549367604321676
36.0,2.1315484310395063,4.552114540091425
37.0,2.130415461688081,4.554844130998569
38.0,2.1292917749010587,4.557556613462449
39.0,2.128177232691227,4.560252219024053
40.0,2.127071700049108,4.562931174480139
41.0,2.125975044858418,4.565593702012747
42.0,2.1248871378144987,4.56824001931432
43.0,2.12380785234559,4.570870339708586
44.0,2.122737064536829,4.573484872267387
45.0,2.1216746530568655,4.576083821923613
46.0,2.120620499086981,4.578667389580398
47.0,2.119574486252615,4.581235772216723
48.0,2.118536500557202,4.583789162989565
49.0,2.1175064303182185,4.586327751332742
50.0,2.116484166105363,4.5888517230525565
51.0,2.1154696006807767,4.59136126042039
52.0,2.114462628941226,4.593856542262337
53.0,2.113463147862175,4.5963377440460125
54.0,2.1124710564436673,4.598805037964633
55.0,2.111486255657955,4.601258593018468
56.0,2.1105086483988,4.603698575093767
57.0,2.10953813943239,4.606125147039253
58.0,2.1085746353498083,4.6085384687402735
59.0,2.1076180445209913,4.61093869719069
60.0,2.10666827705013,4.6133259865626
61.0,2.105725244732449,4.615700488273953
62.0,2.104788861012325,4.61806235105415
63.0,2.1038590409426843,4.620411721007697
64.0,2.102935701145639,4.62274874167597
65.0,2.102018759774317,4.6250735540971775
66.0,2.1011081364758404,4.627386296864562
67.0,2.1002037523554113,4.629687106182923
68.0,2.099305529941467,4.631976115923503
69.0,2.098413393151866,4.634253457677303
70.0,2.0975272672610696,4.636519260806881
71.0,2.096647078868282,4.6387736524966705
72.0,2.0957727558665167,4.641016757801897
73.0,2.0949042274125573,4.643248699696116
74.0,2.0940414238977842,4.645469599117421
75.0,2.093184276919831,4.647679575013383
76.0,2.09233271925505,4.649878744384744
77.0,2.0914866848317546,4.6520672223279185
78.0,2.0906461087042145,4.654245122076328
79.0,2.0898109270273766,4.65641255504063
80.0,2.0889810770322907,4.6585696308478495
81.0,2.0881564970022133,4.660716457379469
82.0,2.0873371262493685,4.662853140808503
83.0,2.086522905092346,4.664979785635586
84.0,2.085713774834112,4.667096494724113
85.0,2.0849096777406175,4.669203369334457
86.0,2.0841105570199803,4.671300509157292
87.0,2.083316356802225,4.673388012346053
88.0,2.082527022119564,4.67546597554856
89.0,2.0817424988871998,4.677534493937825
90.0,2.0809627338846317,4.679593661242078
91.0,2.0801876747374575,4.681643569774021
92.0,2.0794172698996443,4.6836843104593555
93.0,2.078651468636264,4.685715972864579
94.0,2.077890221006671,4.687738645224096
95.0,2.0771334778481165,4.689752414466645
96.0,2.076381190759776,4.691757366241082
97.0,2.0756333120871884,4.693753584941515
98.0,2.074889794907085,4.695741153731835
99.0,2.074150593012603,4.697720154569639
100.0,2.0734156608988696,4.699690668229575
101.0,2.0726849537489427,4.701652774326126
102.0,2.0719584274201033,4.70360655133584
103.0,2.0712360384304866,4.705552076619034
104.0,2.070517743946039,4.707489426440977
105.0,2.0698035017677965,4.709418675992572
106.0,2.069093270319471,4.711339899410551
107.0,2.0683870086353386,4.713253169797197
108.0,2.06768467634842,4.7151585592396
109.0,2.0669862336789424,4.717056138828474
110.0,2.0662916414230805,4.71894597867653
111.0,2.065600860941961,4.720828147936428
112.0,2.0649138541509298,4.722702714818322
113.0,2.0642305835090715,4.724569746607001
114.0,2.063551012008975,4.726429309678639
115.0,2.0628751031667365,4.728281469517167
116.0,2.062202821012195,4.730126290730284
117.0,2.061534130079396,4.731963837065093
118.0,2.06086899539727,4.733794171423408
119.0,2.06020738248053,4.735617355876706
120.0,2.0595492573207714,4.7374334516807535
121.0,2.0588945863777783,4.739242519289913
122.0,2.058243336571023,4.741044618371136
123.0,2.057595475271359,4.742839807817647
124.0,2.0569509702929003,4.744628145762331
125.0,2.056309789885078,4.746409689590838
126.0,2.0556719027248795,4.748184495954397
127.0,2.055037277909254,4.749952620782363
128.0,2.0544058849476876,4.751714119294487
129.0,2.0537776937549417,4.753469046012936
130.0,2.0531526746439477,4.755217454774049
131.0,2.0525307983188577,4.756959398739854
132.0,2.051912035868246,4.758694930409336
133.0,2.0512963587584556,4.760424101629477
134.0,2.0506837388270887,4.762146963606056
135.0,2.050074148276636,4.763863566914238
136.0,2.0494675596682406,4.765573961508935
137.0,2.048863945915596,4.767278196734961
138.0,2.0482632802789706,4.76897632133697
139.0,2.04766553635936,4.770668383469202
140.0,2.0470706880927585,4.772354430705027
141.0,2.0464787097445556,4.774034510046295
142.0,2.045889575904041,4.7757086679324985
143.0,2.0453032614790314,4.777376950249752
144.0,2.0447197416906007,4.779039402339594
145.0,2.0441389920679236,4.780696069007608
146.0,2.0435609884432218,4.782346994531886
147.0,2.0429857069468134,4.783992222671306
148.0,2.0424131240022634,4.7856317966736635
149.0,2.0418432163216305,4.7872657592836365
150.0,2.041275960900811,4.788894152750597
151.0,2.0407113350149757,4.79051701883627
152.0,2.0401493162140967,4.7921343988222445
153.0,2.0395898823185648,4.793746333517343
154.0,2.0390330114148907,4.795352863264844
155.0,2.038478681851495,4.796954027949572
156.0,2.0379268722345767,4.798549867004849
157.0,2.037377561424066,4.800140419419317
158.0,2.0368307285296536,4.801725723743629
159.0,2.0362863529068984,4.803305818097015
160.0,2.0357444141534087,4.8048807401737275
161.0,2.0352048921051,4.806450527249361
162.0,2.0346677668325204,4.808015216187063
163.0,2.0341330186372515,4.8095748434436185
164.0,2.0336006280483727,4.811129445075431
165.0,2.033070575818996,4.812679056744392
166.0,2.032542842922864,4.814223713723638
167.0,2.032017410551014,4.8157634509032095
168.0,2.031494260108504,4.817298302795603
169.0,2.030973373211199,4.8188283035412205
170.0,2.0304547316826183,4.820353486913727
171.0,2.02993831755084,4.821873886325305
172.0,2.0294241130454647,4.8233895348318185
173.0,2.0289121005946336,4.824900465137886
174.0,2.0284022628221017,4.826406709601857
175.0,2.0278945825443637,4.827908300240709
176.0,2.027389042767835,4.829405268734849
177.0,2.0268856266860804,4.830897646432842
178.0,2.026384317677095,4.83238546435604
179.0,2.0258850993006345,4.8338687532031495
180.0,2.0253879552955913,4.835347543354703
181.0,2.0248928695774198,4.836821864877462
182.0,2.024399826235607,4.838291747528741
183.0,2.023908809531187,4.839757220760659
184.0,2.0234198038943014,4.841218313724315
185.0,2.0229327939218003,4.842675055273894
186.0,2.022447764374888,4.8441274739707
187.0,2.0219647001768086,4.845575598087129
188.0,2.0214835864105725,4.847019455610564
189.0,2.0210044083167222,4.8484590742472085
190.0,2.020527151291137,4.84989448142586
191.0,2.0200518008828747,4.851325704301614
192.0,2.019578342792054,4.8527527697595065
193.0,2.019106762867768,4.854175704418102
194.0,2.0186370471060373,4.855594534633015
195.0,2.0181691816477967,4.857009286500376
196.0,2.0177031527769165,4.85841998586024
197.0,2.017238946918257,4.859826658299943
198.0,2.016776550635756,4.861229329157397
199.0,2.0163159506305477,4.862628023524333
200.0,2.0158571337391153,4.864022766249494
201.0,2.0154000869314723,4.865413581941778
202.0,2.0149447973093744,4.866800494973321
203.0,2.014491252104563,4.868183529482539
204.0,2.014039438677036,4.869562709377122
205.0,2.0135893445133464,4.870938058336969
206.0,2.0131409572249312,4.872309599817091
207.0,2.012694264546467,4.873677357050456
208.0,2.0122492543342507,4.875041353050797
209.0,2.0118059145646083,4.876401610615369
210.0,2.0113642333323303,4.877758152327668
211.0,2.0109241988491298,4.879111000560104
212.0,2.010485799442128,4.8804601774766345
213.0,2.010049023552363,4.8818057050353545
214.0,2.0096138597333217,4.8831476049910485
215.0,2.0091802966494963,4.884485898897702
216.0,2.0087483230749643,4.885820608110973
217.0,2.0083179278919903,4.8871517537906275
218.0,2.0078891000896486,4.888479356902938
219.0,2.00746182876247,4.889803438223041
220.0,2.0070361031091086,4.891124018337264
