t,H,L
0.0,2.18,4.44
1.0,2.178555668293176,4.443555256740605
2.0,2.177127557479897,4.447081956674708
3.0,2.175715351565041,4.45058060618496
4.0,2.17431874345053,4.454051698105542
5.0,2.172937434606483,4.457495712203948
6.0,2.171571134757369,4.460913115641461
7.0,2.1702195615823494,4.464304363413445
8.0,2.168882440429047,4.4676698987705095
9.0,2.167559504040027,4.471010153621539
10.0,2.1662504922913217,4.474325548919516
11.0,2.1649551519423724,4.477616495031017
12.0,2.1636732363967885,4.480883392090202
13.0,2.1624045054733783,4.484126630338074
14.0,2.1611487251869206,4.48734659044775
15.0,2.159905667538189,4.490543643836412
16.0,2.158675110312764,4.49371815296461
17.0,2.1574568368881977,4.496870471623512
18.0,2.1562506360491165,4.500000945210693
19.0,2.1550563018098767,4.503109910994999
20.0,2.1538736332444057,4.506197698371011
21.0,2.1527024343228818,4.509264629103587
22.0,2.1515425137549293,4.512311017562955
23.0,2.1503936848390155,4.515337170950783
24.0,2.149255765317764,4.518343389517644
25.0,2.1481285772389027,4.521329966772266
26.0,2.1470119468215905,4.524297189682945
27.0,2.1459057043278706,4.527245338871448
28.0,2.1448096839390236,4.530174688799779
29.0,2.1437237236365907,4.533085507950079
30.0,2.142647665087864,4.535978058997998
31.0,2.1415813535356403,4.538852598979792
32.0,2.1405246376920517,4.541709379453446
33.0,2.139477369636295,4.5445486466540475
34.0,2.138439404716086,4.547370641643677
35.0,2.137410601452681,4.5501756004560425
36.0,2.136390821449311,4.552963754236073
37.0,2.1353799293028817,4.55573532937468
38.0,2.134377792518803,4.558490547638899
39.0,2.1333842814288153,4.5612296262975836
40.0,2.1323992691116826,4.563952778242847
41.0,2.131422631316645,4.566660212107413
42.0,2.130454246389503,4.569352132378055
43.0,2.1294939952012357,4.572028739505257
44.0,2.128541761079046,4.574690230009271
45.0,2.1275974297397315,4.577336796582694
46.0,2.126660889225297,4.579968628189712
47.0,2.125732029840709,4.582585910162134
48.0,2.124810744093712,4.585188824292345
49.0,2.1238969266366263,4.587777548923293
50.0,2.1229904742100474,4.590352259035621
51.0,2.122091285588376,4.5929131263320615
52.0,2.121199261527102,4.5954603193191845
53.0,2.1203143047117847,4.597994003386606
54.0,2.1194363197086536,4.600514340883748
55.0,2.1185652129167774,4.603021491194247
56.0,2.117700892521736,4.60551561080808
57.0,2.1168432684507446,4.607996853391518
58.0,2.115992252329169,4.610465369854959
59.0,2.115147757438389,4.612921308418733
60.0,2.1143096986749508,4.615364814676953
61.0,2.1134779925109726,4.617796031659465
62.0,2.1126525569557457,4.620215099891985
63.0,2.111833311518498,4.622622157454475
64.0,2.111020177172272,4.625017340037816
65.0,2.1102130763188804,4.627400780998852
66.0,2.109411932754901,4.629772611413844
67.0,2.108616671638672,4.632132960130405
68.0,2.1078272194582546,4.634481953817954
69.0,2.1070435040003312,4.636819717016744
70.0,2.10626545432,4.639146372185522
71.0,2.105493000711442,4.641462039747848
72.0,2.10472607467943,4.643766838137137
73.0,2.1039646089116433,4.646060883840447
74.0,2.1032085372517706,4.648344291441079
75.0,2.1024577946733705,4.650617173659999
76.0,2.101712317254461,4.652879641396148
77.0,2.1009720421528186,4.6551318037656575
78.0,2.1002369075819614,4.657373768140009
79.0,2.0995068527877936,4.659605640183183
80.0,2.0987818180258895,4.66182752388781
81.0,2.0980617445393976,4.6640395216103805
82.0,2.097346574537543,4.6662417341055145
83.0,2.096636251174707,4.668434260559346
84.0,2.095930718530074,4.670617198622035
85.0,2.0952299215878147,4.6727906444394405
86.0,2.094533806217799,4.674954692683974
87.0,2.093842319156816,4.6771094365846695
88.0,2.0931554079902903,4.679254967956483
89.0,2.0924730211344724,4.681391377228855
90.0,2.0917951078190944,4.683518753473544
91.0,2.0911216180704737,4.685637184431772
92.0,2.090452502695051,4.687746756540687
93.0,2.08978771326335,4.68984755495917
94.0,2.0891272020943474,4.691939663593003
95.0,2.088470922240235,4.694023165119425
96.0,2.0878188274715703,4.696098141011078
97.0,2.087170872262798,4.698164671559374
98.0,2.0865270117781325,4.700222835897301
99.0,2.0858872018577923,4.702272712021674
100.0,2.0852513990045742,4.704314376814855
101.0,2.0846195603707582,4.706347906065951
102.0,2.0839916437453327,4.708373374491515
103.0,2.0833676075415317,4.710390855755751
104.0,2.0827474107846733,4.712400422490249
105.0,2.0821310131002932,4.714402146313256
106.0,2.0815183747025623,4.716396097848499
107.0,2.0809094563829813,4.718382346743566
108.0,2.0803042194993444,4.7203609616878754
109.0,2.0797026259649654,4.722332010430216
110.0,2.0791046382381566,4.724295559795902
111.0,2.0785102193119553,4.726251675703524
112.0,2.0779193327040897,4.728200423181331
113.0,2.07733194244718,4.730141866383239
114.0,2.0767480130791633,4.732076068604475
115.0,2.076167509633942,4.7340030922968825
