t,H,L
0.0,2.18,4.44
1.0,2.1796742145793804,4.441274392268446
2.0,2.179349900163951,4.442546185234645
3.0,2.179027047840403,4.443815392893465
4.0,2.178705648771441,4.445082029126394
5.0,2.1783856941949318,4.446346107702757
6.0,2.17806717542306,4.447607642280928
7.0,2.177750083841498,4.448866646409517
8.0,2.177434410908585,4.45012313352855
9.0,2.1771201481545215,4.451377116970621
10.0,2.1768072871805715,4.4526286099620425
11.0,2.176495819658276,4.453877625623972
12.0,2.1761857373286784,4.455124176973521
13.0,2.1758770320015604,4.45636827692486
14.0,2.175569695554688,4.4576099382903
15.0,2.1752637199330667,4.4588491737813625
16.0,2.1749590971482093,4.460085996009833
17.0,2.1746558192774113,4.461320417488809
18.0,2.174353878463037,4.462552450633722
19.0,2.1740532669118156,4.4637821077633575
20.0,2.173753976894146,4.465009401100853
21.0,2.1734560007434123,4.46623434277469
22.0,2.173159330855305,4.467456944819666
23.0,2.1728639596871564,4.468677219177865
24.0,2.17256987975728,4.469895177699599
25.0,2.1722770836443224,4.4711108321443565
26.0,2.171985563986621,4.472324194181723
27.0,2.1716953134815715,4.473535275392297
28.0,2.171406324885004,4.474744087268594
29.0,2.171118591010566,4.475950641215943
30.0,2.1708321047291155,4.477154948553357
31.0,2.1705468589681196,4.478357020514413
32.0,2.1702628467110627,4.479556868248102
33.0,2.169980060996862,4.480754502819685
34.0,2.1696984949192895,4.481949935211521
35.0,2.169418141626404,4.483143176323901
36.0,2.169138994319987,4.4843342369758625
37.0,2.1688610462549893,4.485523127905992
38.0,2.168584290738982,4.486709859773228
39.0,2.168308721131615,4.487894443157639
40.0,2.168034330844085,4.489076888561209
41.0,2.167761113338606,4.490257206408597
42.0,2.167489062127891,4.491435407047898
43.0,2.167218170774636,4.4926115007513925
44.0,2.166948432891013,4.493785497716283
45.0,2.1666798421381706,4.494957408065427
46.0,2.1664123922257374,4.496127241848055
47.0,2.1661460769113345,4.497295009040486
48.0,2.165880890000092,4.498460719546829
49.0,2.165616825344173,4.499624383199681
50.0,2.1653538768423046,4.5007860097608114
51.0,2.1650920384393113,4.501945608921844
52.0,2.1648313041256566,4.503103190304923
53.0,2.16457166793699,4.5042587634633815
54.0,2.1643131239537,4.50541233788239
55.0,2.1640556663004706,4.506563922979609
56.0,2.163799289145846,4.507713528105824
57.0,2.1635439867017983,4.508861162545579
58.0,2.1632897532233017,4.510006835517801
59.0,2.163036583007912,4.511150556176418
60.0,2.16278447039535,4.512292333610963
61.0,2.1625334097670916,4.513432176847186
62.0,2.1622833955459613,4.514570094847638
63.0,2.162034422195732,4.515706096512271
64.0,2.161786484220728,4.51684019067901
65.0,2.1615395761654357,4.517972386124333
66.0,2.161293692614114,4.519102691563839
67.0,2.161048828190415,4.520231115652808
68.0,2.160804977557005,4.521357666986756
69.0,2.1605621354151925,4.522482354101985
70.0,2.160320296504559,4.523605185476126
71.0,2.1600794556025953,4.524726169528672
72.0,2.159839607524341,4.525845314621512
73.0,2.1596007471220298,4.526962629059454
74.0,2.1593628692847373,4.528078121090739
75.0,2.1591259689380347,4.5291917989075605
76.0,2.158890041043644,4.530303670646565
77.0,2.1586550805991007,4.531413744389354
78.0,2.158421082637416,4.532522028162981
79.0,2.1581880422267488,4.53362852994044
80.0,2.1579559544700744,4.534733257641148
81.0,2.157724814504864,4.535836219131425
82.0,2.1574946175027625,4.536937422224967
83.0,2.1572653586692736,4.538036874683313
84.0,2.157037033243446,4.539134584216311
85.0,2.1568096364975653,4.54023055848257
86.0,2.1565831637368476,4.541324805089918
87.0,2.1563576102991378,4.542417331595845
88.0,2.156132971554611,4.543508145507951
89.0,2.155909242905477,4.544597254284377
90.0,2.155686419785689,4.545684665334244
91.0,2.1554644976606543,4.5467703860180775
92.0,2.1552434720269495,4.547854423648231
93.0,2.155023338412038,4.548936785489309
94.0,2.154804092373991,4.550017478758574
95.0,2.1545857295012127,4.5510965106263646
96.0,2.154368245412166,4.552173888216496
97.0,2.1541516357551034,4.553249618606659
98.0,2.1539358962078015,4.554323708828825
99.0,2.153721022477295,4.555396165869628
100.0,2.1535070102996183,4.556466996670761
101.0,2.153293855439546,4.557536208129355
102.0,2.1530815536903383,4.558603807098363
103.0,2.1528701008734887,4.559669800386931
104.0,2.152659492838475,4.560734194760776
105.0,2.1524497254625112,4.5617969969425465
106.0,2.152240794650306,4.562858213612194
107.0,2.152032696333818,4.563917851407329
108.0,2.15182542647202,4.564975916923577
109.0,2.151618981050662,4.5660324167149335
110.0,2.151413356082036,4.567087357294113
111.0,2.151208547604748,4.568140745132891
112.0,2.151004551683485,4.5691925866624485
113.0,2.1508013644087947,4.570242888273709
114.0,2.150598981896857,4.5712916563176735
115.0,2.150397400289265,4.572338897105753
116.0,2.1501966157528054,4.573384616910092
117.0,2.1499966244792423,4.574428821963898
118.0,2.149797422685103,4.575471518461759
119.0,2.149599006611466,4.576512712559962
120.0,2.149401372523751,4.577552410376807
121.0,2.149204516711512,4.578590617992918
122.0,2.149008435488231,4.579627341451554
123.0,2.148813125191117,4.5806625867589075
124.0,2.1486185821809025,4.581696359884413
125.0,2.148424802841646,4.5827286667610405
126.0,2.148231783580535,4.583759513285594
127.0,2.1480395208276923,4.584788905319003
128.0,2.147848011035981,4.585816848686613
129.0,2.1476572506808163,4.586843349178469
130.0,2.147467236259975,4.5878684125496045
131.0,2.14727796429341,4.588892044520318
132.0,2.1470894313230646,4.589914250776453
133.0,2.146901633912691,4.590935036969674
134.0,2.146714568647668,4.591954408717737
135.0,2.146528232134822,4.592972371604762
136.0,2.1463426210022507,4.593988931181497
137.0,2.1461577318991463,4.595004092965586
138.0,2.1459735614956235,4.596017862441828
139.0,2.145790106482546,4.597030245062438
140.0,2.1456073635713575,4.598041246247304
141.0,2.1454253294939125,4.599050871384239
142.0,2.1452440010023106,4.600059125829234
143.0,2.1450633748687307,4.60106601490671
144.0,2.1448834478852676,4.60207154390976
145.0,2.1447042168637713,4.603075718100397
146.0,2.1445256786356857,4.604078542709794
147.0,2.1443478300518914,4.605080022938523
148.0,2.144170667982548,4.606080163956796
149.0,2.1439941893169387,4.607078970904697
150.0,2.1438183909633177,4.6080764488924135
151.0,2.143643269848757,4.609072603000472
152.0,2.143468822918996,4.610067438279962
153.0,2.1432950471382926,4.611060959752761
154.0,2.1431219394892747,4.6120531724117635
155.0,2.1429494969727956,4.6130440812210995
156.0,2.1427777166077875,4.6140336911163535
157.0,2.1426065954311193,4.615022007004784
158.0,2.142436130497454,4.616009033765537
159.0,2.1422663188791087,4.616994776249862
160.0,2.1420971576659142,4.61797923928132
161.0,2.1419286439650795,4.6189624276559975
162.0,2.141760774901053,4.6199443461427085
163.0,2.141593547615389,4.620924999483203
164.0,2.1414269592666124,4.621904392392372
165.0,2.141261007030088,4.622882529558445
166.0,2.1410956880978884,4.623859415643192
167.0,2.1409309996786634,4.624835055282124
168.0,2.140766938997512,4.625809453084683
169.0,2.1406035032958544,4.6267826136344405
170.0,2.1404406898313075,4.627754541489289
171.0,2.1402784958775576,4.628725241181633
172.0,2.140116918724238,4.629694717218575
173.0,2.1399559556768053,4.630662974082106
174.0,2.1397956040564194,4.631630016229289
175.0,2.1396358611998223,4.6325958480924445
176.0,2.139476724459218,4.633560474079329
177.0,2.139318191202157,4.634523898573317
178.0,2.139160258811417,4.635486125933581
179.0,2.1390029246848883,4.636447160495267
180.0,2.138846186235458,4.63740700656967
181.0,2.1386900408908986,4.638365668444407
182.0,2.1385344860937527,4.63932315038359
183.0,2.1383795193012234,4.640279456627997
184.0,2.138225137985063,4.641234591395241
185.0,2.138071339631465,4.642188558879935
186.0,2.137918121740952,4.6431413632538625
187.0,2.137765481828273,4.644093008666137
188.0,2.1376134174222945,4.645043499243369
189.0,2.1374619260658947,4.645992839089826
190.0,2.13731100531586,4.646941032287591
191.0,2.137160652742782,4.647888082896726
192.0,2.137010865930954,4.648833994955423
193.0,2.13686164247827,4.649778772480163
194.0,2.1367129799961226,4.650722419465871
195.0,2.136564876109307,4.651664939886069
196.0,2.136417328455917,4.652606337693026
197.0,2.1362703346872522,4.653546616817909
198.0,2.1361238924677184,4.654485781170934
199.0,2.1359779994747305,4.655423834641511
200.0,2.1358326533986203,4.6563607810983925
201.0,2.135687851942539,4.657296624389815
202.0,2.135543592822366,4.658231368343649
203.0,2.1353998737666156,4.659165016767536
204.0,2.135256692516344,4.660097573449032
205.0,2.1351140468250605,4.661029042155748
206.0,2.134971934458635,4.66195942663549
207.0,2.1348303531952113,4.662888730616392
208.0,2.1346893008251153,4.663816957807058
209.0,2.13454877515077,4.664744111896694
210.0,2.1344087739866073,4.665670196555243
211.0,2.134269295158982,4.666595215433517
212.0,2.134130336506086,4.667519172163332
213.0,2.1339918958778643,4.668442070357634
214.0,2.133853971135931,4.669363913610633
215.0,2.133716560153485,4.670284705497929
216.0,2.1335796608152298,4.6712044495766385
217.0,2.1334432710172893,4.6721231493855235
218.0,2.1333073886671285,4.673040808445115
219.0,2.133172011683473,4.673957430257835
220.0,2.133037137996228,4.674873018308126
221.0,2.132902765546402,4.675787576062566
222.0,2.1327688922860255,4.676701106969993
223.0,2.1326355161780763,4.677613614461624
224.0,2.1325026351964014,4.678525101951174
225.0,2.1323702473256407,4.679435572834976
226.0,2.132238350561152,4.680345030492092
227.0,2.1321069429089365,4.681253478284439
228.0,2.131976022385563,4.682160919556892
229.0,2.1318455870180957,4.683067357637407
230.0,2.1317156348440216,4.683972795837131
231.0,2.1315861639111775,4.684877237450514
232.0,2.1314571722776785,4.685780685755419
233.0,2.1313286580118467,4.686683144013235
234.0,2.131200619192141,4.687584615468984
235.0,2.1310730539070875,4.688485103351432
236.0,2.1309459602552105,4.689384610873193
237.0,2.1308193363449632,4.690283141230839
238.0,2.130693180294659,4.6911806976050014
239.0,2.1305674902324068,4.692077283160482
240.0,2.13044226429604,4.692972901046353
241.0,2.1303175006330544,4.69386755439606
242.0,2.1301931974005393,4.694761246327525
243.0,2.1300693527651138,4.69565397994325
244.0,2.129945964902862,4.696545758330414
245.0,2.1298230319992677,4.697436584560975
246.0,2.129700552249153,4.69832646169177
247.0,2.1295785238566127,4.69921539276461
248.0,2.1294569450349545,4.70010338080638
249.0,2.1293358140066347,4.700990428829135
250.0,2.129215129003198,4.701876539830196
251.0,2.1290948882652163,4.702761716792245
252.0,2.1289750900422275,4.703645962683418
253.0,2.1288557325926765,4.704529280457401
254.0,2.128736814183856,4.70541167305352
255.0,2.128618333091846,4.706293143396836
256.0,2.128500287601457,4.707173694398234
257.0,2.1283826760061713,4.708053328954515
258.0,2.1282654966080847,4.708932049948484
259.0,2.1281487477178516,4.709809860249043
260.0,2.1280324276546256,4.710686762711273
261.0,2.127916534746006,4.711562760176528
262.0,2.127801067327981,4.71243785547252
263.0,2.1276860237448716,4.7133120514134035
264.0,2.127571402349279,4.7141853507998634
265.0,2.1274572015020285,4.715057756419199
266.0,2.1273434195721164,4.715929271045408
267.0,2.127230054936656,4.716799897439272
268.0,2.127117105980826,4.717669638348437
269.0,2.127004571097817,4.718538496507496
270.0,2.1268924486887784,4.719406474638073
271.0,2.1267807371627683,4.720273575448902
272.0,2.126669434936702,4.721139801635907
273.0,2.1265585404353007,4.722005155882285
274.0,2.1264480520910407,4.722869640858582
275.0,2.126337968344104,4.723733259222772
276.0,2.126228287642328,4.724596013620336
277.0,2.126119008441157,4.725457906684337
278.0,2.1260101292035936,4.726318941035501
279.0,2.1259016484001485,4.72717911928229
280.0,2.125793564508794,4.728038444020978
281.0,2.125685876014916,4.728896917835725
282.0,2.125578581411266,4.729754543298656
283.0,2.1254716791979154,4.730611322969926
284.0,2.1253651678822068,4.731467259397804
285.0,2.1252590459787104,4.732322355118739
286.0,2.125153312009177,4.733176612657432
287.0,2.1250479645024907,4.734030034526909
288.0,2.1249430019946276,4.734882623228596
289.0,2.1248384230286077,4.735734381252381
290.0,2.1247342261544517,4.7365853110766905
291.0,2.124630409929137,4.737435415168559
292.0,2.1245269729165543,4.738284695983693
293.0,2.124423913687463,4.739133155966545
294.0,2.12432123081945,4.739980797550378
295.0,2.1242189228968846,4.740827623157332
296.0,2.1241169885108784,4.741673635198496
297.0,2.1240154262592417,4.742518836073968
298.0,2.123914234746443,4.7433632281729246
299.0,2.123813412583566,4.744206813873686
300.0,2.123712958388271,4.74504959554378
301.0,2.1236128707847506,4.745891575540009
302.0,2.1235131484036924,4.746732756208508
303.0,2.123413789882238,4.747573139884814
304.0,2.123314793863942,4.748412728893927
305.0,2.123216158998733,4.749251525550371
306.0,2.1231178839428764,4.75008953215826
307.0,2.123019967358932,4.750926751011352
308.0,2.1229224079157176,4.751763184393121
309.0,2.1228252042882705,4.752598834576806
310.0,2.1227283551578093,4.753433703825481
311.0,2.1226318592116953,4.754267794392109
312.0,2.122535715143396,4.755101108519603
313.0,2.122439921652448,4.755933648440886
314.0,2.122344477444419,4.756765416378946
315.0,2.1222493812308727,4.757596414546899
