t,H,L
0.0,2.18,4.44
1.0,2.178755030912951,4.443556393802226
2.0,2.1775251586418714,4.4470864694437635
3.0,2.1763100997846827,4.450590681830917
4.0,2.1751095786573194,4.454069474087693
5.0,2.173923327017727,4.457523277961343
6.0,2.172751083802044,4.460952514210541
7.0,2.171592594872331,4.464357592977092
8.0,2.1704476127752454,4.467738914141996
9.0,2.169315896511099,4.471096867666653
10.0,2.1681972113127657,4.474431833919961
11.0,2.167091328433947,4.4777441839919785
12.0,2.1659980249463158,4.481034279994843
13.0,2.1649170835451073,4.484302475351531
14.0,2.163848292362728,4.48754911507307
15.0,2.1627914447900007,4.490774536024736
16.0,2.1617463393046656,4.4939790671817725
17.0,2.1607127793067944,4.497163029875115
18.0,2.1596905729607814,4.500326738027591
19.0,2.1586795330436024,4.503470498381032
20.0,2.157679476799045,4.5065946107147195
21.0,2.156690225797632,4.5096993680555615
22.0,2.155711605801972,4.512785056880363
23.0,2.15474344663729,4.515851957310558
24.0,2.1537855820669,4.518900343299731
25.0,2.1528378496723932,4.5219304828142475
26.0,2.1519000907383337,4.524942638007297
27.0,2.1509721501412584,4.527937065386639
28.0,2.15005387624279,4.5309140159763155
29.0,2.1491451207866814,4.533873735472599
30.0,2.1482457387996203,4.5368164643944136
31.0,2.147355588495632,4.5397424382284655
32.0,2.146474531183923,4.542651887569309
33.0,2.1456024311800213,4.545545038254554
34.0,2.144739155720067,4.548422111495419
35.0,2.1438845748781303,4.551283324002818
36.0,2.14303856148642,4.554128888109172
37.0,2.142200991058268,4.556959011886106
38.0,2.141371741713774,4.559773899258207
39.0,2.140550694108001,4.562573750112999
40.0,2.1397377313616155,4.565358760407278
41.0,2.1389327389938764,4.568129122269968
42.0,2.1381356048578777,4.570885024101611
43.0,2.1373462190779513,4.57362665067064
44.0,2.1365644739891514,4.576354183206556
45.0,2.1357902640787283,4.5790677994901205
46.0,2.1350234859295236,4.581767673940688
47.0,2.1342640381652056,4.584453977700779
48.0,2.133511821397275,4.587126878718001
49.0,2.132766738173775,4.589786541824418
50.0,2.1320286929296386,4.592433128813464
51.0,2.131297591938609,4.5950667985144795
52.0,2.1305733432666796,4.597687706864987
53.0,2.1298558567269916,4.600296006980748
54.0,2.1291450438361355,4.602891849223722
55.0,2.1284408177718057,4.605475381267976
56.0,2.12774309333176,4.608046748163626
57.0,2.12705178689403,4.610606092398888
58.0,2.126366816378347,4.613153553960297
59.0,2.125688101208727,4.6156892703911545
60.0,2.1250155622771847,4.618213376848286
61.0,2.124349121908528,4.620726006157144
62.0,2.1236887038262013,4.623227288865326
63.0,2.1230342331191316,4.625717353294568
64.0,2.1223856362095526,4.628196325591244
65.0,2.121742840821765,4.630664329775453
66.0,2.1211057759518033,4.63312148778871
67.0,2.120474371837978,4.635567919540314
68.0,2.119848559932263,4.638003742952418
69.0,2.119228272872498,4.640429074003857
70.0,2.1186134444553804,4.64284402677277
71.0,2.1180040096102175,4.6452487134780505
72.0,2.1173999043734177,4.647643244519678
73.0,2.1168010658636898,4.650027728517953
74.0,2.116207432257932,4.652402272351677
75.0,2.1156189427677865,4.6547669811953085
76.0,2.115035537616838,4.657121958555137
77.0,2.1144571580184315,4.6594673063044905
78.0,2.1138837461540962,4.661803124718023
79.0,2.1133152451525494,4.6641295125051005
80.0,2.1127515990692656,4.666446566842315
81.0,2.1121927528665907,4.668754383405162
82.0,2.111638652394386,4.671053056398895
83.0,2.1110892443711826,4.673342678588593
84.0,2.110544476365831,4.6756233413284605
85.0,2.1100042967796355,4.677895134590377
86.0,2.1094686548289463,4.680158146991739
87.0,2.1089375005282087,4.682412465822587
88.0,2.1084107846734463,4.684658177072065
89.0,2.1078884588261686,4.68689536545422
90.0,2.1073704752976883,4.689124114433159
91.0,2.1068567871338373,4.691344506247591
92.0,2.106347348100069,4.693556621934768
93.0,2.1058421126669353,4.695760541353834
94.0,2.1053410359959237,4.69795634320862
95.0,2.104844073925652,4.7001441050698824
96.0,2.104351182958401,4.702323903397003
97.0,2.10386232024698,4.704495813559178
98.0,2.103377443581915,4.706659909856099
99.0,2.1028965113789497,4.708816265538145
100.0,2.1024194826668503,4.710964952826098
101.0,2.1019463170755026,4.713106042930396
102.0,2.1014769748242985,4.715239606069939
103.0,2.1010114167108003,4.717365711490454
104.0,2.1005496040996734,4.719484427482441
105.0,2.100091498911883,4.721595821398701
106.0,2.099637063614145,4.723699959671462
107.0,2.0991862612086263,4.725796907829123
108.0,2.098739055222884,4.727886730512605
109.0,2.0982954097000412,4.729969491491342
110.0,2.0978552891891873,4.732045253678914
111.0,2.097418658736004,4.734114079148316
112.0,2.096985483873604,4.736176029146907
113.0,2.096555730613578,4.738231164111009
114.0,2.0961293654372497,4.740279543680197
115.0,2.095706355287124,4.742321226711265
116.0,2.095286667558533,4.744356271291894
117.0,2.0948702700914663,4.746384734754014
118.0,2.0944571311625837,4.748406673686886
119.0,2.09404721947741,4.750422143949892
120.0,2.093640504162696,4.7524312006850575
121.0,2.0932369547589573,4.754433898329299
122.0,2.092836541213166,4.756430290626414
123.0,2.0924392338716125,4.758420430638822
124.0,2.0920450034729163,4.76040437075904
125.0,2.091653821141191,4.7623821627209395
126.0,2.091265658379357,4.76435385761075
127.0,2.0908804870625977,4.766319505877839
128.0,2.090498279431954,4.768279157345271
129.0,2.09011900808806,4.770232861220138
130.0,2.089742645985007,4.772180666103693
131.0,2.0893691664243397,4.7741226200012585
132.0,2.0889985430491786,4.776058770331945
133.0,2.088630749838466,4.777989163938164
134.0,2.088265761101331,4.779913847094955
135.0,2.0879035514715727,4.781832865519116
136.0,2.0875440959022575,4.783746264378157
137.0,2.087187369660428,4.785654088299074
138.0,2.086833348321921,4.787556381376941
139.0,2.0864820077662904,4.789453187183343
140.0,2.086133324171835,4.791344548774628
141.0,2.0857872740107255,4.793230508700012
142.0,2.085443834044233,4.795111109009511
143.0,2.0851029813180504,4.796986391261726
144.0,2.0847646931577093,4.798856396531474
145.0,2.084428947164089,4.800721165417273
146.0,2.0840957212090134,4.802580738048677
147.0,2.0837649934309366,4.804435154093478
148.0,2.0834367422307123,4.806284452764763
149.0,2.0831109462674484,4.808128672827839
150.0,2.0827875844544415,4.809967852607024
151.0,2.0824666359551904,4.811802029992317
152.0,2.082148080179488,4.813631242445932
153.0,2.0818318967795895,4.815455527008714
154.0,2.0815180656464527,4.817274920306437
155.0,2.081206566906052,4.819089458555979
156.0,2.0808973809157636,4.820899177571387
157.0,2.080590488260817,4.822704112769827
158.0,2.080285869750817,4.824504299177426
159.0,2.079983506416331,4.826299771435004
