t,H,L
0.0,2.18,4.44
1.0,2.178256623855692,4.443553551924613
2.0,2.1765315734819892,4.447075196023328
3.0,2.174824478580142,4.4505655248781375
4.0,2.1731349797928226,4.454025114463046
5.0,2.171462728279849,4.457454524763179
6.0,2.1698073853142015,4.460854300365193
7.0,2.168168621897187,4.464224971020568
8.0,2.1665461183916666,4.467567052183278
9.0,2.1649395641723457,4.47088104552322
10.0,2.1633486572921874,4.4741674394167035
11.0,2.1617731041640607,4.477426709415232
12.0,2.1602126192568036,4.480659318693716
13.0,2.1586669248049253,4.483865718479195
14.0,2.157135750531219,4.487046348461079
15.0,2.15561883338161,4.490201637183861
16.0,2.154115917271588,4.493332002423195
17.0,2.1526267528436374,4.496437851546176
18.0,2.1511510972350854,4.499519581856622
19.0,2.1496887138558467,4.50257758092609
20.0,2.1482393721755586,4.505612226911346
21.0,2.146802847519638,4.508623888858934
22.0,2.1453789208738168,4.511612926997484
23.0,2.1439673786967335,4.514579693018336
24.0,2.142568012740192,4.517524530345051
25.0,2.1411806198767107,4.5204477743923155
26.0,2.1398050019340147,4.523349752814759
27.0,2.1384409655361343,4.526230785746138
28.0,2.1370883219508015,4.529091186029344
29.0,2.135746886942845,4.531931259437637
30.0,2.1344164806333055,4.534751304887531
31.0,2.1330969273640026,4.537551614643685
32.0,2.131788055567309,4.540332474516166
33.0,2.130489697640889,4.543094164050428
34.0,2.129201689827174,4.545836956710321
35.0,2.1279238720973748,4.548561120054438
36.0,2.1266560880398093,4.55126691590609
37.0,2.125398184752373,4.553954600517185
38.0,2.124150012738955,4.556624424726276
39.0,2.122911425809637,4.559276634111006
40.0,2.1216822809845084,4.561911469135222
41.0,2.120462438400938,4.564529165290945
42.0,2.1192517612241613,4.567129953235438
43.0,2.1180501155610374,4.569714058923557
44.0,2.116857370376844,4.572281703735587
45.0,2.1156733974149824,4.574833104600748
46.0,2.1144980711194727,4.5773684741165415
47.0,2.1133312685601227,4.579888020664103
48.0,2.1121728693602626,4.582391948519734
49.0,2.111022755626938,4.58488045796275
50.0,2.1098808118834644,4.58735374537979
51.0,2.1087469250042474,4.589812003365743
52.0,2.1076209841517772,4.592255420821397
53.0,2.1065028807157136,4.594684183047969
54.0,2.1053925082539746,4.5970984718386
55.0,2.104289762435756,4.599498465566964
56.0,2.1031945409864012,4.601884339273075
57.0,2.1021067436340544,4.604256264746414
58.0,2.101026272058024,4.60661441060647
59.0,2.099953029838797,4.6089589423807915
60.0,2.098886922409632,4.611290022580634
61.0,2.097827857009685,4.61360781077431
62.0,2.096775742638597,4.615912463658305
63.0,2.095730490012498,4.618204135126253
64.0,2.09469201152137,4.620482976335843
65.0,2.093660221187722,4.622749135773737
66.0,2.0926350346265283,4.625002759318559
67.0,2.0916163690063816,4.627243990302038
68.0,2.0906041430118205,4.629472969568354
69.0,2.089598276806789,4.63168983553177
70.0,2.0885986919991835,4.633894724232583
71.0,2.0876053116064544,4.636087769391481
72.0,2.0866180600222197,4.6382691024623375
73.0,2.08563686298386,4.640438852683511
74.0,2.084661647541056,4.642597147127692
75.0,2.0836923420252407,4.644744110750354
76.0,2.0827288760199285,4.646879866436849
77.0,2.081771180331899,4.649004535048195
78.0,2.080819186963198,4.651118235465602
79.0,2.079872829083934,4.653221084633773
80.0,2.0789320410058427,4.655313197603023
81.0,2.0779967581565897,4.657394687570256
82.0,2.0770669170547915,4.659465665918832
83.0,2.0761424552857273,4.66152624225737
84.0,2.0752233114777225,4.663576524457506
85.0,2.0743094252791785,4.665616618690653
86.0,2.0734007373362284,4.667646629463792
87.0,2.072497189271001,4.669666659654315
88.0,2.0715987236604687,4.671676810543963
89.0,2.0707052840158666,4.6736771818518825
90.0,2.069816814762657,4.675667871766819
91.0,2.0689332612210305,4.677648976978492
92.0,2.0680545695869177,4.67962059270816
93.0,2.0671806869135034,4.681582812738408
94.0,2.0663115610932246,4.683535729442186
