t,H,L
0.0,2.18,4.44
1.0,2.178256623855692,4.443553551924613
2.0,2.176531726843028,4.447075196890236
3.0,2.1748249377165414,4.450565529175906
4.0,2.173135896208522,4.45402512639589
5.0,2.17146425260301,4.457454550121337
6.0,2.169809667330181,4.460854346473099
7.0,2.168171810579967,4.4642250466873055
8.0,2.166550361933828,4.467567167655184
9.0,2.1649450100136693,4.470881212438534
10.0,2.1633554521469516,4.474167670762156
11.0,2.161781394047111,4.477427019484463
12.0,2.160222549508458,4.48065972304744
13.0,2.158678640114777,4.4838662339070074
14.0,2.157149394960896,4.487046992944841
15.0,2.1556345503865426,4.4902024298625705
16.0,2.154133849721842,4.493332963559269
17.0,2.1526470430438533,4.496439002493088
18.0,2.151173886943575,4.499520945027809
19.0,2.149714144302887,4.502579179765088
20.0,2.1482675840809224,4.505614085863077
21.0,2.146833981109403,4.508626033342105
22.0,2.145413115896483,4.511615383378033
23.0,2.144004774438687,4.514582488583889
24.0,2.1426087480405465,4.517527693280325
25.0,2.1412248331415538,4.520451333755446
26.0,2.13985283115009,4.523353738514492
27.0,2.1384925482839847,4.526235228519861
28.0,2.137143795417401,4.5290961174219
29.0,2.1358063879337386,4.531936711780912
30.0,2.134480145584285,4.53475731128076
31.0,2.133164892352336,4.537558208934451
32.0,2.1318604563225443,4.5403396912820675
33.0,2.130566669555252,4.543102038581381
34.0,2.129283367965583,4.545845524991468
35.0,2.1280103912070767,4.548570418749641
36.0,2.1267475825596693,4.551276982341981
37.0,2.125494788821821,4.553965472667754
38.0,2.1242518602066105,4.556636141197964
39.0,2.123018650241624,4.5592892341283004
40.0,2.1217950156724723,4.561924992526715
41.0,2.1205808163697797,4.564543652475851
42.0,2.1193759152394995,4.567145445210539
43.0,2.1181801781364102,4.569730597250569
44.0,2.11699347378066,4.572299330528928
45.0,2.1158156736772336,4.574851862515687
46.0,2.114646652038218,4.577388406337718
47.0,2.1134862857077508,4.579909170894408
48.0,2.112334454089542,4.582414360969523
49.0,2.1111910390768687,4.58490417733939
50.0,2.11005592498493,4.587378816877527
51.0,2.1089289984854838,4.589838472655862
52.0,2.1078101485436607,4.5922833340426905
53.0,2.106699266356876,4.594713586797472
54.0,2.105596245295754,4.59712941316261
55.0,2.104500980846987,4.59953099195231
56.0,2.1034133705580524,4.601918498638652
57.0,2.1023333139837184,4.604292105434951
58.0,2.101260712634266,4.606651981376537
59.0,2.100195469925366,4.608998292399028
60.0,2.0991374911295426,4.611331201414205
61.0,2.098086683329172,4.61365086838356
62.0,2.0970429553709464,4.615957450389626
63.0,2.096006217821764,4.618251101705139
64.0,2.0949763829259775,4.620531973860144
65.0,2.093953364563959,4.622800215707087
66.0,2.092937078211935,4.625055973483983
67.0,2.091927440903039,4.6272993908757325
68.0,2.0909243711895398,4.6295306090736315
69.0,2.089927789106207,4.631749766833159
70.0,2.0889376161347686,4.633957000530088
71.0,2.087953775169424,4.636152444214986
72.0,2.086976190483374,4.638336229666158
73.0,2.0860047876963326,4.640508486441082
74.0,2.085039493742988,4.642669341926394
75.0,2.0840802368423756,4.644818921386467
76.0,2.0831269464681372,4.646957348010634
77.0,2.0821795533196306,4.649084742959101
78.0,2.081237989293864,4.651201225407585
79.0,2.0803021874582264,4.653306912590737
80.0,2.0793720820239865,4.6554019198443655
81.0,2.078447608320534,4.657486360646527
82.0,2.077528702770341,4.659560346657496
83.0,2.076615302864616,4.661623987758667
84.0,2.07570734713963,4.663677392090412
85.0,2.074804775153693,4.66572066608894
86.0,2.0739075274647583,4.667753914522171
87.0,2.073015545608633,4.669777240524679
88.0,2.0721287720777806,4.671790745631711
89.0,2.071247150300687,4.673794529812327
90.0,2.070370624621784,4.6757886915016815
91.0,2.069499140281902,4.6777733276324724
92.0,2.0686326433992415,4.679748533665585
93.0,2.0677710809508425,4.681714403619956
94.0,2.066914400754543,4.683671030101682
95.0,2.0660625514514033,4.685618504332394
