t,H,L
0.0,2.18,4.44
1.0,2.178256623855692,4.443553551924613
2.0,2.1765319057642403,4.447075197901628
3.0,2.174825473375671,4.450565534189973
4.0,2.1731369653601553,4.4540251403175635
5.0,2.1714660309799783,4.457454579705934
6.0,2.1698123296820158,4.460854400265874
7.0,2.1681755307095543,4.464225134965662
8.0,2.1665553127323647,4.46756730237341
9.0,2.16495136349401,4.470881407174922
10.0,2.1633633794754377,4.474167940668383
11.0,2.161791065573963,4.477427381237118
12.0,2.1602341347968075,4.480660194801579
13.0,2.1586923079684115,4.4838668352516455
14.0,2.157165313450785,4.487047744860269
15.0,2.1556528868762066,4.490203354679415
16.0,2.1541547708916275,4.4933340849192085
17.0,2.1526707149141666,4.496440345311135
18.0,2.15120047489713,4.499522535456095
19.0,2.149743813106015,4.502581045158065
20.0,2.1483004979039957,4.505616254744078
21.0,2.1468703035464074,4.5086285353711935
22.0,2.14545300998379,4.511618249321083
23.0,2.144048402673061,4.514585750282835
24.0,2.1426562723964215,4.517531383624532
25.0,2.141276415087622,4.5204554866541455
26.0,2.1399086316652256,4.523358388870237
27.0,2.138552727872543,4.526240412202948
28.0,2.1372085141239157,4.529101871245726
29.0,2.1358758053570512,4.531943073478215
30.0,2.1345544208911256,4.534764319480704
31.0,2.1332441842903878,4.537565903140531
32.0,2.13194492323301,4.540348111850782
33.0,2.1306564693849475,4.543111226701647
34.0,2.129378658278577,4.545855522664753
35.0,2.128111329195901,4.548581268770766
36.0,2.1268543250561125,4.551288728280586
37.0,2.1256074923073296,4.553978158850377
38.0,2.1243706808223104,4.556649812690727
39.0,2.123143743797981,4.559303936720167
40.0,2.1219265376586076,4.561940772713295
41.0,2.1207189219624523,4.5645605574437385
42.0,2.119520759311772,4.567163522822155
43.0,2.118331915266011,4.569749896029493
44.0,2.117152258258053,4.572319899645693
45.0,2.1159816595134107,4.574873751774028
46.0,2.114819992972221,4.57741166616125
47.0,2.1136671352139387,4.579933852313719
48.0,2.112522965384612,4.582440515609668
49.0,2.1113873651266375,4.584931857407766
50.0,2.1102602185108927,4.587408075152117
51.0,2.109141411971151,4.5898693624738405
52.0,2.108030834240689,4.592315909289361
53.0,2.106928376290994,4.594747901895543
54.0,2.1058339312724983,4.597165523061782
55.0,2.1047473944572506,4.599568952119173
56.0,2.103668663183455,4.601958365046873
57.0,2.102597636801804,4.60433393455575
58.0,2.101534216623536,4.60669583016943
59.0,2.100478305870152,4.609044218302843
60.0,2.0994298096247292,4.6113792623383425
61.0,2.098388634784767,4.613701122699508
62.0,2.0973546900165143,4.616009956922706
63.0,2.0963278857107186,4.618305919726488
64.0,2.095308133939745,4.620589163078906
65.0,2.094295348416014,4.622859836262827
66.0,2.093289444451714,4.625118085939309
67.0,2.092290338919734,4.627364056209107
68.0,2.091297950215781,4.629597888672384
69.0,2.0903121982216355,4.63181972248668
70.0,2.0893330042695006,4.634029694423207
71.0,2.0883602911074153,4.636227938921518
72.0,2.087393982865685,4.6384145881426235
73.0,2.086434005024298,4.640589772020587
74.0,2.0854802843812954,4.642753618312669
75.0,2.084532749022055,4.644906252648058
76.0,2.083591328289464,4.647047798575239
77.0,2.0826559527549464,4.649178377608054
78.0,2.0817265541903187,4.651298109270475
79.0,2.08080306554044,4.653407111140162
80.0,2.0798854208966384,4.655505498890817
81.0,2.07897355547088,4.657593386333401
82.0,2.0780674055706583,4.659670885456224
83.0,2.077166908574583,4.661738106463965
84.0,2.0762720029086403,4.663795157815652
85.0,2.075382628023105,4.6658421462616175
86.0,2.074498724370083,4.667879176879498
87.0,2.0736202333816656,4.669906353109268
88.0,2.07274709744867,4.671923776787369
89.0,2.0718792598999554,4.673931548179945
90.0,2.071016664982287,4.675929766015217
91.0,2.070159257840741,4.67791852751503
92.0,2.0693069844996224,4.679897928425585
93.0,2.0684597918438876,4.68186806304739
94.0,2.0676176276010545,4.6838290242644565
95.0,2.0667804403235808,4.68578090357275
