t,H,L
0.0,2.18,4.44
1.0,2.178567630058002,4.443555324952623
2.0,2.177151635982112,4.447082228607598
3.0,2.1757517023976267,4.450581216661985
4.0,2.1743675228024575,4.454052781297591
5.0,2.172998799239405,4.4574974016612146
6.0,2.171645241983372,4.460915544323671
7.0,2.170306569242707,4.464307663718712
8.0,2.1689825068739217,4.467674202562886
9.0,2.1676727881090727,4.471015592257338
10.0,2.1663771532951372,4.4743322532724585
11.0,2.1650953496447602,4.477624595516274
12.0,2.163827130997782,4.480893018687381
13.0,2.162572257592993,4.484137912613211
14.0,2.161330495849598,4.487359657574346
15.0,2.1601016181578916,4.490558624615573
16.0,2.1588854026786977,4.493735175844327
17.0,2.157681633151121,4.496889664717129
18.0,2.1564900987082156,4.500022436314596
19.0,2.1553105937001744,4.503133827605572
20.0,2.15414291752468,4.506224167700883
21.0,2.15298687446407,4.509293778097217
22.0,2.1518422735289926,4.5123429729115765
23.0,2.1507089283082466,4.515372059106738
24.0,2.149586656824511,4.518381336708145
25.0,2.1484752813956955,4.5213710990126
26.0,2.1473746285016477,4.5243416327891515
27.0,2.146284528655972,4.527293218472498
28.0,2.1452048162827286,4.530226130349267
29.0,2.1441353295977907,4.533140636737463
30.0,2.1430759104946504,4.536037000159396
31.0,2.142026404434476,4.538915477508366
32.0,2.1409866603402343,4.5417763202093795
33.0,2.139956530494694,4.544619774374142
34.0,2.1389358704421473,4.547446080950585
35.0,2.1379245388936847,4.550255475867149
36.0,2.136922397635871,4.55304819017204
37.0,2.13592931144268,4.555824450167673
38.0,2.134945147990544,4.558584477540502
39.0,2.1339697777763935,4.5613284894864226
40.0,2.133003074038559,4.56405669883193
41.0,2.1320449126804135,4.566769314151204
42.0,2.1310951721966496,4.569466539879279
43.0,2.1301537336020755,4.572148576421468
44.0,2.129220480362833,4.574815620259171
45.0,2.1282952983299372,4.577467864052232
46.0,2.1273780756750442,4.580105496737955
47.0,2.1264687028283618,4.582728703626936
48.0,2.1255670724186118,4.585337666495804
49.0,2.124673079214969,4.587932563677022
50.0,2.123786620070897,4.590513570145826
51.0,2.122907593869807,4.593080857604446
52.0,2.122035901472471,4.595634594563674
53.0,2.1211714456661164,4.598174946421915
54.0,2.12031413111515,4.600702075541782
55.0,2.1194638643134334,4.603216141324349
56.0,2.1186205535380656,4.605717300281138
57.0,2.1177841088046088,4.608205706103922
58.0,2.116954441823705,4.610681509732425
59.0,2.1161314659590333,4.613144859419997
60.0,2.115315096186558,4.6155959007973335
61.0,2.1145052490550196,4.61803477693431
62.0,2.1137018426476244,4.620461628399998
63.0,2.11290479654489,4.622876593320925
64.0,2.1121140317886034,4.625279807437642
65.0,2.111329470846854,4.627671404159664
66.0,2.1105510375801013,4.63005151461882
67.0,2.1097786572082433,4.63242026772109
68.0,2.1090122562786493,4.634777790196965
69.0,2.1082517626351214,4.6371242066503875
70.0,2.1074971053877567,4.639459639606319
71.0,2.106748214883677,4.641784209556976
72.0,2.1060050226785942,4.644098035006791
73.0,2.1052674615091873,4.6464012325161255
74.0,2.10453546526626,4.6486939167437855
75.0,2.103808968968654,4.650976200488379
76.0,2.1030879087378924,4.653248194728548
77.0,2.10237222177353,4.655510008662117
78.0,2.101661846329185,4.657761749744192
79.0,2.1009567216892293,4.660003523724238
80.0,2.100256788146122,4.662235434682175
81.0,2.0995619869783537,4.66445758506352
82.0,2.098872260428995,4.666670075713609
83.0,2.098187551684817,4.668873005910917
84.0,2.097507804855978,4.671066473399521
85.0,2.0968329649562447,4.673250574420719
86.0,2.0961629778837447,4.675425403743834
87.0,2.0954977904022236,4.677591054696233
88.0,2.0948373501227935,4.679747619192584
89.0,2.094181605486161,4.6818951877633666
90.0,2.093530505745315,4.684033849582666
91.0,2.092884000948661,4.686163692495274
92.0,2.0922420419235936,4.68828480304311
93.0,2.091604580260485,4.690397266490988
94.0,2.090971568297082,4.6925011668517485
95.0,2.0903429591033014,4.6945965869107695
96.0,2.089718706466404,4.6966836082498835
97.0,2.0890987648765456,4.698762311270707
98.0,2.088483089512683,4.700832775217413
99.0,2.087871636228837,4.702895078198945
100.0,2.087264361540688,4.7049492972107085
101.0,2.086661222612506,4.706995508155739
102.0,2.0860621772443997,4.709033785865368
103.0,2.0854671838598744,4.711064204119404
104.0,2.0848762014936937,4.7130868356658375
105.0,2.084289189780033,4.715101752240082
106.0,2.0837061089409192,4.717109024583773
107.0,2.0831269197749434,4.7191087224631225
108.0,2.0825515836462456,4.721100914686862
109.0,2.0819800624737588,4.723085669123763
110.0,2.0814123187207065,4.725063052719761
111.0,2.0808483153843467,4.72703313151469
112.0,2.080288015985956,4.728995970658641
113.0,2.079731384561046,4.730951634427943
114.0,2.079178385649806,4.732900186240797
115.0,2.078628984287767,4.7348416886725495
116.0,2.078083145996678,4.736776203470637
117.0,2.0775408367755928,4.738703791569191
118.0,2.0770020230921564,4.7406245131033256
119.0,2.0764666718740927,4.742538427423111
120.0,2.075934750500879,4.7444455931072405
121.0,2.0754062267956117,4.746346067976402
122.0,2.074881069017051,4.748239909106362
123.0,2.074359245851844,4.750127172840758
124.0,2.0738407264069174,4.75200791480363
125.0,2.0733254802020413,4.753882189911676
126.0,2.0728134771625535,4.755750052386244
127.0,2.0723046876122444,4.757611555765079
128.0,2.0717990822663954,4.759466752913817
129.0,2.0712966322249686,4.7613156960372365
130.0,2.0707973089659446,4.763158436690274
131.0,2.0703010843388006,4.764995025788818
132.0,2.0698079305581314,4.766825513620268
133.0,2.069317820197403,4.768649949853884
134.0,2.068830726182842,4.770468383550921
135.0,2.06834662178745,4.77228086317455
136.0,2.0678654806251484,4.774087436599587
137.0,2.0673872766450425,4.775888151122017
138.0,2.0669119841258063,4.777683053468327
139.0,2.0664395776701845,4.779472189804651
140.0,2.065970032199608,4.781255605745734
141.0,2.0655033229489193,4.783033346363714
142.0,2.065039425461208,4.784805456196728
143.0,2.0645783155827506,4.786571979257352
144.0,2.064119969458053,4.788332959040872
145.0,2.063664363524995,4.790088438533391
146.0,2.063211474510071,4.791838460219777
147.0,2.062761279423729,4.793583066091463
148.0,2.0623137555558,4.795322297654082
149.0,2.0618688804710206,4.797056195934971
150.0,2.0614266320046437,4.798784801490513
151.0,2.0609869882581378,4.800508154413351
152.0,2.0605499275949684,4.802226294339462
153.0,2.0601154286364642,4.803939260455088
154.0,2.059683470257764,4.805647091503545
155.0,2.059254031583842,4.807349825791896
156.0,2.0588270919856106,4.809047501197506
157.0,2.0584026310761,4.81074015517447
158.0,2.0579806287067077,4.812427824759914
159.0,2.0575610649635254,4.814110546580193
160.0,2.0571439201637305,4.815788356856961
161.0,2.056729174852051,4.817461291413139
162.0,2.056316809797295,4.819129385678761
163.0,2.055906805988946,4.820792674696729
164.0,2.055499144633824,4.822451193128444
165.0,2.0550938071528075,4.824104975259354
166.0,2.0546907751776167,4.825754055004386
167.0,2.054290030547659,4.827398465913284
168.0,2.0538915553069312,4.829038241175856
169.0,2.053495331700978,4.830673413627123
170.0,2.05310134217391,4.832304015752373
171.0,2.052709569365472,4.8339300796921325
172.0,2.0523199961081704,4.835551637247041
173.0,2.0519326054244464,4.837168719882644
174.0,2.0515473805239073,4.838781358734106
175.0,2.0511643048006034,4.840389584610831
176.0,2.050783361830355,4.841993428001006
