t,H,L
0.0,2.18,4.44
1.0,2.1779596674179755,4.444771335568301
2.0,2.1759508973318096,4.4494875745188525
3.0,2.1739728373092735,4.454150097375134
4.0,2.1720246685520315,4.458760232796811
5.0,2.170105604158167,4.463319260162501
6.0,2.1682148874951386,4.467828411993095
7.0,2.1663517906748675,4.472288876227343
8.0,2.16451561312337,4.476701798360399
9.0,2.162705680238005,4.481068283455149
10.0,2.1609213421259836,4.485389398035303
11.0,2.159161972418323,4.489666171868547
12.0,2.157426967153904,4.493899599647312
13.0,2.155715743728729,4.498090642574187
14.0,2.1540277399058683,4.50224022985839
15.0,2.1523624128819483,4.506349260129242
16.0,2.150719238406355,4.510418602772125
17.0,2.149097709949629,4.514449099191981
18.0,2.1474973379177977,4.518441564009023
19.0,2.145917648909639,4.5223967861910035
20.0,2.1443581850140987,4.526315530126031
21.0,2.142818503145286,4.5301985366396655
22.0,2.141298174412671,4.534046523959728
23.0,2.139796783524271,4.537860188632038
24.0,2.1383139282207795,4.541640206390038
25.0,2.1368492187387393,4.5453872329810805
26.0,2.1354022773009858,4.549101904951953
27.0,2.133972737632725,4.552784840396022
28.0,2.1325602445017147,4.556436639664252
29.0,2.1311644532811216,4.560057886042159
30.0,2.129785029533737,4.563649146394663
31.0,2.128421648616303,4.567210971780641
32.0,2.127073995302803,4.570743898038882
33.0,2.1257417634256366,4.574248446347032
34.0,2.124424655533669,4.577725123755012
35.0,2.1231223825662164,4.581174423694295
36.0,2.1218346635420855,4.584596826464355
37.0,2.1205612252628407,4.587992799697499
38.0,2.11930180202953,4.591362798803227
39.0,2.11805613537214,4.594707267393207
40.0,2.116823973791106,4.598026637687856
41.0,2.1156050725102378,4.6013213309055
42.0,2.1143991932404607,4.604591757634973
43.0,2.1132061039538135,4.607838318192529
44.0,2.112025578667172,4.6110614029638315
45.0,2.1108573972352023,4.614261392731767
46.0,2.109701345152075,4.617438658990803
47.0,2.1085572133615025,4.620593564248525
48.0,2.1074247980746805,4.623726462314988
49.0,2.1063039005957496,4.626837698580475
50.0,2.1051943271544,4.629927610282211
51.0,2.104095888745278,4.632996526760548
52.0,2.103008400973864,4.636044769705143
53.0,2.101931683908512,4.639072653391563
54.0,2.1008655619383596,4.642080484908787
55.0,2.099809863636827,4.645068564378012
56.0,2.0987644216304515,4.648037185163162
57.0,2.097729072472803,4.6509866340734725
58.0,2.0967036565232493,4.653917191558515
59.0,2.09568801783035,4.656829131895988
60.0,2.094682004019667,4.659722723372604
61.0,2.093685466185795,4.662598228458371
62.0,2.092698258788424,4.665455903974555
63.0,2.091720239552248,4.6682960012556025
64.0,2.0907512693705623,4.671118766305278
65.0,2.0897912122123774,4.673924439947266
66.0,2.0888399350329023,4.676713257970469
