t,H,L
0.0,1.962,4.2324
1.0,1.961358100702405,4.234432653431246
2.0,1.960714454141499,4.236470558636859
3.0,1.9600690152013545,4.238513824448871
4.0,1.9594217376879406,4.240562562409344
5.0,1.9587725742879731,4.242616886872302
6.0,1.9581214765257877,4.244676915110569
7.0,1.95746839471812,4.246742767427792
8.0,1.9568132779266616,4.248814567275974
9.0,1.956156583739222,4.250891333446614
10.0,1.9555038528220476,4.252961025132069
11.0,1.954856041430713,4.255021539657925
12.0,1.954213093193091,4.257072973577816
13.0,1.9535749526743134,4.2591154219182705
14.0,1.9529415653562388,4.261148978210912
15.0,1.952312877617478,4.263173734523807
16.0,1.9516888367139584,4.265189781492
17.0,1.95106939076001,4.2671972083472465
18.0,1.950454488709957,4.269196102946978
19.0,1.9498440803401977,4.2711865518025265
20.0,1.9492381162317591,4.273168640106615
21.0,1.9486365477533087,4.275142451760158
22.0,1.9480393270446121,4.277108069398373
23.0,1.9474464070004203,4.279065574416242
24.0,1.9468577412547736,4.281015046993324
25.0,1.9462732841657118,4.282956566117957
26.0,1.9456929908003735,4.284890209610853
27.0,1.9451168169204776,4.28681605414811
28.0,1.944544718968172,4.28873417528366
29.0,1.9439766540522396,4.290644647471168
30.0,1.943412579934652,4.29254754408539
31.0,1.942852455017457,4.2944429374430255
32.0,1.942296238329995,4.296330898823058
33.0,1.9417438895164296,4.2982114984866095
34.0,1.9411953688235863,4.300084805696322
35.0,1.94065063708909,4.301950888735275
36.0,1.9401096557297897,4.303809814925462
37.0,1.9395723867304675,4.305661650645824
38.0,1.939038792632817,4.307506461349865
39.0,1.9385088365246894,4.309344311582858
40.0,1.9379824820295959,4.311175264998647
41.0,1.9374596932964594,4.312999384376064
42.0,1.9369404349896113,4.314816731634968
43.0,1.9364246722790224,4.316627367851918
44.0,1.9359123708307642,4.318431353275486
45.0,1.9354034967976932,4.320228747341223
46.0,1.9348980168103522,4.322019608686291
47.0,1.934395897968082,4.323803995163764
48.0,1.9338971078303382,4.325581963856607
49.0,1.9334016144082078,4.327353571091346
50.0,1.9329093861561195,4.329118872451436
51.0,1.932420391963742,4.33087792279033
52.0,1.9319346011480667,4.332630776244265
53.0,1.9314519834456692,4.334377486244769
54.0,1.930972509005143,4.336118105530887
55.0,1.9304961483797043,4.337852686161156
56.0,1.9300228725199597,4.339581279525308
57.0,1.9295526527668354,4.341303936355731
58.0,1.9290854608446615,4.343020706738678
59.0,1.9286212688544093,4.344731640125245
60.0,1.9281600492670752,4.346436785342105
61.0,1.9277017749172096,4.348136190602029
62.0,1.927246418996586,4.3498299035141725
63.0,1.9267939550480069,4.3515179710941565
64.0,1.9263443569592418,4.353200439773931
65.0,1.9258975989570968,4.354877355411441
66.0,1.9254536556016095,4.356548763300085
67.0,1.9250125017803672,4.358214708177984
68.0,1.9245741127029454,4.35987523423706
69.0,1.9241384638954637,4.361530385131924
70.0,1.9237055311952556,4.363180203988592
71.0,1.923275290745649,4.364824733413017
72.0,1.9228477189908568,4.36646401549945
73.0,1.9224227926709718,4.36809809183864
74.0,1.9220004888170656,4.369727003525857
75.0,1.9215807847463877,4.37135079116877
76.0,1.9211636580576639,4.372969494895157
77.0,1.920749086626489,4.374583154360467
78.0,1.920337048600814,4.376191808755234
79.0,1.919927522396525,4.377795496812345
80.0,1.91952048669311,4.379394256814165
81.0,1.9191159204294124,4.380988126599526
82.0,1.9187138027994715,4.3825771435705745
83.0,1.9183141132484431,4.384161344699495
84.0,1.917916831468603,4.3857407665351005
85.0,1.917521937395428,4.387315445209292
86.0,1.9171294112037545,4.3888854164434035
87.0,1.9167392333040134,4.3904507155544215
88.0,1.9163513843385365,4.3920113774610865
89.0,1.9159658451779362,4.393567436689881
90.0,1.9155825969175548,4.395118927380904
91.0,1.9152016208739826,4.396665883293636
92.0,1.9148228985816425,4.398208337812598
93.0,1.9144464117894402,4.399746323952902
94.0,1.9140721424574785,4.401279874365702
95.0,1.9137000727538334,4.402809021343542
96.0,1.9133301850513926,4.404333796825607
97.0,1.9129624619247523,4.40585423240288
98.0,1.9125968861471723,4.407370359323202
99.0,1.9122334406875896,4.408882208496238
100.0,1.911872108707686,4.410389810498361
101.0,1.9115128735590112,4.411893195577439
102.0,1.9111557187801593,4.413392393657542
103.0,1.9108006280939962,4.414887434343564
104.0,1.9104475854049394,4.416378346925758
105.0,1.910096574796287,4.4178651603841965
106.0,1.9097475805275954,4.41934790339315
107.0,1.9094005870321051,4.420826604325387
108.0,1.9090555789142123,4.422301291256402
109.0,1.9087125409469872,4.423771991968566
110.0,1.9083714580697362,4.425238733955208
111.0,1.9080323153856085,4.42670154442462
112.0,1.9076950981592447,4.428160450303998
113.0,1.9073597918144676,4.429615478243314
114.0,1.9070263819320146,4.43106665461912
115.0,1.9066948542473086,4.432514005538286
116.0,1.9063651946482703,4.433957556841673
117.0,1.906037389173167,4.435397334107752
118.0,1.9057114240085005,4.4368333626561505
119.0,1.9053872854869303,4.438265667551144
120.0,1.9050649600852347,4.439694273605088
121.0,1.9047444344223061,4.441119205381797
122.0,1.9044256952571805,4.442540487199858
123.0,1.9041087294871022,4.443958143135894
124.0,1.9037935241456205,4.445372197027773
125.0,1.9034800664007199,4.446782672477766
126.0,1.903168343552981,4.448189592855646
127.0,1.902858343033774,4.449592981301742
128.0,1.9025500524034815,4.450992860729943
129.0,1.902243459349752,4.452389253830646
130.0,1.901938551685782,4.453782183073669
131.0,1.9016353173486287,4.455171670711097
132.0,1.9013337443975482,4.4565577387801065
133.0,1.9010338210123634,4.45794040910572
134.0,1.9007355354918583,4.459319703303534
135.0,1.9004388762521984,4.460695642782397
136.0,1.9001438318253785,4.46206824874704
137.0,1.8998503908576936,4.4634375422006745
138.0,1.8995585421082377,4.46480354394754
139.0,1.8992682744474252,4.4661662745954205
140.0,1.8989795768555362,4.467525754558111
141.0,1.898692438421287,4.468882004057855
142.0,1.8984068483404226,4.470235043127737
143.0,1.898122795914331,4.471584891614038
144.0,1.897840270548682,4.472931569178561
145.0,1.897559261752086,4.474275095300913
146.0,1.8972797591347745,4.475615489280754
147.0,1.8970017524073024,4.47695277024001
148.0,1.89672523137927,4.478286957125057
149.0,1.8964501859580654,4.479618068708867
150.0,1.8961766061476275,4.480946123593121
151.0,1.895904482047227,4.48227114021029
152.0,1.895633803850268,4.483593136825689
153.0,1.8953645618431068,4.484912131539494
154.0,1.8950967464038906,4.486228142288731
155.0,1.8948303480014133,4.487541186849232
156.0,1.8945653571939889,4.488851282837572
157.0,1.894301764628343,4.490158447712962
158.0,1.894039561038521,4.491462698779123
159.0,1.8937787372448125,4.492764053186134
160.0,1.8935192841526929,4.494062527932245
161.0,1.8932611927517808,4.49535813986567
162.0,1.8930044541148119,4.496650905686346
163.0,1.8927490593966265,4.4979408419476785
164.0,1.8924949998331748,4.499227965058247
165.0,1.8922422667405359,4.500512291283495
166.0,1.8919908515139507,4.501793836747392
167.0,1.8917407456268718,4.503072617434075
168.0,1.8914919406300243,4.504348649189459
169.0,1.8912444281504837,4.505621947722832
170.0,1.8909981998907648,4.5068925286084225
171.0,1.8907532476279265,4.508160407286944
172.0,1.890509563212688,4.509425599067122
173.0,1.890267138568559,4.510688119127195
174.0,1.8900259656909817,4.511947982516395
175.0,1.8897860366464867,4.513205204156405
176.0,1.88954734357186,4.514459798842805
177.0,1.889309878673323,4.515711781246484
178.0,1.889073634225723,4.516961165915042
179.0,1.888838602571738,4.5182079672741695
180.0,1.88860477612109,4.519452199629007
181.0,1.8883721473497712,4.520693877165486
182.0,1.8881407087992816,4.52193301395165
183.0,1.8879104530758763,4.523169623938963
184.0,1.8876813728498245,4.52440372096359
185.0,1.887453460854679,4.525635318747668
186.0,1.8872267098865547,4.526864430900558
187.0,1.8870011128034199,4.528091070920076
188.0,1.8867766625243947,4.529315252193713
189.0,1.8865533520290614,4.53053698799983
190.0,1.8863311743567837,4.53175629150885
191.0,1.886110122606035,4.5329731757844165
192.0,1.8858901899337375,4.534187653784553
193.0,1.8856713695546086,4.535399738362795
194.0,1.8854536547405176,4.536609442269314
195.0,1.8852370388198518,4.537816778152021
196.0,1.8850215151768892,4.539021758557662
197.0,1.8848070772511825,4.5402243959328885
198.0,1.8845937185369492,4.541424702625326
199.0,1.884381432582472,4.5426226908846195
200.0,1.8841702129895053,4.543818372863468
201.0,1.8839600534126926,4.545011760618645
202.0,1.8837509475589884,4.546202866112008
203.0,1.8835428891870907,4.54739170121149
204.0,1.88333587210688,4.548578277692083
205.0,1.883129890178866,4.549762607236803
