t,H,L,aH,aL
0.0,2.18,4.44,2.3,4.7
1.0,2.1785317447605994,4.443555120321043,2.3288508018493053,4.692999210033964
2.0,2.177080095174464,4.447081416776594,2.3267911875403366,4.697643168093164
3.0,2.175644729686593,4.45057940485479,2.324763347573861,4.70223413191417
4.0,2.1742253358422494,4.454049586187529,2.3227663395998146,4.706773537880315
5.0,2.172821609948841,4.4574924490457,2.3207992650549203,4.711262759541137
6.0,2.1714332567533097,4.460908468812391,2.3188612663581383,4.715703111459766
7.0,2.1700599891341734,4.464298108435257,2.3169515243353827,4.720095852756716
8.0,2.168701527807443,4.467661818859135,2.315069255850786,4.724442190379306
9.0,2.167357601045664,4.4710000394399385,2.3132137116243805,4.728743282122695
10.0,2.166027944409392,4.474313198340794,2.311384174218406,4.733000239425548
11.0,2.1647123004904474,4.47760171291133,2.3095799561764294,4.737214129960907
12.0,2.16341041866634,4.48086599005098,2.307800398301192,4.741385980040569
13.0,2.1621220548652773,4.484106426557086,2.3060448680586267,4.745516776849398
14.0,2.160846971341229,4.487323409458587,2.3043127580968368,4.749607470524253
15.0,2.159584936458524,4.490517316335976,2.3026034848699606,4.753658976090739
16.0,2.158335724485505,4.493688515628221,2.300916487357921,4.757672175269683
17.0,2.1570991153967958,4.496837366927277,2.299251225873938,4.761647918164005
18.0,2.1558748946837376,4.499964221260787,2.297607180952497,4.765587024835712
19.0,2.154662853172617,4.5030694213635325,2.2959838523111866,4.769490286781705
20.0,2.15346278685028,4.506153301938183,2.2943807578804445,4.773358468316391
21.0,2.152274496696794,4.50921618990583,2.292797432895818,4.777192307868237
22.0,2.151097788524815,4.512258404646793,2.2912334290478453,4.780992519196858
23.0,2.1499324728253337,4.515280258232149,2.2896883136851165,4.784759792536554
24.0,2.1487783646195124,4.518282055646412,2.2881616690664823,4.788494795671754
25.0,2.1476352833163137,4.521264095001759,2.286653091658717,4.792198174949305
26.0,2.1465030525756625,4.524226667744194,2.2851621914762896,4.79587055623214
27.0,2.14538150017688,4.527170058852009,2.2836885914601788,4.799512545798483
28.0,2.14427045789215,4.53009454702689,2.2822319268929183,4.80312473119037
29.0,2.1431697613647915,4.53300040487798,2.2807918448473243,4.806707682015004
30.0,2.142079249992113,4.5358878990992295,2.2793680036665256,4.810261950702115
31.0,2.1409987668126567,4.53875729064031,2.2779600724731695,4.8137880732203
32.0,2.139928158397618,4.541608834871377,2.276567730705787,4.817286569755047
33.0,2.1388672747462807,4.544442781741942,2.2751906676805116,4.82075794535094
34.0,2.1378159691852683,4.547259375934119,2.273828582176459,4.824202690520373
35.0,2.1367740982714607,4.550058857010457,2.272481182043228,4.82762128182088
36.0,2.1357415216984137,4.552841459556619,2.2711481838290757,4.831014182403086
37.0,2.134718102206128,4.555607413319096,2.2698293124284588,4.83438184253108
38.0,2.133703705494029,4.558356943338173,2.268524300747708,4.8377247000769135
39.0,2.1326982001370234,4.561090270076351,2.267232889387709,4.841043180990804
40.0,2.131701457504492,4.563807609542389,2.2659548263425378,4.844337699748482
41.0,2.1307133516821164,4.566509173411167,2.2646898667130775,4.847608659777056
42.0,2.1297337593964,4.569195169139525,2.263437772434712,4.850856453860634
43.0,2.128762559941789,4.571865800078243,2.2621983120182616,4.854081464526903
44.0,2.127799635110282,4.574521265580311,2.260971260303374,4.857284064415725
45.0,2.126844869123418,4.577161761105653,2.259756398223648,4.860464616630803
46.0,2.1258981485665656,4.579787478322417,2.25855351258281,4.863623475075329
47.0,2.1249593623254057,4.582398605204988,2.2573623958413154,4.866760984772553
48.0,2.124028401524525,4.5849953261288405,2.256182845912787,4.869877482172039
49.0,2.123105159468041,4.587577821962355,2.255014665969732,4.8729732954424465
50.0,2.1221895315821686,4.590146270155712,2.253857664258041,4.876048744751508
51.0,2.121281415359669,4.592700844826981,2.2527116539197705,4.8791041425339365
52.0,2.120380710306089,4.5952417168455,2.25157645282377,4.882139793747845
53.0,2.1194873178877343,4.5977690539126606,2.250451883403733,4.885155996120326
54.0,2.118601141481308,4.600283020640181,2.249337772503273,4.888153040382718
55.0,2.1177220863251485,4.602783778625974,2.2482339512276615,4.891131210496094
56.0,2.116850059472007,4.605271486527684,2.2471402548018706,4.894090783867482
57.0,2.1159849697433097,4.607746300133997,2.246056522434608,4.897032031557264
58.0,2.1151267276848427,4.610208372433784,2.244982597188028,4.899955218478185
59.0,2.114275245523817,4.612657853683172,2.2439183258528397,4.902860603586435
60.0,2.113430437127251,4.615094891470604,2.2428635588285295,4.905748440065107
61.0,2.112592217961632,4.617519630779982,2.241818150008457,4.908618975500487
62.0,2.111760505053804,4.619932214051925,2.2407819566695792,4.911472452051451
63.0,2.110935216953039,4.622332781243249,2.239754839366576,4.914309106612334
64.0,2.1101162736942523,4.6247214698847,2.2387366618301607,4.917129170969571
65.0,2.109303596762314,4.627098415137018,2.2377272908693895,4.919932871952383
66.0,2.108497109057425,4.629463749845384,2.236726596277757,4.922720431577816
67.0,2.1076967348615163,4.631817604592302,2.2357344507429255,4.925492067190344
68.0,2.1069023998056333,4.634160107748987,2.234750729759895,4.928247991596345
69.0,2.106114030838277,4.6364913855252805,2.2337753115474723,4.930988413193618
70.0,2.105331556194664,4.638811562018173,2.232808076967875,4.933713536096198
71.0,2.1045549053668684,4.6411207592589605,2.2318489094493383,4.936423560254688
72.0,2.103784009074834,4.643419097259092,2.2308976949115804,4.939118681572253
73.0,2.103018799238203,4.645706694054744,2.229954321694005,4.941799092016534
74.0,2.1022592089489507,4.64798366575017,2.229018680486514,4.94446497972759
75.0,2.101505172444792,4.650250126559862,2.22809066426282,4.947116529122103
76.0,2.100756625083333,4.652506188849563,2.2271701682161487,4.949753920993939
77.0,2.10001350331695,4.654751963176172,2.226257089697222,4.952377332611286
78.0,2.09927574466836,4.656987558326568,2.2253513281544346,4.954986937810444
79.0,2.09854328770687,4.659213081355403,2.2244527850761195,4.957582907086472
80.0,2.09781607202528,4.661428637621877,2.223561363934817,4.960165407680768
81.0,2.097094038217412,4.663634330825551,2.2226769701334743,4.962734603665733
82.0,2.0963771278562584,4.665830263041205,2.2217995109534714,4.9652906560266405
83.0,2.0956652834727123,4.668016534752789,2.2209288955044264,4.967833722740812
84.0,2.094958448534877,4.670193244886485,2.220065034675681,4.970363958854206
85.0,2.0942565674279248,4.672360490842912,2.2192078410894176,4.972881516555537
86.0,2.0935595854344955,4.674518368528506,2.2183572290553295,4.975386545248002
87.0,2.0928674487156096,4.676666972386082,2.217513114526787,4.977879191618728
88.0,2.0921801042920887,4.678806395424625,2.2166754150584387,4.980359599706013
89.0,2.09149750002646,4.680936729248328,2.2158440497651966,4.982827910964454
90.0,2.0908195846053323,4.683058064084879,2.215018939282534,4.985284264328039
91.0,2.0901463075222333,4.685170488813056,2.2142000057280677,4.987728796271283
92.0,2.0894776190608835,4.687274090989623,2.2133871726643606,4.990161640868483
93.0,2.0888134702789047,4.689368956875552,2.2125803650628937,4.9925829298511495
94.0,2.088153812991943,4.691455171461604,2.2117795092691805,4.994992792663707
95.0,2.0874985997581925,4.693532818493273,2.2109845329689612,4.997391356517506
96.0,2.086847783863318,4.695601980495129,2.210195365155451,4.99977874644321
97.0,2.086201319305748,4.697662738794548,2.209411936097589,5.002155085341633
98.0,2.0855591607823407,4.699715173544889,2.208634177309265,5.004520494033066
99.0,2.084921263674411,4.70175936374809,2.2078620215194804,5.006875091305153
100.0,2.084287584034095,4.703795387276737,2.2070954026434015,5.009218993959375
101.0,2.0836580785710583,4.705823320895594,2.2063342557542933,5.011552316856172
102.0,2.083032704639527,4.707843240282627,2.20557851705628,5.013875172958786
103.0,2.0824114202256383,4.709855220049528,2.204828123857915,5.016187673375822
104.0,2.0817941839350973,4.711859333761752,2.2040830145465304,5.018489927402619
105.0,2.0811809549811318,4.71385565395809,2.2033431285633323,5.020782042561436
106.0,2.080571693172737,4.715844252169778,2.2026084063792224,5.023064124640518
107.0,2.079966358903208,4.717825198939167,2.201878789471316,5.025336277732066
108.0,2.079364913138935,4.719798563837958,2.201154220300137,5.02759860426915
109.0,2.0787673174084773,4.721764415485019,2.200434642287458,5.029851205061612
110.0,2.078173533791884,4.723722821563793,2.199719999794772,5.03209417933097
111.0,2.0775835249102745,4.7256738488393095,2.1990102381023693,5.034327624744392
112.0,2.0769972539156583,4.727617563174803,2.198305303389003,5.036551637447722
113.0,2.076414684480994,4.7295540295479706,2.197605142712115,5.038766312097641
114.0,2.07583578079048,4.731483312066848,2.1969097039886156,5.040971741892945
115.0,2.075260507530067,4.733405473985339,2.196218935976187,5.043168018605017
116.0,2.0746888298781907,4.735320577718397,2.1955327882550995,5.0453552326074576
117.0,2.074120713496716,4.737228684856867,2.194851211210523,5.047533472904972
118.0,2.073556124522088,4.7391298561820046,2.194174156015316,5.049702827161471
119.0,2.072995029556682,4.741024151679667,2.193501574613279,5.051863381727459
120.0,2.072437395660353,4.742911630554207,2.1928334197028505,5.05401522166671
121.0,2.071883190342171,4.744792351242046,2.192169644721241,5.05615843078225
122.0,2.071332381552343,4.746666371424969,2.1915102038289858,5.058293091641685
123.0,2.0707849376743157,4.748533748043125,2.1908550518949013,5.060419285601879
124.0,2.070240827517052,4.750394537307743,2.1902041444814353,5.062537092833006
125.0,2.0697000203074816,4.752248794713585,2.1895574378303992,5.0646465923420045
126.0,2.0691624856831123,4.754096575051128,2.18891488884907,5.066747861995437
127.0,2.068628193684808,4.755937932418487,2.1882764550966414,5.068840978541784
128.0,2.068097114749722,4.757772920233086,2.187642094771036,5.070926017633193
129.0,2.067569219704384,4.759601591243089,2.187011766696037,5.073003053846671
130.0,2.067044479757935,4.76142399753858,2.186385430308756,5.075072160704792
131.0,2.0665228664955144,4.763240190562519,2.185763045647414,5.0771334106958665
132.0,2.06600435187178,4.76505022112147,2.1851445733394215,5.079186875293639
133.0,2.065488908204572,4.7668541393961,2.1845299745897657,5.081232624976517
134.0,2.0649765081687117,4.768651994951464,2.1839192111696777,5.083270729246322
135.0,2.064467124789926,4.770443836747087,2.183312245405582,5.085301256646607
136.0,2.0639607314389106,4.772229713146829,2.1827090401683136,5.0873242747805305
137.0,2.0634573018255065,4.774009671928553,2.182109558862604,5.08933985032832
138.0,2.062956809993005,4.775783760293599,2.181513765416814,5.09134804906431
139.0,2.062459230312569,4.777552024876064,2.180921624272924,5.093348935873594
140.0,2.0619645374777744,4.779314511751896,2.1803331003767537,5.095342574768292
141.0,2.061472706499253,4.781071266447809,2.179748159168422,5.097329028903421
142.0,2.060983712699463,4.782822333950014,2.1791667665730374,5.099308360592431
143.0,2.0604975317075467,4.78456775871278,2.178588888991597,5.101280631322354
144.0,2.060014139454312,4.786307584666828,2.17801449329211,5.103245901768635
145.0,2.059533512167302,4.788041855227556,2.1774435468009243,5.105204231809612
146.0,2.0590556263659723,4.789770613303102,2.176876017294257,5.107155680540666
147.0,2.0585804588569614,4.791493901302253,2.176311872989918,5.109100306288065
148.0,2.058107986729459,4.793211761142197,2.1757510825392297,5.111038166622494
149.0,2.057638187350665,4.794924234256122,2.1751936150191273,5.1129693183722775
150.0,2.057171038361341,4.79663136160068,2.174639439924445,5.114893817636324
151.0,2.056706517671445,4.7983331836632885,2.174088527160369,5.116811719796767
152.0,2.056244603455861,4.800029740469312,2.173540847035073,5.118723079531346
153.0,2.055785274150206,4.801721071589089,2.1729963702525077,5.120627950825506
154.0,2.05532850844672,4.803407216144839,2.1724550679053602,5.12252638698424
155.0,2.0548742852902397,4.805088212817428,2.171916911468169,5.124418440643673
156.0,2.0544225838742465,4.806764099853015,2.171381872790588,5.126304163782401
157.0,2.053973383636996,4.808434915069565,2.1708499240908052,5.128183607732575
158.0,2.053526664257716,4.81010069586325,2.1703210379491003,5.130056823190772
159.0,2.053082405652884,4.811761479214718,2.1697951873015473,5.131923860228606
160.0,2.052640587972571,4.81341730169526,2.1692723454338556,5.133784768303143
161.0,2.0522011915968585,4.815068199472849,2.1687524859753387,5.135639596267074
162.0,2.051764197132324,4.816714208318075,2.168235582893021,5.137488392378691
163.0,2.051329585408588,4.818355363609973,2.167721610485865,5.139331204311648
164.0,2.050897337474935,4.819991700341736,2.1672105433791264,5.141168079164519
165.0,2.050467434596988,4.821623253126332,2.1667023565188264,5.142999063470163
166.0,2.0500398582534536,4.823250056202014,2.166197025166343,5.144824203204895
167.0,2.0496145901329244,4.824872143437731,2.1656945248931163,5.146643543797467
168.0,2.04919161213074,4.826489548338444,2.165194831575468,5.148457130137861
169.0,2.0487709063459087,4.82810230405034,2.16469792138952,5.150265006585921
170.0,2.048352455078085,4.829710443365962,2.1642037708062345,5.152067216979795
171.0,2.0479362408246016,4.83131399872924,2.1637123565865393,5.153863804644208
172.0,2.0475222462775577,4.832913002240435,2.1632236557765685,5.155654812398574
173.0,2.04711045432096,4.8345074856609935,2.162737645702996,5.1574402825649575
174.0,2.046700848027914,4.836097480418321,2.1622543039684583,5.159220256975844
175.0,2.0462934106578703,4.837683017610465,2.1617736084470827,5.160994776981792
176.0,2.045888125653915,4.839264128010723,2.161295537280097,5.162763883458919
177.0,2.045484976640115,4.840840842072163,2.1608200688715318,5.164527616816236
178.0,2.045083947418907,4.842413189932072,2.16034718188401,5.166286017002848
179.0,2.044685021968533,4.843981201416318,2.1598768552346184,5.168039123515014
180.0,2.044288184440526,4.845544906043649,2.1594090680908646,5.169786975403058
181.0,2.043893419157233,4.84710433302991,2.1589437998667096,5.171529611278165
182.0,2.043500710609392,4.848659511292185,2.158481030218687,5.173267069319034
183.0,2.0431100434537384,4.850210469452876,2.158020739042091,5.174999387278412
184.0,2.0427214025106664,4.851757235843707,2.1575629064672444,5.176726602489486
185.0,2.042334772761924,4.853299838509663,2.1571075128558355,5.178448751872184
186.0,2.041950139348351,4.8548383052128585,2.1566545387973304,5.180165871939325
187.0,2.0415674875676544,4.856372663436344,2.156203965105453,5.181877998802677
188.0,2.041186802872224,4.85790294038785,2.155755772814733,5.1835851681788885
189.0,2.0408080708669853,4.859429163003464,2.1553099431771234,5.185287415395314
190.0,2.04043127730729,4.860951357951243,2.1548664576586747,5.18698477539573
191.0,2.04005640809684,4.862469551634781,2.1544252979362843,5.188677282745944
192.0,2.0396834492856524,4.8639837701967,2.153986445894499,5.1903649716393065
193.0,2.0393123870680525,4.865494039522088,2.1535498836223796,5.19204787590211
194.0,2.0389432077807057,4.867000385241891,2.153115593410429,5.193726028998902
195.0,2.0385758979006807,4.868502832736235,2.1526835577475745,5.195399464037691
196.0,2.038210444043548,4.870001407137701,2.1522537593182043,5.197068213775063
197.0,2.037846832961504,4.871496133334544,2.1518261809992674,5.198732310621208
198.0,2.037485051541535,4.872987035973864,2.151400805857418,5.200391786644846
199.0,2.0371250868036066,4.874474139464719,2.15097761714622,5.202046673578073
200.0,2.036766925898884,4.875957467981193,2.013377623825334,4.913624562131322
201.0,2.036410556107981,4.877437045465412,2.0130964549752024,4.914948196695752
202.0,2.036055964839244,4.878912895630513,2.012816600326628,4.916268996367771
203.0,2.0357031396270524,4.880385041963562,2.0125380516422875,4.917586976921501
204.0,2.0353520681301607,4.881853507728434,2.0122608007580913,4.9189021539975375
205.0,2.035002738130058,4.883318315968636,2.0119848395823174,4.920214543104462
206.0,2.034655137529358,4.884779489510094,2.011710160094759,4.921524159620344
207.0,2.034309254350215,4.886237050963889,2.0114367543458815,4.922831018794215
208.0,2.0339650767327657,4.887691022728959,2.0111646144559963,4.924135135747518
209.0,2.0336225929335945,4.889141426994748,2.0108937326144445,4.92543652547555
210.0,2.0332817913242267,4.890588285743824,2.010624101078793,4.926735202848872
211.0,2.032942660389644,4.892031620754447,2.010355712174039,4.928031182614697
212.0,2.032605188726821,4.893471453603102,2.0100885582918346,4.929324479398277
