t,H,L,aH,aL
0.0,2.0928,4.41,2.3,4.7
1.0,2.0916835958573827,4.412986473998503,2.3167876708403687,4.668270087222668
2.0,2.090578208434006,4.4159531314645,2.3144588679222897,4.673433041709693
3.0,2.089483658704635,4.418900269589392,2.3121732338662726,4.678525299533631
4.0,2.0883997718911247,4.421828178864299,2.3099292076960967,4.683549196146872
5.0,2.0873263773299464,4.424737143281143,2.3077253159917737,4.688506943540343
6.0,2.086263308344821,4.427627440526221,2.305560166230459,4.693400639233194
7.0,2.0852104021242264,4.430499342166596,2.303432440763678,4.6982322744322005
8.0,2.0841674996035557,4.433353113829625,2.3013408913580595,4.703003741453279
9.0,2.083134445351715,4.436189015375928,2.2992843342364266,4.707716840485569
10.0,2.0821110874619677,4.439007301066079,2.297261645564305,4.712373285768275
11.0,2.081097277446827,4.4418082197213,2.295271757333878,4.71697471124179
12.0,2.080092870136831,4.444592014878406,2.29331365360345,4.7215226757270745
13.0,2.0790977235830144,4.447358924939256,2.2913863670555754,4.7260186676808
14.0,2.078111698962932,4.450109183314932,2.2894889758414623,4.730464109568237
15.0,2.077134660490065,4.452843018564878,2.2876206006830895,4.7348603618909495
16.0,2.076166475326485,4.455560654531209,2.2857804022077657,4.73920872690224
17.0,2.075207013498613,4.458262310468378,2.2839675784927542,4.743510452039563
18.0,2.074256147815959,4.460948201168407,2.282181362800079,4.747766733099965
19.0,2.073313753792716,4.463618537081861,2.280421021483831,4.751978717181796
20.0,2.072379709572081,4.46627352443473,2.278685852054187,4.756147505413488
21.0,2.0714538958531974,4.468913365341388,2.2769751813840413,4.760274155488025
22.0,2.0705361958206083,4.471538257913794,2.275288364045639,4.764359684019839
23.0,2.0696264950761187,4.474148396367072,2.2736247807658687,4.768405068739169
24.0,2.0687246815729665,4.476743971121623,2.2719838369900542,4.772411250537448
25.0,2.0678306455522133,4.4793251689019,2.2703649615450763,4.776379135375931
26.0,2.066944279481264,4.481892172831979,2.268767605393566,4.780309596068652
27.0,2.066065477994427,4.484445162528052,2.267191240471714,4.784203473949686
28.0,2.065194137835444,4.486984314187946,2.2656353586039453,4.788061580433839
29.0,2.0643301578018973,4.489509800677815,2.2640994704883375,4.7918846984789605
30.0,2.0634734386914397,4.492021791616066,2.26258310474725,4.7956735839574325
31.0,2.0626238832497554,4.4945204534546725,2.2610858070381115,4.799428966943624
32.0,2.061781396120208,4.497005949557932,2.259607139219781,4.80315155292356
33.0,2.060945883795088,4.499478440278792,2.258146678570312,4.806842023932486
34.0,2.060117254568417,4.501938083032814,2.2567040170522947,4.81050103962554
35.0,2.0592954184902448,4.504385032369885,2.2552787606223017,4.8141292382862835
36.0,2.05848028732237,4.5068194400437305,2.2538705285812455,4.817727237777464
37.0,2.0576717744954576,4.509241455079338,2.25247895296274,4.821295636438005
38.0,2.056869795067473,4.511651223838345,2.2511036779567744,4.8248350139299285
39.0,2.056074265683407,4.514048890082475,2.249744359366264,4.828345932038564
40.0,2.055285104536229,4.51643459503509,2.248400664094207,4.831828935429186
41.0,2.0545022313290318,4.518808477440925,2.2470722696593777,4.835284552362947
42.0,2.053725567238319,4.521170673624068,2.2457588637386388,4.838713295374746
43.0,2.052955034878406,4.523521317544251,2.244460143734127,4.842115661915512
