t,H,L
0.0,2.3,4.6
0.25,2.3006298495873434,4.598377401480616
0.5,2.301257357070424,4.596761235218232
0.75,2.301882524339769,4.595151482481516
1.0,2.3025053533202176,4.593548124562184
1.25,2.3031258459709063,4.591951142774718
1.5,2.303744004285249,4.590360518456084
1.75,2.3043598302909145,4.588776232965459
2.0,2.3049733260497995,4.58719826768397
2.25,2.3055844936580008,4.585626604014435
2.5,2.306193335245781,4.584061223381115
2.75,2.306799852977533,4.5825021072294705
3.0,2.307404049051741,4.580949237025929
3.25,2.3080059257009373,4.579402594257656
3.5,2.308605485191656,4.577862160432338
3.75,2.3092027298243853,4.576327917077964
4.0,2.3097976619335125,4.574799845742623
4.25,2.3103902838872705,4.573277927994307
4.5,2.310980598087678,4.571762145420716
4.75,2.311568606970477,4.570252479629073
5.0,2.3121543130050677,4.5687489122459475
5.25,2.3127377186944402,4.567251424917081
5.5,2.313318826575103,4.565759999307225
5.75,2.3138976392170068,4.564274617099985
6.0,2.314474159223468,4.562795259997659
6.25,2.3150483892310874,4.561321909721107
6.5,2.3156203319096655,4.559854548009597
6.75,2.3161899899621154,4.558393156620685
7.0,2.316757366124373,4.556937717330082
7.25,2.317322463165303,4.555488211931536
7.5,2.317885283886603,4.554044622236718
7.75,2.318445831122705,4.552606930075116
8.0,2.319004107740671,4.5511751172939325
8.25,2.319560116640091,4.549749165757987
8.5,2.320113860752971,4.548329057349631
8.75,2.3206653430436264,4.546914773968659
9.0,2.321214566508564,4.545506297532235
9.25,2.3217615341763675,4.544103609974817
9.5,2.3223062491075788,4.542706693248093
9.75,2.3228487143945733,4.541315529320917
10.0,2.3233889331614366,4.539930100179256
10.25,2.3239269085638354,4.53855038782614
10.5,2.324462643788889,4.537176374281614
10.75,2.324996142055033,4.535808041582705
11.0,2.3255274066118865,4.534445371783379
11.25,2.3260564407401114,4.5330883469545205
11.5,2.326583247751272,4.531736949183904
11.75,2.3271078309876905,4.530391160576178
12.0,2.3276301938223027,4.529050963252847
12.25,2.328150339658507,4.527716339352267
12.5,2.3286682719300136,4.526387271029639
12.75,2.3291839941006907,4.525063740457012
13.0,2.3296975096644092,4.523745729823287
13.25,2.3302088221448827,4.522433221334224
13.5,2.3307179350955063,4.521126197212465
13.75,2.331224852099195,4.519824639697543
14.0,2.331729576768216,4.518528531045915
14.25,2.3322321127440215,4.517237853530983
14.5,2.3327324636970777,4.515952589443132
14.75,2.3332306333266937,4.514672721089762
15.0,2.333726625360845,4.513398230795332
15.25,2.334220443555997,4.512129100901402
15.5,2.3347120916969275,4.5108653137666845
15.75,2.3352015735965432,4.509606851767098
16.0,2.335688893095698,4.508353697295822
16.25,2.336174054063007,4.507105832763355
16.5,2.3366570603946593,4.505863240597588
16.75,2.3371379160142287,4.504625903243863
17.0,2.3376166248724823,4.503393803165049
17.25,2.338093190947188,4.502166922841619
17.5,2.338567618242919,4.500945244771726
17.75,2.3390399107908557,4.499728751471288
18.0,2.339510072648589,4.498517425474072
18.25,2.3399781078999196,4.497311249331783
18.5,2.3404440206546533,4.496110205614158
18.75,2.3409078150483995,4.494914276909063
19.0,2.3413694952423656,4.493723445822586
19.25,2.341829065423148,4.492537694979144
19.5,2.342286529802524,4.491357007021586
19.75,2.342741892617242,4.490181364611301
20.0,2.343195158128808,4.48901075042833
20.25,2.3436463306232738,4.487845147171476
20.5,2.34409541441102,4.486684537558424
20.75,2.344542413826541,4.485528904325856
21.0,2.3449873332282274,4.484378230229578
21.25,2.3454301769981445,4.4832324980446385
21.5,2.3458709495418137,4.482091690565458
21.75,2.34630965528799,4.4809557906059565
22.0,2.346746298688439,4.479824780999687
22.25,2.3471808842177118,4.478698644599967
22.5,2.34761341637292,4.477577364280016
22.75,2.348043899673509,4.476460922933094
23.0,2.348472338661029,4.475349303472638
23.25,2.3488987378989075,4.4742424888324095
23.5,2.349323101972217,4.473140461966636
23.75,2.3497454354874465,4.472043205850159
24.0,2.3501657430722678,4.470950703478579
24.25,2.3505840293753018,4.469862937868408
24.5,2.3510002990658854,4.468779892057222
24.75,2.351414556833837,4.467701549103814
25.0,2.3518268073892195,4.466627892088347
25.25,2.3522370554621044,4.465558904112514
25.5,2.352645305802334,4.464494568299695
25.75,2.353051563179283,4.463434867795114
26.0,2.3534558323816204,4.462379785766008
26.25,2.353858118217069,4.46132930540178
26.5,2.354258425512165,4.460283409914172
26.75,2.3546567591120175,4.459242082537423
27.0,2.3550531238800683,4.4582053065284395
27.25,2.3554475246978472,4.4571730651669625
27.5,2.3558399664647305,4.456145341755737
27.75,2.3562304540976986,4.455122119620678
28.0,2.356618992531091,4.454103382111048
28.25,2.3570055867163644,4.453089112599621
28.5,2.3573902416218453,4.4520792944828615
28.75,2.357772962232488,4.451073911181096
29.0,2.3581537535496278,4.450072946138685
29.25,2.358532620590736,4.449076382824202
29.5,2.3589095683891745,4.448084204730607
29.75,2.3592846019939495,4.447096395375423
30.0,2.359657726469465,4.446112938300914
30.25,2.360028946895277,4.445133817074259
30.5,2.3603982683658478,4.444159015287737
30.75,2.3607656959902967,4.443188516558899
31.0,2.361131234892156,4.44222230453075
31.25,2.361494890209123,4.441260362871929
31.5,2.361856667092813,4.440302675276884
31.75,2.362216570708514,4.43934922546606
32.0,2.3625746062349373,4.43839999718607
32.25,2.3629307788639737,4.437454974209883
32.5,2.3632850938004446,4.436514140337
32.75,2.3636375562618563,4.435577479393634
33.0,2.363988171478154,4.434644975232894
33.25,2.3643369446914746,4.4337166117349645
33.5,2.364683881155902,4.432792372807284
33.75,2.3650289861372205,4.431872242384727
34.0,2.3653722649126694,4.430956204429784
34.25,2.3657137227706975,4.430044242932745
34.5,2.366053365010719,4.429136341911871
34.75,2.3663911969428675,4.4282324854135835
35.0,2.3667272238877537,4.427332657512638
35.25,2.36706145117622,4.426436842312306
35.5,2.3673938841490973,4.425545023944551
35.75,2.3677245281569625,4.424657186570211
36.0,2.368053388559896,4.423773314379171
36.25,2.368380470727239,4.422893391590548
36.5,2.3687057800373528,4.42201740245286
36.75,2.3690293218773766,4.421145331244208
37.0,2.369351101642989,4.420277162272451
37.25,2.3696711247381663,4.41941287987538
37.5,2.3699893965749443,4.418552468420892
37.75,2.3703059225731797,4.417695912307169
38.0,2.3706207081603115,4.416843195962843
38.25,2.370933758771124,4.415994303847179
38.5,2.371245079847511,4.415149220450236
38.75,2.371554676838239,4.414307930293047
39.0,2.371862555198713,4.413470417927784
39.25,2.372168720390741,4.41263666793793
39.5,2.3724731778823016,4.411806664938446
39.75,2.372775933147311,4.410980393575938
40.0,2.3730769916653904,4.410157838528828
40.25,2.3733763589216363,4.409338984507512
40.5,2.373674040406389,4.408523816254533
40.75,2.3739700416150042,4.407712318544738
41.0,2.3742643680476236,4.406904476185446
41.25,2.374557025208949,4.406100274016604
41.5,2.3748480186080143,4.405299696910953
41.75,2.375137353757961,4.404502729774183
42.0,2.375425036175814,4.403709357545094
42.25,2.375711071382255,4.4029195651957505
42.5,2.375995464901405,4.402133337731639
42.75,2.376278222260598,4.401350660191823
43.0,2.3765593489901633,4.400571517649094
43.25,2.3768388506232054,4.399795895210126
43.5,2.3771167326953857,4.399023778015626
43.75,2.3773930007447053,4.398255151240481
44.0,2.3776676603112885,4.397490000093911
44.25,2.3779407169371685,4.3967283098196095
44.5,2.3782121761660733,4.395970065695893
44.75,2.3784820435432126,4.395215253035847
45.0,2.378750324615067,4.3944638571874615
45.25,2.3790170249291775,4.39371586353378
45.5,2.379282150033936,4.392971257493035
45.75,2.3795457054783773,4.3922300245187875
46.0,2.379807696811974,4.391492150100063
46.25,2.3800681295844286,4.39075761976149
46.5,2.3803270093454714,4.390026419063428
46.75,2.3805843416446564,4.389298533602107
47.0,2.3808401320311594,4.388573949009752
47.25,2.3810943860535794,4.387852650954717
47.5,2.381347109259738,4.387134625141612
47.75,2.3815983071964815,4.386419857311425
48.0,2.381847985409485,4.385708333241651
48.25,2.3820961494430586,4.3850000387464165
48.5,2.3823428048399506,4.384294959676594
48.75,2.3825879571411575,4.383593081919929
49.0,2.3828316118857322,4.3828943914011536
49.25,2.383073774610594,4.382198874082106
49.5,2.383314450850341,4.381506515961843
49.75,2.3835536461370626,4.380817303076754
50.0,2.3837913660001537,4.380131221500675
50.25,2.3840276159661316,4.379448257344994
50.5,2.3842624015584515,4.378768396758764
50.75,2.384495728297327,4.378091625928803
51.0,2.38472760169955,4.377417931079808
51.25,2.38495802727831,4.3767472984744495
51.5,2.3851870105430195,4.376079714413478
51.75,2.385414556999138,4.375415165235823
52.0,2.3856406721479964,4.374753637318686
52.25,2.3858653614866263,4.374095117077646
52.5,2.3860886305075866,4.373439590966746
52.75,2.3863104846987957,4.37278704547859
53.0,2.386530929543362,4.372137467144432
53.25,2.3867499705194164,4.371490842534265
53.5,2.3869676130999493,4.370847158256911
53.75,2.3871838627526443,4.370206400960104
54.0,2.387398724939717,4.369568557330576
54.25,2.387612205117753,4.3689336140941375
54.5,2.38782430873755,4.3683015580157605
54.75,2.388035041243959,4.367672375899655
55.0,2.3882444080757277,4.367046054589346
55.25,2.3884524146653456,4.366422580967749
55.5,2.3886590664388905,4.365801941957244
55.75,2.388864368815877,4.3651841245197485
56.0,2.3890683272091056,4.364569115656783
56.25,2.3892709470245137,4.363956902409544
56.5,2.389472233661029,4.363347471858967
56.75,2.389672192510422,4.362740811125792
57.0,2.389870828957163,4.362136907370627
57.25,2.390068148378279,4.361535747794009
57.5,2.3902641561432105,4.360937319636461
57.75,2.3904588576136754,4.360341610178554
58.0,2.3906522581435263,4.359748606740957
58.25,2.3908443630786165,4.3591582966844955
58.5,2.3910351777566636,4.358570667410203
58.75,2.391224707507116,4.357985706359369
59.0,2.3914129576510192,4.357403401013592
59.25,2.391599933500888,4.356823738894819
59.5,2.391785640360574,4.356246707565401
59.75,2.39197008352514,4.355672294628129
60.0,2.3921532682807314,4.3551004877262764
60.25,2.392335199904454,4.354531274543642
60.5,2.392515883664249,4.353964642804585
60.75,2.392695324818771,4.353400580274067
61.0,2.392873528617269,4.352839074757679
61.25,2.393050500299467,4.3522801141016805
61.5,2.393226245095446,4.35172368619303
61.75,2.3934007682255287,4.351169778959413
62.0,2.3935740749001653,4.350618380369271
62.25,2.3937461703198197,4.350069478431827
62.5,2.39391705967486,4.349523061197112
62.75,2.394086748145446,4.348979116755986
63.0,2.3942552409014235,4.348437633240162
63.25,2.3944225431022144,4.347898598822222
63.5,2.3945886598967134,4.347362001715637
63.75,2.3947535964231834,4.346827830174785
64.0,2.394917357809152,4.346296072494963
64.25,2.3950799491713113,4.345766717012401
64.5,2.395241375615418,4.345239752104273
64.75,2.395401642236194,4.34471516618871
65.0,2.395560754117232,4.344192947724802
65.25,2.3957187163308973,4.343673085212612
65.5,2.395875533938236,4.3431555671931745
65.75,2.3960312119888814,4.342640382248503
66.0,2.3961857555209622,4.3421275190015916
66.25,2.3963391695610143,4.341616966116414
66.5,2.3964914591238915,4.341108712297921
66.75,2.3966426292126783,4.340602746292043
67.0,2.3967926848186054,4.34009905688568
67.25,2.3969416309209644,4.339597632906697
67.5,2.3970894724870258,4.339098463223921
67.75,2.3972362144719574,4.3386015367471265
68.0,2.397381861818744,4.3381068424270275
68.25,2.397526419458109,4.337614369255266
68.5,2.3976698923084374,4.337124106264398
68.75,2.3978122852756987,4.33663604252788
69.0,2.3979536032533737,4.33615016716005
69.25,2.39809385112238,4.335666469316114
69.5,2.3982330337510005,4.335184938192121
69.75,2.3983711559948135,4.334705563024951
70.0,2.398508222696622,4.334228333092282
70.25,2.3986442386863867,4.3337532377125765
70.5,2.3987792087811584,4.333280266245051
70.75,2.398913137785014,4.332809408089654
71.0,2.3990460304889907,4.332340652687033
71.25,2.3991778916710245,4.33187398951851
71.5,2.3993087260958874,4.331409408106049
71.75,2.3994385385151284,4.330946898012228
72.0,2.3995673336670134,4.330486448840201
72.25,2.3996951162764675,4.330028050233667
72.5,2.399821891055019,4.329571691876835
72.75,2.3999476627007432,4.329117363494383
73.0,2.4000724358982097,4.328665054851426
73.25,2.400196215318428,4.32821475575347
73.5,2.4003190056187966,4.327766456046377
73.75,2.4004408114430515,4.327320145616321
74.0,2.4005616374212186,4.326875814389744
74.25,2.4006814881695644,4.326433452333314
74.5,2.4008003682905494,4.325993049453874
74.75,2.400918282372782,4.325554595798404
75.0,2.4010352349909745,4.325118081453964
75.25,2.401151230705899,4.324683496547653
75.5,2.4012662740643456,4.324250831246551
75.75,2.401380369599081,4.3238200757576735
76.0,2.401493521828809,4.323391220327917
76.25,2.4016057352581295,4.3229642552440035
76.5,2.4017170143775037,4.322539170832429
76.75,2.4018273636632155,4.322115957459404
77.0,2.401936787577336,4.3216946055308005
77.25,2.4020452905676892,4.321275105492089
77.5,2.4021528770678193,4.320857447828284
77.75,2.402259551496957,4.320441623063881
78.0,2.4023653182599887,4.320027621762796
78.25,2.4024701817474265,4.319615434528304
78.5,2.4025741463353785,4.319205052002973
78.75,2.402677216385521,4.318796464868602
79.0,2.4027793962450708,4.318389663846157
79.25,2.40288069024676,4.317984639695702
79.5,2.402981102708809,4.31758138321633
79.75,2.403080637934905,4.317179885246101
80.0,2.4031793002141764,4.316780136661967
80.25,2.4032770938211714,4.316382128379703
80.5,2.4033740230158376,4.31598585135384
80.75,2.403470092043501,4.315591296577587
81.0,2.403565305134846,4.315198455082761
81.25,2.403659666505898,4.3148073179397155
81.5,2.4037531803580063,4.314417876257261
81.75,2.4038458508778273,4.3140301211825935
82.0,2.403937682237308,4.313644043901216
82.25,2.404028678593672,4.313259635636862
82.5,2.404118844089407,4.3128768876514165
82.75,2.4042081828522486,4.31249579124484
83.0,2.4042966989951724,4.312116337755084
83.25,2.4043843966163805,4.311738518558016
83.5,2.404471279799291,4.311362325067334
83.75,2.40455735261253,4.310987748734486
84.0,2.4046426191099224,4.310614781048588
84.25,2.404727083330484,4.310243413536338
84.5,2.4048107492984157,4.309873637761936
84.75,2.404893621023095,4.3095054453269945
85.0,2.404975702499074,4.309138827870455
85.25,2.4050569977060725,4.3087737770685
85.5,2.4051375106089763,4.308410284634469
85.75,2.405217245157833,4.308048342318769
86.0,2.40529620528785,4.3076879419087835
86.25,2.4053743949193946,4.307329075228787
86.5,2.405451817957992,4.306971734139855
86.75,2.4055284782943254,4.30661591053977
87.0,2.4056043798042395,4.306261596362933
87.25,2.40567952634874,4.305908783580276
87.5,2.405753921773995,4.305557464199159
87.75,2.4058275699113425,4.305207630263289
88.0,2.40590047457729,4.3048592738526175
88.25,2.4059726395735206,4.304512387083252
88.5,2.4060440686868994,4.304166962107359
88.75,2.4061147656894786,4.303822991113069
89.0,2.406184734338504,4.303480466324383
89.25,2.406253978376422,4.303139380001071
89.5,2.40632250153089,4.302799724438583
89.75,2.4063903075147817,4.302461491967945
90.0,2.4064574000261993,4.302124674955663
90.25,2.406523782748482,4.301789265803627
90.5,2.4065894593502164,4.301455256949012
90.75,2.4066544334852495,4.301122640864175
91.0,2.406718708792699,4.300791410056561
91.25,2.406782288896965,4.300461557068598
91.5,2.406845177407747,4.300133074477598
91.75,2.406907377920052,4.299805954895659
92.0,2.406968894014214,4.299480190969558
92.25,2.4070297292559055,4.2991557753806555
92.5,2.4070898871961535,4.298832700844788
92.75,2.4071493713713563,4.29851096011217
93.0,2.4072081853033,4.298190545967285
93.25,2.4072663324991757,4.297871451228789
93.5,2.4073238164515955,4.297553668749404
93.75,2.4073806406386127,4.297237191415811
94.0,2.4074368085237396,4.29692201214855
94.25,2.407492323555967,4.296608123901914
94.5,2.407547189169783,4.296295519663842
94.75,2.407601408785195,4.295984192455817
95.0,2.407654985807749,4.295674135332758
95.25,2.407707923628551,4.295365341382914
95.5,2.4077602256242883,4.295057803727758
95.75,2.4078118951572542,4.294751515521882
96.0,2.407862935575367,4.294446469952889
96.25,2.407913350212196,4.294142660241285
96.5,2.407963142386983,4.293840079640373
96.75,2.4080123154046684,4.2935387214361445
97.0,2.4080608725559136,4.293238578947174
97.25,2.4081088171171277,4.292939645524508
97.5,2.408156152350491,4.292641914551559
97.75,2.4082028815039824,4.292345379443994
98.0,2.4082490078114045,4.292050033649629
98.25,2.408294534492411,4.291755870648319
98.5,2.4083394647525327,4.29146288395185
98.75,2.4083838017832058,4.291171067103827
99.0,2.4084275487617988,4.290880413679567
99.25,2.4084707088516417,4.2905909172859875
99.5,2.408513285202053,4.2903025715615
99.75,2.4085552809483706,4.2900153701758965
100.0,2.4085966992119783,4.289729306830242
100.25,2.4086375431003386,4.289444375256762
100.5,2.40867781570702,4.289160569218735
100.75,2.408717520111729,4.288877882510381
101.0,2.40875665938034,4.288596308956747
101.25,2.408795236564926,4.2883158424136045
101.5,2.40883325470379,4.288036476767331
101.75,2.4088707168214976,4.2877582059348045
102.0,2.408907625928908,4.287481023863289
102.25,2.408943985023206,4.287204924530325
102.5,2.408979797087935,4.286929901943619
102.75,2.4090150650930306,4.286655950140932
103.0,2.4090497919948524,4.286383063189966
103.25,2.4090839807362174,4.286111235188258
103.5,2.409117634246435,4.285840460263063
103.75,2.40915075544134,4.285570732571245
104.0,2.409183347223327,4.285302046299169
104.25,2.4092154124813847,4.285034395662581
104.5,2.4092469540911314,4.284767774906507
104.75,2.409277974914849,4.284502178305135
105.0,2.40930847780152,4.284237600161703
105.25,2.4093384655868597,4.2839740348083915
105.5,2.4093679410933557,4.283711476606211
105.75,2.4093969071303016,4.283449919944888
106.0,2.409425366493834,4.2831893592427575
106.25,2.4094533219669687,4.282929788946647
106.5,2.409480776319637,4.282671203531769
106.75,2.409507732308723,4.282413597501607
107.0,2.4095341926781013,4.282156965387808
107.25,2.409560160158673,4.281901301750067
107.5,2.4095856374684033,4.281646601176018
107.75,2.40961062731236,4.281392858281121
108.0,2.409635132382751,4.281140067708555
108.25,2.4096591553589626,4.280888224129102
108.5,2.409682698907596,4.280637322241039
108.75,2.4097057656825074,4.280387356770026
109.0,2.409728358324847,4.280138322468997
109.25,2.4097504794630957,4.279890214118047
109.5,2.409772131713106,4.279643026524321
109.75,2.40979331767814,4.2793967545219065
110.0,2.4098140399489076,4.279151392971721
110.25,2.4098343011036083,4.278906936761401
110.5,2.409854103707968,4.278663380805194
110.75,2.409873450315281,4.278420720043847
111.0,2.4098923434664483,4.278178949444496
111.25,2.409910785690017,4.277938064000556
111.5,2.409928779502222,4.277698058731613
111.75,2.409946327407025,4.2774589286833145
112.0,2.4099634318961547,4.2772206689272565
112.25,2.4099800954491473,4.276983274560878
112.5,2.409996320533387,4.276746740707349
112.75,2.410012109604147,4.276511062515465
113.0,2.41002746510463,4.276276235159535
113.25,2.4100423894660072,4.276042253839272
113.5,2.4100568851074624,4.275809113779688
113.75,2.4100709544362307,4.275576810230982
114.0,2.41008459984764,4.275345338468435
114.25,2.4100978237251516,4.2751146937923
114.5,2.4101106284404032,4.274884871527694
114.75,2.4101230163532485,4.274655867024488
115.0,2.410134989811799,4.274427675657206
115.25,2.410146551152465,4.274200292824912
115.5,2.4101577026999985,4.273973713951105
115.75,2.4101684467675333,4.27374793448361
116.0,2.4101787856566275,4.273522949894473
116.25,2.4101887216573044,4.273298755679856
116.5,2.410198257048095,4.273075347359926
116.75,2.4102073940960795,4.272852720478753
117.0,2.4102161350569284,4.272630870604202
117.25,2.410224482174946,4.272409793327828
117.5,2.410232437683111,4.272189484264768
117.75,2.410240003803118,4.2719699390536405
118.0,2.410247182745422,4.271751153356436
118.25,2.4102539767092765,4.271533122858414
118.5,2.4102603878827797,4.271315843267998
118.75,2.4102664184429137,4.2710993103166714
119.0,2.4102720705555876,4.270883519758872
119.25,2.4102773463756795,4.270668467371888
119.5,2.410282248047079,4.270454148955758
119.75,2.410286777702728,4.2702405603331615
120.0,2.4102909374646657,4.27002769734932
120.25,2.410294729444067,4.269815555871894
120.5,2.410298155741287,4.269604131790875
120.75,2.410301218445904,4.26939342101849
121.0,2.4103039196367595,4.269183419489095
121.25,2.410306261382001,4.268974123159073
121.5,2.4103082457391256,4.268765528006735
121.75,2.4103098747550202,4.268557630032215
122.0,2.4103111504660046,4.2683504252573705
122.25,2.4103120748978744,4.268143909725681
122.5,2.4103126500659413,4.267938079502148
122.75,2.410312877975077,4.267732930673194
123.0,2.410312760619754,4.267528459346561
123.25,2.4103122999840894,4.267324661651214
123.5,2.4103114980418843,4.267121533737237
123.75,2.4103103567566686,4.266919071775737
124.0,2.410308878081741,4.2667172719587425
124.25,2.4103070639602127,4.266516130499107
124.5,2.410304916325047,4.266315643630407
124.75,2.4103024370991033,4.266115807606848
125.0,2.410299628195179,4.265916618703162
125.25,2.4102964915160503,4.265718073214514
125.5,2.4102930289545137,4.265520167456401
125.75,2.4102892423934295,4.265322897764557
126.0,2.410285133705762,4.265126260494856
126.25,2.4102807047546215,4.264930252023214
126.5,2.4102759573933064,4.264734868745493
126.75,2.4102708934653445,4.264540107077407
127.0,2.4102655148045344,4.2643459634544225
127.25,2.410259823234987,4.264152434331669
127.5,2.4102538205711683,4.263959516183835
127.75,2.4102475086179376,4.263767205505084
128.0,2.4102408891705918,4.26357549880895
128.25,2.410233964014906,4.263384392628249
128.5,2.4102267349271735,4.263193883514985
128.75,2.4102192036742487,4.263003968040252
129.0,2.4102113720135865,4.262814642794146
129.25,2.410203241693284,4.262625904385668
129.5,2.410194814452123,4.2624377494426335
129.75,2.410186092019607,4.262250174611581
130.0,2.4101770761160064,4.2620631765576755
130.25,2.4101677684523963,4.26187675196462
130.5,2.4101581707306985,4.2616908975345655
130.75,2.4101482846437214,4.261505609988015
131.0,2.4101381118752014,4.2613208860637375
131.25,2.4101276540998424,4.261136722518673
131.5,2.4101169129833564,4.260953116127847
131.75,2.4101058901825043,4.260770063684275
132.0,2.410094587345135,4.260587561998879
132.25,2.4100830061102276,4.260405607900393
