t,H,L
19.0,2.3632940373002254,4.419127850429974
38.0,2.1275889902019305,4.496005695735239
57.0,2.272724312072191,4.4658985469050325
76.0,2.2076949983207363,4.525228073819107
95.0,2.169305035604109,4.58184492238064
114.0,2.1705274758071766,4.470377842204817
133.0,2.2858032355344498,4.4244166513994445
152.0,2.1940577329357738,4.518110412850235
171.0,2.073397444487625,4.4313751582280965
190.0,2.2211172182522505,4.380840859850437
209.0,2.2529578552271667,4.362630428019344
228.0,2.2724331649578247,4.396475629141353
247.0,2.2780997519341892,4.418732241773351
266.0,2.1890030346923917,4.30536849986387
285.0,2.160634294440395,4.398593442791904
304.0,2.281482142839825,4.564343356907578
323.0,2.111939100344467,4.475636669706883
342.0,2.134336146737192,4.326265145616425
361.0,2.2044876433669574,4.450346228902252
380.0,2.121719506926584,4.360422992418345
399.0,2.2994189318734475,4.456536918108087
418.0,2.2397121562049676,4.49506786120234
437.0,2.0825211387295073,4.399150593317415
456.0,2.1102579954972343,4.471932773336828
475.0,2.085001140225669,4.425368575632279
494.0,2.2667688058600635,4.333223598439817
513.0,2.209559966208877,4.39038213924472
532.0,2.083763564602066,4.499343135958705
551.0,2.2287048563284713,4.525254959257997
570.0,2.1160841478851675,4.547952612771103
589.0,2.0925910394458707,4.5181496942547525
608.0,2.232598806167728,4.370167598091844
627.0,2.210980974032891,4.3646149773735345
646.0,2.241253962490574,4.34667378291708
665.0,2.1174536334561873,4.390529987506687
684.0,2.1545795931706033,4.413663455516102
703.0,2.2073484644716737,4.39844183886393
722.0,2.297358746488257,4.480072986222565
741.0,2.276970435931182,4.383810564390352
760.0,2.2478573410794995,4.482306168034896
779.0,2.0876961352068304,4.4060767387187685
798.0,2.305127410372055,4.495119759174404
817.0,2.295839249735201,4.412094681982927
836.0,2.1299730654614435,4.445182000830127
855.0,2.2560037874925842,4.47270887247026
874.0,2.2570547389937765,4.393206362604285
893.0,2.191558420960727,4.494612866505532
912.0,2.1899041269378485,4.370697840453732
931.0,2.125109466878492,4.359711366615224
950.0,2.1678389034355647,4.417650543044213
969.0,2.1659458372463414,4.388291665318248
988.0,2.1113839882915575,4.422434076605196
1007.0,2.2343836521908407,4.5205963305595
1026.0,2.106498491649725,4.5129021506339075
1045.0,2.1578332676977787,4.404299037732556
1064.0,2.140358207443374,4.421589194918787
1083.0,2.1164572081913002,4.418050709263584
1102.0,2.129571351454524,4.348147223543392
1121.0,2.075024861231863,4.387518596102842
1140.0,2.2693622145756995,4.376925815033423
1159.0,1.952925190729198,4.3448016339745115
1178.0,2.258467339349393,4.435836318519526
1197.0,2.098714275725759,4.343807512789724
1216.0,2.1895020156732925,4.497866779214302
1235.0,2.162371358388903,4.51856257978429
1254.0,2.056460729757007,4.438855031386333
1273.0,2.130284625815653,4.35404416139014
1292.0,2.157390063550679,4.373603202146505
1311.0,2.081627464103684,4.290389766200525
1330.0,2.066735309279216,4.4087084013217135
1349.0,2.1942851134488626,4.314936536355178
1368.0,2.0173992377785868,4.262025251654613
1387.0,2.277522525475706,4.492106923668875
1406.0,2.112737799633048,4.339574823029332
1425.0,2.124427476070238,4.27317036961606
1444.0,2.1914757759523638,4.3320652939364805
1463.0,2.158976448334244,4.397400688691114
1482.0,2.1751822871278255,4.398159922809617
1501.0,2.1858530119143813,4.304313474928548
1520.0,2.21431974381229,4.362468615827303
1539.0,2.165244885602974,4.421774591365868
1558.0,2.1290650495175063,4.28985538668045
1577.0,2.166680829006866,4.471246588182607
1596.0,2.162765319312277,4.373444421752033
1615.0,2.1132702604145046,4.356085084072812
1634.0,2.0213784938889665,4.303508996657943
1653.0,2.0950854755563624,4.324277289896651
1672.0,2.1996912403816573,4.371072531429637
1691.0,2.0815562556976523,4.337948570950129
1710.0,2.0376160984371583,4.344165241066977
1729.0,2.040536097653276,4.4154506810312935
1748.0,2.021091864262785,4.384879729872269
1767.0,2.0476413478755067,4.241064530159397
1786.0,2.0068559053714656,4.415259613896804
1805.0,2.160169785374123,4.3121218350329835
1824.0,2.1489798855609106,4.497828511453832
1843.0,2.1203434815973896,4.328353901488142
