t,H,L
19.0,2.238237185545547,4.44027497740905
38.0,2.2291543288461466,4.272925488724232
57.0,2.275625567356089,4.255206936074433
76.0,2.322884782288803,4.461597001173833
95.0,1.9732232221993062,4.245639888431076
114.0,2.15688900768737,4.3540697108130315
133.0,2.1140515832804776,4.417439642594255
152.0,2.1898832282712344,4.38705529814622
171.0,2.2156032310871856,4.49447885168726
190.0,2.19880778991587,4.369712001943541
209.0,2.062829472847782,4.3004878029133735
228.0,1.9476443947725557,4.469009471640145
247.0,2.1835381072479336,4.437352093134561
266.0,2.181154888720355,4.597553479466874
285.0,2.0684427767567906,4.410610621321507
304.0,2.2284353055853394,4.470441191401664
323.0,2.069511802595999,4.411917376318592
342.0,2.2145107070907506,4.451932955208957
361.0,2.289027679541706,4.631462405095405
380.0,2.1612933757821904,4.48315202477446
399.0,2.1469578309857753,4.584437368973248
418.0,2.2503274304751297,4.3496893302110085
437.0,2.120681181479344,4.2876831704784335
456.0,2.1005899084640967,4.377031609105476
475.0,2.2760730029988943,4.403718904009317
494.0,2.073446592364556,4.646743807766917
513.0,2.2336905987004823,4.503594104322996
532.0,2.0685133693963844,4.279579789001232
551.0,2.2687712528257165,4.281096093963679
570.0,2.325164471379092,4.476463011096671
589.0,2.3312281302976876,4.470622470466998
608.0,2.117016913815565,4.412086303621865
627.0,2.2950700129855086,4.389494578499945
646.0,2.2874723408739572,4.238208672146016
665.0,2.219307386001941,4.264434353464003
684.0,2.1600667962730613,4.43594694816358
703.0,2.1169283930089438,4.417826978067901
722.0,2.177842305179,4.292216953970647
741.0,2.2823186317553876,4.473133813769972
760.0,2.16811845217928,4.362562447994559
779.0,2.069406788452732,4.396537042053987
798.0,2.348050774416794,4.5174716504497345
817.0,1.9907253593816696,4.405293283736935
836.0,2.2420034425728574,4.5268859668167165
855.0,1.9332644760975024,4.5675195728222535
874.0,2.0387001944007115,4.3718316459267585
893.0,2.075652376027176,4.239107473936025
912.0,2.0289484491604153,4.39495836758635
931.0,2.236728670299531,4.35823431151948
950.0,2.2374290434558524,4.467022764973411
969.0,2.0410793145311654,4.327374480863049
988.0,2.2272948362298894,4.579390265319994
1007.0,2.14658018842565,4.519926495664879
1026.0,2.0687128966895476,4.419766206278569
