t,H,L
19.0,2.1098768192172543,4.230143292170956
38.0,2.2081620087867995,4.4895264482893795
57.0,2.2786266184303585,4.34764979117358
76.0,2.1735252526482376,4.37749836591803
95.0,2.3029743273708774,4.643993344937592
114.0,2.2295727508025003,4.509201911687513
133.0,2.2373055739171854,4.51839752469204
152.0,2.1330632783258707,4.486430277200905
171.0,2.073233189216385,4.394947062999348
190.0,2.1666783475615947,4.429888751170336
209.0,2.23251362086801,4.474493807061882
228.0,2.2607308732880997,4.514943116315657
247.0,1.989338394050375,4.544530002259095
266.0,1.996846575093791,4.54344585243081
285.0,2.183891494746302,4.517677229328155
304.0,2.0446919566377804,4.553270405608739
323.0,2.1898627344531914,4.486153695797134
342.0,2.01413094991173,4.3774006179770035
361.0,2.1050431979841897,4.4114232434872
380.0,2.149609174555861,4.425095156440587
399.0,2.10870084710096,4.658062424332344
418.0,2.3635163892478537,4.412854920022317
437.0,2.1956242220027726,4.5518605101245
456.0,2.1721287167462426,4.608522428576342
475.0,2.1083657171033985,4.33015125009941
494.0,2.058569108717601,4.378425381726807
513.0,2.151940193658112,4.586668443388248
532.0,2.1370059095398295,4.422031153251526
551.0,2.0974661369849934,4.435365524797254
570.0,2.20924584012929,4.230312615710149
589.0,2.2367485560483322,4.362678421852777
608.0,2.3001710479367112,4.347387445909613
627.0,1.9642614653837331,4.522037450814115
646.0,2.081025318127254,4.430803550775101
665.0,2.1795702439697173,4.591555586698417
684.0,1.9574486891608542,4.340072588184895
703.0,2.0674022441726567,4.31392378903967
722.0,2.241436922513708,4.511480746394996
741.0,2.235717429959305,4.3508528664936215
760.0,2.2429942788929433,4.425623442965747
779.0,2.1558167521311487,4.2046665494784365
798.0,2.1593142045836133,4.363086433586519
817.0,1.9604622297860503,4.522764049583171
836.0,2.2556672181543647,4.44000588868399
855.0,2.2923861357406676,4.518706381555544
874.0,2.2416239149368287,4.614717171354943
893.0,2.2598039957216303,4.489622484834692
912.0,2.2340480703942744,4.44200197591155
931.0,2.2733162484651284,4.369475275772945
950.0,2.1631750502691727,4.401420633946449
969.0,2.258431744765522,4.544629087727277
988.0,2.2463053381871654,4.315027714277653
1007.0,2.4190479176271484,4.404918463075583
1026.0,2.1967035326971502,4.316153459043939
1045.0,2.2177667575972033,4.3973916370612525
1064.0,2.1497875941686426,4.319478915021364
1083.0,2.279003415213266,4.379088920930798
1102.0,2.2196889578478936,4.358605596869311
1121.0,2.147938976425739,4.4592378081364865
1140.0,2.1251124757921636,4.327796196080995
1159.0,2.2777228525302293,4.241698381410153
1178.0,2.129264945238986,4.304563828455962
1197.0,2.059445130472796,4.293483763699866
1216.0,2.123722554047154,4.426776716464117
1235.0,2.1687856321785564,4.46404668294424
1254.0,2.0813163915377464,4.452453255518016
1273.0,1.955104021026938,4.372481891644606
1292.0,2.069402691071686,4.44846594461243
1311.0,2.1714866383229796,4.460329420288272
1330.0,2.1564628309929277,4.408930354270604
1349.0,2.1378129886398716,4.327335256067505
1368.0,2.09116849605989,4.3910704685153465
1387.0,2.1748419819049563,4.30942339975089
1406.0,1.9642384100107555,4.422883804906124
1425.0,2.214014936149847,4.6274138102505935
1444.0,2.1379562853082694,4.391354094289237
1463.0,2.12519659800317,4.228161423995213
1482.0,2.1629684962872897,4.502194984359956
1501.0,2.0263319014408743,4.395199834820021
1520.0,2.0690037067954776,4.2704023458002505
1539.0,2.250276872433337,4.262675794516377
1558.0,2.2474517952288426,4.287492146816474
1577.0,2.157674619987629,4.4408303343545645
1596.0,2.3116669710235995,4.5588722625576334
1615.0,2.041015073800235,4.414973738556753
1634.0,2.244701139711126,4.354442506437211
1653.0,2.104005229413963,4.389052017137242
1672.0,2.124952597374375,4.281198294636174
1691.0,2.01298541766215,4.379226690814857
1710.0,2.177748244632936,4.319181906324939
1729.0,2.1119363784844696,4.336403126724521
1748.0,2.0250240416692074,4.398166502541535
1767.0,2.1159308385130284,4.256763925549797
1786.0,1.9254991356174966,4.328833123942502
1805.0,2.0727967044834963,4.3755838439036525
1824.0,2.263867607430787,4.309529747732682
1843.0,1.987304795899223,4.362620352444979
1862.0,2.12175067255487,4.340819637541315
1881.0,2.015093032279528,4.168319491279838
1900.0,2.1010518508308893,4.294719917316256
1950.0,1.9738584425162962,4.354217088427966
1951.0,2.21286654307792,4.404768496106395
1952.0,2.1382738382641846,4.369392154956523
1953.0,2.1145962512466467,4.25186138463627
1954.0,2.1682118270714223,4.408739826299165
1955.0,2.0691369442620244,4.300375605960812
1956.0,2.188556414381932,4.398720247085008
1957.0,2.1473873696472787,4.361468305966871
1958.0,2.1323006318319098,4.351151165155113
1959.0,2.0919630109065284,4.294369830556202
1960.0,2.0176827176493974,4.4027298542133195
1961.0,2.1613441005856315,4.32864993025676
1962.0,2.2083837256822467,4.329097372692656
1963.0,2.1131249383369766,4.368107448227341
1964.0,2.085389971110537,4.5073919213762625
1965.0,2.0702616341939635,4.253727834251515
1966.0,1.9831739025952946,4.254413323337447
1967.0,2.089962272730931,4.3037362183644845
1968.25,2.1492685044864976,4.262608938084956
1969.25,2.021768902198662,4.339838800199772
1970.25,2.1445881240097457,4.316011226124245
1971.25,2.0357928307286324,4.321060412148327
1972.25,2.1591115281667963,4.436169641842579
1973.25,2.1287563355450576,4.331515010933338
1974.25,2.08281968892069,4.268304258362521
1975.25,2.205042390881652,4.392635492446611
1976.25,2.0363512758173417,4.311793279757268
1977.25,2.103228179248611,4.23470023067125
1978.25,2.0605722690557373,4.2914183491986435
1979.25,2.0694163515706117,4.340478468117407
1980.25,2.146893987360616,4.33225255760422
1981.25,2.1724928143809503,4.286377163814657
1982.25,2.00681116735297,4.378227651127201
1983.25,1.9863302424696265,4.272672910363251
1984.25,2.094529645495894,4.258196795678548
1985.5,1.9843342781772655,4.316338117436618
1986.5,2.0501974783787147,4.288812062490123
1987.5,2.0660436138172886,4.369657273720023
1988.5,2.051113863269345,4.371270700480445
1989.5,1.9658812429291688,4.391546837445172
1990.5,1.907632102589866,4.355383218121588
1991.5,2.10531113896781,4.422995092325148
1992.5,2.1874704183857148,4.2945308210417
1993.5,2.0809983409134953,4.3042126962361245
1994.5,2.0306164745758366,4.4054672221213655
1995.5,2.0727206076269247,4.460591844016553
1996.5,2.083984131879235,4.225352569541039
1997.5,2.1397125403447848,4.296735016979244
1998.5,2.1227944339276172,4.366161351029391
1999.5,2.1854935913586124,4.317839108392901
2000.5,2.0125407474387496,4.2303076911068445
2001.5,2.0840549802725397,4.3862139708698855
2002.75,1.9767972511139071,4.201896422064321
2003.75,2.0503023941270824,4.28557139575033
2004.75,2.1317195558026625,4.316322033593607
2005.75,2.0783456332951458,4.285086602270491
2006.75,2.093455804041379,4.28679780215735
2007.75,2.097188794487509,4.239106391888247
2008.75,2.034759680962086,4.403562442254596
2009.75,2.1589844590434506,4.313014072419821
2010.75,2.159938538633843,4.341270459511207
2011.75,1.9417918339087048,4.231864756918343
2012.75,2.190235760878404,4.383002661950004
2013.75,2.105793434072723,4.293707207877725
2014.75,2.0124547745523707,4.411235354635281
2015.75,2.000771982521594,4.303509459690849
2016.75,2.025499939363579,4.326623133849932
2017.75,1.9729174671214473,4.318446546806382
2018.75,2.0409336802126496,4.353266056060049
2020.0,2.159922959284244,4.340532563628855
