t,H,L,1H,1L,2H,2L,3H,3L,4H,4L,5H,5L,6H,6L,7H,7L,8H,8L,9H,9L,10H,10L,aH,aL
0.0,2.18,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.6
0.25,2.180000224493988,4.4399988044410135,2.301202933402776,4.603515950972144,2.2839718916329637,4.602864930988459,2.287264876835707,4.602042848167406,2.2801019804806533,4.593018913616265,2.2868873751131007,4.5999891457630175,2.2979506920780226,4.602039148456679,2.3057270717587617,4.613121152751371,2.3007014998906636,4.585885844992284,2.302607582147565,4.609707951962301,2.308647434391306,4.616525689160991,2.295506333773152,4.602871157683092
0.5,2.180000442878168,4.439997611753863,2.3013024079146587,4.60325450657462,2.284096544285352,4.602550988861696,2.287383924879282,4.601740896668672,2.2802228436698706,4.592715239859014,2.287004996992786,4.599690668467203,2.2980537003962445,4.601770716468952,2.3058291350133717,4.612852059515249,2.300784114146727,4.585663357348497,2.302711054030733,4.609436743654923,2.3087483777134334,4.616258108370914,2.295613709904246,4.602593328578974
0.75,2.1800006551635,4.439996421915697,2.3014014619813303,4.602993982437861,2.284220708825221,4.60223813561494,2.287502499780789,4.601439996136309,2.2803432347304473,4.5924126167570645,2.2871221507598105,4.599393229929191,2.2981562791008288,4.601503227300066,2.3059307647703866,4.612583916653959,2.3008663673263077,4.585441650511248,2.3028140904446284,4.6091664911227594,2.308848888724967,4.615991474494605,2.2957206446444713,4.6023164720958
1.0,2.180000861360906,4.4399952349037415,2.301500096950775,4.60273437534019,2.2843443866915427,4.601926367650975,2.28762060296097,4.601140143055473,2.280463155058299,4.59211104083992,2.2872388378236885,4.59909682666993,2.298258429551878,4.601236677679485,2.306031962420898,4.612316720832388,2.300948260629389,4.585220721683893,2.3029166927759595,4.608897191031942,2.3089489688225453,4.615725784191234,2.2958271393685945,4.602040584897543
1.25,2.1800010614812764,4.439994050695293,2.301598314168089,4.60247568206894,2.284467579320987,4.601615681381451,2.287738235838124,4.600841333920238,2.280582606047035,4.5918105086457075,2.287355059591476,4.598801455219233,2.298360153106689,4.600971064345653,2.3061327293530556,4.612050468724733,2.3010297952530205,4.585000568078105,2.3030188624085572,4.608628840057814,2.3090486193998054,4.615461034129381,2.2959331954486837,4.601765663657125
1.5,2.180001255535467,4.439992869267723,2.301696114975477,4.60221789942045,2.2845902881479114,4.6013060732268825,2.2878553998280995,4.600543565233579,2.280701589087947,4.591511016721174,2.2874708174677614,4.5985071121157715,2.2984614511197443,4.6007063840459885,2.306233066952061,4.611785157014488,2.3011109723913163,4.584781186913866,2.3031206007233687,4.60836143488492,2.30914784184738,4.615197220987023,2.2960388142541066,4.6014917050564135
1.75,2.1800014435343,4.439991690598476,2.301793500712246,4.601961024200051,2.2847125146043528,4.600997539616647,2.2879720963442822,4.600246833507378,2.2808201055700015,4.591212561621686,2.2875861128546573,4.598213793907073,2.298562324942711,4.600442633536875,2.3063329766001637,4.611520782394439,2.301191793235455,4.584562575419449,2.303221909098451,4.6080949722069935,2.3092466375528917,4.614934341451524,2.296143997151521,4.601218705786211
2.0,2.180001625488561,4.4399905146650696,2.3018904727148017,4.601705053222059,2.284834260120015,4.60069007698898,2.288088326797589,4.599951135262413,2.280938156879831,4.59091513991122,2.2877009471517926,4.597921497149514,2.298662775924433,4.600179809583649,2.3064324596766554,4.611257341566649,2.3012722589736785,4.584344730831407,2.3033227889089667,4.607829448726955,2.309345007900947,4.614672392219624,2.296248745504871,4.600946662546247
2.25,2.180001801409007,4.439989341445094,2.301987032316645,4.601449983309762,2.2849555261222605,4.600383681790974,2.288204092596459,4.599656467028354,2.281055744401724,4.590618748162367,2.287815321756302,4.597630218408317,2.298762805410926,4.599917908960597,2.306531517557865,4.610994831242453,2.3013523707912924,4.58412765039456,2.303423241527179,4.607564861156895,2.3094429542731336,4.614411369997433,2.296353060675379,4.600675572045171
2.5,2.180001971306357,4.439988170916212,2.3020831808483653,4.6011958112954146,2.285076314036101,4.600078350478573,2.2883193951468432,4.599362825343764,2.281172869517617,4.590323382956321,2.287929238062821,4.597339954257544,2.2988624147453733,4.5996569284509405,2.306630151617154,4.610733248142447,2.3014321298706633,4.583911331361985,2.303523268322446,4.607301206218069,2.309540478048014,4.614151271500414,2.29645694402154,4.600405431000547
2.75,2.180002135191299,4.43998700305616,2.3021789196376394,4.600942534020221,2.285196625284185,4.599774079516571,2.2884342358521983,4.599070206756087,2.281289533607086,4.590029040882879,2.288042697463475,4.597050701280092,2.2989616052681208,4.59939686484683,2.3067283632249116,4.610472588996473,2.3015115373912196,4.5836957709949955,2.303622870661214,4.607038480640886,2.3096375806011227,4.613892093453376,2.2965603968991175,4.600136236138841
3.0,2.180002293074486,4.439985837842745,2.302274250009226,4.600690148334329,2.2853164612867922,4.599470865378608,2.2885486161134767,4.598778607821647,2.2814057380473365,4.589735718540436,2.288155701347872,4.596762456067688,2.299060378316671,4.599137714949336,2.3068261537485495,4.610212850543615,2.301590594529451,4.583480966563135,2.3037220499070163,4.606776681164901,2.3097342633049593,4.6136338325904624,2.2966634206611354,4.5998679841954155
3.25,2.1800024449665387,4.439984675253845,2.3023691732849607,4.600438651096821,2.2854358234618206,4.599168704547165,2.2886625373291194,4.598488025105639,2.281521484213196,4.5894434125359815,2.2882682511030956,4.596475215220882,2.2991587352256806,4.598879475568436,2.3069235245524986,4.609954029532186,2.301669302458908,4.583266915344161,2.3038208074204647,4.606515804538803,2.3098305275289874,4.6133764856551425,2.296766016657873,4.599600671914522
