t,H,L,1H,1L,2H,2L,3H,3L,4H,4L,5H,5L,6H,6L,7H,7L,8H,8L,9H,9L,10H,10L,aH,aL
0.0,2.18,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.6
0.25,2.180000224493988,4.4399988044410135,2.3005879029471545,4.596651473458038,2.293421574843204,4.608914743003705,2.30518702485839,4.595388115596943,2.3040968992346205,4.606536840673624,2.2835975034357707,4.621138686005811,2.2907217450889505,4.599776014806344,2.2996917533517025,4.605200573945575,2.2918143110608376,4.593819566944258,2.287539428086234,4.613468690864544,2.3076126539344264,4.602566302935542,2.296427079684129,4.604346100823438
0.5,2.180000442878168,4.439997611753863,2.3006814864681684,4.596403846462493,2.293538170766507,4.608616330000339,2.3052721127824465,4.5951582992761,2.3041949055372086,4.606277723321903,2.283740076639489,4.620782484202686,2.2908334667303007,4.599489949567642,2.299795225973361,4.604930430738085,2.2919185673782674,4.593550470315925,2.287669064803484,4.613141753077041,2.3077011540822987,4.602327761347464,2.296534423116153,4.604067904830968
0.75,2.1800006551635,4.439996421915697,2.3007746704878342,4.596157090248651,2.293654295664484,4.60831896097707,2.305356827120632,4.594929292222985,2.3042924938654425,4.606019519772479,2.283882105309433,4.620427512971754,2.290944736094881,4.599204883454261,2.299898265804572,4.604661237556694,2.292022395426284,4.593282314667496,2.2877981938113807,4.612815951597963,2.3077892664781547,4.602090061727953,2.29664132500631,4.6037906825197314
1.0,2.180000861360906,4.4399952349037415,2.300867456302515,4.595911201745569,2.2937699509732057,4.608022632401004,2.305441169115753,4.594701091532513,2.3043896655693916,4.605762226807631,2.2840235909819007,4.62007376834771,2.2910555545714266,4.598920813074814,2.3000008742175986,4.6043929911003625,2.29212579654469,4.593015096766936,2.2879268165974205,4.612491282680306,2.307876992406941,4.601853201059471,2.2967477867280843,4.603514430551631
1.25,2.1800010614812764,4.439994050695293,2.3009598452056617,4.595666177891077,2.2938851381261673,4.607727340748383,2.3055251400076076,4.594473694308223,2.3044864219961805,4.605505841218731,2.284164535191258,4.61972124637434,2.291165923546074,4.598637735046812,2.300103052581874,4.604125688077124,2.2922287720705925,4.592748813390959,2.2880549346468357,4.6121677425861805,2.3079643331505606,4.601617176333357,2.2968538096522813,4.603239145597518
1.5,2.180001255535467,4.439992869267723,2.3010518384878083,4.595422015631766,2.293999858554281,4.607433082504589,2.3056087410329864,4.5942470976622625,2.3045827644899832,4.605250359806235,2.2843049394699237,4.619369943104521,2.291275844402355,4.59835564599666,2.3002048022639947,4.603859325204081,2.292331323338393,4.592483461325015,2.288182549442583,4.611845327586812,2.3080512899878713,4.601381984549817,2.296959395147018,4.602964824337176
1.75,2.1800014435343,4.439991690598476,2.3011434374365716,4.595178711922981,2.2941141136858665,4.607139854164136,2.3056919734256707,4.594021298715375,2.304678694392021,4.604995779379671,2.284444805348355,4.619019854600228,2.291385318521186,4.5980745425596545,2.3003061246277157,4.603593899207395,2.292433451679784,4.592219037363283,2.2883096624653314,4.611524033962538,2.3081378641946833,4.6011476227179084,2.2970645445777187,4.602691463459317
2.0,2.180001625488561,4.4399905146650696,2.3012346433366453,4.594936263728803,2.2942279049466427,4.60684765223066,2.30577483841643,4.593796294596886,2.304774213040557,4.6047420967576285,2.2845841343550335,4.618670976932526,2.291494347280864,4.597794421379971,2.3004070210339447,4.603329406822275,2.2925351584237452,4.591955538308665,2.2884362751934515,4.611203858002806,2.3082240570437573,4.6009140878555295,2.2971692593071067,4.6024190596615755
2.25,2.180001801409007,4.439989341445094,2.3013254574697983,4.594694668022044,2.2943412337597207,4.60655647321692,2.305857337233023,4.593572082444692,2.3048693217708913,4.604489308767749,2.284722928016451,4.618323306181579,2.2916029320570597,4.597515279110662,2.300507492840738,4.603065844792971,2.2926364448965346,4.591692960972774,2.2885623891030042,4.6108847960061725,2.308309869804803,4.600681376989407,2.297273540695202,4.602147609650497
2.5,2.180001971306357,4.439988170916212,2.301415881114872,4.594453921784235,2.2944541015455937,4.606266313644789,2.305939471100194,4.593348659405245,2.30496402191536,4.604237412246715,2.2848611878570964,4.6179768384366495,2.2917110742228073,4.597237112413648,2.300607541403294,4.602803209872764,2.2927373124216857,4.591431302175931,2.288688005667729,4.610566844280298,2.3083953037444758,4.600449487155079,2.297377390099311,4.601877110141536
2.75,2.180002135191299,4.43998700305616,2.3015059155477777,4.594214022005611,2.294566509722131,4.6059771700452465,2.306021241239674,4.593126022633541,2.305058314803329,4.6039864040402385,2.2849989153994392,4.617631569796097,2.2918187751485015,4.596959917959712,2.300707168073949,4.602541498823957,2.2928377623200014,4.591170558747151,2.2888131263590332,4.6102499991419466,2.308480360126378,4.600218415396888,2.2974808088740213,4.6016075578590385
3.0,2.180002293074486,4.439985837842745,2.301595562041492,4.593974965685102,2.2946784597045675,4.605689038958377,2.3061026488701777,4.592904169293106,2.3051522017611896,4.60373628100305,2.285136112163918,4.61728749636738,2.2919260362018883,4.59668369242849,2.3008063742021716,4.602280708417864,2.29293779590955,4.590910727524135,2.2889377526459818,4.6099342569169846,2.308565040211054,4.599988158767964,2.297583798371199,4.601338949536245
3.25,2.1800024449665387,4.439984675253845,2.3016848218660555,4.593736749830321,2.294789952905499,4.60540191693336,2.3061836952074053,4.592683096555981,2.3052456841123576,4.603487039998889,2.285272779668927,4.61694461426706,2.2920328587480596,4.596408432508469,2.3009051611345583,4.6020208354348044,2.2930374145056587,4.590651805353268,2.289061885995286,4.609619613940375,2.3086493452559904,4.599758714330211,2.2976863599399797,4.6010712819152735
3.5,2.1800025908780443,4.4399835152674125,2.3017736962885706,4.593499371457555,2.294900990734873,4.605115800528465,2.306264381464039,4.5924628016027125,2.3053387631772675,4.603238677900491,2.2854089194308007,4.616602919620793,2.2921392441494457,4.5961341348969755,2.301003530214829,4.601761876664088,2.2931366194209097,4.5903937890896005,2.2891855278712923,4.6093060665561785,2.3087332765156146,4.599530079154298,2.297788494926764,4.600804551747116
3.75,2.180002730819557,4.43998235786147,2.301862186573199,4.593262827591747,2.2950115745999797,4.604830686311047,2.306344708849744,4.592243281622333,2.30543144027337,4.6029911915895765,2.2855445329638013,4.616262408563341,2.2922451937658095,4.595860796300169,2.301101482783822,4.6015038289040096,2.293235411965136,4.590136675596848,2.289308679735973,4.608993611117545,2.3088168352412928,4.5993022503196395,2.297890204675213,4.600538755791626
