t,H,L,1H,1L,2H,2L,3H,3L,4H,4L,5H,5L,6H,6L,7H,7L,8H,8L,9H,9L,10H,10L,aH,aL
0.0,2.18,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.6
0.25,2.180000224493988,4.4399988044410135,2.2946809933837407,4.597650411350513,2.29703608474982,4.6052719756621325,2.2840311775079796,4.597452813510362,2.29802362390615,4.609379590891536,2.311562125161428,4.6070743795392834,2.2956063185886144,4.58122949442663,2.325425125124061,4.592962768935974,2.2847365512816964,4.618832225264303,2.309995092716538,4.604762772933384,2.31218746859449,4.598880919588853,2.301328456101452,4.601349735210297
0.5,2.180000442878168,4.439997611753863,2.2947846603144613,4.597381642699699,2.2971436774499834,4.604993239603335,2.2841505539212723,4.597151240166557,2.298133764926242,4.6090945709862385,2.311648924002603,4.60683826494247,2.295692287444084,4.581001203036188,2.3254743697247076,4.592806454079735,2.2848753262104524,4.618484652405203,2.3100820379409988,4.604526908787336,2.312264898416971,4.598665979203357,2.3014250500351774,4.601094415591012
0.75,2.1800006551635,4.439996421915697,2.2948878983678163,4.5971138158374165,2.297250825813974,4.604715481892529,2.2842694592404134,4.596850713736091,2.2982434520841246,4.608810552148977,2.3117353377386176,4.6066029854980535,2.295777887612904,4.580773710924404,2.3255233578667283,4.592650680322152,2.2850135672941105,4.618138282524766,2.3101685988859444,4.604291878112715,2.312341976332127,4.598451796898264,2.3015212361236763,4.600839989789537
1.0,2.180000861360906,4.4399952349037415,2.294990708893031,4.596846927513818,2.2973575312322074,4.604438699161396,2.284387894871803,4.596551230734811,2.2983526867939594,4.608527530940683,2.31182136765742,4.606368538190728,2.295863120302834,4.58054701526049,2.325572090492393,4.592495445569522,2.285151276055734,4.617793111720385,2.310254776833338,4.604057677906895,2.3124187035412778,4.5982383698986995,2.3016170156674,4.6005864546897435
1.25,2.1800010614812764,4.439994050695293,2.2950930932365816,4.596580974487911,2.297463795092351,4.604162888050695,2.284505862219454,4.596252787687331,2.298461470467175,4.608245503931479,2.311907015043848,4.606134920014171,2.2959479867187804,4.580321113221912,2.325620568541019,4.5923407477353715,2.2852884540163516,4.617449136098558,2.3103405730620588,4.603824305176166,2.312495081242635,4.598025695438344,2.3017123899640253,4.600333807184194
1.5,2.180001255535467,4.439992869267723,2.2951950527421907,4.596315953527551,2.29756961877932,4.603888045210253,2.2846233626849797,4.595955381127037,2.2985698045124585,4.607964467700677,2.3119922811796245,4.605902127971023,2.2960324880627927,4.580096001994381,2.325668792948975,4.59218658474044,2.2854251026949437,4.617106351774889,2.3104259888478986,4.60359175693572,2.312571110631306,4.597813770759413,2.301807360308449,4.600082044174139
1.75,2.1800014435343,4.439991690598476,2.295296588750821,4.59605186140943,2.2976750036752693,4.603614167298961,2.284740397667588,4.595659007596074,2.2986776903357495,4.607684418836769,2.312077167343359,4.605670159072879,2.2961166255340633,4.579871678771836,2.3257167646496884,4.5920329545126615,2.2855612236084286,4.616764754874089,2.310511025463561,4.6033600302096405,2.312646792899291,4.5976025931126445,2.301901927992782,4.599831162569499
2.0,2.180001625488561,4.4399905146650696,2.295397702600671,4.595788694919073,2.2977799511595887,4.603341250984765,2.28485696856407,4.59536366364535,2.2987851293402333,4.607405353937419,2.312161674810544,4.605439010340274,2.2962004003289267,4.5796481407564364,2.325764484573647,4.5918798549871465,2.2856968182716497,4.616424341529977,2.3105956841786597,4.603129122030886,2.3127221292354863,4.597392159757282,2.301996094306347,4.599581159288862
2.25,2.180001801409007,4.439989341445094,2.295498395627168,4.595526450850826,2.2978844626088946,4.6030692929446575,2.2849730767687935,4.595069345834524,2.2988921229263326,4.607127269609458,2.312245804853554,4.605208678802668,2.2962838136408563,4.579425385158547,2.325811953648406,4.591727284106161,2.285831888197362,4.616085107885477,2.3106799662597157,4.602899029441278,2.312797120825682,4.597182467961063,2.302089860535676,4.599332031259466
