t,H,L,1H,1L,2H,2L,3H,3L,4H,4L,5H,5L,6H,6L,7H,7L,8H,8L,9H,9L,10H,10L,aH,aL
0.0,2.18,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.6
0.25,2.180000224493988,4.4399988044410135,2.3113417213366323,4.610906314351247,2.2952115861670914,4.58078129131411,2.289463832143397,4.603946968120686,2.310984872643623,4.608189677551889,2.324455490755026,4.5931052227962885,2.2948735356761976,4.599587816340636,2.3071507633549726,4.611383627173567,2.3012585111389594,4.596413598263811,2.3022236319322515,4.596543336626765,2.3050490321612926,4.598667188175655,2.304201297730944,4.5999525040714655
0.5,2.180000442878168,4.439997611753863,2.31143276312309,4.6106605476747955,2.2952977256647333,4.580552753641485,2.2895814765162137,4.603647519778385,2.3110737236568815,4.607949073490174,2.3245065408201575,4.59294523567092,2.294978816364892,4.599315234194545,2.3072488739795873,4.611123141805853,2.3013508113660373,4.596168678582239,2.3023145528411217,4.59630123339816,2.305137646824139,4.598429336640891,2.3042922931156853,4.599709275487745
0.75,2.1800006551635,4.439996421915697,2.311523404905646,4.61041565105132,2.2953834962058504,4.580325015937914,2.2896986502249788,4.603349115682309,2.311162182753897,4.6077093205892705,2.324557328158761,4.59278580363382,2.2950836625337048,4.599043607319106,2.3073465635109933,4.610863577020364,2.301442715979004,4.595924620401648,2.30240508212194,4.596059982127391,2.3052258755345854,4.598192323279902,2.3043828961929362,4.5994669017043055
1.0,2.180000861360906,4.4399952349037415,2.311613648009642,4.610171621358597,2.2954688989979632,4.580098075372286,2.2898153546924753,4.603051752322763,2.3112502512386377,4.6074704157869775,2.3246078537316404,4.592626924545078,2.2951880755450413,4.598772932424466,2.307443833315056,4.6106049295630065,2.3015342262664467,4.595681420675752,2.3024952210559073,4.595819579792364,2.305313719566672,4.597956145099083,2.3044731082419485,4.599225379694037
1.25,2.1800010614812764,4.439994050695293,2.3117034937573195,4.609928455483554,2.295553935245745,4.579871929121732,2.289931591338989,4.602755426199036,2.3113379304119728,4.607232356030138,2.3246581184966213,4.5924685962721234,2.295292056758571,4.598503206229684,2.3075406847546454,4.610347196188924,2.3016253435140253,4.595439076367016,2.302584970921275,4.595580023379723,2.3054011801914385,4.597720799113598,2.3045629305390607,4.598984706438553
1.5,2.180001255535467,4.439992869267723,2.3117929434678186,4.609686150322263,2.2956386061510186,4.57964657437162,2.2900473615822987,4.6024601338193944,2.3114252215716697,4.606995138274623,2.3247081234085583,4.592310816689705,2.2953956075312205,4.598234425462724,2.307637119189631,4.610090373662485,2.301716069004468,4.595197584446646,2.3026743329933432,4.595341309884843,2.3054882586769216,4.597486282347369,2.3046523643576946,4.5987448789281675
1.75,2.1800014435343,4.439991690598476,2.311881998457174,4.609444702779924,2.2957229129127565,4.579422008315536,2.290162666837668,4.602165871701076,2.3115121260123934,4.606758759485327,2.324757869419337,4.592153583679872,2.2954987292171696,4.597966586860448,2.30773313797688,4.609834458757279,2.301806404017567,4.594956941894583,2.302763308544457,4.595103436311815,2.3055749562881522,4.597252591833059,2.3047414109683553,4.598505894161892
2.0,2.180001625488561,4.4399905146650696,2.311970660038313,4.609204109770851,2.295806856727079,4.579198228155278,2.290277508517836,4.601872636370288,2.311598645025703,4.606523216636147,2.32480735747788,4.591996895131959,2.2956014231678434,4.597699687168603,2.30782874247025,4.6095794482560954,2.3018963498301797,4.594717145699482,2.302851898844006,4.594866399673438,2.3056612742871545,4.597019724612069,2.3048300716386243,4.59826774914742
2.25,2.180001801409007,4.439989341445094,2.312058929521053,4.608964368218466,2.2958904387872514,4.5789752311008405,2.290391888033011,4.601580424362198,2.311684779900051,4.606288506709974,2.3248565885301526,4.5918407489425626,2.295703690731908,4.597433723141819,2.307923934020587,4.609325338950921,2.3019859077162215,4.594478192858709,2.302940105158419,4.594630196991203,2.3057472139329436,4.596787677734517,2.30491834763316,4.5980304409011215
