t,H,L
0.0,2.18,4.44
1.0,2.1797017304376967,4.439993523547341
2.0,2.179405105760018,4.439983701406143
3.0,2.1791101040092706,4.439970579873605
4.0,2.1788167035574317,4.439954204574293
5.0,2.1785248831005473,4.439934620471
6.0,2.1782346216532416,4.43991187187541
7.0,2.1779458985433355,4.439886002458555
8.0,2.1776586934065696,4.439857055261087
9.0,2.1773729861814326,4.439825072703353
10.0,2.1770887571040904,4.439790096595284
11.0,2.176805986703414,4.4397521681461125
12.0,2.1765246557961033,4.439711327973899
13.0,2.1762447454819083,4.4396676161148925
14.0,2.175966237138939,4.439621072032721
15.0,2.1756891124190667,4.439571734627412
16.0,2.175413353243415,4.439519642244255
17.0,2.175138941797934,4.439464832682496
18.0,2.174865860529062,4.4394073432038885
19.0,2.174594092139466,4.439347210541079
20.0,2.1743236195838667,4.439284470905855
21.0,2.1740544260649366,4.439219159997235
22.0,2.173786495029282,4.439151313009423
23.0,2.173519810163493,4.439080964639622
24.0,2.173254355390274,4.4390081490957085
25.0,2.1729901148646404,4.438932900103768
26.0,2.172727072970188,4.438855250915509
27.0,2.172465214315433,4.438775234315538
28.0,2.172204523730215,4.438692882628514
29.0,2.171944986262172,4.438608227726176
30.0,2.171686587173272,4.438521301034252
31.0,2.171429311936416,4.438432133539245
32.0,2.171173146232097,4.438340755795104
33.0,2.170918075945121,4.438247197929785
34.0,2.1706640871613887,4.438151489651693
35.0,2.1704111661647314,4.438053660256019
36.0,2.1701592994338097,4.437953738630967
37.0,2.1699084736390604,4.437851753263879
38.0,2.169658675639704,4.437747732247252
39.0,2.1694098924808003,4.437641703284656
40.0,2.169162111390362,4.437533693696553
41.0,2.1689153197765116,4.437423730426018
42.0,2.168669505224697,4.437311840044366
43.0,2.168424655494949,4.43719804875668
44.0,2.168180758519189,4.4370823824072545
45.0,2.167937802398586,4.436964866484942
46.0,2.167695775400957,4.436845526128419
47.0,2.1674546659582123,4.436724386131354
48.0,2.1672144626638477,4.436601470947504
49.0,2.1669751542704763,4.4364768046957135
50.0,2.166736729687406,4.436350411164844
51.0,2.166499177978257,4.436222313818616
52.0,2.1662624883586203,4.436092535800372
53.0,2.1660266501937557,4.435961099937766
54.0,2.16579165299633,4.435828028747374
55.0,2.1655574864241927,4.435693344439232
56.0,2.16532414027819,4.435557068921298
57.0,2.165091604500015,4.435419223803846
58.0,2.164859869170095,4.435279830403785
59.0,2.1646289245055135,4.435138909748914
60.0,2.164398760857967,4.434996482582103
61.0,2.164169368711757,4.434852569365415
62.0,2.1639407386818137,4.434707190284152
63.0,2.163712861511754,4.434560365250851
64.0,2.1634857280719713,4.434412113909201
65.0,2.163259329357757,4.434262455637909
66.0,2.163033656487453,4.434111409554502
67.0,2.1628087007006322,4.433958994519068
68.0,2.162584453356315,4.433805229137938
69.0,2.1623609059312074,4.433650131767317
70.0,2.162138050017974,4.433493720516846
71.0,2.1619158773235347,4.4333360132531165
72.0,2.1616943796673938,4.433177027603135
73.0,2.161473548979991,4.433016780957718
74.0,2.161253377301083,4.432855290474853
75.0,2.161033856778149,4.432692573082993
76.0,2.1608149796648237,4.4325286454843065
77.0,2.1605967383193536,4.4323635241578785
78.0,2.1603791252030797,4.4321972253628585
79.0,2.1601621328789435,4.4320297651415625
80.0,2.1599457540100166,4.431861159322526
81.0,2.159729981358055,4.431691423523514
82.0,2.159514807782075,4.4315205731544784
83.0,2.1593002262369536,4.431348623420477
84.0,2.1590862297720474,4.4311755893245435
85.0,2.158872811529838,4.431001485670518
86.0,2.1586599647445954,4.430826327065831
87.0,2.158447682741063,4.430650127924245
88.0,2.1582359589331648,4.43047290246856
89.0,2.1580247868227307,4.430294664733271
90.0,2.1578141599982428,4.43011542856719
91.0,2.1576040721336023,4.4299352076360305
92.0,2.1573945169869138,4.429754015424946
93.0,2.1571854883992887,4.429571865241037
94.0,2.1569769802936682,4.42938877021582
95.0,2.1567689866736637,4.429204743307656
96.0,2.156561501622416,4.429019797304145
97.0,2.156354519301471,4.4288339448244844
98.0,2.156148033949673,4.428647198321796
99.0,2.1559420398820746,4.428459570085412
100.0,2.1557365314888655,4.428271072243131
101.0,2.155531503234315,4.428081716763442
102.0,2.155326949655731,4.427891515457711
103.0,2.1551228653624377,4.427700479982341
104.0,2.1549192450347636,4.427508621840894
105.0,2.154716083423051,4.42731595238619
106.0,2.1545133753466765,4.427122482822365
107.0,2.154311115693086,4.426928224206908
108.0,2.1541092994168474,4.4267331874526645
109.0,2.1539079215387145,4.4265373833298085
110.0,2.1537069771447075,4.42634082246779
111.0,2.153506461385205,4.42614351535725
112.0,2.1533063694740506,4.425945472351914
113.0,2.153106696687675,4.425746703670449
114.0,2.152907438364226,4.425547219398303
115.0,2.1527085899027183,4.42534702948951
116.0,2.152510146762189,4.4251461437684725
117.0,2.1523121044608713,4.424944571931721
118.0,2.1521144585753778,4.424742323549641
119.0,2.1519172047398953,4.424539408068183
120.0,2.151720338645394,4.424335834810543
121.0,2.151523856038846,4.424131612978819
122.0,2.1513277527224566,4.423926751655646
123.0,2.1511320245529064,4.423721259805807
124.0,2.150936667440605,4.423515146277818
125.0,2.1507416773489556,4.4233084198054975
126.0,2.1505470502936297,4.423101089009503
127.0,2.150352782341853,4.422893162398855
128.0,2.150158869611702,4.422684648372437
129.0,2.149965308271411,4.42247555522047
130.0,2.1497720945386876,4.42226589112597
131.0,2.1495792246800405,4.4220556641661855
132.0,2.1493866950101146,4.421844882314011
133.0,2.149194501891038,4.421633553439386
134.0,2.1490026417317782,4.421421685310664
135.0,2.148811110987505,4.421209285595977
136.0,2.148619906158967,4.420996361864569
137.0,2.1484290237918717,4.420782921588114
138.0,2.1482384604762803,4.420568972142016
139.0,2.1480482128460068,4.420354520806693
140.0,2.147858277578028,4.4201395747688395
141.0,2.147668651391901,4.41992414112267
142.0,2.1474793310491904,4.419708226871152
143.0,2.1472903133529004,4.419491838927215
144.0,2.1471015951469203,4.419274984114944
145.0,2.1469131733154727,4.419057669170761
146.0,2.1467250447825723,4.418839900744582
147.0,2.1465372065114927,4.418621685400965
148.0,2.1463496555042396,4.41840302962024
149.0,2.1461623888010313,4.4181839397996185
150.0,2.145975403479788,4.417964422254297
151.0,2.1457886966556283,4.417744483218535
152.0,2.145602265480369,4.417524128846728
153.0,2.145416107142039,4.417303365214456
154.0,2.145230218864392,4.417082198319526
155.0,2.145044597906435,4.416860634082991
156.0,2.144859241561954,4.416638678350167
157.0,2.1446741471590536,4.416416336891624
158.0,2.1444893120597,4.416193615404169
159.0,2.1443047336592707,4.41597051951182
160.0,2.144120409386111,4.415747054766753
161.0,2.1439363367010955,4.4155232266502535
162.0,2.1437525130971986,4.415299040573639
163.0,2.143568936099067,4.41507450187918
164.0,2.1433856032626015,4.414849615841002
165.0,2.143202512174543,4.414624387665981
166.0,2.1430196604520644,4.414398822494618
167.0,2.14283704574237,4.4141729254019095
168.0,2.1426546657222962,4.413946701398205
169.0,2.1424725180979225,4.41372015543005
170.0,2.142290600604186,4.413493292381015
171.0,2.1421089110044993,4.413266117072523
172.0,2.1419274470903775,4.413038634264656
173.0,2.1417462066810673,4.412810848656954
174.0,2.1415651876231827,4.412582764889206
175.0,2.1413843877903447,4.412354387542224
176.0,2.1412038050828275,4.4121257211386125
177.0,2.141023437427208,4.411896770143526
178.0,2.140843282776021,4.411667538965414
179.0,2.1406633391074195,4.411438031956757
180.0,2.140483604424838,4.411208253414793
181.0,2.1403040767566623,4.410978207582237
182.0,2.140124754155903,4.410747898647982
183.0,2.139945634699874,4.410517330747803
184.0,2.139766716489873,4.410286507965042
185.0,2.139587997650871,4.410055434331285
186.0,2.1394094763312017,4.409824113827036
187.0,2.139231150702257,4.409592550382373
188.0,2.139053018958187,4.409360747877604
189.0,2.138875079315603,4.409128710143905
190.0,2.138697330013285,4.408896440963962
191.0,2.1385197693118942,4.408663944072587
192.0,2.1383423954936873,4.408431223157345
193.0,2.1381652068622365,4.408198281859158
194.0,2.1379882017421528,4.407965123772906
195.0,2.137811378478812,4.407731752448022
196.0,2.1376347354380867,4.4074981713890775
197.0,2.13745827100608,4.407264384056358
198.0,2.137281983588862,4.4070303938664335
199.0,2.137105871612214,4.406796204192721
200.0,2.1369299335213707,4.406561818366039
201.0,2.13675416778077,4.406327239675153
202.0,2.136578572873804,4.406092471367318
203.0,2.136403147302575,4.40585751664881
204.0,2.136227889587653,4.405622378685452
205.0,2.136052798267838,4.405387060603132
206.0,2.135877871899923,4.405151565488315
207.0,2.1357031090584657,4.40491589638855
