t,H,L
0.0,2.18,4.44
1.0,2.178537082786636,4.442675672963187
2.0,2.177084907861338,4.445332457173153
3.0,2.175643308849698,4.447970616452288
4.0,2.1742121231121656,4.4505904090205775
5.0,2.1727911916338023,4.453192087654273
6.0,2.1713803589180594,4.455775899838954
7.0,2.169979472884403,4.458342087917227
8.0,2.1685883847696217,4.460890889231288
9.0,2.1672069490326593,4.46342253626055
10.0,2.165835023262821,4.46593725675456
11.0,2.1644724680912133,4.468435273861376
12.0,2.1631191471052826,4.470916806251604
13.0,2.1617749267663213,4.473382068238267
14.0,2.160439676329819,4.475831269892667
15.0,2.1591132677685456,4.478264617156416
16.0,2.1577955756982514,4.4806823119497645
17.0,2.1564864773058794,4.483084552276395
18.0,2.1551858522801886,4.485471532324807
19.0,2.153893582744694,4.487843442566425
20.0,2.1526095531928275,4.490200469850569
21.0,2.151333650425237,4.492542797496387
22.0,2.1500657634891334,4.494870605381888
23.0,2.1488057836196144,4.497184070030163
24.0,2.1475536041828818,4.499483364692919
25.0,2.1463091206212805,4.501768659431417
26.0,2.145072230400094,4.504040121194909
27.0,2.143842832956024,4.5062979138966694
28.0,2.1426208296472944,4.508542198487712
29.0,2.1414061237053184,4.510773133028269
30.0,2.1401986201878676,4.512990872757123
31.0,2.1389982259336935,4.51519557015886
32.0,2.1378048495185396,4.517387375029123
33.0,2.136618401212501,4.519566434537935
34.0,2.135438792938679,4.521732893291167
35.0,2.1342659382330824,4.523886893390203
36.0,2.133099752205735,4.526028574489873
37.0,2.131940151502942,4.528158073854719
38.0,2.1307870542706753,4.530275526413641
39.0,2.1296403801190418,4.532381064812984
40.0,2.1285000500877906,4.53447481946812
41.0,2.1273659866128285,4.536556918613577
42.0,2.1262381134937036,4.5386274883517554
43.0,2.125116355862028,4.540686652700294
44.0,2.124000640150806,4.542734533638116
45.0,2.122890894064635,4.544771251150212
46.0,2.1217870465507533,4.546796923271183
47.0,2.1206890277709007,4.5488116661276115
48.0,2.1195967690739717,4.550815593979272
49.0,2.1185102029694276,4.552808819259235
50.0,2.11742926310145,4.5547914526128945
51.0,2.1163538842238014,4.556763602935952
52.0,2.1152840021753816,4.558725377411396
53.0,2.1142195538564446,4.560676881545506
54.0,2.113160477205467,4.562618219202906
55.0,2.1121067111766356,4.56454949264071
56.0,2.111058195717943,4.566470802541775
57.0,2.1100148717498657,4.568382248047096
58.0,2.1089766811446102,4.570283926787374
59.0,2.107943566705908,4.572175934913765
60.0,2.10691547214934,4.574058367127861
61.0,2.1058923420831763,4.575931316710903
62.0,2.1048741219897162,4.577794875552258
63.0,2.103860758207109,4.579649134177193
64.0,2.102852197911645,4.581494181773943
65.0,2.101848389100497,4.583330106220117
66.0,2.1008492805749084,4.585156994108454
67.0,2.0998548219238007,4.5869749307719365
68.0,2.0988649635077996,4.588784000308303
69.0,2.09787965644366,4.590584285603955
70.0,2.0968988525890824,4.592375868357294
71.0,2.095922504527904,4.594158829101489
72.0,2.094950565555661,4.595933247226704
73.0,2.0939829896655007,4.597699201001795
74.0,2.0930197315344454,4.599456767595494
75.0,2.0920607465099854,4.6012060230970855
76.0,2.0911059905970024,4.602947042536607
77.0,2.0901554204450057,4.60467989990457
78.0,2.0892089933356774,4.606404668171231
79.0,2.0882666671707146,4.6081214193054
80.0,2.087328400459962,4.609830224292836
81.0,2.086394152309825,4.611531153154207
82.0,2.0854638824119576,4.613224274962639
83.0,2.0845375510322155,4.614909657860877
84.0,2.083615118999867,4.616587369078046
85.0,2.082696547697056,4.618257474946044
86.0,2.0817817990485095,4.619920040915558
87.0,2.080870835511481,4.621575131571731
88.0,2.0799636200659255,4.623222810649481
89.0,2.0790601162049005,4.624863141048469
90.0,2.0781602879251837,4.626496184847755
91.0,2.077264099718104,4.6281220033201205
92.0,2.0763715165605796,4.629740656946081
93.0,2.075482503906357,4.631352205427596
94.0,2.074597027677446,4.632956707701487
95.0,2.073715054255745,4.63455422195255
96.0,2.0728365504748534,4.636144805626411
97.0,2.071961483612062,4.637728515442084
98.0,2.0710898213805224,4.639305407404278
99.0,2.0702215319215855,4.640875536815436
100.0,2.0693565837973082,4.6424389582875225
101.0,2.0684949459831223,4.643995725753563
102.0,2.067636587860661,4.645545892478945
103.0,2.06678147921074,4.647089511072478
104.0,2.0659295902064923,4.648626633497229
105.0,2.065080891406641,4.650157311081138
106.0,2.0642353537489257,4.651681594527403
107.0,2.0633929485436595,4.653199533924669
108.0,2.0625536474674253,4.654711178756994
109.0,2.061717422556905,4.656216577913623
110.0,2.0608842462028347,4.657715779698563
111.0,2.0600540911440897,4.659208831839959
112.0,2.0592269304618873,4.66069578149929
113.0,2.0584027375741134,4.662176675280376
114.0,2.057581486229763,4.663651559238212
115.0,2.0567631505034965,4.665120478887618
116.0,2.055947704790305,4.666583479211728
117.0,2.055135123800286,4.668040604670304
118.0,2.054325382553522,4.669491899207894
119.0,2.053518456375066,4.670937406261828
120.0,2.052714320890024,4.672377168770059
121.0,2.051912952018738,4.673811229178852
122.0,2.0511143259720637,4.675239629450324
123.0,2.050318419246744,4.676662411069847
124.0,2.04952520862087,4.678079615053295
125.0,2.0487346711494356,4.679491281954167
126.0,2.0479467841599757,4.68089745187057
127.0,2.0471615252482915,4.682298164452065
128.0,2.0463788722742597,4.683693458906393
129.0,2.045598803357721,4.68508337400607
130.0,2.044821296874447,4.686467948094859
131.0,2.0440463314521895,4.687847219094121
132.0,2.0432738859668,4.689221224509052
133.0,2.0425039395384275,4.690590001434802
134.0,2.041736471527784,4.691953586562481
135.0,2.040971461532487,4.693312016185057
136.0,2.040208889383465,4.694665326203142
137.0,2.039448735141433,4.696013552130682
138.0,2.0386909790934364,4.697356729100534
139.0,2.0379356017494543,4.698694891869944
140.0,2.037182583839071,4.700028074825934
141.0,2.0364319063082053,4.701356311990586
142.0,2.0356835503159036,4.702679637026228
143.0,2.034937497231189,4.703998083240539
144.0,2.03419372862997,4.705311683591554
145.0,2.033452226292004,4.706620470692582
146.0,2.032712972197919,4.707924476817042
