t,H,L
0.0,2.18,4.44
1.0,2.178107101408531,4.443552699865886
2.0,2.1762333624251573,4.447071817219128
3.0,2.1743783856832817,4.450557987269618
4.0,2.172541785812773,4.454011827048129
5.0,2.170723188964739,4.457433936098431
6.0,2.1689222323595203,4.4608248971366296
7.0,2.167138563856551,4.464185276679603
8.0,2.1653718415448413,4.467515625644244
9.0,2.1636217333529055,4.470816479919127
10.0,2.1618879166770406,4.474088360910129
11.0,2.1601700780269297,4.477331776061399
12.0,2.158467912687618,4.480547219353013
13.0,2.156781124396958,4.483735171776563
14.0,2.1551094250376894,4.486896101789843
15.0,2.153452534343361,4.4900304657517225
16.0,2.151810179617359,4.493138708338246
17.0,2.1501820954643525,4.496221262940923
18.0,2.148568023533494,4.499278552048116
19.0,2.1469677122727764,4.502310987610382
20.0,2.145380916693965,4.5053189713905795
21.0,2.143807398147564,4.508302895299483
22.0,2.1422469241073108,4.511263141717648
23.0,2.140699267963719,4.514200083804168
24.0,2.139164208826218,4.5171140857929855
25.0,2.1376415313334673,4.520005503277343
26.0,2.1361310254714376,4.522874683482939
27.0,2.1346324863988912,4.52572196553034
28.0,2.1331457142798937,4.5285476806871285
29.0,2.1316705141230297,4.531352152610293
30.0,2.1302066956269967,4.53413569757929
31.0,2.128754073032282,4.536898624720216
32.0,2.1273124649786337,4.539641236221494
33.0,2.1258816943680623,4.54236382754146
34.0,2.1244615882331104,4.5450666876082035
35.0,2.1230519776101566,4.54775009901202
36.0,2.121652697417523,4.550414338190792
37.0,2.1202635863381674,4.553059675608616
38.0,2.1188844867067593,4.555686375927962
39.0,2.1175152444009426,4.558294698175649
40.0,2.116155708736599,4.560884895902907
41.0,2.1148057323669436,4.563457217339768
42.0,2.1134651711852763,4.566011905544032
43.0,2.1121338842312425,4.568549198545035
44.0,2.1108117336004426,4.571069329482429
45.0,2.1094985843572553,4.573572526740201
46.0,2.1081943044507345,4.576059014076094
47.0,2.1068987646334536,4.5785290107466485
48.0,2.1056118383831732,4.580982731628028
49.0,2.104333401827216,4.583420387332798
50.0,2.1030633336694367,4.585842184322821
51.0,2.101801515119682,4.588248325018428
52.0,2.1005478298256404,4.590639007904007
53.0,2.0993021638069815,4.593014427630147
54.0,2.098064405391701,4.595374775112482
55.0,2.0968344451545744,4.597720237627357
56.0,2.0956121758576445,4.600050998904425
57.0,2.0943974923926563,4.602367239216324
58.0,2.0931902917253695,4.604669135465507
59.0,2.091990472841669,4.6069568612683645
60.0,2.090797936695411,4.6092305870367225
61.0,2.089612586157933,4.611490480056817
62.0,2.0884343259691702,4.6137367045658415
63.0,2.0872630626903086,4.615969421826158
64.0,2.0860987046579287,4.618188790197249
65.0,2.0849411619395735,4.620394965205504
66.0,2.083790346290695,4.6225880996119075
67.0,2.082646171112926,4.624768343477712
68.0,2.0815085514136293,4.626935844228159
69.0,2.080377403766674,4.629090746714334
70.0,2.0792526462744014,4.631233193273198
71.0,2.078134198530734,4.633363323785881
72.0,2.0770219815853834,4.635481275734279
