t,H,L
0.0,2.18,4.44
1.0,2.178537082786636,4.442675672963187
2.0,2.177085317140282,4.445332458918943
3.0,2.1756445347682707,4.447970625124238
4.0,2.174214571169994,4.450590433144821
5.0,2.1727952655245764,4.453192139016913
6.0,2.1713864605826614,4.455775993403178
7.0,2.1699880025621336,4.458342241743207
8.0,2.1685997410476,4.460891124398745
9.0,2.167221528893476,4.463422876793888
10.0,2.1658532221305205,4.46593772955045
11.0,2.1644946798756717,4.468435908618706
12.0,2.1631457642450496,4.470917635403691
13.0,2.1618063402699876,4.473383126887245
14.0,2.1604762758159746,4.47583259574597
15.0,2.15915544150438,4.478266250465263
16.0,2.1578437106368535,4.480684295449581
17.0,2.156540959122291,4.483086931129091
18.0,2.155247065406259,4.485474354062838
19.0,2.153961910402783,4.487846757038576
20.0,2.152685377428404,4.490204329169391
21.0,2.151417352138413,4.492547255987222
22.0,2.150157722465181,4.494875719533431
23.0,2.148906378558499,4.497189898446498
24.0,2.147663212727849,4.499489968046982
25.0,2.1464281193865404,4.501776100419819
26.0,2.1452009949976274,4.5040484644940895
27.0,2.1439817380215493,4.506307226120321
28.0,2.142770248865427,4.508552548145429
29.0,2.141566429833949,4.510784590485386
30.0,2.140370185081791,4.51300351019569
31.0,2.139181420567514,4.515209461539723
32.0,2.1380000440088804,4.517402596055072
33.0,2.136825964839544,4.519583062617874
34.0,2.1356590941670537,4.52175100750528
35.0,2.1344993447321365,4.523906574456072
36.0,2.133346630869198,4.526049904729533
37.0,2.1322008684680127,4.528181137162594
38.0,2.1310619749365483,4.530300408225355
39.0,2.1299298691648922,4.532407852075003
40.0,2.1288044714902403,4.534503600608202
41.0,2.127685703662906,4.5365877835120045
42.0,2.126573488813321,4.538660528313323
43.0,2.1254677514199853,4.540721960427029
44.0,2.1243684172783452,4.542772203202705
45.0,2.123275413470554,4.544811377970108
46.0,2.122188668336096,4.546839604083388
47.0,2.1211081114432413,4.548856998964088
48.0,2.120033673561299,4.550863678142982
49.0,2.1189652866336504,4.552859755300782
50.0,2.1179028837515297,4.554845342307744
51.0,2.1168463991285296,4.556820549262226
52.0,2.1157957680758086,4.558785484528206
53.0,2.1147509269779765,4.560740254771823
54.0,2.1137118132696346,4.562684964996943
55.0,2.112678365412553,4.564619718579802
56.0,2.1116505228734597,4.56654461730275
57.0,2.1106282261024267,4.568459761387107
58.0,2.1096114165118305,4.570365249525191
59.0,2.1086000364558695,4.572261178911512
60.0,2.107594029210623,4.574147645273176
61.0,2.1065933389546316,4.576024742899517
62.0,2.1055979107499856,4.577892564670984
63.0,2.1046076905239026,4.579751202087295
64.0,2.103622625050782,4.581600745294899
65.0,2.1026426619347194,4.583441283113745
66.0,2.101667749592471,4.585272903063402
67.0,2.1006978372368477,4.587095691388518
68.0,2.09973287486053,4.588909733083676
69.0,2.098772813220293,4.590715111917628
70.0,2.0978176038216247,4.592511910456957
71.0,2.0968671989037273,4.59430021008915
72.0,2.095921551424893,4.596080091045138
73.0,2.094980615048239,4.597851632421281
74.0,2.094044344127794,4.599614912200838
75.0,2.0931126936949234,4.60137000727493
76.0,2.0921856194450874,4.603116993463005
77.0,2.091263077724918,4.6048559455328295
78.0,2.0903450255196088,4.606586937220008
79.0,2.0894314204406057,4.608310041247056
80.0,2.088522220713593,4.610025329342022
81.0,2.0876173851667645,4.611732872256698
82.0,2.0867168732193737,4.613432739784394
83.0,2.0858206448705494,4.615125000777325
84.0,2.0849286606883783,4.616809723163591
85.0,2.08404088179924,4.618486973963783
86.0,2.0831572698773897,4.620156819307211
87.0,2.082277787134782,4.6218193244477686
88.0,2.0814023963111294,4.623474553779449
89.0,2.080531060664188,4.625122570851512
90.0,2.079663743960265,4.626763438383322
91.0,2.0788004104649414,4.628397218278854
92.0,2.077941024934005,4.630023971640888
93.0,2.077085552604588,4.631643758784891
94.0,2.0762339591865016,4.6332566392526
95.0,2.075386210853764,4.634862671825308
96.0,2.0745422742363195,4.636461914536876
97.0,2.0737021164119365,4.63805442468645
98.0,2.072865704898287,4.639640258850921
99.0,2.0720330076451985,4.641219472897115
100.0,2.0712039930270754,4.642792121993725
101.0,2.070378629835485,4.6443582606229965
102.0,2.069556887271903,4.645917942592162
103.0,2.0687387349406188,4.647471221044645
104.0,2.067924142841788,4.649018148471024
105.0,2.0671130813646363,4.650558776719774
106.0,2.0663055212808104,4.652093157007789
107.0,2.065501433737863,4.653621339930683
108.0,2.0647007902528838,4.655143375472886
109.0,2.0639035627062556,4.656659313017532
110.0,2.063109723335549,4.658169201356147
111.0,2.0623192447295398,4.659673088698143
112.0,2.0615320998223505,4.661171022680121
113.0,2.0607482618877153,4.662663050374991
114.0,2.059967704533362,4.664149218300899
115.0,2.059190401695509,4.665629572429995
116.0,2.058416327633474,4.667104158197012
117.0,2.0576454569243943,4.668573020507685
118.0,2.0568777644580525,4.670036203746999
119.0,2.0561132254318073,4.6714937517872865
120.0,2.055351815345626,4.672945707996153
121.0,2.0545935099972166,4.67439211524426
122.0,2.0538382854772563,4.675833015912955
123.0,2.053086118164716,4.677268451901757
124.0,2.052336984722278,4.678698464635688
125.0,2.0515908620918393,4.680123095072482
126.0,2.05084772749011,4.681542383709645
127.0,2.0501075584042936,4.6829563705913815
128.0,2.0493703325878516,4.6843650953154
129.0,2.0486360280563516,4.685768597039577
130.0,2.047904623083395,4.687166914488513
131.0,2.0471760961966243,4.688560085959947
132.0,2.0464504261738043,4.689948149331071
133.0,2.0457275920389817,4.691331142064715
134.0,2.045007573058715,4.69270910121542
135.0,2.044290348738378,4.694082063435408
136.0,2.043575898818531,4.69545006498043
137.0,2.0428642032713626,4.696813141715519
138.0,2.0421552422971985,4.6981713291206315
139.0,2.041448996321072,4.699524662296188
140.0,2.0407454459893613,4.700873175968518
141.0,2.0400445721664906,4.702216904495202
142.0,2.0393463559316887,4.703555881870322
143.0,2.0386507785758092,4.7048901417296145
144.0,2.037957821598209,4.706219717355536
145.0,2.037267466703683,4.707544641682236
146.0,2.036579695799458,4.7088649473004445
147.0,2.035894490992235,4.710180666462272
