t,H,L
0.0,2.18,4.44
1.0,2.178387442861564,4.442675030655918
2.0,2.1767868230936602,4.445329907394396
3.0,2.175197955791096,4.447964923627581
4.0,2.173620660338284,4.450580366341476
5.0,2.1720547602784652,4.453176516283756
6.0,2.170500083187857,4.4557536481447535
7.0,2.1689564605545124,4.458312030731887
8.0,2.1674237276616704,4.460851927137831
9.0,2.16590172347541,4.463373594902696
10.0,2.1643902905364123,4.46587728617046
11.0,2.1628892748556536,4.468363247839913
12.0,2.161398525813863,4.470831721710335
13.0,2.1599178960645786,4.4732829446221185
14.0,2.158447241440654,4.475717148592569
15.0,2.1569864208640634,4.478134560947057
16.0,2.155535296258872,4.480535404445722
17.0,2.1540937324672385,4.482919897405915
18.0,2.152661597168321,4.485288253820536
19.0,2.151238760799973,4.4876406834724465
20.0,2.149825096483107,4.489977392045098
21.0,2.1484204799486286,4.492298581229542
22.0,2.147024789466825,4.494604448827946
23.0,2.145637905779121,4.4968951888537685
24.0,2.1442597120321008,4.4991709916287075
25.0,2.1428900937137083,4.501432043876557
26.0,2.141528938591542,4.503678528814083
27.0,2.1401761366531598,4.505910626239039
28.0,2.1388315800483197,4.508128512615421
29.0,2.1374951630330763,4.510332361156068
30.0,2.1361667819156684,4.512522341902711
31.0,2.134846335004124,4.514698621803563
32.0,2.133533722555522,4.516861364788536
33.0,2.132228846726846,4.5190107318421715
34.0,2.1309316115273704,4.521146881074381
35.0,2.129641922772525,4.5232699677890595
36.0,2.128359688039178,4.525380144550649
37.0,2.1270848166222946,4.527477561248741
38.0,2.125817219492909,4.529562365160771
39.0,2.124556809257371,4.5316347010128775
40.0,2.123303500117822,4.533694711038992
41.0,2.1220572078338487,4.535742535038221
42.0,2.1208178496852783,4.537778310430576
43.0,2.119585344436076,4.539802172311109
44.0,2.1183596122993005,4.541814253502518
45.0,2.1171405749030865,4.543814684606252
46.0,2.1159281552576137,4.545803594052193
47.0,2.11472227772303,4.547781108146943
48.0,2.113522867978298,4.549747351120773
49.0,2.1123298529909302,4.551702445173277
50.0,2.111143160987585,4.55364651051776
51.0,2.109962721425491,4.5555796654244345
52.0,2.108788464964677,4.557502026262423
53.0,2.107620323440977,4.559413707540641
54.0,2.106458229839783,4.5613148219475725
55.0,2.105302118270528,4.563205480389987
56.0,2.1041519239418647,4.565085792030627
57.0,2.1030075831375274,4.566955864324898
58.0,2.1018690331928473,4.568815803056597
59.0,2.100736212471905,4.570665712372703
60.0,2.0996090603452964,4.572505694817266
61.0,2.0984875171684942,4.574335851364418
62.0,2.0973715242607853,4.5761562814505305
63.0,2.0962610238847663,4.577967083005558
64.0,2.095155959226379,4.579768352483573
65.0,2.0940562743754683,4.581560184892532
66.0,2.092961914306849,4.583342673823295
67.0,2.0918728248618637,4.585115911477909
68.0,2.090788952730413,4.586879988697192
69.0,2.0897102454334524,4.588634994987631
70.0,2.088636651305933,4.59038101854761
71.0,2.087568119480177,4.592118146293006
72.0,2.086504599869674,4.593846463882144
73.0,2.085446043153285,4.595566055740158
74.0,2.0843924007598407,4.597277005082751
75.0,2.0833436248531267,4.598979393939392
76.0,2.0822996683172383,4.6006733031759515
77.0,2.0812604847422977,4.602358812516797
78.0,2.0802260284105234,4.604036000566365
79.0,2.0791962542826377,4.605704944830227
80.0,2.0781711179846063,4.607365721735649
81.0,2.0771505757947,4.609018406651684
82.0,2.0761345846308648,4.610663073908787
83.0,2.0751231020383996,4.612299796817979
84.0,2.0741160861779244,4.613928647689566
85.0,2.073113495813635,4.61554969785143
86.0,2.072115290301837,4.617163017666905
87.0,2.0711214295797484,4.61876867655224
