t,H,L
0.0,2.18,4.44
1.0,2.1781879227825938,4.4426741745197145
2.0,2.1763885993992145,4.445326506541843
3.0,2.174601822866786,4.447957323966832
4.0,2.1728273911730906,4.45056694726787
5.0,2.1710651071199174,4.4531556897154765
6.0,2.1693147781723194,4.45572385759363
7.0,2.167576216313707,4.458271750407805
8.0,2.1658492379065004,4.460799661085292
9.0,2.164133663558098,4.463307876168131
10.0,2.162429317991907,4.465796675998995
11.0,2.160736029923222,4.468266334900317
12.0,2.159053631939725,4.470717121346975
13.0,2.1573819603864095,4.473149298132785
14.0,2.155720855254728,4.4755631225310974
15.0,2.154070160075785,4.477958846449715
16.0,2.1524297218173953,4.480336716580401
17.0,2.150799390784843,4.482696974543183
18.0,2.1491790205251826,4.48503985702568
19.0,2.147568467734935,4.487365595917654
20.0,2.145967592171029,4.48967441844098
21.0,2.14437625656486,4.491966547275223
22.0,2.1427943265393297,4.494242200679007
23.0,2.1412216705287497,4.496501592607325
24.0,2.139658159701485,4.4987449328249784
25.0,2.1381036678852343,4.5009724270162685
26.0,2.13655807149483,4.503184276891121
27.0,2.1350212494624676,4.505380680287752
28.0,2.133493083170259,4.507561831272035
29.0,2.131973456385023,4.509727920233675
30.0,2.1304622551952184,4.511879133979328
31.0,2.128959367949947,4.514015655822772
32.0,2.127464685199932,4.51613766567225
33.0,2.1259780996404083,4.518245340115082
34.0,2.12449950605584,4.520338852499653
35.0,2.1230288012664063,4.522418373014873
36.0,2.1215658840761793,4.524484068767208
37.0,2.120110655222936,4.526536103855357
38.0,2.1186630173295398,4.528574639442679
39.0,2.1172228748568367,4.530599833827435
40.0,2.1157901340580043,4.532611842510934
41.0,2.1143647029343082,4.534610818263656
42.0,2.1129464911922065,4.536596911189416
43.0,2.111535410201758,4.538570268787655
44.0,2.110131372956286,4.540531036013906
45.0,2.1087342940332534,4.542479355338506
46.0,2.1073440895563027,4.544415366803622
47.0,2.1059606771584236,4.546339208078633
48.0,2.104583975946206,4.548251014513944
49.0,2.1032139064651405,4.550150919193268
50.0,2.101850390665932,4.552039052984434
51.0,2.1004933518717857,4.553915544588783
52.0,2.0991427147466415,4.555780520589172
53.0,2.0977984052643137,4.557634105496664
54.0,2.096460350678511,4.559476421795922
55.0,2.0951284794937095,4.561307589989363
56.0,2.09380272143684,4.563127728640116
57.0,2.092483007429776,4.564936954413802
58.0,2.091169269562582,4.566735382119205
59.0,2.0898614410675074,4.568523124747843
60.0,2.0885594562936958,4.5703002935124895
61.0,2.087263250682587,4.572066997884671
62.0,2.0859727607439913,4.573823345631181
63.0,2.0846879240328127,4.575569442849634
64.0,2.0834086791263977,4.57730539400309
65.0,2.0821349656024957,4.579031301953786
66.0,2.0808667240178043,4.580747267995997
67.0,2.079603895887087,4.5824533918880475
68.0,2.0783464236628415,4.584149771883515
69.0,2.077094250715503,4.585836504761633
70.0,2.075847321314163,4.587513685856929
71.0,2.0746055806077925,4.589181409088118
72.0,2.0733689746069506,4.590839766986275
73.0,2.0721374501659615,4.592488850722302
74.0,2.070910954965553,4.5941287501337165
75.0,2.0696894374959314,4.595759553750786
76.0,2.068472847040292,4.5973813488220125
77.0,2.0672611336587408,4.5989942213390025
78.0,2.0660542481726236,4.60059825606073
79.0,2.0648521421492436,4.602193536537216
80.0,2.0636547678869617,4.60378014513264
81.0,2.0624620784006633,4.605358163047891
82.0,2.061274027407586,4.606927670342593
83.0,2.060090569313491,4.608488745956603
84.0,2.0589116591991745,4.610041467731
85.0,2.057737252807305,4.611585912428591
86.0,2.0565673065295798,4.613122155753926
87.0,2.0554017773941897,4.614650272372857
88.0,2.054240623053583,4.616170335931643
89.0,2.053083801772523,4.617682419075614
90.0,2.051931272416426,4.619186593467407
91.0,2.050782994439977,4.620682929804789
92.0,2.04963892787601,4.622171497838074
93.0,2.0484990333246524,4.623652366387143
94.0,2.0473632719427175,4.6251256033580885
95.0,2.0462316054333454,4.626591275759483
96.0,2.0451039960358823,4.628049449718282
97.0,2.043980406515993,4.62950019049538
98.0,2.0428608001559976,4.630943562500817
99.0,2.041745140745429,4.632379629308658
100.0,2.0406333925718037,4.6338084536715405
101.0,2.0395255204116034,4.635230097534907
102.0,2.0384214895214545,4.636644622050932
103.0,2.0373212656295094,4.6380520875921425
104.0,2.036224814927016,4.63945255376475
105.0,2.035132104060076,4.640846079421698
106.0,2.0340431001215844,4.642232722675427
107.0,2.032957770643346,4.643612540910372
108.0,2.0318760835883656,4.644985590795193
109.0,2.0307980073433027,4.646351928294758
110.0,2.029723510711095,4.647711608681855
111.0,2.0286525629037357,4.649064686548685
112.0,2.0275851335352106,4.650411215818092
113.0,2.026521192614583,4.651751249754582
114.0,2.0254607105392295,4.653084840975099
115.0,2.024403658088215,4.6544120414595875
116.0,2.023350006415813,4.655732902561339
117.0,2.022299727045157,4.657047475017128
118.0,2.0212527918620293,4.6583558089571415
119.0,2.020209173108778,4.659657953914706
120.0,2.0191688433783592,4.660953958835823
121.0,2.018131775608505,4.662243872088517
122.0,2.017097943076009,4.663527741471987
123.0,2.0160673193911327,4.6648056142255845
124.0,2.015039878492123,4.666077537037611
125.0,2.0140155946398437,4.667343556053946
126.0,2.012994442412515,4.668603716886498
127.0,2.0119763967005593,4.669858064621501
128.0,2.010961432701551,4.67110664382764
129.0,2.0099495259152684,4.672349498564025
130.0,2.008940652138843,4.67358667238801
131.0,2.007934787462005,4.6748182083628596
132.0,2.0069319082624273,4.67604414906527
133.0,2.005931991201155,4.677264536592752
134.0,2.004935013218129,4.6784794125708595
135.0,2.0039409515277975,4.679688818160299
136.0,2.002949783614811,4.680892794063893
137.0,2.001961487229802,4.682091380533416
138.0,2.000976040385247,4.683284617376304
139.0,1.999993421351407,4.684472543962237
140.0,1.9990136086523485,4.685655199229598
141.0,1.9980365810620373,4.686832621691821
142.0,1.9970623176005098,4.688004849443608
143.0,1.9960907975301152,4.6891719201670465
144.0,1.9951220003518302,4.690333871137603
145.0,1.994155905801642,4.691490739230016
146.0,1.9931924938470007,4.692642560924076
147.0,1.9922317446833364,4.693789372310307
148.0,1.991273638730643,4.694931209095538
149.0,1.9903181566301242,4.696068106608383
150.0,1.9893652792409027,4.697200099804616
151.0,1.9884149876367891,4.698327223272453
152.0,1.9874672631031114,4.699449511237743
153.0,1.986522087133601,4.700566997569061
154.0,1.9855794414273369,4.701679715782716
155.0,1.9846393078857458,4.70278769904767
156.0,1.9837016686096547,4.70389098019037
157.0,1.9827665058963988,4.704989591699497
158.0,1.9818338022369797,4.706083565730631
159.0,1.9809035403132762,4.707172934110836
160.0,1.979975702995304,4.708257728343167
161.0,1.9790502733385238,4.709337979611097
162.0,1.9781272345811984,4.7104137187828705
163.0,1.977206570141796,4.711484976415782
164.0,1.9762882636164383,4.71255178276038
165.0,1.9753722987763949,4.713614167764603
166.0,1.974458659565621,4.714672161077843
167.0,1.973547330098338,4.715725792054941
168.0,1.9726382946566554,4.716775089760117
169.0,1.9717315376882358,4.717820082970831
170.0,1.970827043803998,4.7188608001815835
171.0,1.9699247977758616,4.719897269607652
172.0,1.9690247845345283,4.720929519188763
173.0,1.9681269891673032,4.721957576592706
174.0,1.9672313969159514,4.722981469218885
175.0,1.9663379931745926,4.72400122420182
176.0,1.9654467634876296,4.7250168684145795
177.0,1.9645576935477131,4.726028428472166
178.0,1.9636707691937403,4.727035930734841
179.0,1.9627859764088866,4.728039401311404
180.0,1.961903301318671,4.729038866062409
181.0,1.9610227301890533,4.7300343506033355
182.0,1.9601442494245618,4.731025880307706
183.0,1.9592678455664543,4.7320134803101555
184.0,1.9583935052909072,4.732997175509454
185.0,1.9575212154072352,4.733976990571475
186.0,1.9566509628561408,4.73495294993212
187.0,1.9557827347079912,4.7359250778002036
188.0,1.954916518161124,4.736893398160281
189.0,1.9540523005401804,4.73785793477544
190.0,1.953190069294464,4.7388187111900475
191.0,1.9523298119963284,4.739775750732452
192.0,1.9514715163395893,4.7407290765176455
193.0,1.9506151701379615,4.741678711449883
194.0,1.949760761323522,4.7426246782252655
195.0,1.9489082779451967,4.7435669993342735
196.0,1.9480577081672723,4.744505697064276
197.0,1.9472090402679303,4.745440793501989
198.0,1.9463622626378045,4.746372310535903
199.0,1.9455173637785623,4.747300269858671
200.0,1.9446743323015065,4.748224692969462
201.0,1.9438331569262002,4.749145601176279
202.0,1.9429938264791125,4.750063015598241
203.0,1.9421563298922855,4.75097695716783
204.0,1.9413206562020222,4.751887446633108
205.0,1.9404867945475937,4.7527945045598985
206.0,1.939654734169967,4.753698151333934
207.0,1.9388244644105528,4.754598407162974
208.0,1.9379959747099709,4.755495292078895
209.0,1.9371692546068362,4.756388825939742
210.0,1.9363442937365618,4.757279028431754
211.0,1.935521081830181,4.758165919071365
212.0,1.9346996087131867,4.759049517207163
213.0,1.9338798643043889,4.759929842021837
214.0,1.933061838614788,4.760806912534079
215.0,1.9322455217464667,4.761680747600471
216.0,1.9314309038914972,4.762551365917342
217.0,1.9306179753308654,4.763418786022592
218.0,1.9298067264334104,4.7642830262974964
219.0,1.9289971476547803,4.765144104968487
220.0,1.9281892295364027,4.766002040108896
221.0,1.9273829627044716,4.76685684964069
222.0,1.926578337868948,4.767708551336167
223.0,1.9257753458225753,4.768557162819637
224.0,1.924973977439909,4.769402701569078
225.0,1.9241742236763621,4.770245184917763
226.0,1.9233760755672618,4.7710846300558725
227.0,1.9225795242269208,4.77192105403208
228.0,1.9217845608477235,4.772754473755114
229.0,1.9209911766992234,4.773584905995302
230.0,1.920199363127254,4.774412367386093
231.0,1.919409111553053,4.775236874425553
232.0,1.9186204134723979,4.776058443477849
233.0,1.9178332604547554,4.776877090774706
234.0,1.9170476441424416,4.777692832416846
235.0,1.916263556249794,4.778505684375408
236.0,1.915480988562357,4.779315662493348
237.0,1.9146999329360757,4.780122782486821
238.0,1.9139203812965042,4.780927059946542
239.0,1.9131423256380233,4.781728510339132
240.0,1.9123657580230693,4.782527149008442
241.0,1.9115906705813732,4.783322991176863
242.0,1.9108170555092119,4.784116051946617
243.0,1.9100449050686676,4.784906346301026
244.0,1.9092742115868995,4.785693889105778
245.0,1.908504967455424,4.786478695110155
246.0,1.9077371651294057,4.7872607789482675
247.0,1.9069707971269576,4.788040155140255
248.0,1.906205856028451,4.788816838093479
249.0,1.9054423344758347,4.7895908421037
250.0,1.9046802251719641,4.7903621813562385
251.0,1.9039195208799384,4.791130869927117
252.0,1.9031602144224469,4.791896921784193
253.0,1.9024022986811249,4.7926603507882755
254.0,1.9016457665959174,4.793421170694224
255.0,1.9008906111644523,4.794179395152034
256.0,1.9001368254414204,4.794935037707917
257.0,1.899384402537965,4.795688111805353
258.0,1.8986333356210796,4.796438630786136
259.0,1.8978836179130127,4.797186607891413
260.0,1.8971352426906811,4.797932056262694
261.0,1.896388203285091,4.798674988942866
262.0,1.8956424930807658,4.799415418877183
263.0,1.8948981055151837,4.800153358914246
264.0,1.894155034078219,4.800888821806971
265.0,1.8934132723115942,4.80162182021355
266.0,1.8926728138083377,4.802352366698391
267.0,1.8919336522122483,4.80308047373305
268.0,1.8911957812173668,4.8038061536971535
269.0,1.890459194567455,4.8045294188793095
270.0,1.8897238860554808,4.805250281478002
271.0,1.8889898495231106,4.805968753602479
272.0,1.888257078860207,4.8066848472736305
273.0,1.8875255680043346,4.807398574424851
274.0,1.8867953109402702,4.808109946902895
275.0,1.8860663016995207,4.808818976468721
276.0,1.8853385343598468,4.809525674798325
277.0,1.8846120030447922,4.810230053483565
278.0,1.8838867019232195,4.8109321240329725
279.0,1.8831626252088511,4.811631897872559
280.0,1.8824397671598168,4.8123293863466055
281.0,1.881718122078206,4.813024600718452
282.0,1.8809976843096268,4.813717552171268
283.0,1.8802784482427695,4.814408251808821
284.0,1.8795604083089756,4.8150967106562295
285.0,1.8788435589818133,4.815782939660713
286.0,1.878127894776657,4.816466949692331
