t,H,L
0.0,2.18,4.44
1.0,2.1781879227825938,4.4426741745197145
2.0,2.176388752879499,4.445326507195472
3.0,2.174602282591087,4.447957327211401
4.0,2.1728283092122878,4.450566956287598
5.0,2.1710666348748133,4.453155708906054
6.0,2.16931706639554,4.455723892528055
7.0,2.1675794151307617,4.4582718078034445
8.0,2.1658534968360432,4.460799748772105
9.0,2.164139131531423,4.463308003058014
10.0,2.162436143371717,4.465796852056186
11.0,2.160744360521698,4.468266571112833
12.0,2.159063615035929,4.4707174296990235
13.0,2.1573937427430514,4.473149691578116
14.0,2.155734583134323,4.47556361496725
15.0,2.1540859792562275,4.477959452693132
16.0,2.152447777606975,4.48033745234237
17.0,2.150819828036726,4.482697856406568
18.0,2.149201983651384,4.485040902422413
19.0,2.1475941007197967,4.487366823106961
20.0,2.145996038584232,4.489675846488305
21.0,2.144407659573984,4.491968196031832
22.0,2.142828828921983,4.494244090762226
23.0,2.1412594146842823,4.4965037453814185
24.0,2.1396992876623084,4.498747370382605
25.0,2.138148321327756,4.500975172160532
26.0,2.136606391750026,4.503187353118156
27.0,2.1350733775261013,4.505384111769858
28.0,2.1335491597127625,4.507565642841308
29.0,2.132033621761055,4.509732137366142
30.0,2.1305266494529116,4.5118837827795515
31.0,2.129028130839853,4.514020763008914
32.0,2.1275379561836822,4.5161432585615735
33.0,2.126056017899094,4.518251446609877
34.0,2.1245822104981293,4.520345501073574
35.0,2.123116430536403,4.522425592699668
36.0,2.1216585765610354,4.5244918891398305
37.0,2.1202085490602274,4.526544555025443
38.0,2.1187662504144122,4.528583752040377
39.0,2.117331584848932,4.530609638991578
40.0,2.1159044583881754,4.532622371877543
41.0,2.1144847788111276,4.534622103954757
42.0,2.113072455608279,4.5366089858021725
43.0,2.111667399939844,4.538583165383788
44.0,2.110269524595241,4.540544788109403
45.0,2.108878743953791,4.542493996893616
46.0,2.1074949739465856,4.544430932213105
47.0,2.1061181320194926,4.546355732162279
48.0,2.1047481370972494,4.548268532507336
49.0,2.1033849095486103,4.5501694667387875
50.0,2.1020283711525107,4.552058666122508
51.0,2.1006784450652143,4.553936259749346
52.0,2.0993350557884045,4.555802374583358
53.0,2.097998129138194,4.557657135508705
54.0,2.096667592215016,4.559500665375254
55.0,2.095343373374371,4.561333085042932
56.0,2.094025402198396,4.5631545134248706
57.0,2.092713609468234,4.564965067529383
58.0,2.0914079271371713,4.566764862500808
59.0,2.0901082883045223,4.568554011659259
60.0,2.088814627190233,4.570332626539317
61.0,2.087526879110182,4.572100816927691
62.0,2.086244980452156,4.573858690899891
63.0,2.084968868652477,4.575606354855938
64.0,2.0836984821732596,4.577343913555143
65.0,2.082433760480281,4.579071470149977
66.0,2.081174644021442,4.580789126219076
67.0,2.0799210742057976,4.582496981799396
68.0,2.078672993383147,4.58419513541754
69.0,2.0774303448241547,4.5858836841202955
70.0,2.076193072700998,4.5875627235044
71.0,2.0749611220685122,4.589232347745553
72.0,2.073734438845828,4.59089264962671
73.0,2.072512969798482,4.59254372056566
74.0,2.071296662520983,4.594185650641933
75.0,2.070085465419827,4.595818528623037
76.0,2.0688793276969384,4.597442441990052
77.0,2.0676781993335362,4.599057476962599
78.0,2.0664820310743988,4.600663718523209
79.0,2.065290774412526,4.602261250441093
80.0,2.064104381574183,4.603850155295351
81.0,2.062922805504311,4.605430514497617
82.0,2.0617459998523042,4.6070024083141705
83.0,2.060573918958128,4.608565915887523
84.0,2.0594065178387813,4.610121115257492
85.0,2.058243752175085,4.611668083381788
86.0,2.057085578298792,4.61320689615611
87.0,2.0559319531800044,4.6147376284337875
88.0,2.0547828344148953,4.616260354044953
89.0,2.0536381802137207,4.617775145815286
90.0,2.052497949389118,4.61928207558432
91.0,2.0513621013446772,4.620781214223336
92.0,2.0502305960637863,4.6222726316528435
93.0,2.049103394098733,4.623756396859676
94.0,2.0479804565600603,4.625232577913694
95.0,2.046861745106174,4.626701241984117
96.0,2.045747221933182,4.628162455355492
97.0,2.044636849764975,4.629616283443304
98.0,2.0435305918435285,4.63106279080925
99.0,2.042428411919428,4.632502041176167
100.0,2.0413302742426085,4.633934097442639
101.0,2.040236143553303,4.635359021697284
102.0,2.0391459850731946,4.636776875232735
103.0,2.038059764496765,4.63818771855931
104.0,2.036977447982839,4.639591611418398
105.0,2.035899002146312,4.640988612795551
106.0,2.034824394050064,4.642378780933303
107.0,2.0337535911970495,4.643762173343708
108.0,2.0326865615225604,4.645138846820625
109.0,2.031623273386658,4.646508857451736
110.0,2.0305636955667694,4.647872260630311
111.0,2.0295077972504436,4.649229111066734
112.0,2.028455548028263,4.6505794627997865
113.0,2.0274069178869074,4.651923369207697
114.0,2.0263618772023664,4.653260883018963
115.0,2.025320396733294,4.654592056322949
116.0,2.0242824476145063,4.655916940580274
117.0,2.0232480013506144,4.65723558663298
118.0,2.0222170298097923,4.658548044714505
119.0,2.0211895052176736,4.659854364459439
120.0,2.020165400151376,4.6611545949131
121.0,2.01914468753365,4.662448784540909
122.0,2.0181273406271463,4.66373698123758
123.0,2.0171133330288056,4.66501923233613
124.0,2.016102638664357,4.666295584616707
125.0,2.0150952317829343,4.667566084315248
126.0,2.014091086951798,4.668830777131965
127.0,2.013090179051166,4.670089708239665
128.0,2.0120924832691474,4.67134292229191
129.0,2.011097975096778,4.672590463431015
130.0,2.0101066303231563,4.673832375295899
131.0,2.0091184250306755,4.675068701029776
132.0,2.0081333355903483,4.676299483287706
133.0,2.0071513386572284,4.677524764243996
134.0,2.006172411165917,4.678744585599468
135.0,2.005196530326162,4.67995898858858
136.0,2.0042236736185397,4.681168013986421
137.0,2.0032538187902227,4.682371702115571
138.0,2.0022869438508284,4.683570092852829
139.0,2.0013230270683486,4.684763225635825
140.0,2.000362046965157,4.685951139469499
141.0,1.9994039823140934,4.68713387293247
142.0,1.9984488121346222,4.6883114641832755
143.0,1.9974965156890645,4.68948395096651
144.0,1.9965470724789014,4.690651370618841
145.0,1.995600462241147,4.69181376007492
146.0,1.9946566649447894,4.6929711558731855
147.0,1.9937156607872992,4.694123594161558
148.0,1.9927774301912022,4.6952711107030405
149.0,1.9918419538007166,4.696413740881207
150.0,1.9909092124784515,4.697551519705604
151.0,1.9899791873021682,4.698684481817046
152.0,1.9890518595615991,4.6998126614928255
153.0,1.9881272107553263,4.700936092651825
154.0,1.9872052225877164,4.702054808859541
155.0,1.9862858769659113,4.7031688433330165
156.0,1.985369155996874,4.704278228945696
157.0,1.9844550419844873,4.705382998232185
158.0,1.9835435174267049,4.706483183392934
159.0,1.9826345650127535,4.707578816298839
160.0,1.9817281676203855,4.708669928495761
161.0,1.9808243083131796,4.70975655120897
162.0,1.9799229703378902,4.710838715347514
163.0,1.9790241371218438,4.711916451508512
164.0,1.9781277922703804,4.712989789981368
165.0,1.9772339195643405,4.714058760751926
166.0,1.9763425029575963,4.715123393506546
167.0,1.9754535265746254,4.71618371763611
168.0,1.9745669747081271,4.717239762239967
169.0,1.9736828318166801,4.718291556129811
170.0,1.97280108252244,4.7193391278334875
171.0,1.9719217116088776,4.720382505598745
172.0,1.9710447040185546,4.72142171739692
173.0,1.970170044850938,4.722456790926564
174.0,1.9692977193602528,4.723487753617005
175.0,1.968427712953369,4.724514632631861
176.0,1.967560011187726,4.725537454872483
177.0,1.9666945997692917,4.726556246981354
178.0,1.9658314645505557,4.727571035345425
179.0,1.9649705915285556,4.728581846099402
180.0,1.9641119668429377,4.729588705128974
181.0,1.9632555767740487,4.730591638073996
182.0,1.9624014077410596,4.7315906703316175
183.0,1.9615494463001208,4.732585827059361
184.0,1.9606996791425468,4.733577133178151
185.0,1.959852093093032,4.734564613375297
186.0,1.959006675107895,4.735548292107429
187.0,1.9581634122733504,4.736528193603384
188.0,1.9573222918038118,4.737504341867052
189.0,1.9564833010402192,4.7384767606801725
190.0,1.9556464274483951,4.739445473605089
191.0,1.954811658617427,4.740410503987464
192.0,1.9539789822580749,4.741371874958946
193.0,1.953148386201206,4.742329609439801
194.0,1.9523198583962527,4.743283730141498
195.0,1.9514933869096962,4.744234259569262
196.0,1.9506689599235738,4.745181220024576
197.0,1.94984656573401,4.746124633607662
198.0,1.9490261927497703,4.747064522219907
199.0,1.9482078294908383,4.748000907566263
200.0,1.947391464587015,4.748933811157607
201.0,1.9465770867765395,4.749863254313065
202.0,1.9457646849047323,4.750789258162305
203.0,1.944954247922658,4.751711843647787
204.0,1.9441457648858103,4.7526310315269935
205.0,1.9433392249528159,4.753546842374608
206.0,1.9425346173841602,4.754459296584681
207.0,1.9417319315409305,4.7553684143727475
208.0,1.9409311568835796,4.756274215777926
209.0,1.9401322829707084,4.757176720664974
210.0,1.9393352994578656,4.7580759487263276
211.0,1.9385401960963682,4.758971919484098
212.0,1.9377469627321366,4.7598646522920465
213.0,1.9369555893045503,4.760754166337532
214.0,1.9361660658453184,4.761640480643422
215.0,1.9353783824773683,4.762523614069986
216.0,1.934592529413751,4.763403585316754
217.0,1.933808496956562,4.764280412924352
218.0,1.9330262754958794,4.765154115276312
219.0,1.9322458555087156,4.766024710600852
220.0,1.9314672275579876,4.766892216972634
221.0,1.9306903822914991,4.767756652314498
222.0,1.9299153104409403,4.768618034399168
223.0,1.9291420028209003,4.769476380850936
224.0,1.9283704503278956,4.770331709147321
225.0,1.9276006439394113,4.771184036620708
226.0,1.9268325747129573,4.772033380459961
227.0,1.9260662337851375,4.772879757712012
228.0,1.9253016123707325,4.7737231852834325
229.0,1.9245387017617956,4.774563679941981
230.0,1.9237774933267626,4.7754012583181265
231.0,1.9230179785095725,4.776235936906556
232.0,1.922260148828802,4.777067732067657
233.0,1.9215039958768125,4.777896660028982
234.0,1.9207495113189088,4.778722736886692
235.0,1.9199966868925094,4.779545978606982
236.0,1.9192455144063283,4.780366401027482
237.0,1.9184959857395703,4.781184019858649
238.0,1.9177480928411346,4.781998850685125
239.0,1.9170018277288317,4.782810908967094
240.0,1.9162571824886108,4.783620210041609
241.0,1.915514149273797,4.784426769123902
242.0,1.9147727203043405,4.785230601308684
243.0,1.9140328878660753,4.786031721571417
244.0,1.913294644309988,4.786830144769581
245.0,1.9125579820514977,4.787625885643912
246.0,1.911822893569744,4.788418958819633
247.0,1.911089371406887,4.789209378807662
248.0,1.9103574081674148,4.789997160005814
249.0,1.9096269965174617,4.790782316699973
250.0,1.9088981291841352,4.791564863065259
251.0,1.9081707989548522,4.792344813167181
252.0,1.9074449986766842,4.793122180962762
253.0,1.906720721255711,4.793896980301668
254.0,1.9059979596563836,4.794669224927308
255.0,1.9052767069008956,4.795438928477922
256.0,1.9045569560685622,4.7962061044876645
257.0,1.9038387002952086,4.79697076638766
258.0,1.903121932772566,4.797732927507057
259.0,1.9024066467476746,4.798492601074061
260.0,1.901692835522297,4.799249800216958
261.0,1.9009804924523372,4.800004537965124
262.0,1.9002696109472677,4.800756827250021
263.0,1.899560184469564,4.80150668090618
264.0,1.8988522065341478,4.802254111672176
265.0,1.898145670707836,4.802999132191584
266.0,1.8974405706087967,4.803741755013927
267.0,1.8967368999060144,4.804481992595615
268.0,1.8960346523187588,4.805219857300861
269.0,1.895333821616064,4.805955361402601
270.0,1.8946344016162118,4.806688517083392
271.0,1.8939363861862226,4.807419336436303
272.0,1.8932397692413532,4.8081478314657895
273.0,1.8925445447446,4.808874014088565
274.0,1.8918507067062103,4.809597896134461
275.0,1.891158249183197,4.810319489347267
276.0,1.8904671662788632,4.811038805385573
277.0,1.8897774521423287,4.811755855823591
278.0,1.8890891009680661,4.8124706521519744
279.0,1.8884021069954404,4.813183205778623
280.0,1.8877164645082554,4.81389352802948
281.0,1.8870321678343054,4.814601630149317
282.0,1.8863492113449334,4.815307523302515
283.0,1.885667589454593,4.816011218573827
284.0,1.8849872966204175,4.8167127269691425
285.0,1.8843083273417938,4.817412059416234
286.0,1.883630676159941,4.818109226765498
287.0,1.8829543376574955,4.818804239790686
