t,H,L
0.0,2.18,4.44
1.0,2.1781879227825938,4.4426741745197145
2.0,2.176388931939831,4.445326507958041
3.0,2.1746028189361035,4.447957330996736
4.0,2.1728293802580065,4.450566966810634
5.0,2.1710684172554857,4.453155731295123
6.0,2.16931973598919,4.455723933285051
7.0,2.167583147083745,4.458271874765405
8.0,2.165858465586676,4.46079985107416
9.0,2.16414551083271,4.46330815109764
10.0,2.1624441063132314,4.465797057458711
11.0,2.1607540795506455,4.468266846698136
12.0,2.1590752619774336,4.4707177894493775
13.0,2.157407488819695,4.47315015060713
14.0,2.1557505989849743,4.475564189489863
15.0,2.154104434954189,4.477960159996616
16.0,2.152468842677477,4.4803383107582935
17.0,2.150843671473799,4.482698885283692
18.0,2.149228773934129,4.4850421221004755
19.0,2.147624005828089,4.487368254891315
20.0,2.14602922601387,4.489677512625377
21.0,2.144444296351315,4.491970119685365
22.0,2.1428690816180263,4.494246295990285
23.0,2.141303449428366,4.496506257114113
24.0,2.1397472701552425,4.498750214400522
25.0,2.138200416854562,4.500978375073829
26.0,2.136662765192238,4.503190942346313
27.0,2.1351341933736556,4.505388115522038
28.0,2.1336145820754964,4.507570090097326
29.0,2.1321038143798225,4.509737057858004
30.0,2.1306017757103395,4.5118892069735494
31.0,2.1291083537707447,4.514026722088255
32.0,2.127623438485086,4.516149784409524
33.0,2.1261469219400473,4.518258571793402
34.0,2.1246786983290944,4.520353258827454
35.0,2.1232186638984003,4.5224340169110775
36.0,2.1217667168944905,4.524501014333357
37.0,2.1203227575135397,4.526554416348539
38.0,2.118886687852258,4.528594385249224
39.0,2.1174584118603095,4.5306210804373475
40.0,2.1160378352942018,4.532634658493044
41.0,2.1146248656725986,4.534635273241456
42.0,2.1132194122329975,4.53662307581757
43.0,2.111821385889727,4.538598214729142
44.0,2.1104306991932122,4.540560835917795
45.0,2.1090472662904682,4.542511082818324
46.0,2.1076710028867693,4.544449096416307
47.0,2.1063018262084623,4.54637501530405
48.0,2.104939654966873,4.548288975734936
49.0,2.103584409323278,4.55019111167624
50.0,2.102236010854894,4.552081554860442
51.0,2.1008943825218576,4.553960434835115
52.0,2.099559448635159,4.555827879011401
53.0,2.098231134825493,4.557684012711168
54.0,2.0969093680130015,4.559528959212844
55.0,2.0955940763778735,4.561362839796005
56.0,2.094285189331776,4.56318577378475
57.0,2.0929826374900866,4.564997878589889
58.0,2.0916863526448997,4.566799269750001
59.0,2.0903962677387837,4.56859006097139
60.0,2.0891123168392634,4.570370364166973
61.0,2.0878344351140004,4.572140289494134
62.0,2.086562558806655,4.573899945391587
63.0,2.085296625213401,4.5756494386152635
64.0,2.0840365726600765,4.577388874273265
65.0,2.0827823404799486,4.579118355859911
66.0,2.0815338689920733,4.5808379852889
67.0,2.0802910994802297,4.582547862925631
68.0,2.079053974172413,4.584248087618686
69.0,2.077822436220867,4.585938756730516
70.0,2.0765964296826382,4.587619966167354
71.0,2.0753758995006395,4.5892918104083735
72.0,2.0741607914852005,4.590954382534112
73.0,2.072951052296098,4.592607774254194
74.0,2.0717466294250446,4.594252075934362
75.0,2.0705474711786267,4.595887376622841
76.0,2.0693535266616725,4.597513764076059
77.0,2.0681647457610444,4.599131324783735
78.0,2.066981079129836,4.600740143993362
79.0,2.0658024781719675,4.602340305734096
80.0,2.0646288950271607,4.603931892840068
81.0,2.0634602825562913,4.605514986973143
82.0,2.0622965943270977,4.607089668645132
83.0,2.0611377846002443,4.6086560172394835
84.0,2.059983808315723,4.6102141110324535
85.0,2.058834621079587,4.611764027213788
86.0,2.057690179151003,4.613305841906915
87.0,2.0565504394296177,4.614839630188677
88.0,2.0554153594432263,4.616365466108593
89.0,2.054284897335735,4.617883422707685
90.0,2.0531590118554086,4.619393572036874
91.0,2.052037662343397,4.620895985174954
92.0,2.0509208087225304,4.622390732246153
93.0,2.0498084114863793,4.623877882437306
94.0,2.048700431688566,4.625357504014633
95.0,2.047596830932326,4.626829664340148
96.0,2.0464975713603115,4.6282944298876965
97.0,2.045402615644626,4.6297518662586405
98.0,2.044311926977091,4.631202038197195
99.0,2.0432254690597316,4.632645009605428
100.0,2.042143206095479,4.63408084355793
101.0,2.041065102779083,4.635509602316169
102.0,2.039991124288228,4.636931347342525
103.0,2.038921236274849,4.638346139314031
104.0,2.0378554048566397,4.639754038135809
105.0,2.036793596608752,4.641155102954227
106.0,2.035735778555674,4.642549392169768
107.0,2.034681918163291,4.643936963449629
108.0,2.033631983331119,4.645317873740054
109.0,2.0325859423847055,4.646692179278409
110.0,2.0315437640681995,4.648059935604995
111.0,2.0305054175370776,4.649421197574628
112.0,2.0294708723510304,4.6507760193679655
113.0,2.0284400984669992,4.652124454502608
114.0,2.027413066232362,4.653466555843964
115.0,2.0263897463782645,4.6548023756159
116.0,2.025370110013092,4.656131965411167
117.0,2.0243541286160798,4.657455376201615
118.0,2.0233417740310555,4.658772658348203
119.0,2.022333018460316,4.660083861610807
120.0,2.0213278344586274,4.661389035157826
121.0,2.0203261949273528,4.662688227575602
122.0,2.0193280731086998,4.663981486877651
123.0,2.018333442580088,4.665268860513705
124.0,2.0173422772486282,4.666550395378583
125.0,2.016354551345719,4.667826137820882
126.0,2.0153702394217503,4.669096133651496
127.0,2.0143893163409134,4.6703604281519775
128.0,2.0134117572761188,4.671619066082727
129.0,2.012437537704013,4.672872091691026
130.0,2.011466633400097,4.674119548718919
131.0,2.01049902043394,4.675361480410939
132.0,2.009534675164492,4.676597929521685
133.0,2.008573574235483,4.67782893832326
134.0,2.0076156945709194,4.679054548612563
135.0,2.0066610133706635,4.680274801718444
136.0,2.0057095081061025,4.681489738508725
137.0,2.0047611565159005,4.682699399397087
138.0,2.0038159366018333,4.683903824349831
139.0,2.002873826624704,4.68510305289251
140.0,2.001934805100336,4.6862971241164395
141.0,2.000998850795644,4.687486076685089
142.0,2.00006594272478,4.688669948840352
143.0,1.9991360601453516,4.689848778408702
144.0,1.9982091825547128,4.691022602807239
145.0,1.9972852896863253,4.69219145904962
146.0,1.9963643615061877,4.693355383751888
147.0,1.995446378209331,4.694514413138195
148.0,1.994531320216381,4.69566858304641
149.0,1.9936191681701834,4.696817928933647
150.0,1.9927099029324924,4.697962485881676
151.0,1.99180350558072,4.699102288602246
152.0,1.9908999574047448,4.700237371442313
153.0,1.9899992399037807,4.701367768389171
154.0,1.989101334783301,4.702493513075502
155.0,1.98820622395202,4.703614638784322
156.0,1.9873138895189284,4.7047311784538595
157.0,1.986424313790383,4.705843164682329
158.0,1.9855374792672487,4.7069506297326384
159.0,1.984653368642091,4.708053605537005
160.0,1.9837719647964203,4.709152123701495
161.0,1.9828932507979833,4.710246215510483
162.0,1.9820172098981048,4.711335911931039
163.0,1.9811438255290748,4.7124212436172375
164.0,1.9802730813015819,4.713502240914391
165.0,1.979404961002193,4.7145789338632165
166.0,1.9785394485908765,4.715651352203931
167.0,1.9776765281985675,4.716719525380274
168.0,1.9768161841247776,4.717783482543465
169.0,1.975958400835244,4.718843252556096
170.0,1.9751031629596216,4.719898863995958
171.0,1.9742504552892128,4.720950345159803
172.0,1.9734002627747365,4.7219977240670445
173.0,1.9725525705241365,4.7230410284633955
174.0,1.9717073638004263,4.724080285824452
175.0,1.9708646280195712,4.725115523359209
176.0,1.9700243487484046,4.726146768013527
177.0,1.9691865117025817,4.7271740464735394
178.0,1.9683511027445668,4.728197385169
179.0,1.9675181078816535,4.729216810276585
180.0,1.9666875132640187,4.730232347723135
181.0,1.9658593051828097,4.731244023188847
182.0,1.9650334700682617,4.732251862110417
183.0,1.964209994487847,4.733255889684128
184.0,1.9633888651444555,4.7342561308688955
185.0,1.962570068874604,4.735252610389257
186.0,1.961753592646675,4.7362453527383215
187.0,1.9609394235591853,4.737234382180665
188.0,1.960127548839082,4.738219722755189
189.0,1.9593179558400655,4.7392013982779275
190.0,1.9585106320409411,4.740179432344814
191.0,1.9577055650439963,4.741153848334402
192.0,1.956902742573404,4.742124669410546
193.0,1.9561021524736522,4.743091918525043
194.0,1.9553037827079978,4.744055618420227
195.0,1.9545076213569457,4.74501579163153
196.0,1.9537136566167517,4.745972460489998
197.0,1.9529218767979495,4.746925647124778
198.0,1.9521322703239004,4.747875373465552
199.0,1.9513448257293657,4.748821661244951
200.0,1.950559531659103,4.74976453200092
201.0,1.9497763768664818,4.750704007079052
202.0,1.9489953502121233,4.7516401076348895
203.0,1.9482164406625602,4.752572854636186
204.0,1.9474396372889164,4.7535022688651365
205.0,1.946664929265609,4.754428370920578
206.0,1.9458923058690687,4.755351181220149
207.0,1.9451217564764802,4.756270720002427
208.0,1.9443532705645425,4.757187007329025
209.0,1.943586837708248,4.758100063086666
210.0,1.9428224475796785,4.7590099069892196
211.0,1.9420600899468226,4.759916558579714
212.0,1.9412997546724078,4.760820037232315
213.0,1.9405414317127525,4.761720362154279
214.0,1.939785111116634,4.762617552387878
215.0,1.9390307830241738,4.763511626812292
216.0,1.9382784376657398,4.76440260414548
217.0,1.9375280653608644,4.76529050294602
218.0,1.936779656517179,4.766175341614927
219.0,1.9360332016293649,4.767057138397439
220.0,1.9352886912781173,4.767935911384782
221.0,1.9345461161291284,4.768811678515912
222.0,1.9338054669320817,4.769684457579224
223.0,1.9330667345196633,4.770554266214244
224.0,1.9323299098065871,4.771421121913298
225.0,1.9315949837886335,4.772285042023151
226.0,1.930861947541703,4.773146043746629
227.0,1.9301307922208832,4.774004144144215
228.0,1.9294015090595287,4.7748593601356255
229.0,1.9286740893683554,4.775711708501362
230.0,1.9279485245345462,4.776561205884244
231.0,1.9272248060208717,4.777407868790919
232.0,1.9265029253648207,4.778251713593354
233.0,1.9257828741777456,4.7790927565303
234.0,1.9250646441440187,4.779931013708747
235.0,1.9243482270202001,4.78076650110535
236.0,1.9236336146342186,4.78159923456784
237.0,1.9229207988845627,4.782429229816414
238.0,1.922209771739484,4.783256502445111
239.0,1.9215005252362114,4.784081067923159
240.0,1.9207930514801763,4.784902941596316
241.0,1.9200873426442482,4.785722138688185
242.0,1.9193833909679816,4.786538674301514
243.0,1.918681188756873,4.787352563419479
244.0,1.917980728381628,4.788163820906949
245.0,1.9172820022774382,4.788972461511733
246.0,1.9165850029432696,4.789778499865817
247.0,1.9158897229411587,4.790581950486575
248.0,1.915196154895519,4.791382827777971
249.0,1.9145042914924575,4.792181146031742
250.0,1.9138141254791003,4.792976919428567
251.0,1.9131256496629268,4.793770162039224
252.0,1.9124388569111126,4.79456088782572
253.0,1.911753740149883,4.795349110642424
254.0,1.911070292363873,4.796134844237168
255.0,1.9103885065954975,4.796918102252346
256.0,1.9097083759443294,4.797698898225996
257.0,1.9090298935664853,4.798477245592863
258.0,1.9083530526740207,4.799253157685452
259.0,1.9076778465343318,4.800026647735071
260.0,1.907004268469567,4.800797728872855
261.0,1.906332311856044,4.801566414130778
262.0,1.9056619701236763,4.802332716442658
263.0,1.9049932367554065,4.8030966486451385
264.0,1.9043261052866471,4.80385822347867
265.0,1.9036605693047286,4.804617453588468
266.0,1.9029966224483545,4.805374351525466
267.0,1.9023342584070646,4.806128929747257
268.0,1.9016734709207033,4.806881200619016
269.0,1.9010142537788965,4.807631176414419
270.0,1.9003566008205346,4.808378869316545
271.0,1.8997005059332615,4.809124291418774
272.0,1.8990459630529715,4.809867454725664
273.0,1.8983929661633119,4.8106083711538234
274.0,1.897741509295191,4.811347052532774
275.0,1.8970915865262947,4.812083510605798
276.0,1.896443191980607,4.81281775703078
277.0,1.8957963198279377,4.813549803381035
278.0,1.8951509642834559,4.814279661146126
279.0,1.8945071196072287,4.81500734173268
280.0,1.8938647801037676,4.815732856465178
281.0,1.8932239401215778,4.816456216586752
282.0,1.892584594052716,4.817177433259962
283.0,1.891946736332351,4.81789651756757
284.0,1.8913103614383324,4.8186134805132985
285.0,1.8906754638907626,4.819328333022583
286.0,1.8900420382515752,4.820041085943319
