t,H,L
0.0,2.18,4.44
1.0,2.1781879227825938,4.4426741745197145
2.0,2.1763886761393567,4.445326506868658
3.0,2.1746020527289365,4.447957325589116
4.0,2.1728278501926903,4.450566951777732
5.0,2.1710658709973694,4.453155699310759
6.0,2.1693159222839404,4.4557238750608255
7.0,2.1675778157222587,4.458271779105586
8.0,2.1658513673713213,4.460799704928621
9.0,2.164136397544852,4.46330793961293
10.0,2.1624327306819704,4.465796764027345
11.0,2.160740195222718,4.468266453006175
12.0,2.1590586234882294,4.470717275522375
13.0,2.157387851565334,4.473149494854513
14.0,2.1557277191954034,4.47556336874781
15.0,2.154078069667248,4.477959149569494
16.0,2.1524387497139004,4.480337084458718
17.0,2.1508096094131046,4.4826974154712635
18.0,2.149190502091365,4.485040379719245
19.0,2.1475812842313924,4.4873662095060265
20.0,2.1459818153828163,4.489675132456545
21.0,2.144391958076014,4.4919673716432245
22.0,2.1428115777389367,4.494243145707662
23.0,2.141240542616806,4.496502668978257
24.0,2.1396787236945594,4.498746151583942
25.0,2.1381259946219378,4.500973799564169
26.0,2.136582231641106,4.503185814975302
27.0,2.1350473135167043,4.505382395993557
28.0,2.133521121468233,4.507563737014619
29.0,2.1320035391046805,4.509730028750066
30.0,2.130494452361305,4.511881458320721
31.0,2.128993749438481,4.51401820934706
32.0,2.127501320742539,4.516140462036766
33.0,2.1260170588285137,4.518248393269558
34.0,2.1245408583447323,4.520342176679381
35.0,2.123072615979169,4.522421982734066
36.0,2.1216122304075014,4.524487978812549
37.0,2.120159602242802,4.526540329279731
38.0,2.1187146339868077,4.528579195559083
39.0,2.1172772299827036,4.530604736203057
40.0,2.1158472963693677,4.5326171069614
41.0,2.114424741037024,4.53461646084743
42.0,2.113009473584248,4.536602948202364
43.0,2.1116014052762826,4.538576716757745
44.0,2.1102004490046076,4.540537911696057
45.0,2.108806519247727,4.54248667570958
46.0,2.107419532033125,4.544423149057542
47.0,2.1060394049003497,4.546347469621638
48.0,2.104666056865188,4.548259772959961
49.0,2.1032994083848897,4.550160192359409
50.0,2.1019393813244056,4.552048858886615
51.0,2.1005858989236046,4.553925901437447
52.0,2.0992388857654363,4.555791446785128
53.0,2.0978982677450055,4.557645619627031
54.0,2.096563972039529,4.559488542630175
55.0,2.0952359270791434,4.561320336475478
56.0,2.093914062518536,4.563141119900812
57.0,2.0925983092093703,4.564951009742877
58.0,2.091288599173482,4.5667501209779635
59.0,2.0899848655768163,4.568538566761606
60.0,2.0886870427040853,4.570316458467196
61.0,2.0873950659341194,4.572083905723558
62.0,2.0861088717158913,4.573841016451545
63.0,2.084828397545192,4.575587896899667
64.0,2.0835535819419335,4.577324651678796
65.0,2.082284364428065,4.579051383795968
66.0,2.0810206855060747,4.580768194687311
67.0,2.079762486638064,4.58247518425013
68.0,2.078509710225379,4.584172450874177
69.0,2.077262299588768,4.585860091472112
70.0,2.0760201989490703,4.587538201509215
71.0,2.074783353408396,4.589206875032333
72.0,2.0735517089318005,4.59086620469811
73.0,2.0723252123294293,4.592516281800519
74.0,2.071103811239119,4.594157196297701
75.0,2.069887454109442,4.595789036838154
76.0,2.0686760901831844,4.597411890786273
77.0,2.0674696694812376,4.59902584424727
78.0,2.066268142786896,4.600630982091486
79.0,2.065071461630548,4.602227387978122
80.0,2.0638795782747463,4.603815144378391
81.0,2.0626924456996485,4.6053943325981255
82.0,2.0615100175888172,4.606965032799839
83.0,2.0603322483153663,4.60852732402427
84.0,2.0591590929284482,4.610081284211416
85.0,2.0579905071400657,4.611626990221075
86.0,2.056826447312205,4.613164517852906
87.0,2.0556668704442784,4.614693941866025
88.0,2.054511734160865,4.616215335998149
89.0,2.0533609966997473,4.617728772984294
90.0,2.0522146169002276,4.619234324575052
91.0,2.0510725541917236,4.620732061554443
92.0,2.0499347685826295,4.62222205375737
93.0,2.048801220649439,4.623704370086675
94.0,2.047671871526121,4.625179078529812
95.0,2.0465466828937418,4.626646246175145
96.0,2.0454256169703267,4.628105939227888
97.0,2.044308636500954,4.629558223025686
98.0,2.043195704748076,4.631003162053856
99.0,2.0420867854820606,4.63244081996029
100.0,2.0409818429719446,4.63387125957003
101.0,2.039880841976401,4.635294542899536
102.0,2.0387837477349033,4.636710731170628
103.0,2.037690525959091,4.638119884824142
104.0,2.0366011428243254,4.639522063533282
105.0,2.035515564961435,4.640917326216694
106.0,2.034433759448641,4.642305731051254
107.0,2.0333556938036583,4.64368733548459
108.0,2.0322813359759757,4.6450621962473395
109.0,2.031210654339297,4.646430369365142
110.0,2.030143617684152,4.6477919101703895
111.0,2.029080195210662,4.649146873313728
112.0,2.0280203565214645,4.650495312775318
113.0,2.0269640716147896,4.651837281875864
114.0,2.0259113108776807,4.65317283328742
115.0,2.0248620450793617,4.654502019043964
116.0,2.023816245364746,4.655824890551768
117.0,2.022773883248077,4.657141498599553
118.0,2.0217349306067076,4.65845189336843
119.0,2.0206993596750076,4.659756124441656
120.0,2.0196671430383955,4.661054240814177
121.0,2.018638253627498,4.662346290901995
122.0,2.0176126647124266,4.663632322551342
123.0,2.0165903498971742,4.664912383047667
124.0,2.015571283114125,4.6661865191244525
125.0,2.014555438618677,4.667454776971859
126.0,2.013542790983973,4.668717202245189
127.0,2.0125333150957396,4.669973840073199
128.0,2.011526986147228,4.671224735066242
129.0,2.010523779634258,4.672469931324253
130.0,2.0095236713503617,4.67370947244458
131.0,2.0085266373820208,4.67494340152967
132.0,2.007532654104001,4.6761717611946
133.0,2.006541698174779,4.67739459357447
134.0,2.005553746532056,4.6786119403316535
135.0,2.0045687763883637,4.679823842662908
136.0,2.003586765226753,4.68103034130636
137.0,2.0026076907965664,4.682231476548347
138.0,2.001631531109295,4.683427288230142
139.0,2.0006582644345126,4.684617815754546
140.0,1.9996878692958902,4.685803098092361
141.0,1.9987203244672846,4.686983173788744
142.0,1.9977556089689041,4.6881580809694405
143.0,1.9967937020635447,4.689327857346908
144.0,1.9958345832528996,4.690492540226322
145.0,1.9948782322739376,4.6916521665114805
146.0,1.9939246290953485,4.6928067727105915
147.0,1.9929737539140575,4.6939563949419645
148.0,1.9920255871518024,4.695101068939595
149.0,1.9910801094517754,4.696240830058649
150.0,1.9901373016753272,4.6973757132808505
151.0,1.989197144898732,4.698505753219772
152.0,1.9882596204100111,4.699630984126033
153.0,1.9873247097058164,4.700751439892404
154.0,1.9863923944883688,4.701867154058821
155.0,1.9854626566624543,4.702978159817314
156.0,1.9845354783324727,4.704084490016848
157.0,1.9836108417995413,4.705186177168078
158.0,1.9826887295586495,4.706283253448021
159.0,1.981769124295865,4.707375750704654
160.0,1.98085200888559,4.708463700461424
161.0,1.9799373663878663,4.709547133921684
162.0,1.9790251800457275,4.710626081973054
163.0,1.978115433282599,4.711700575191704
164.0,1.9772081096997434,4.712770643846571
165.0,1.9763031930737511,4.713836317903495
166.0,1.975400667354074,4.714897627029297
167.0,1.9745005166606033,4.715954600595771
168.0,1.9736027252812887,4.717007267683632
169.0,1.9727072776697987,4.718055657086376
170.0,1.9718141584432227,4.7190997973140885
171.0,1.9709233523798104,4.7201397165971875
172.0,1.9700348444167521,4.721175442890101
173.0,1.9691486196479955,4.722207003874889
174.0,1.9682646633221006,4.7232344269648
175.0,1.9673829608401303,4.7242577393077765
176.0,1.9665034977535774,4.725276967789895
177.0,1.9656262597623257,4.726292139038757
178.0,1.964751232712647,4.727303279426821
179.0,1.9638784025952292,4.728310415074682
180.0,1.9630077555432397,4.729313571854298
181.0,1.9621392778304194,4.7303127753921625
182.0,1.9612729558692097,4.731308051072435
183.0,1.9604087762089089,4.732299424040004
184.0,1.9595467255338603,4.733286919203524
185.0,1.9586867906616698,4.7342705612383815
186.0,1.9578289585414521,4.735250374589635
187.0,1.956973216252106,4.7362263834748894
188.0,1.956119551000618,4.737198611887143
189.0,1.9552679501203922,4.738167083597575
190.0,1.95441840106961,4.739131822158299
191.0,1.9535708914296122,4.740092850905073
192.0,1.9527254089033106,4.7410501929599596
193.0,1.9518819413136232,4.742003871233955
194.0,1.9510404766019356,4.7429539084295715
195.0,1.9502010028265848,4.743900327043382
196.0,1.9493635081613698,4.744843149368525
197.0,1.9485279808940836,4.745782397497174
198.0,1.9476944094250697,4.746718093322964
199.0,1.9468627822657998,4.747650258543388
200.0,1.9460330880374759,4.748578914662148
201.0,1.945205315469652,4.749504082991484
202.0,1.9443794533988794,4.750425784654454
203.0,1.943555490767371,4.751344040587188
204.0,1.942733416621688,4.752258871541107
205.0,1.9419132201114453,4.753170298085108
206.0,1.9410948904880383,4.754078340607715
207.0,1.9402784171033882,4.754983019319205
208.0,1.9394637894087072,4.755884354253693
209.0,1.9386509969532817,4.756782365271191
210.0,1.937840029383275,4.757677072059641
211.0,1.9370308764405473,4.7585684941369095
212.0,1.9362235279614939,4.759456650852761
213.0,1.9354179738759008,4.760341561390798
214.0,1.9346142042058176,4.761223244770373
215.0,1.9338122090644478,4.762101719848476
216.0,1.933011978655054,4.762977005321593
217.0,1.932213503269881,4.763849119727535
218.0,1.9314167732890952,4.764718081447247
219.0,1.9306217791797375,4.765583908706588
220.0,1.9298285114946943,4.766446619578079
221.0,1.9290369608716813,4.767306231982641
222.0,1.9282471180322445,4.7681627636912935
223.0,1.9274589737807735,4.769016232326841
224.0,1.926672519003531,4.769866655365525
225.0,1.9258877446676956,4.77071405013866
226.0,1.9251046418204187,4.771558433834247
227.0,1.924323201587895,4.772399823498559
228.0,1.923543415174446,4.773238236037709
229.0,1.9227652738616172,4.774073688219193
230.0,1.921988769007289,4.774906196673418
231.0,1.9212138920447983,4.775735777895198
232.0,1.9204406344820741,4.776562448245243
233.0,1.9196689879007853,4.777386223951614
234.0,1.9188989439555004,4.778207121111167
235.0,1.9181304943728585,4.779025155690978
236.0,1.9173636309507531,4.779840343529739
237.0,1.9165983455575268,4.780652700339146
238.0,1.9158346301311766,4.781462241705262
239.0,1.915072476678572,4.7822689830898675
240.0,1.9143118772746823,4.783072939831779
241.0,1.9135528240618156,4.783874127148171
242.0,1.9127953092488683,4.78467256013586
243.0,1.912039325110585,4.785468253772584
244.0,1.9112848639868274,4.786261222918261
245.0,1.9105319182818559,4.787051482316231
246.0,1.9097804804636178,4.78783904659448
247.0,1.9090305430630483,4.78862393026685
248.0,1.9082820986733786,4.7894061477342325
249.0,1.9075351399494553,4.790185713285749
250.0,1.9067896596070675,4.790962641099907
251.0,1.9060456504222838,4.791736945245753
252.0,1.905303105230799,4.792508639684002
253.0,1.9045620169272872,4.793277738268157
254.0,1.9038223784647672,4.794044254745606
255.0,1.9030841828539724,4.794808202758721
256.0,1.9023474231627324,4.795569595845922
257.0,1.9016120925153606,4.796328447442747
258.0,1.9008781840920517,4.7970847708828925
259.0,1.9001456911282857,4.797838579399252
260.0,1.8994146069142408,4.798589886124934
261.0,1.8986849247942135,4.799338704094271
262.0,1.8979566381660464,4.800085046243816
263.0,1.8972297404805643,4.800828925413319
264.0,1.8965042252410156,4.8015703543467065
265.0,1.895780086002524,4.80230934569303
266.0,1.8950573163715445,4.803045912007417
267.0,1.8943359100053285,4.8037800657520044
268.0,1.8936158606113942,4.804511819296859
269.0,1.8928971619470054,4.805241184920892
270.0,1.8921798078186562,4.805968174812752
271.0,1.8914637920815618,4.806692801071721
272.0,1.8907491086391568,4.807415075708587
273.0,1.8900357514425998,4.8081350106465095
274.0,1.889323714490284,4.80885261772188
275.0,1.8886129918273533,4.809567908685163
276.0,1.8879035775452264,4.810280895201735
277.0,1.8871954657811256,4.810991588852705
278.0,1.8864886507176113,4.8117000011357325
279.0,1.8857831265821232,4.812406143465831
280.0,1.8850788876465274,4.813110027176165
281.0,1.8843759282266679,4.813811663518833
282.0,1.883674242681925,4.814511063665643
283.0,1.882973825414779,4.815208238708884
284.0,1.8822746708703784,4.8159031996620785
285.0,1.8815767735361146,4.816595957460733
286.0,1.8808801279412015,4.817286522963079
