t,H,L
0.0,2.18,4.44
1.0,2.1777582151066137,4.443550712633962
2.0,2.175538205060879,4.447063944265424
3.0,2.1733395019452972,4.450540441996552
4.0,2.1711616526934767,4.453980930498232
5.0,2.169004218472025,4.457386112906543
6.0,2.1668667740941565,4.460756671674692
7.0,2.164748907463082,4.464093269383025
8.0,2.162650219043391,4.467396549509604
9.0,2.160570321358758,4.470667137163606
10.0,2.158508838514414,4.47390563978371
11.0,2.156465405742946,4.477112647803444
12.0,2.1544396689720613,4.480288735285368
13.0,2.152431284413066,4.483434460525833
14.0,2.1504399181688774,4.4865503666319295
15.0,2.1484652458604696,4.489636982072173
16.0,2.1465069522707276,4.492694821202336
17.0,2.1445647310047424,4.495724384767768
18.0,2.142638284165653,4.498726160383465
19.0,2.140727322045187,4.5017006229930505
20.0,2.1388315628281105,4.504648235307787
21.0,2.136950732309844,4.507569448226649
22.0,2.1350845636265525,4.510464701238427
23.0,2.13323279699705,4.513334422806793
24.0,2.1313951794759105,4.516179030739172
25.0,2.129571464717202,4.518998932540252
26.0,2.127761412748309,4.521794525750876
27.0,2.1259647897533225,4.524566198273053
28.0,2.1241813678655257,4.527314328681764
29.0,2.1224109249685155,4.53003928652419
30.0,2.120653244505538,4.532741432606988
31.0,2.1189081152966325,4.5354211192721765
32.0,2.1171753313632045,4.538078690662158
33.0,2.1154546917596697,4.540714482974415
34.0,2.113746000411831,4.54332882470633
35.0,2.112049065961668,4.545922036890615
36.0,2.110363701618237,4.548494433321764
37.0,2.1086897250143957,4.551046320773934
38.0,2.1070269580690826,4.5535779992106615
39.0,2.1053752268548953,4.556089761986757
40.0,2.1037343614707247,4.558581896042748
41.0,2.1021041959192175,4.561054682092175
42.0,2.100484567988847,4.56350839480208
43.0,2.098875319140388,4.565943302966961
44.0,2.097276294397602,4.568359669676493
45.0,2.0956873422419426,4.5707577524772685
46.0,2.094108314511108,4.573137803528819
47.0,2.0925390663012773,4.57550006975416
48.0,2.090979455872862,4.577844792985088
49.0,2.0894293445596346,4.580172210102447
50.0,2.0878885966810796,4.582482553171572
51.0,2.086357079457837,4.584776049573113
52.0,2.084834662930109,4.58705292212942
53.0,2.0833212198789015,4.5893133892266755
54.0,2.081816625749991,4.591557664932945
55.0,2.080320758580495,4.593785959112305
56.0,2.07883349892795,4.595998477535202
57.0,2.077354729801788,4.598195421985209
58.0,2.075884336597118,4.60037699036229
59.0,2.0744222070307203,4.602543376782736
60.0,2.072968231079165,4.604694771675895
61.0,2.071522300918971,4.606831361877799
62.0,2.0700843108687255,4.6089533307218415
63.0,2.0686541573330888,4.6110608581265815
64.0,2.0672317387486085,4.613154120680812
65.0,2.065816955531278,4.615233291725976
66.0,2.0644097100257652,4.617298541436036
67.0,2.0630099064562586,4.619350036894894
68.0,2.061617450878859,4.621387942171441
69.0,2.060232251135467,4.623412418392337
70.0,2.0588542168091037,4.625423623812595
71.0,2.0574832591806183,4.6274217138840505
72.0,2.0561192911867257,4.629406841321788
73.0,2.05476222737933,4.631379156168606
74.0,2.0534119838860816,4.633338805857585
75.0,2.0520684783721306,4.635285935272822
76.0,2.050731630003026,4.637220686808403
77.0,2.0494013594087255,4.639143200425667
78.0,2.048077588648672,4.641053613708828
79.0,2.0467602411779047,4.642952061919009
80.0,2.04544924181416,4.644838678046736
81.0,2.0441445167059364,4.646713592862957
82.0,2.0428459933014858,4.648576934968622
83.0,2.0415536003186965,4.650428830842883
84.0,2.0402672677158447,4.652269404889955
85.0,2.0389869266631755,4.654098779484682
86.0,2.0377125095152957,4.655917075016857
87.0,2.03644394978434,4.657724409934327
88.0,2.035181182113893,4.659520900784932
89.0,2.0339241422536403,4.661306662257306
90.0,2.0326727670347178,4.6630818072205935
91.0,2.031426994345747,4.664846446763097
92.0,2.030186763109524,4.666600690229895
93.0,2.028952013260349,4.668344645259481
94.0,2.0277226857219666,4.670078417819423
95.0,2.026498722386105,4.671802112241103
96.0,2.0252800660915913,4.673515831253551
97.0,2.0240666606040256,4.6752196760164
98.0,2.022858450595994,4.676913746151998
99.0,2.0216553816278053,4.678598139776696
100.0,2.0204574001287354,4.680272953531343
101.0,2.0192644533787623,4.6819382826110045
102.0,2.018076489490776,4.683594220793935
103.0,2.0168934573932513,4.685240860469826
104.0,2.0157153068133633,4.686878292667344
105.0,2.014541988260541,4.68850660708099
106.0,2.0133734530104364,4.6901258920973
107.0,2.0122096530893034,4.69173623482039
108.0,2.0110505412587694,4.69333772109689
109.0,2.00989607100099,4.694930435540261
110.0,2.008746196504177,4.696514461554533
111.0,2.007600872648484,4.698089881357463
112.0,2.006460054992244,4.699656776003146
113.0,2.005323699758543,4.701215225404081
114.0,2.004191763822127,4.702765308352714
115.0,2.0030642046966265,4.704307102542479
116.0,2.00194098052209,4.705840684588336
117.0,2.000822050052822,4.70736613004683
118.0,1.9997073726455123,4.7088835134356914
119.0,1.9985969082476478,4.710392908252974
120.0,1.997490617386204,4.711894386995751
121.0,1.9963884611566023,4.713388021178391
122.0,1.9952904012119292,4.714873881350406
123.0,1.9941963997524088,4.716352037113901
124.0,1.993106419515121,4.717822557140626
125.0,1.9920204237639598,4.7192855091886425
126.0,1.9909383762798252,4.720740960118619
127.0,1.9898602413510391,4.722188975909765
128.0,1.9887859837639845,4.723629621675399
129.0,1.987715568793956,4.725062961678191
130.0,1.986648962196221,4.7264890593450515
131.0,1.9855861301972806,4.727907977281708
132.0,1.9845270394863317,4.729319777286952
133.0,1.9834716572069175,4.730724520366587
134.0,1.9824199509487663,4.732122266747062
135.0,1.9813718887398115,4.733513075888829
136.0,1.9803274390383894,4.734897006499396
137.0,1.9792865707256084,4.736274116546112
138.0,1.9782492530978861,4.737644463268682
139.0,1.97721545585965,4.739008103191405
140.0,1.976185149116197,4.7403650921351685
141.0,1.9751583033667086,4.741715485229183
142.0,1.9741348894974156,4.743059336922474
143.0,1.9731148787749107,4.74439670099513
144.0,1.9720982428396052,4.745727630569329
145.0,1.9710849536993236,4.747052178120124
146.0,1.9700749837230356,4.748370395486018
147.0,1.9690683056347198,4.749682333879313
148.0,1.968064892507358,4.750988043896259
149.0,1.9670647177570537,4.752287575526986
150.0,1.966067755137275,4.753580978165244
151.0,1.9650739787332165,4.754868300617944
152.0,1.9640833629562788,4.756149591114505
153.0,1.9630958825386609,4.757424897316017
154.0,1.9621115125280644,4.758694266324228
155.0,1.9611302282825065,4.759957744690338
156.0,1.960152005465238,4.761215378423635
157.0,1.9591768200397646,4.762467212999954
158.0,1.9582046482649695,4.763713293369971
159.0,1.9572354666903344,4.764953663967336
160.0,1.956269252151255,4.766188368716651
161.0,1.9553059817644518,4.767417451041286
162.0,1.9543456329234712,4.768640953871056
163.0,1.9533881832942763,4.769858919649741
164.0,1.952433610810925,4.771071390342468
165.0,1.9514818936713327,4.772278407442947
166.0,1.9505330103331184,4.7734800119805785
167.0,1.9495869395095313,4.774676244527418
168.0,1.9486436601654578,4.775867145205017
169.0,1.9477031515135046,4.777052753691128
170.0,1.9467653930101587,4.778233109226291
171.0,1.94583036435202,4.779408250620298
172.0,1.944898045472107,4.780578216258528
173.0,1.9439684165362325,4.781743044108179
174.0,1.9430414579394486,4.782902771724375
175.0,1.942117150302559,4.784057436256165
176.0,1.9411954744686966,4.785207074452415
177.0,1.940276411499966,4.786351722667585
178.0,1.9393599426741492,4.787491416867413
179.0,1.9384460494814717,4.788626192634483
180.0,1.9375347136214298,4.789756085173709
181.0,1.9366259169996765,4.790881129317702
182.0,1.9357196417249642,4.792001359532059
183.0,1.9348158701061446,4.793116809920546
184.0,1.933914584649223,4.794227514230193
185.0,1.9330157680544662,4.795333505856301
186.0,1.932119403213564,4.796434817847358
187.0,1.9312254732068412,4.797531482909872
188.0,1.9303339613005206,4.798623533413115
189.0,1.9294448509440343,4.7997110013937885
190.0,1.928558125767385,4.800793918560607
191.0,1.9276737695785522,4.801872316298802
192.0,1.9267917663609473,4.802946225674548
193.0,1.9259121002709112,4.804015677439314
194.0,1.925034755635258,4.8050807020341395
195.0,1.9241597169488611,4.806141329593836
196.0,1.923286968872282,4.807197589951122
197.0,1.9224164962294412,4.808249512640685
198.0,1.9215482840053282,4.80929712690317
199.0,1.9206823173437528,4.8103404616891146
200.0,1.9198185815451354,4.811379545662803
201.0,1.9189570620643335,4.812414407206064
202.0,1.9180977445085086,4.813445074422007
203.0,1.9172406146350267,4.814471575138691
204.0,1.9163856583493974,4.815493936912734
205.0,1.9155328617032457,4.816512187032869
206.0,1.9146822108923198,4.81752635252343
207.0,1.9138336922545325,4.818536460147796
208.0,1.9129872922680347,4.819542536411766
209.0,1.912142997549322,4.820544607566884
210.0,1.9113007948513738,4.821542699613713
211.0,1.9104606710618213,4.82253683830505
212.0,1.9096226132011482,4.823527049149095
213.0,1.90878660842092,4.824513357412568
214.0,1.907952644002043,4.825495788123771
215.0,1.9071207073530516,4.82647436607561
216.0,1.9062907860084253,4.827449115828562
217.0,1.9054628676269305,4.828420061713597
218.0,1.9046369399899918,4.829387227835056
219.0,1.9038129910000887,4.830350638073481
220.0,1.9029910086791786,4.831310316088402
221.0,1.902170981167145,4.832266285321079
222.0,1.9013528967202715,4.833218568997207
223.0,1.9005367437097394,4.834167190129569
224.0,1.8997225106201492,4.835112171520656
225.0,1.8989101860480673,4.836053535765246
226.0,1.8980997587005939,4.836991305252939
227.0,1.897291217393955,4.837925502170655
228.0,1.8964845510521156,4.838856148505097
229.0,1.8956797487054162,4.839783266045173
230.0,1.894876799489229,4.840706876384382
231.0,1.8940756926426368,4.841627000923164
232.0,1.8932764175071304,4.842543660871213
233.0,1.8924789635253294,4.843456877249761
234.0,1.8916833202397196,4.84436667089382
235.0,1.8908894772914127,4.845273062454394
236.0,1.8900974244189228,4.846176072400662
237.0,1.8893071514569633,4.8470757210221205
238.0,1.8885186483352618,4.8479720284307
239.0,1.8877319050773933,4.848865014562849
240.0,1.8869469117996303,4.8497546991815845
241.0,1.8861636587098114,4.85064110187852
242.0,1.885382136106227,4.851524242075855
243.0,1.8846023343765212,4.852404139028338
244.0,1.8838242439966106,4.853280811825206
245.0,1.8830478555296195,4.854154279392088
246.0,1.8822731596248308,4.85502456049289
247.0,1.8815001470166521,4.855891673731641
248.0,1.880728808523599,4.856755637554325
249.0,1.8799591350472908,4.8576164702506786
250.0,1.8791911175714635,4.858474189955966
251.0,1.8784247471609958,4.859328814652726
252.0,1.8776600149609501,4.860180362172501
253.0,1.8768969121956278,4.861028850197528
254.0,1.8761354301676378,4.861874296262425
255.0,1.8753755602569786,4.862716717755834
256.0,1.8746172939201347,4.863556131922057
257.0,1.8738606226891845,4.864392555862656
258.0,1.8731055381709232,4.86522600653804
259.0,1.8723520320459963,4.8660565007690275
260.0,1.8716000960680468,4.8668840552383825
261.0,1.870849722062874,4.867708686492337
262.0,1.8701009019276047,4.868530410942087
263.0,1.8693536276298768,4.869349244865269
264.0,1.868607891207033,4.870165204407418
265.0,1.867863684765327,4.870978305583402
266.0,1.8671210004791405,4.871788564278843
267.0,1.8663798305902124,4.87259599625151
268.0,1.8656401674068765,4.873400617132703
269.0,1.8649020033033124,4.874202442428609
270.0,1.864165330718805,4.8750014875216445
271.0,1.8634301421570159,4.875797767671783
272.0,1.8626964301852627,4.876591298017857
273.0,1.8619641874338115,4.877382093578847
274.0,1.861233406595176,4.878170169255154
275.0,1.8605040804234287,4.878955539829853
276.0,1.8597762017335193,4.8797382199699335
277.0,1.859049763400605,4.880518224227517
278.0,1.8583247583593876,4.881295567041063
279.0,1.8576011796034615,4.882070262736558
280.0,1.8568790201846697,4.882842325528695
281.0,1.8561582732124677,4.883611769522021
282.0,1.8554389318532984,4.884378608712091
283.0,1.8547209893299728,4.885142856986589
284.0,1.8540044389210606,4.885904528126445
285.0,1.8532892739602886,4.886663635806932
286.0,1.8525754878359473,4.887420193598754
287.0,1.8518630739903053,4.888174214969114
288.0,1.8511520259190308,4.888925713282773
289.0,1.8504423371706227,4.889674701803092
290.0,1.849734001345847,4.890421193693066
291.0,1.849027012097182,4.891165202016335
292.0,1.8483213631282704,4.891906739738195
293.0,1.8476170481933794,4.8926458197265825
294.0,1.8469140610968657,4.89338245475306
295.0,1.8462123956926504,4.894116657493779
296.0,1.8455120458836987,4.894848440530435
297.0,1.8448130056215069,4.895577816351208
298.0,1.8441152689055964,4.896304797351698
299.0,1.843418829783014,4.897029395835839
300.0,1.8427236823478388,4.897751624016807
301.0,1.8420298207406944,4.89847149401792
302.0,1.8413372391482699,4.899189017873519
303.0,1.840645931802844,4.899904207529846
304.0,1.8399558929818176,4.900617074845902
305.0,1.8392671170072503,4.901327631594305
306.0,1.8385795982454052,4.902035889462129
307.0,1.837893331106297,4.902741860051739
308.0,1.837208310043248,4.903445554881607
309.0,1.8365245295524473,4.904146985387131
310.0,1.8358419841725184,4.904846162921432
311.0,1.8351606684840902,4.905543098756148
312.0,1.8344805771093735,4.906237804082217
313.0,1.8338017047117439,4.906930290010647
314.0,1.8331240459953286,4.907620567573284
315.0,1.8324475957045998,4.908308647723566
316.0,1.8317723486239716,4.9089945413372655
