t,H,L
0.0,2.18,4.44
1.0,2.1784061461505893,4.443554404216166
2.0,2.1768294254992036,4.447078574637249
3.0,2.1752694961870063,4.450573058544111
4.0,2.173726026213798,4.4540383882308525
5.0,2.1721986930648454,4.457475081550398
6.0,2.170687183355138,4.460883642435386
7.0,2.1691911924901106,4.464264561395693
8.0,2.167710424341918,4.467618315993837
9.0,2.1662445909404298,4.470945371299444
10.0,2.1647934121781387,4.474246180323863
11.0,2.1633566155282473,4.477521184435978
12.0,2.1619339357752327,4.480770813760175
13.0,2.1605251147572306,4.483995487557393
14.0,2.159129901119628,4.487195614590091
15.0,2.1577480500792827,4.490371593471973
16.0,2.156379323198829,4.493523813003208
17.0,2.155023488170552,4.496652652491866
18.0,2.153680318609354,4.4997584820622585
19.0,2.1523495938543578,4.502841662950801
20.0,2.151031098778716,4.505902547790019
21.0,2.149724623607228,4.508941480881255
22.0,2.1484299637413815,4.511958798456607
23.0,2.1471469195914583,4.5149548289306285
24.0,2.14587529641537,4.517929893142234
25.0,2.1446149041638973,4.520884304587298
26.0,2.143365557332039,4.523818369642357
27.0,2.142127074816172,4.52673238777982
28.0,2.1408992797767668,4.529626651775081
29.0,2.1396819995063905,4.532501447905898
30.0,2.138475065302761,4.535357056144364
31.0,2.1372783123466212,4.538193750341831
32.0,2.1360915795842152,4.541011798407065
33.0,2.134914709614163,4.543811462477949
34.0,2.1337475485785338,4.546592999087001
35.0,2.132589946057937,4.5493566593209795
36.0,2.131441754970454,4.552102688974828
37.0,2.130302831474238,4.554831328700194
38.0,2.1291730348736344,4.557542814148755
39.0,2.1280522275286606,4.560237376110572
40.0,2.126940274767707,4.562915240647662
41.0,2.1258370448033226,4.5655766292230116
42.0,2.124742408650954,4.568221758825189
43.0,2.1236562400505177,4.570850842088757
44.0,2.122578415390685,4.573464087410643
45.0,2.1215088136357694,4.576061699062634
46.0,2.1204473162551114,4.578643877300148
47.0,2.119393807154855,4.581210818467432
48.0,2.118348172612027,4.583762715099325
49.0,2.1173103012108183,4.586299756019714
50.0,2.1162800837809854,4.588822126436829
51.0,2.115257413338286,4.591330008035479
52.0,2.1142421850268707,4.5938235790663535
53.0,2.11323429606355,4.596303014432508
54.0,2.1122336456838706,4.59876848577313
55.0,2.1112401350899246,4.60122016154469
56.0,2.1102536673998302,4.603658207099581
57.0,2.109274147598817,4.606082784762331
58.0,2.108301482491857,4.608494053903484
59.0,2.1073355806577845,4.610892171011229
60.0,2.1063763524048436,4.613277289760871
61.0,2.105423709727619,4.615649561082208
62.0,2.104477566265291,4.61800913322489
63.0,2.10353783726117,4.62035615182185
64.0,2.102604439523465,4.622690759950855
65.0,2.1016772913872392,4.6250130981942466
66.0,2.1007563126775075,4.627323304696951
67.0,2.0998414246734427,4.629621515222795
68.0,2.098932550073643,4.631907863209209
69.0,2.098029612962428,4.634182479820352
70.0,2.097132538777123,4.6364454939987345
71.0,2.0962412542763045,4.638697032515368
72.0,2.0953556875089623,4.640937220018509
73.0,2.0944757677845574,4.643166179081037
74.0,2.093601425643938,4.64538403024651
75.0,2.0927325928310863,4.647590892073949
76.0,2.091869202265669,4.6497868811813845
77.0,2.0910111880163633,4.651972112288217
78.0,2.0901584852749306,4.654146698256417
79.0,2.0893110303310167,4.656310750130617
80.0,2.0884687605476504,4.658464377177112
81.0,2.0876316143374214,4.660607686921832
82.0,2.08679953113931,4.662740785187286
83.0,2.0859724513961537,4.6648637761285405
84.0,2.0851503165327236,4.666976762268239
85.0,2.0843330689343955,4.669079844530712
86.0,2.0835206519263942,4.671173122275194
87.0,2.082713009753593,4.673256693328177
88.0,2.081910087560852,4.6753306540149335
89.0,2.081111831373876,4.677395099190225
90.0,2.080318188080576,4.679450122268232
91.0,2.0795291054129237,4.681495815251721
92.0,2.0787445319292717,4.683532268760475
93.0,2.077964416997139,4.685559572059004
94.0,2.077188710776438,4.687577813083575
95.0,2.0764173642031314,4.689587078468552
96.0,2.0756503289733086,4.691587453572103
97.0,2.0748875575276657,4.693579022501253
98.0,2.0741290030363784,4.695561868136343
99.0,2.073374619384356,4.697536072154875
100.0,2.072624361156864,4.699501715054792
101.0,2.071878183625506,4.701458876177183
102.0,2.071136042734551,4.703407633728454
103.0,2.0703978950876025,4.705348064801961
104.0,2.0696636979345904,4.70728024539913
105.0,2.0689334091590834,4.709204250450078
106.0,2.0682069872659095,4.711120153833747
107.0,2.0674843913690757,4.713028028397562
108.0,2.0667655811799803,4.714927945976639
109.0,2.066050516995906,4.716819977412534
110.0,2.0653391596887882,4.718704192571572
111.0,2.064631470694252,4.72058066036274
112.0,2.063927412000904,4.7224494487551825
113.0,2.0632269461398827,4.724310624795289
114.0,2.0625300361746466,4.7261642546233995
115.0,2.061836645691005,4.728010403490125
116.0,2.061146738787381,4.7298491357723105
117.0,2.0604602800652936,4.731680514988632
118.0,2.0597772346200665,4.733504603814851
119.0,2.059097568031744,4.735321464098729
120.0,2.0584212463562155,4.737131156874608
121.0,2.057748236116544,4.73893374237768
122.0,2.0570785042944846,4.740729280057933
123.0,2.0564120183222014,4.742517828593804
124.0,2.0557487460741637,4.744299445905523
125.0,2.0550886558592256,4.746074189168183
126.0,2.054431716412881,4.747842114824514
127.0,2.0537778968896903,4.749603278597395
128.0,2.0531271668558726,4.751357735502097
129.0,2.052479496282061,4.7531055398582565
130.0,2.051834855536217,4.754846745301609
131.0,2.0511932153766943,4.756581404795466
132.0,2.0505545469454605,4.75830957064196
133.0,2.0499188217614566,4.760031294493043
134.0,2.0492860117141047,4.7617466273612665
135.0,2.048656089056952,4.763455619630336
136.0,2.0480290264014482,4.765158321065442
137.0,2.0474047967108606,4.76685478082339
138.0,2.04678337329431,4.768545047462511
139.0,2.046164729800938,4.770229168952379
140.0,2.045548840214192,4.771907192683329
141.0,2.044935678846233,4.773579165475783
142.0,2.044325220332457,4.775245133589384
143.0,2.0437174396261284,4.776905142731956
144.0,2.043112311993129,4.778559238068278
145.0,2.042509813006808,4.780207464228686
146.0,2.041909918542942,4.781849865317502
147.0,2.0413126047747965,4.783486484921308
148.0,2.0407178481682844,4.78511736611704
149.0,2.040125625477227,4.786742551479937
150.0,2.0395359137387064,4.7883620830913305
151.0,2.0389486902685117,4.789976002546286
152.0,2.0383639326566785,4.791584350961092
153.0,2.0377816187631135,4.793187168980605
154.0,2.0372017267133065,4.7947844967854625
155.0,2.0366242348941292,4.796376374099145
156.0,2.036049121949713,4.797962840194916
157.0,2.035476366777411,4.799543933902621
158.0,2.034905948523835,4.801119693615363
159.0,2.0343378465809723,4.8026901572960545
160.0,2.0337720405823747,4.804255362483839
161.0,2.033208510399425,4.805815346300401
162.0,2.0326472361376706,4.8073701454561535
163.0,2.0320881981332306,4.808919796256314
164.0,2.031531376949269,4.810464334606864
165.0,2.0309767533725354,4.812003796020407
166.0,2.0304243084099727,4.813538215621908
167.0,2.029874023285386,4.815067628154341
168.0,2.029325879436177,4.816592067984221
169.0,2.028779858510134,4.818111569107045
170.0,2.028235942362291,4.819626165152632
171.0,2.027694113051834,4.8211358893903675
172.0,2.027154352839073,4.82264077473435
173.0,2.0266166441824662,4.824140853748452
174.0,2.0260809697356983,4.825636158651288
175.0,2.025547312344814,4.827126721321092
176.0,2.025015655045403,4.828612573300515
177.0,2.0244859810598355,4.830093745801331
178.0,2.0239582737945483,4.831570269709064
179.0,2.02343251683738,4.833042175587537
180.0,2.0229086939549537,4.834509493683337
181.0,2.022386789090106,4.835972253930202
182.0,2.0218667863593636,4.837430485953341
183.0,2.021348670050462,4.838884219073666
184.0,2.020832424619911,4.840333482311963
185.0,2.0203180346906024,4.841778304392986
186.0,2.0198054850494573,4.843218713749481
187.0,2.019294760645118,4.844654738526145
188.0,2.0187858465856787,4.846086406583516
189.0,2.018278728136455,4.847513745501794
190.0,2.0177733907177946,4.848936782584606
191.0,2.0172698199029218,4.8503555448627
192.0,2.016768001415823,4.851770059097581
193.0,2.016267921129167,4.8531803517850856
194.0,2.0157695650622607,4.854586449158897
195.0,2.0152729193790386,4.855988377194004
196.0,2.0147779703860897,4.8573861616101
197.0,2.0142847045307146,4.85877982787493
198.0,2.0137931083990166,4.860169401207574
199.0,2.013303168714025,4.861554906581692
200.0,2.012814872333851,4.862936368728702
201.0,2.012328206249871,4.864313812140913
202.0,2.011843157584945,4.865687261074606
203.0,2.011359713591659,4.867056739553067
204.0,2.0108778616506036,4.868422271369569
205.0,2.010397589268672,4.869783880090309
206.0,2.0099188840773947,4.871141589057294
207.0,2.009441733831297,4.872495421391187
208.0,2.008966126406282,4.8738453999941
209.0,2.0084920497980447,4.875191547552354
210.0,2.008019492120507,4.876533886539182
211.0,2.007548441604281,4.877872439217403
212.0,2.007078886595157,4.879207227642042
213.0,2.0066108155526137,4.880538273662921
214.0,2.0061442170483543,4.881865598927199
215.0,2.005679079764865,4.883189224881879
216.0,2.005215392493998,4.884509172776276
217.0,2.004753144135574,4.885825463664445
218.0,2.00429232369601,4.88713811840757
219.0,2.0038329202869662,4.888447157676322
220.0,2.003374923124017,4.889752601953176
221.0,2.00291832152534,4.891054471534696
