t,H,L
0.0,2.18,4.44
1.0,2.178836362291655,4.442676958105358
2.0,2.177682302508274,4.445337566137981
3.0,2.1765376836434034,4.447982042021439
4.0,2.175402371587622,4.450610599314358
5.0,2.174276235047963,4.453223447326992
6.0,2.1731591454701062,4.455820791233905
7.0,2.172050976963228,4.458402832182937
8.0,2.1709516062274044,4.460969767400582
9.0,2.1698609124834563,4.463521790293933
10.0,2.1687787774051475,4.466059090549319
11.0,2.1677050850536372,4.468581854227772
12.0,2.1666397218140987,4.471090263857432
13.0,2.165582576334419,4.473584498523017
14.0,2.1645335394658987,4.476064733952474
15.0,2.163492504205875,4.4785311426009
16.0,2.162459365642192,4.480983893731858
17.0,2.161434020899449,4.483423153496158
18.0,2.1604163690869567,4.485849085008234
19.0,2.1594063112483424,4.488261848420161
20.0,2.158403750312735,4.490661600993438
21.0,2.157408591047475,4.4930484971685924
22.0,2.1564207400122943,4.495422688632695
23.0,2.1554401055149053,4.497784324384867
24.0,2.1544665975679536,4.500133550799829
25.0,2.1535001278472845,4.502470511689587
26.0,2.1525406096514694,4.504795348363308
27.0,2.151587957862555,4.50710819968544
28.0,2.150642088907986,4.509409202132166
29.0,2.1497029207236578,4.5116984898462125
30.0,2.1487703727180696,4.513976194690104
31.0,2.1478443657375252,4.51624244629789
32.0,2.1469248220323554,4.518497372125417
33.0,2.14601166522412,4.520741097499172
34.0,2.145104820273761,4.52297374566378
35.0,2.1442042134506685,4.525195437828154
36.0,2.1433097723026338,4.527406293210391
37.0,2.1424214256266545,4.529606429081418
38.0,2.141539103440566,4.531795960807448
39.0,2.1406627369554703,4.5339750018912826
40.0,2.139792258548935,4.536143664012496
41.0,2.1389276017389403,4.538302057066532
42.0,2.138068701158542,4.540450289202763
43.0,2.1372154925312357,4.54258846686153
44.0,2.1363679126469926,4.544716694810204
45.0,2.1355258993389477,4.546835076178296
46.0,2.1346893914607192,4.548943712491647
47.0,2.1338583288643402,4.551042703705731
48.0,2.1330326523787777,4.553132148238087
49.0,2.132212303789027,4.555212142999925
50.0,2.1313972258157587,4.557282783426909
51.0,2.1305873620955045,4.559344163509167
52.0,2.1297826571613583,4.5613963758205305
53.0,2.1289830564241847,4.563439511547036
54.0,2.1281885061543155,4.565473660514714
55.0,2.1273989534637154,4.567498911216684
56.0,2.1266143462886093,4.569515350839568
57.0,2.1258346333725537,4.57152306528926
58.0,2.1250597642499356,4.573522139216053
59.0,2.1242896892298937,4.575512656039156
60.0,2.12352435938064,4.577494697970607
61.0,2.1227637265141794,4.579468346038615
62.0,2.122007743171405,4.581433680110328
63.0,2.1212563626075664,4.583390778914062
64.0,2.1205095387780992,4.585339720060995
65.0,2.119767226324796,4.587280580066346
66.0,2.1190293805623233,4.58921343437005
67.0,2.118295957465061,4.591138357356951
68.0,2.1175669136542634,4.593055422376515
69.0,2.1168422063855306,4.594964701762087
70.0,2.116121793536577,4.596866266849702
71.0,2.115405633595296,4.598760187996458
72.0,2.1146936856481062,4.600646534598464
73.0,2.1139859093685733,4.602525375108384
74.0,2.1132822650063017,4.6043967770525756
75.0,2.112582713376084,4.606260807047838
76.0,2.111887215847308,4.608117530817791
77.0,2.1111957343336023,4.6099670132088715
78.0,2.1105082312827306,4.611809318205987
79.0,2.109824669666712,4.613644508947807
80.0,2.1091450129721694,4.615472647741727
81.0,2.1084692251909,4.617293796078492
82.0,2.107797270810657,4.6191080146465024
83.0,2.1071291148061424,4.62091536334581
84.0,2.1064647226302,4.622715901301806
85.0,2.105804060205209,4.624509686878609
86.0,2.1051470939146655,4.626296777692169
87.0,2.104493790594956,4.62807723062309
88.0,2.103844117527308,4.62985110182917
89.0,2.1031980424299213,4.631618446757686
90.0,2.1025555334502704,4.633379320157407
91.0,2.101916559157575,4.635133776090358
92.0,2.1012810885354343,4.636881867943339
93.0,2.1006490909746214,4.638623648439197
94.0,2.1000205362660322,4.640359169647867
95.0,2.099395394593786,4.642088482997182
96.0,2.0987736365284735,4.6438116392834585
97.0,2.0981552330205484,4.645528688681865
98.0,2.09754015539386,4.647239680756579
99.0,2.0969283753393206,4.648944664470735
100.0,2.096319864908708,4.650643688196167
101.0,2.0957145965085955,4.652336799722962
102.0,2.095112542894411,4.65402404626881
103.0,2.094513677164618,4.655705474488176
104.0,2.093917972755015,4.657381130481282
105.0,2.093325403433158,4.65905105980291
106.0,2.092735943292891,4.660715307471037
107.0,2.0921495667489927,4.662373917975287
108.0,2.0915662485319286,4.664026935285233
109.0,2.090985963682714,4.665674402858517
110.0,2.0904086875478756,4.66731636364883
111.0,2.0898343957745182,4.668952860113722
112.0,2.0892630643054892,4.670583934222269
113.0,2.0886946693746387,4.672209627462591
114.0,2.0881291875021732,4.67382998084922
115.0,2.087566595490105,4.675445034930333
116.0,2.0870068704177864,4.677054829794846
117.0,2.086449989637535,4.678659405079369
118.0,2.0858959307703437,4.680258799975032
119.0,2.0853446717016735,4.681853053234187
120.0,2.084796190577329,4.683442203176974
121.0,2.084250465799413,4.685026287697771
122.0,2.083707476022361,4.686605344271523
123.0,2.0831672001490475,4.688179409959953
124.0,2.0826296173269716,4.689748521417655
125.0,2.0820947069445124,4.691312714898078
126.0,2.0815624486272557,4.692872026259404
127.0,2.0810328222343917,4.6944264909703035
128.0,2.080505807855179,4.6959761441156065
129.0,2.079981385805475,4.6975210204018545
130.0,2.0794595366243334,4.6990611541627585
131.0,2.078940241070661,4.700596579364559
132.0,2.078423480119941,4.702127329611287
133.0,2.0779092349610138,4.703653438149931
134.0,2.077397486992919,4.705174937875516
135.0,2.0768882178217933,4.706691861336089
136.0,2.0763814092578285,4.708204240737612
137.0,2.0758770433122806,4.7097121079487785
138.0,2.075375102194538,4.711215494505735
139.0,2.0748755683092375,4.71271443161673
140.0,2.074378424253438,4.714208950166672
141.0,2.0738836528138407,4.715699080721612
142.0,2.073391236964061,4.717184853533155
143.0,2.072901159861947,4.718666298542781
144.0,2.072413404846951,4.720143445386108
145.0,2.0719279554375403,4.721616323397065
146.0,2.0714447953286586,4.72308496161201
147.0,2.0709639083892313,4.724549388773766
148.0,2.0704852786597145,4.726009633335594
149.0,2.0700088903496847,4.727465723465097
150.0,2.069534727835474,4.7289176870480585
151.0,2.0690627756578435,4.730365551692216
152.0,2.068593018519698,4.731809344730974
