t,H,L
0.0,2.18,4.44
1.0,2.1784061461505893,4.443554404216166
2.0,2.1768296811002936,4.4470785760830776
3.0,2.1752702614097936,4.4505730657140266
4.0,2.1737275535568976,4.4540384081440925
5.0,2.172201233560654,4.457475123879739
6.0,2.170690986623039,4.460883719423497
7.0,2.1691965067872463,4.4642646877750805
8.0,2.167717496611674,4.467618508910203
9.0,2.1662536668587418,4.4709456502382645
10.0,2.1648047361977447,4.474246567040039
11.0,2.163370430920993,4.47752170288639
12.0,2.16195048467253,4.480771490039005
13.0,2.1605446381887687,4.483996349834058
14.0,2.1591526390504234,4.487196693049688
15.0,2.1577742414451575,4.490372920258083
16.0,2.156409205940392,4.493525422162959
17.0,2.155057299265761,4.496654579923147
18.0,2.15371829410473,4.499760765462976
19.0,2.152391968894917,4.502844341770082
20.0,2.1510781076366827,4.5059056631812755
21.0,2.1497764997095867,4.508945075657012
22.0,2.148486939696325,4.511962917045026
23.0,2.147209227213786,4.514959517333634
24.0,2.1459431667508837,4.517935198895184
25.0,2.1446885675128438,4.520890276720121
26.0,2.1434452432716404,4.523825058642089
27.0,2.142213012222293,4.526739845554486
28.0,2.140991696844751,4.529634931618856
29.0,2.1397811237711086,4.532510604465493
30.0,2.1385811236579046,4.535367145386586
31.0,2.1373915310632765,4.538204829522264
32.0,2.136212184328749,4.541023926039825
33.0,2.1350429254654513,4.543824698306471
34.0,2.133883600044562,4.546607404055807
35.0,2.1327340570918,4.549372295548395
36.0,2.1315941489857773,4.552119619726597
37.0,2.130463731360055,4.554849618363975
38.0,2.1293426630087313,4.557562528209438
39.0,2.12823080579542,4.560258581126399
40.0,2.1271280245654673,4.562938004227119
41.0,2.126034187061274,4.5656010200024495
42.0,2.1249491638405917,4.568247846447157
43.0,2.1238728281976704,4.570878697181015
44.0,2.122805056087133,4.573493781565826
45.0,2.121745726050474,4.576093304818548
46.0,2.120694719145066,4.578677468120666
47.0,2.1196519188755785,4.581246468723969
48.0,2.1186172111277095,4.583800500052877
49.0,2.1175904841041344,4.586339751803435
50.0,2.116571628262589,4.58886441003912
51.0,2.1155605362559977,4.591374657283578
52.0,2.11455710287457,4.59387067261041
53.0,2.113561224989786,4.596352631730113
54.0,2.1125728015001966,4.598820707074298
55.0,2.111591733278973,4.601275067877265
56.0,2.110617923123134,4.603715880255061
57.0,2.1096512757043895,4.606143307282091
58.0,2.108691697521537,4.60855750906538
59.0,2.1077390968543552,4.610958642816584
60.0,2.106793383718938,4.613346862921809
61.0,2.1058544698244135,4.615722321009337
62.0,2.104922268530998,4.618085166015327
63.0,2.1039966948093394,4.620435544247559
64.0,2.1030776652010954,4.6227735994473
65.0,2.10216509778071,4.625099472849352
66.0,2.1012589121183387,4.627413303240343
67.0,2.100359029243885,4.629715227015334
68.0,2.099465371612108,4.632005378232787
69.0,2.0985778630687593,4.63428388866796
70.0,2.0976964288177213,4.636550887864776
71.0,2.0968209953891024,4.638806503186229
72.0,2.095951490608262,4.641050859863359
73.0,2.0950878435657305,4.643284081042863
74.0,2.094229984587997,4.6455062878333715
75.0,2.0933778452091265,4.647717599350456
76.0,2.0925313581431904,4.6499181327603765
77.0,2.0916904572574717,4.652108003322651
78.0,2.0908550775464274,4.654287324431449
79.0,2.090025155106376,4.656456207655872
80.0,2.08920062711089,4.658614762779147
81.0,2.088381431786869,4.6607630978367665
82.0,2.087567508391272,4.662901319153614
83.0,2.0867587971884856,4.665029531380108
84.0,2.0859552394283054,4.6671478375273825
85.0,2.0851567773245185,4.669256339001562
86.0,2.084363354034059,4.671355135637124
87.0,2.083574913636723,4.673444325729405
88.0,2.082791401115424,4.6755240060662695
89.0,2.0820127623369697,4.677594271958958
90.0,2.081238944033351,4.67965521727215
91.0,2.0804698937835138,4.681706934453269
92.0,2.0797055599956145,4.683749514561035
93.0,2.07894589188973,4.685783047293309
94.0,2.0781908394810182,4.687807621014231
95.0,2.077440353563309,4.689823322780694
96.0,2.0766943856931155,4.6918302383681505
97.0,2.075952888174053,4.693828452295787
98.0,2.0752158140416506,4.695818047851087
99.0,2.074483117048547,4.697799107113782
100.0,2.0737547516500565,4.699771710979231
101.0,2.073030672990094,4.7017359391812334
102.0,2.0723108368874525,4.703691870314287
103.0,2.0715951998224162,4.705639581855323
104.0,2.0708837189237044,4.70757915018491
105.0,2.070176351955733,4.709510650607971
106.0,2.06947305730619,4.7114341573740015
107.0,2.0687737939739064,4.7133497436968135
108.0,2.0680785215570245,4.715257481773821
109.0,2.067387200241448,4.7171574428048775
110.0,2.0666997907895674,4.719049697010673
111.0,2.0660162545292544,4.720934313650713
112.0,2.065336553343117,4.722811361040881
113.0,2.0646606496580064,4.724680906570601
114.0,2.063988506434771,4.726543016719612
115.0,2.06332008715825,4.728397757074359
116.0,2.0626553558274963,4.730245192344022
117.0,2.0619942769462303,4.732085386376177
118.0,2.0613368155135094,4.733918402172115
119.0,2.0606829370146142,4.735744301901818
120.0,2.0600326074121393,4.737563146918601
121.0,2.0593857931372894,4.739374997773437
122.0,2.058742461081372,4.741179914228968
123.0,2.0581025785874787,4.742977955273203
124.0,2.057466113442357,4.744769179132928
125.0,2.05683303386846,4.746553643286818
126.0,2.0562033085161753,4.748331404478274
127.0,2.0555769064562224,4.750102518727981
128.0,2.054953797172222,4.751867041346195
129.0,2.0543339505534246,4.753625026944775
130.0,2.0537173368876,4.7553765294489585
131.0,2.053103926854079,4.757121602108886
132.0,2.052493691516949,4.758860297510887
133.0,2.0518866023183935,4.76059266758853
134.0,2.051282631072175,4.762318763633439
135.0,2.050681749957259,4.764038636305892
136.0,2.0500839315115713,4.765752335645197
137.0,2.0494891486258893,4.767459911079855
138.0,2.0488973745378614,4.769161411437514
139.0,2.048308582826152,4.770856884954727
140.0,2.047722747404709,4.772546379286502
141.0,2.0471398425171534,4.774229941515667
142.0,2.04655984273128,4.775907618162044
143.0,2.0459827229336773,4.777579455191437
144.0,2.0454084583244545,4.779245498024442
145.0,2.0448370244120784,4.780905791545086
146.0,2.0442683970083153,4.782560380109289
147.0,2.043702552223276,4.784209307553163
148.0,2.0431394664605604,4.785852617201145
149.0,2.0425791164125013,4.787490351873972
150.0,2.0420214790555034,4.789122553896505
151.0,2.041466531645474,4.790749265105395
152.0,2.0409142517133483,4.792370526856602
153.0,2.0403646170607,4.793986380032771
154.0,2.0398176057554416,4.795596865050469
155.0,2.0392731961276067,4.797202021867277
156.0,2.0387313667652185,4.798801889988754
157.0,2.038192096510235,4.800396508475262
158.0,2.0376553644545767,4.80198591594867
159.0,2.037121149936231,4.803570150598924
160.0,2.036589432535429,4.8051492501905
161.0,2.0360601920709,4.806723252068736
162.0,2.0355334085961942,4.808292193166039
163.0,2.0350090623960786,4.809856110007988
164.0,2.0344871339829997,4.811415038719315
165.0,2.0339676040936143,4.812969015029782
166.0,2.0334504536853855,4.814518074279945
167.0,2.0329356639332423,4.816062251426823
168.0,2.0324232162263036,4.8176015810494475
169.0,2.031913092164661,4.819136097354328
170.0,2.0314052735562242,4.820665834180807
171.0,2.030899742413622,4.822190825006327
172.0,2.030396480951163,4.823711102951597
173.0,2.0298954715818525,4.825226700785668
174.0,2.029396696914461,4.826737650930924
175.0,2.02890013975065,4.828243985467974
176.0,2.028405783082148,4.829745736140469
177.0,2.027913610087978,4.831242934359825
178.0,2.027423604131738,4.832735611209865
179.0,2.026935748758925,4.83422379745139
180.0,2.0264500276943114,4.835707523526652
181.0,2.025966424839368,4.837186819563765
182.0,2.0254849242697315,4.838661715381036
183.0,2.025005510232717,4.840132240491215
184.0,2.0245281671448776,4.841598424105677
185.0,2.024052879589602,4.843060295138536
186.0,2.023579632314758,4.844517882210683
187.0,2.0231084102303782,4.845971213653754
188.0,2.0226391984063814,4.847420317514038
189.0,2.0221719820703394,4.848865221556315
190.0,2.0217067466052785,4.850305953267627
191.0,2.02124347754752,4.851742539860992
192.0,2.020782160584559,4.853175008279049
193.0,2.020322781552979,4.854603385197645
194.0,2.0198653264364013,4.856027697029369
195.0,2.0194097813634713,4.857447969927016
196.0,2.018956132605877,4.858864229786999
197.0,2.0185043665764026,4.860276502252711
198.0,2.018054469827014,4.861684812717823
199.0,2.017606429046977,4.863089186329532
200.0,2.017160231061007,4.864489647991753
201.0,2.01671586282745,4.86588622236827
202.0,2.016273311436494,4.86727893388582
203.0,2.015832564108408,4.868667806737139
204.0,2.015393608191814,4.870052864883957
205.0,2.014956431161983,4.8714341320599415
206.0,2.014521020619165,4.872811631773597
207.0,2.014087364286938,4.874185387311119
208.0,2.013655450010593,4.8755554217391985
209.0,2.01322526575554,4.876921757907788
210.0,2.012796799605739,4.878284418452822
211.0,2.0123700397621613,4.879643425798888
212.0,2.011944974541271,4.88099880216187
213.0,2.011521592373533,4.882350569551536
214.0,2.0110998818019454,4.883698749774095
215.0,2.010679831480594,4.885043364434709
216.0,2.0102614301732293,4.886384434939971
217.0,2.0098446667518695,4.88772198250034
218.0,2.009429530195422,4.889056028132541
219.0,2.0090160095883287,4.89038659266193
220.0,2.0086040941192302,4.891713696724818
221.0,2.0081937730796553,4.893037360770764
