t,H,L
0.0,2.18,4.44
1.0,2.178986001871531,4.4426776009403515
2.0,2.17798056361045,4.445340120849856
3.0,2.176983563966068,4.4479877525366085
4.0,2.1759948841580856,4.450620685080061
5.0,2.1750144078103935,4.453239103927035
6.0,2.174042020887066,4.4558431909846465
7.0,2.1730776116304624,4.4584331247102655
8.0,2.1721210705013543,4.461009080198633
9.0,2.1711722901209973,4.46357122926623
10.0,2.1702311652150765,4.466119740533005
11.0,2.169297592559449,4.46865477950157
12.0,2.1683714709276165,4.471176508633943
13.0,2.1674527010398656,4.473685087425936
14.0,2.1665411855140078,4.476180672479278
15.0,2.1656368288176613,4.478663417571544
16.0,2.1647395372220197,4.481133473723984
17.0,2.163849218757049,4.483590989267321
18.0,2.1629657831680604,4.486036109905579
19.0,2.1620891418736146,4.48846897877804
20.0,2.1612192079246975,4.490889736519363
21.0,2.160355895965135,4.493298521317955
22.0,2.159499122193192,4.495695468972641
23.0,2.158648804324318,4.498080712947698
24.0,2.157804861555,4.500454384426309
25.0,2.156967214527675,4.502816612362489
26.0,2.15613578529668,4.505167523531536
27.0,2.1553104972951873,4.50750724257906
28.0,2.1544912753031022,4.509835892068636
29.0,2.1536780454158846,4.5121535925281195
30.0,2.1528707350142637,4.51446046249469
31.0,2.152069272734817,4.516756618558639
32.0,2.1512735884413807,4.519042175405963
33.0,2.15048361319727,4.521317245859793
34.0,2.149699279238274,4.523581940920694
35.0,2.1489205199464028,4.525836369805889
36.0,2.1481472698243675,4.528080639987414
37.0,2.147379464470759,4.530314857229271
38.0,2.1466170405559084,4.532539125623578
39.0,2.1458599357984074,4.534753547625778
40.0,2.1451080889422633,4.536958224088912
41.0,2.144361439734673,4.539153254297007
42.0,2.1436199289043913,4.541338735997585
43.0,2.142883498140679,4.54351476543334
44.0,2.1421520900728073,4.545681437372994
45.0,2.1414256482501077,4.54783884514137
46.0,2.140704117122542,4.549987080648691
47.0,2.139987442021783,4.552126234419146
48.0,2.1392755691427876,4.554256395618728
49.0,2.1385684455258462,4.556377652082379
50.0,2.1378660190390937,4.558490090340457
51.0,2.13716823836147,4.560593795644546
52.0,2.1364750529661145,4.562688851992627
53.0,2.13578641310418,4.564775342153635
