t,H,L
0.0,2.18,4.44
1.0,2.178986001871531,4.4426776009403515
2.0,2.177980486871086,4.44534012052185
3.0,2.176983334109453,4.447987750905843
4.0,2.1759944251585392,4.450620680539447
5.0,2.1750136439854786,4.453239094251114
6.0,2.174040876888917,4.455843173343126
7.0,2.1730760124373942,4.458433095681141
8.0,2.172118941409745,4.461009035780909
9.0,2.1711695567374285,4.463571164892261
10.0,2.170227753448724,4.466119651080468
11.0,2.169293428614715,4.468654659305074
12.0,2.168366481296994,4.471176351496305
13.0,2.167446812497024,4.473684886629117
14.0,2.1665343251070937,4.476180420795006
15.0,2.165628923862807,4.47866310727163
16.0,2.16473051529705,4.481133096590337
17.0,2.1638390076953784,4.48359053660168
18.0,2.1629543110527774,4.486035572538969
19.0,2.162076337031741,4.4884683470799605
20.0,2.1612049989216233,4.490889000406718
21.0,2.1603402115992143,4.493297670263738
22.0,2.159481891490502,4.495694492014376
23.0,2.1586299565335696,4.498079598695654
24.0,2.1577843261425977,4.500453121071482
25.0,2.1569449211729212,4.502815187684376
26.0,2.1561116638871156,4.505165924905694
27.0,2.1552844779220672,4.507505456984468
28.0,2.1544632882569994,4.509833906094853
29.0,2.1536480211824185,4.512151392382263
30.0,2.152838604269949,4.514458034008224
31.0,2.152034966343029,4.516753947193989
32.0,2.151237037448433,4.519039246262954
33.0,2.1504447488285994,4.5213140436819295
34.0,2.149658032894732,4.523578450101273
35.0,2.1488768232006485,4.5258325743939585
36.0,2.1481010544173587,4.528076523693584
37.0,2.147330662308336,4.530310403431371
38.0,2.1465655837054727,4.532534317372183
39.0,2.145805756485687,4.5347483676495886
40.0,2.1450511195481665,4.536952654800008
41.0,2.1443016127922223,4.5391472777959665
42.0,2.143557177095741,4.541332334078482
43.0,2.1428177542942084,4.543507919588619
44.0,2.1420832871602915,4.545674128798232
45.0,2.1413537193839596,4.547831054739914
46.0,2.1406289955531266,4.549978789036199
47.0,2.1399090611348015,4.552117421928006
48.0,2.1391938624567257,4.554247042302384
49.0,2.1384833466894886,4.55636773771955
50.0,2.1377774618291,4.558479594439261
51.0,2.137076156680013,4.560582697446524
52.0,2.136379380838575,4.56267713047668
53.0,2.1356870846769027,4.5647629760398685
