t,H,L
0.0,2.18,4.44
1.0,2.178986001871531,4.4426776009403515
2.0,2.177980640349814,4.445340121177862
3.0,2.1769837938226826,4.447987754167374
4.0,2.1759953431576298,4.450620689620678
5.0,2.1750151716353003,4.453239113602968
6.0,2.1740431648851937,4.4558432086262
7.0,2.173079210823481,4.458433153739467
8.0,2.1721231995928627,4.4610091246165124
9.0,2.1711750235043796,4.463571293640485
10.0,2.170234576981107,4.466119829986037
11.0,2.1693017565036565,4.468654899698875
12.0,2.1683764605574174,4.4711766657728464
13.0,2.167458589581473,4.47368528822466
14.0,2.166548045919124,4.476180924166324
15.0,2.165644733769969,4.478663727875391
16.0,2.164748559143468,4.481133850863077
17.0,2.1638594298139493,4.483591441940344
18.0,2.1629772552769997,4.486036647282017
19.0,2.162101946707187,4.48846961048899
20.0,2.1612334169170677,4.490890472648618
21.0,2.1603715803174324,4.493299372393329
22.0,2.159516352878748,4.4956964459575355
23.0,2.1586676520937482,4.498081827232903
24.0,2.157825396941136,4.500455647822024
25.0,2.1569895078503567,4.502818037090566
26.0,2.1561599066674058,4.505169122217928
27.0,2.1553365166216327,4.507509028246473
28.0,2.1545192622935088,4.509837878129378
29.0,2.1537080695833235,4.51215579277714
30.0,2.1529028656807805,4.514462891102799
31.0,2.152103579035458,4.516759290065907
32.0,2.15131013932811,4.519045104715292
33.0,2.150522477442774,4.521320448230651
34.0,2.1497405254396624,4.523585431963017
35.0,2.1489642165288116,4.52584016547413
36.0,2.148193485044458,4.528084756574751
37.0,2.1474282664201247,4.530319311361954
38.0,2.1466684971643906,4.5325439342554255
39.0,2.14591411483732,4.534758728032802
40.0,2.1451650580275334,4.536963793864086
41.0,2.1444212663298967,4.539159231345153
42.0,2.14368268032381,4.541345138530394
43.0,2.142949241552076,4.543521611964508
44.0,2.1422208925003305,4.545688746713479
45.0,2.141497576577018,4.54784663639476
46.0,2.14077923809389,4.549995373206687
47.0,2.1400658222470206,4.552135047957148
48.0,2.139357275098308,4.55426575009153
49.0,2.1386535435574623,4.55638756771996
50.0,2.137954575364452,4.5585005876438744
51.0,2.137260319072407,4.560604895381922
52.0,2.1365707240309497,4.56270057519523
53.0,2.1358857403699556,4.564787710112047
