t,H,L
0.0,2.18,4.44
1.0,2.1789859429198506,4.442677721149808
2.0,2.177980600071343,4.445340360388948
3.0,2.176983849462256,4.447988111848778
4.0,2.1759955715898007,4.450621165902425
5.0,2.175015649373793,4.453239709261716
6.0,2.1740439680920436,4.455843925070986
7.0,2.1730804153178793,4.458433992997895
8.0,2.1721248808597124,4.461010089321363
9.0,2.171177256702577,4.463572387016728
10.0,2.1702374369515582,4.466121055838242
11.0,2.1693053177770385,4.468656262398989
12.0,2.168380797361695,4.471178170248342
13.0,2.167463775849179,4.47368693994703
14.0,2.1665541552944143,4.476182729139918
15.0,2.165651839615455,4.478665692626568
16.0,2.164756734546843,4.481135982429681
17.0,2.1638687475944103,4.4835937478614785
18.0,2.162987787991473,4.486039135588108
19.0,2.1621137666563666,4.488472289692139
20.0,2.1612465961512712,4.490893351733222
21.0,2.1603861906422845,4.49330246080696
22.0,2.159532465860692,4.49569975360208
23.0,2.1586853390653955,4.498085364455946
24.0,2.1578447290064617,4.500459425408466
25.0,2.1570105558897397,4.502822066254469
26.0,2.156182741342525,4.505173414594586
27.0,2.1553612083802207,4.507513595884698
28.0,2.154545881373971,4.5098427334839855
29.0,2.1537366860192235,4.51216094870164
30.0,2.1529335493052,4.51446836084228
31.0,2.152136399485234,4.516765087250109
32.0,2.1513451660479515,4.519051243351853
33.0,2.150559779689266,4.521326942698537
34.0,2.1497801722851584,4.523592297006121
35.0,2.1490062768652174,4.525847416195029
36.0,2.148238027586914,4.528092408428632
37.0,2.1474753597105876,4.530327380150685
38.0,2.146718209575116,4.53255243612178
39.0,2.145966514574253,4.534767679454833
40.0,2.1452202131336087,4.536973211649631
41.0,2.1444792446882492,4.539169132626481
42.0,2.1437435496609014,4.541355540758983
43.0,2.1430130694407388,4.543532532905951
44.0,2.142287746362732,4.5457002044425145
45.0,2.141567523687547,4.54785864929042
46.0,2.1408523455819686,4.550007959947567
47.0,2.1401421570998425,4.552148227516783
48.0,2.1394369041635084,4.554279541733886
49.0,2.1387365335457185,4.556401990995033
50.0,2.138040992852019,4.558515662383388
51.0,2.137350230503585,4.56062064169513
52.0,2.1366641957204964,4.562717013464814
53.0,2.1359828385054316,4.564804860990112
54.0,2.1353061096277823,4.5668842663559435
55.0,2.134633960608161,4.568955310458024
56.0,2.1339663437032983,4.571018073025838
57.0,2.1333032118913176,4.5730726326450615
58.0,2.132644518857374,4.5751190667794415
59.0,2.1319902189796456,4.577157451792159
60.0,2.1313402673156725,4.57918786296668
61.0,2.1306946195890246,4.581210374527114
62.0,2.1300532321762984,4.583225059658095
63.0,2.1294160620944242,4.5852319905241945
64.0,2.1287830669882823,4.587231238288882
65.0,2.1281542051186135,4.589222873133048
66.0,2.1275294353502194,4.591206964273095
67.0,2.1269087171404424,4.593183579978615
68.0,2.126292010527918,4.595152787589666
69.0,2.125679276121591,4.5971146535336445
70.0,2.12507047508999,4.599069243341787
71.0,2.124465569150752,4.601016621665292
72.0,2.1238645205603883,4.602956852291084
73.0,2.1232672921042886,4.604889998157218
74.0,2.122673847086953,4.6068161213679515
75.0,2.12208414932245,4.608735283208472
76.0,2.12149816312509,4.610647544159306
77.0,2.120915853300312,4.612552963910412
78.0,2.1203371851357726,4.614451601374958
79.0,2.1197621243926403,4.616343514702807
80.0,2.119190637297081,4.618228761293708
81.0,2.118622690531934,4.6201073978102
82.0,2.1180582512285744,4.621979480190237
83.0,2.1174972869589523,4.623845063659553
84.0,2.1169397657278104,4.625704202743752
85.0,2.116385655965069,4.6275569512801455
86.0,2.1158349265183793,4.6294033624293425
87.0,2.115287546645837,4.631243488686595
88.0,2.114743486008854,4.633077381892901
89.0,2.1142027146651836,4.634905093245886
90.0,2.1136652030620957,4.636726673310445
91.0,2.1131309220296965,4.638542172029176
92.0,2.1125998427743915,4.640351638732596
93.0,2.112071936872485,4.642155122149141
94.0,2.1115471762639175,4.643952670414973
95.0,2.1110255332461314,4.645744331083576
96.0,2.1105069804680676,4.647530151135166
97.0,2.1099914909242856,4.649310176985908
98.0,2.109479037949206,4.6510844544969485
99.0,2.108969595211471,4.652853028983263
100.0,2.108463136708423,4.654615945222338
101.0,2.107959636760694,4.656373247462669
102.0,2.1074590700069087,4.658124979432096
103.0,2.106961411398489,4.659871184345976
104.0,2.1064666361945723,4.661611904915191
105.0,2.1059747199570236,4.663347183354007
106.0,2.105485638545555,4.66507706138777
107.0,2.104999368112938,4.666801580260459
108.0,2.1045158851003136,4.668520780742097
109.0,2.1040351662325936,4.670234703136009
110.0,2.103557188513956,4.671943387285952
111.0,2.103081929223425,4.6736468725831015
112.0,2.102609365910541,4.675345197972907
113.0,2.1021394763911148,4.677038401961819
114.0,2.1016722387430615,4.678726522623891
115.0,2.101207631302319,4.680409597607252
116.0,2.1007456326588434,4.682087664140461
117.0,2.1002862216526816,4.683760759038746
118.0,2.0998293773701198,4.685428918710121
119.0,2.099375079139905,4.687092179161395
120.0,2.0989233065295387,4.6887505760040655
121.0,2.09847403934164,4.690404144460111
122.0,2.09802725761038,4.692052919367667
123.0,2.097582941597979,4.69369693518661
124.0,2.097141071791275,4.695336226004032
125.0,2.096701628898349,4.6969708255396165
126.0,2.096264593845221,4.698600767150925
127.0,2.095829947772603,4.700226083838578
128.0,2.095397672032709,4.70184680825135
129.0,2.094967748186133,4.703462972691174
130.0,2.094540157998774,4.705074609118052
131.0,2.0941148834388223,4.706681749154884
132.0,2.093691906673803,4.7082844240922075
133.0,2.093271210067667,4.709882664892858
134.0,2.0928527761779394,4.711476502196542
135.0,2.092436587752918,4.713065966324341
136.0,2.0920226277289213,4.714651087283118
137.0,2.091610879227586,4.716231894769872
138.0,2.091201325553214,4.717808418175996
139.0,2.0907939501901645,4.7193806865914745
140.0,2.0903887368002936,4.720948728809005
141.0,2.0899856692204395,4.722512573328047
142.0,2.0895847314599503,4.724072248358806
143.0,2.0891859076982566,4.725627781826147
144.0,2.088789182282485,4.727179201373443
145.0,2.0883945397251145,4.728726534366359
146.0,2.088001964701674,4.730269807896572
147.0,2.087611442048477,4.7318090487854265
148.0,2.087222956760398,4.733344283587534
149.0,2.0868364939886863,4.734875538594307
150.0,2.0864520390388157,4.736402839837439
151.0,2.0860695773683737,4.737926213092324
152.0,2.0856890945849837,4.739445683881423
153.0,2.085310576444264,4.740961277477571
154.0,2.0849340088478217,4.742473018907231
155.0,2.0845593778412783,4.743980932953699
156.0,2.084186669612331,4.745485044160252
157.0,2.0838158704888436,4.746985376833247
158.0,2.0834469669369735,4.748481955045172
159.0,2.0830799455593234,4.7499748026376425
160.0,2.082714793093129,4.751463943224357
161.0,2.082351496408476,4.752949400193997
162.0,2.081990042506543,4.754431196713091
163.0,2.0816304185178764,4.7559093557288215
164.0,2.0812726117006934,4.757383899971798
165.0,2.08091660943921,4.75885485195878
166.0,2.080562399241999,4.7603222339953595
167.0,2.0802099687403737,4.761786068178598
168.0,2.0798593056867962,4.7632463763996284
169.0,2.0795103979533147,4.764703180346214
170.0,2.079163233530021,4.766156501505263
171.0,2.078817800523537,4.767606361165309
172.0,2.0784740871555245,4.769052780418955
173.0,2.078132081761215,4.770495780165273
174.0,2.0777917727879682,4.771935381112174
