t,H,L
0.0,2.18,4.44
1.0,2.179723538623141,4.4411737678108105
2.0,2.1794482585729495,4.442345429984078
3.0,2.1791741533220286,4.443514996754741
4.0,2.1789012163932275,4.444682478282829
5.0,2.1786294413591363,4.44584788465419
6.0,2.17835882184158,4.447011225881212
7.0,2.1780893515111224,4.44817251190354
8.0,2.1778210240865756,4.449331752588769
9.0,2.1775538333345152,4.45048895773315
10.0,2.177287773068802,4.451644137062268
11.0,2.177022837150109,4.452797300231726
12.0,2.1767590194854542,4.453948456827811
13.0,2.1764963140277422,4.455097616368156
14.0,2.1762347147753056,4.456244788302398
15.0,2.175974215771457,4.457389982012822
16.0,2.175714811104046,4.458533206814998
17.0,2.1754564949050175,4.459674471958415
18.0,2.1751992613499813,4.460813786627102
19.0,2.174943104657783,4.461951159940245
20.0,2.1746880190900812,4.463086600952798
21.0,2.1744339989509296,4.464220118656083
22.0,2.174181038586364,4.465351721978384
23.0,2.173929132383996,4.466481419785535
24.0,2.1736782747726093,4.467609220881504
25.0,2.1734284602217624,4.468735134008963
26.0,2.1731796832413943,4.469859167849858
27.0,2.172931938381438,4.47098133102597
28.0,2.172685220231435,4.472101632099468
29.0,2.172439523420157,4.4732200795734585
30.0,2.1721948426152307,4.474336681892526
31.0,2.1719511725227685,4.47545144744327
32.0,2.171708507887002,4.476564384554833
33.0,2.17146684348992,4.477675501499426
34.0,2.171226174150912,4.478784806492842
35.0,2.170986494726415,4.479892307694973
36.0,2.1707478001095644,4.480998013210311
37.0,2.170510085229849,4.482101931088448
38.0,2.1702733450527703,4.483204069324577
39.0,2.1700375745795055,4.484304435859972
40.0,2.1698027688465755,4.485403038582477
41.0,2.1695689229255137,4.486499885326981
42.0,2.169336031922543,4.487594983875892
43.0,2.1691040909782533,4.488688341959606
44.0,2.168873095267282,4.489779967256964
45.0,2.168643039998004,4.4908698673957135
46.0,2.1684139204122164,4.4919580499529586
47.0,2.1681857317848343,4.493044522455608
48.0,2.1679584694235867,4.494129292380814
49.0,2.1677321286687166,4.495212367156413
50.0,2.1675067048926833,4.496293754161357
51.0,2.1672821934998696,4.497373460726139
52.0,2.167058589926293,4.498451494133216
53.0,2.166835889639317,4.499527861617433
54.0,2.1666140881373694,4.5006025703664285
55.0,2.1663931809496604,4.501675627521049
56.0,2.1661731636359063,4.502747040175752
57.0,2.1659540317860557,4.503816815379006
58.0,2.1657357810200177,4.504884960133687
59.0,2.165518406987394,4.505951481397471
60.0,2.165301905367215,4.50701638608322
61.0,2.165086271867676,4.5080796810593675
62.0,2.1648715022258793,4.509141373150296
63.0,2.1646575922075773,4.510201469136713
64.0,2.1644445376069195,4.511259975756022
65.0,2.1642323342462007,4.512316899702689
66.0,2.164020977975614,4.513372247628609
67.0,2.163810464673006,4.514426026143461
68.0,2.163600790243633,4.515478241815069
69.0,2.163391950619921,4.51652890116975
70.0,2.163183941761229,4.517578010692661
71.0,2.1629767596536156,4.51862557682815
72.0,2.1627704003096038,4.519671605980091
73.0,2.1625648597679534,4.520716104512224
74.0,2.1623601340934333,4.52175907874849
75.0,2.162156219376597,4.522800534973358
76.0,2.1619531117335584,4.523840479432156
77.0,2.161750807305775,4.5248789183313916
78.0,2.161549302259828,4.525915857839075
79.0,2.161348592787207,4.526951304085032
80.0,2.161148675104098,4.527985263161224
81.0,2.1609495454511713,4.529017741122051
82.0,2.160751200093375,4.530048743984667
83.0,2.1605536353197268,4.531078277729276
84.0,2.16035684744311,4.532106348299439
85.0,2.160160832800073,4.5331329616023694
86.0,2.1599655877506283,4.53415812350923
87.0,2.1597711086780538,4.535181839855422
88.0,2.159577391988699,4.536204116440877
89.0,2.1593844341117903,4.537224959030341
90.0,2.15919223149924,4.538244373353657
91.0,2.159000780625455,4.53926236510605
92.0,2.158810077987152,4.540278939948399
93.0,2.1586201201031687,4.541294103507514
94.0,2.1584309035142812,4.542307861376409
95.0,2.158242424783023,4.543320219114571
96.0,2.158054680493504,4.544331182248224
97.0,2.1578676672512325,4.545340756270597
98.0,2.1576813816829383,4.546348946642182
99.0,2.157495820436399,4.547355758790993
100.0,2.1573109801802675,4.548361198112827
101.0,2.1571268576038984,4.549365269971511
102.0,2.156943449417183,4.550367979699156
103.0,2.1567607523503782,4.5513693325964075
104.0,2.1565787631539415,4.552369333932689
105.0,2.156397478598368,4.553367988946447
106.0,2.1562168954740266,4.554365302845393
107.0,2.1560370105909996,4.555361280806741
108.0,2.155857820778923,4.556355927977445
109.0,2.1556793228868303,4.557349249474436
110.0,2.1555015137829936,4.55834125038485
111.0,2.1553243903547723,4.559331935766261
112.0,2.1551479495084576,4.560321310646907
113.0,2.154972188169122,4.561309380025918
114.0,2.15479710328047,4.562296148873534
115.0,2.1546226918046885,4.563281622131334
116.0,2.1544489507223004,4.5642658047124485
117.0,2.1542758770320183,4.56524870150178
118.0,2.154103467750602,4.566230317356216
119.0,2.1539317199127135,4.567210657104845
120.0,2.1537606305707784,4.568189725549164
121.0,2.153590196794843,4.569167527463288
122.0,2.1534204156724384,4.57014406759416
