t,H,L
0.0,2.18,4.44
1.0,2.178986001871531,4.4426776009403515
2.0,2.177980896147693,4.445340122271217
3.0,2.176984560011395,4.447987759603268
4.0,2.1759968731560932,4.450620704756096
5.0,2.1750177177182652,4.453239145856168
6.0,2.1740469782121288,4.45584326743162
7.0,2.173084541466518,4.458433250504022
8.0,2.1721302965638323,4.461009272677227
9.0,2.171184134780977,4.463571508223406
10.0,2.1702459495322195,4.466120128166392
11.0,2.169315636313886,4.468655300362415
12.0,2.1683930926508266,4.471177189578342
13.0,2.167478218044584,4.473685957567504
14.0,2.166570913923204,4.476181763143202
15.0,2.1656710835926165,4.47866476224998
16.0,2.1647786321895404,4.481135108032737
17.0,2.1638934666358463,4.48359295090377
18.0,2.1630154955943275,4.48603843860781
19.0,2.162144629425829,4.4884717162851295
20.0,2.1612807801476794,4.4908929265327835
21.0,2.1604238613933857,4.493302209464063
22.0,2.1595737883735393,4.495699702766205
23.0,2.1587304778378926,4.498085541756438
24.0,2.1578938480385648,4.500459859436405
25.0,2.1570638186943367,4.502822786545037
26.0,2.156240310955995,4.505174451609909
27.0,2.15542324737269,4.507514980997151
28.0,2.1546125518592727,4.509844498959947
29.0,2.1538081496645742,4.512163127685686
30.0,2.153009967340601,4.514470987341786
31.0,2.152217932712605,4.516768196120261
32.0,2.1514319748500115,4.519054870281058
33.0,2.1506520240381617,4.521331124194204
34.0,2.1498780117508565,4.523597070380815
35.0,2.149109870623663,4.525852819552981
36.0,2.148347534427965,4.52809848065259
37.0,2.1475909380457323,4.5303341608891055
38.0,2.146840017444981,4.532559965776339
39.0,2.146094709655909,4.534775999168249
40.0,2.1453549527476774,4.536982363293798
41.0,2.144620685805823,4.5391791587908905
42.0,2.1438918489102763,4.541366484739436
43.0,2.143168383113971,4.543544438693544
44.0,2.142450230422021,4.545713116712896
45.0,2.1417373337714514,4.547872613393309
46.0,2.1410296370114605,4.55002302189652
47.0,2.1403270848842046,4.552164433979211
48.0,2.139629623006079,4.55429694002131
49.0,2.1389371978494887,4.556420629053565
50.0,2.1382497567250875,4.558535588784444
51.0,2.137567247764475,4.560641905626357
52.0,2.1368896199033354,4.56273966472123
53.0,2.136216822865005,4.564828949965446
