t,H,L
0.0,2.18,4.44
1.0,2.1791855211322595,4.442678458327458
2.0,2.178378550622583,4.4453435306087075
3.0,2.177578985774053,4.4479953802979155
4.0,2.176786725879256,4.45063416783764
5.0,2.1760016721696016,4.453260050732604
6.0,2.1752237277662414,4.455873183621219
7.0,2.1744527976325227,4.4584737183449334
8.0,2.173688788527926,4.46106180401549
9.0,2.172931608963422,4.463637587080171
10.0,2.172181169158208,4.466201211385098
11.0,2.1714373809977614,4.4687528182366485
12.0,2.1707001579931706,4.471292546461082
13.0,2.1699694152416935,4.473820532462402
14.0,2.169245069388501,4.476336910278549
15.0,2.16852703858956,4.478841811635962
16.0,2.1678152424756227,4.481335366002569
17.0,2.167109602117272,4.483817700639269
18.0,2.166410039990997,4.486288940649947
19.0,2.1657164799462567,4.488749209030075
20.0,2.1650288471734975,4.491198626713951
21.0,2.1643470681730954,4.493637312620613
22.0,2.163671070725185,4.4960653836984825
23.0,2.1630007838603524,4.4984829549687735
24.0,2.162336137831157,4.500890139567705
25.0,2.1616770640844556,4.503287048787567
26.0,2.161023495234505,4.505673792116665
27.0,2.1603753650368125,4.50805047727819
28.0,2.1597326083627113,4.510417210268038
29.0,2.1590951611746396,4.5127740953916256
30.0,2.158462960502095,4.5151212352997225
31.0,2.1578359444182458,4.517458731023337
32.0,2.1572140520171805,4.5197866820076875
33.0,2.1565972233917647,4.522105186145278
34.0,2.1559853996120992,4.524414339808122
35.0,2.15537852270455,4.526714237879127
36.0,2.1547765356313358,4.52900497378267
37.0,2.154179382270655,4.531286639514393
38.0,2.153587007397339,4.533559325670239
39.0,2.1529993566640044,4.535823121474746
40.0,2.1524163765827025,4.538078114808641
41.0,2.151838014507041,4.540324392235722
42.0,2.1512642186147666,4.542562039029087
43.0,2.150694937890794,4.5447911391967
44.0,2.150130122110668,4.547011775506333
45.0,2.1495697218244456,4.549224029509887
46.0,2.1490136883409843,4.551427981567121
47.0,2.1484619737126263,4.553623710868808
48.0,2.1479145307202643,4.555811295459321
49.0,2.1473713128587804,4.557990812258682
50.0,2.146832274322844,4.560162337084076
51.0,2.1462973699930608,4.5623259446708575
52.0,2.145766555422461,4.5644817086930525
53.0,2.1452397868233173,4.566629701783378
54.0,2.144717021054283,4.568769995552788
55.0,2.144198215607841,4.570902660609569
56.0,2.1436833285980543,4.573027766577979
57.0,2.1431723187486105,4.575145382116461
58.0,2.142665145381151,4.577255574935438
59.0,2.1421617684038785,4.579358411814693
60.0,2.1416621483004286,4.581453958620352
61.0,2.141166246119009,4.583542280321487
62.0,2.1406740234617887,4.5856234410063355
63.0,2.1401854424745372,4.587697503898152
64.0,2.1397004658365004,4.589764531370715
65.0,2.139219056750513,4.591824584963475
66.0,2.1387411789333366,4.59387772539637
67.0,2.1382667966062194,4.595924012584314
68.0,2.1377958744856707,4.597963505651367
69.0,2.137328377774443,4.599996262944586
70.0,2.136864272152721,4.602022342047581
71.0,2.1364035237695047,4.604041799793775
72.0,2.135946099234187,4.606054692279372
73.0,2.1354919656083204,4.6080610748760495
74.0,2.135041090397561,4.610061002243378
75.0,2.134593441543798,4.612054528340971
76.0,2.134148987417449,4.61404170644038
77.0,2.133707696809927,4.616022589136738
78.0,2.1332695389262737,4.617997228360149
79.0,2.1328344833779482,4.6199656753868545
80.0,2.1324025001757745,4.621927980850145
81.0,2.131973559723039,4.62388419475106
82.0,2.1315476328087373,4.6258343664688635
83.0,2.1311246906009647,4.627778544771294
84.0,2.130704704640446,4.629716777824613
85.0,2.130287646834204,4.631649113203443
86.0,2.129873489449359,4.633575597900408
87.0,2.1294622051070613,4.63549627833557
88.0,2.129053766776547,4.637411200365687
89.0,2.1286481477693213,4.639320409293271
90.0,2.128245321733459,4.641223949875474
91.0,2.1278452626480253,4.643121866332793
92.0,2.1274479448176082,4.645014202357596
93.0,2.1270533428669665,4.646901001122491
94.0,2.1266614317357835,4.648782305288517
95.0,2.1262721866735306,4.650658157013182
96.0,2.1258855832344308,4.65252859795834
97.0,2.1255015972725277,4.654393669297914
98.0,2.125120204936851,4.65625341172547
99.0,2.124741382666678,4.658107865461646
100.0,2.124365107186893,4.65995707026143
101.0,2.123991355503435,4.661801065421309
102.0,2.123620104898836,4.663639889786273
103.0,2.12325133292785,4.6654735817566895
104.0,2.1228850174131635,4.667302179295042
105.0,2.1225211364411933,4.66912571993255
106.0,2.122159668357963,4.670944240775655
107.0,2.1218005917650626,4.6727577785123895
108.0,2.1214438855156836,4.674566369418628
109.0,2.1210895287107308,4.676370049364214
110.0,2.120737500695009,4.678168853818987
111.0,2.120387781053484,4.679962817858681
112.0,2.120040349607612,4.681751976170727
113.0,2.119695186411739,4.683536363059943
