t,H,L
0.0,2.18,4.44
1.0,2.1791855211322595,4.442678458327458
2.0,2.178378627361752,4.445343530937012
3.0,2.177579215629279,4.4479953819308085
4.0,2.1767871848737643,4.450634172385974
5.0,2.1760024359813017,4.453260060428789
6.0,2.175224871735815,4.455873201306591
7.0,2.174454396771263,4.458473747457491
8.0,2.1736909175253323,4.461061848577989
9.0,2.1729343421945684,4.4636376516885585
10.0,2.1721845806908835,4.466201301197278
11.0,2.1714415445993973,4.46875293896157
12.0,2.1707051471375602,4.471292704348131
13.0,2.1699753031155105,4.473820734291094
14.0,2.169251928897626,4.4763371633485045
15.0,2.168534942365222,4.478842123757166
16.0,2.167824262880357,4.481335745485892
17.0,2.16711981125071,4.483818156287253
18.0,2.166421509695486,4.486289481747836
19.0,2.1657292818123177,4.488749845337093
20.0,2.1650430525451294,4.491199368454811
21.0,2.1643627481529264,4.493638170477253
22.0,2.16368829617948,4.49606636880202
23.0,2.1630196254238796,4.498484078891674
24.0,2.1623566659119184,4.500891414316153
25.0,2.161699348868287,4.503288486794037
26.0,2.161047606689549,4.505675406232682
27.0,2.160401372917868,4.508052280767282
28.0,2.1597605822154646,4.51041921679886
29.0,2.1591251703397827,4.512776319031268
30.0,2.15849507411933,4.515123690507178
31.0,2.157870231430185,4.517461432643141
32.0,2.1572505811731397,4.5197896452637085
33.0,2.1566360632514576,4.522108426634671
34.0,2.1560266185492347,4.524417873495422
35.0,2.1554221889103333,4.526718081090494
36.0,2.15482271711788,4.52900914320027
37.0,2.154228146874305,4.531291152170917
38.0,2.153638422781906,4.5335641989435524
39.0,2.153053490323922,4.535828373082671
40.0,2.152473295846099,4.538083762803853
41.0,2.1518977865387354,4.540330455000778
42.0,2.1513269104191886,4.542568535271565
43.0,2.1507606163148303,4.544798087944453
44.0,2.150198853846438,4.547019196102851
45.0,2.149641573412008,4.549231941609771
46.0,2.149088726170977,4.55143640513166
47.0,2.148540264028841,4.553632666161651
48.0,2.147996139622159,4.555820803042257
49.0,2.14745630630393,4.558000892987509
50.0,2.1469207181293317,4.5601730121045625
51.0,2.1463893298418126,4.562337235414799
52.0,2.145862096859524,4.564493636874411
53.0,2.1453389752620837,4.566642289394507
54.0,2.1448199217776605,4.568783264860748
55.0,2.1443048937703733,4.5709166341525105
56.0,2.143793849227992,4.573042467161614
57.0,2.1432867467499332,4.57516083281061
58.0,2.1427835455355426,4.577271799070646
59.0,2.142284205372655,4.579375432978921
60.0,2.141788686626425,4.581471800655742
61.0,2.141296950228422,4.58356096732119
62.0,2.1408089576659757,4.585642997311406
63.0,2.1403246709717756,4.587717954094516
64.0,2.1398440527137086,4.589785900286189
65.0,2.139367065984931,4.591846897664855
66.0,2.1388936743941698,4.593901007186578
67.0,2.1384238420562465,4.595948288999605
68.0,2.1379575335828154,4.597988802458584
69.0,2.137494714073312,4.6000226061384835
70.0,2.1370353491061067,4.602049757848195
71.0,2.1365794047298574,4.604070314643845
72.0,2.136126847455054,4.606084332841818
73.0,2.1356776442457535,4.608091868031496
74.0,2.135231762511496,4.610092975087729
75.0,2.1347891700994017,4.6120877081830285
76.0,2.134349835286441,4.614076120799516
77.0,2.133913726771872,4.6160582657406035
78.0,2.133480813669846,4.618034195142436
79.0,2.1330510655021704,4.620003960485091
80.0,2.1326244521912296,4.621967612603541
81.0,2.13220094405306,4.623925201698389
82.0,2.1317805117905695,4.625876777346386
83.0,2.1313631264869053,4.62782238851072
84.0,2.130948759598961,4.629762083551101
85.0,2.1305373829510206,4.631695910233638
86.0,2.130128968728538,4.633623915740516
87.0,2.1297234894720463,4.635546146679467
88.0,2.129320918071194,4.63746264909306
89.0,2.1289212277589074,4.6393734684678
90.0,2.12852439210567,4.641278649743039
91.0,2.1281303850139244,4.643178237319717
92.0,2.1277391807125876,4.64507227506892
93.0,2.127350753751677,4.646960806340281
94.0,2.1269650789970487,4.648843873970195
95.0,2.126582131625242,4.650721520289893
96.0,2.1262018871184263,4.652593787133343
97.0,2.1258243212594534,4.654460715845005
98.0,2.1254494101270054,4.65632234728743
99.0,2.125077130090842,4.658178721848715
100.0,2.1247074578071428,4.660029879449811
101.0,2.1243403702139396,4.661875859551694
102.0,2.1239758445266417,4.663716701162394
103.0,2.123613858233648,4.665552442843894
104.0,2.123254389092044,4.667383122718897
105.0,2.1228974151233864,4.669208778477465
106.0,2.122542914609565,4.671029447383527
107.0,2.1221908660887503,4.672845166281275
108.0,2.121841248351414,4.67465597160143
109.0,2.121494040436429,4.676461899367402
110.0,2.1211492216272445,4.6782629852013216
111.0,2.120806771448133,4.680059264329975
112.0,2.120466669660509,4.681850771590616
113.0,2.120128896259317,4.683637541436682
