t,H,L
0.0,2.18,4.44
1.0,2.1791855211322595,4.442678458327458
2.0,2.1783787041009206,4.445343531265317
3.0,2.1775794454845046,4.447995383563702
4.0,2.1767876438682703,4.4506341769343125
5.0,2.176003199792994,4.453260070124988
6.0,2.175226015705367,4.455873218991998
7.0,2.174455995909953,4.458473776570127
8.0,2.1736930465226383,4.461061893140644
9.0,2.1729370754255286,4.463637716297234
10.0,2.172187992223237,4.466201391009956
11.0,2.1714457082005065,4.468753059687306
12.0,2.170710136281126,4.471292862236453
13.0,2.1699811909880884,4.4738209361217
14.0,2.169258788404946,4.47633741642125
15.0,2.1685428461383247,4.478842435882325
16.0,2.16783328328155,4.481336124974692
17.0,2.167130020379349,4.483818611942663
18.0,2.1664329793935893,4.486290022855612
19.0,2.1657420836700196,4.488750481657062
20.0,2.1650572579059775,4.491200110212389
21.0,2.164378428119027,4.493639028355192
22.0,2.1637055216164995,4.496067353932374
23.0,2.163038466965904,4.4984852028479745
24.0,2.1623771939661776,4.500892689105793
25.0,2.161721633619748,4.503289924850852
26.0,2.1610717181053802,4.505677020409727
27.0,2.1604273807517838,4.508054084329784
28.0,2.15978855601195,4.510421223417366
29.0,2.1591551794382013,4.5127785427749565
30.0,2.1585271876579233,4.515126145837344
31.0,2.157904518349963,4.517464134406844
32.0,2.157287110221668,4.51979260868758
33.0,2.156674902986544,4.5221116673188755
34.0,2.1560678373425173,4.524421407407768
35.0,2.1554658549507755,4.526721924560688
36.0,2.154868898415174,4.529013312914313
37.0,2.154276911262185,4.531295665165637
38.0,2.153689837921379,4.533569072601267
39.0,2.1531076237064113,4.5358336251259805
40.0,2.1525302147965113,4.5380894112905565
41.0,2.151957558218447,4.54033651831891
42.0,2.151389601828957,4.54257503213455
43.0,2.1508262942976324,4.544805037386375
44.0,2.150267585090238,4.54702661747383
45.0,2.1497134244524543,4.54923985457145
46.0,2.149163763394035,4.551444829652794
47.0,2.148618553673358,4.5536416225137994
48.0,2.148077747782369,4.555830311795573
49.0,2.1475412989318947,4.5580109750066224
50.0,2.1470091610373245,4.560183688544562
51.0,2.1464812887046434,4.5623485277172975
52.0,2.1459576372168083,4.564505566763701
53.0,2.1454381625204584,4.5666548788738055
54.0,2.1449228212129468,4.568796536208516
55.0,2.1444115705296873,4.570930609918862
56.0,2.143904368331807,4.573057170164798
57.0,2.1434011730940923,4.575176286133572
58.0,2.1429019438932255,4.57728802605766
59.0,2.142406640396299,4.579392457232299
60.0,2.1419152228496015,4.581489646032607
61.0,2.141427652067668,4.583579657930326
62.0,2.1409438894225876,4.585662557510167
63.0,2.1404638968335585,4.587738408485804
64.0,2.139987636756687,4.589807273715495
65.0,2.1395150721750227,4.59186921521736
66.0,2.13904616658882,4.593924294184317
67.0,2.1385808840060263,4.595972570998684
68.0,2.138119188932985,4.59801410524646
69.0,2.137661046365349,4.600048955731296
70.0,2.137206421779202,4.602077180488153
71.0,2.1367552811223764,4.604098836796667
72.0,2.1363075908059677,4.6061139811942216
73.0,2.1358633176960367,4.60812266948874
74.0,2.135422429105499,4.610124956771201
75.0,2.134984892786188,4.612120897427885
76.0,2.134550676921099,4.614110545152363
77.0,2.1341197501168,4.616093952957229
78.0,2.1336920813960054,4.618071173185579
79.0,2.1332676401903186,4.62004225752226
80.0,2.1328463963331226,4.622007257004871
81.0,2.1324283200526315,4.623966222034541
82.0,2.132013381965086,4.625919202386486
83.0,2.1316015530680956,4.627866247220336
84.0,2.131192804734124,4.6298074050902605
85.0,2.130787108704111,4.631742723954881
86.0,2.1303844370812275,4.633672251186983
87.0,2.129984762324766,4.635596033583026
88.0,2.1295880572441535,4.637514117372466
89.0,2.1291942949930944,4.639426548226886
90.0,2.1288034490638315,4.641333371268947
91.0,2.128415493281525,4.6432346310811505
92.0,2.128030401798751,4.645130371714441
93.0,2.1276481490901094,4.647020636696626
94.0,2.1272687099469425,4.648905469040627
95.0,2.126892059472163,4.6507849112525825
96.0,2.1265181730751834,4.652659005339778
97.0,2.1261470264669504,4.654527792818427
98.0,2.1257785956550785,4.656391314721297
99.0,2.1254128569390796,4.6582496116051955
100.0,2.1250497869056897,4.6601027235583
101.0,2.124689362424287,4.661950690207355
102.0,2.124331560642401,4.663793550724731
103.0,2.123976358981311,4.665631343835341
104.0,2.123623735131729,4.667464107823436
105.0,2.1232736670495687,4.669291880539265
106.0,2.1229261329517963,4.671114699405607
107.0,2.122581111312362,4.672932601424191
108.0,2.12223858085821,4.674745623181981
109.0,2.121898520565365,4.676553800857358
110.0,2.121560909655095,4.678357170226176
111.0,2.121225727590145,4.6801557666677125
112.0,2.1208929540710457,4.681949625170504
113.0,2.120562569032489,4.683738780338081
