t,H,L
0.0,2.18,4.44
1.0,2.1791855211322595,4.442678458327458
2.0,2.178378883158981,4.4453435320313615
3.0,2.1775799818133628,4.44799538737379
4.0,2.176788714855442,4.450634187547114
5.0,2.176004982020244,4.453260092749497
6.0,2.175228684967571,4.455873260258074
7.0,2.1744597272333706,4.4584738444999035
8.0,2.173698014182626,4.461061997120772
9.0,2.1729434529637084,4.463637867051924
10.0,2.172195952464138,4.466201600574801
11.0,2.1714554232677066,4.4687533413838505
12.0,2.170721777612904,4.47129323064748
13.0,2.16999492935261,4.473821407067222
14.0,2.169274793914996,4.476338006935169
15.0,2.1685612882656047,4.478843164189744
16.0,2.1678543308705533,4.481337010469854
17.0,2.1671538416608325,4.483819675167499
18.0,2.1664597419976523,4.486291285478874
19.0,2.1657719546388057,4.4887519664540205
20.0,2.165090403706009,4.4912018410450845
21.0,2.1644150146531893,4.493641030153214
22.0,2.163745714235686,4.496069652674152
23.0,2.1630824304803293,4.498487825542566
24.0,2.162425092656375,4.50089566377515
25.0,2.1617736312472586,4.503293280512557
26.0,2.1611279779231474,4.505680787060173
27.0,2.160488065514258,4.508058292927795
28.0,2.159853827984918,4.510425905868234
29.0,2.1592252004083456,4.51278373191489
30.0,2.1586021189421243,4.515131875418315
31.0,2.157984520804347,4.517470439081811
32.0,2.1573723442504145,4.519799523996091
33.0,2.156765528550457,4.522119229673022
34.0,2.1561640139673672,4.524429654078498
35.0,2.155567741735424,4.526730893664446
36.0,2.1549766540394826,4.529023043400022
37.0,2.1543906939947175,4.531306196801984
38.0,2.153809805626903,4.53358044596431
39.0,2.1532339338532083,4.535845881587044
40.0,2.1526630244634957,4.538102593004428
41.0,2.152097024102104,4.540350668212311
42.0,2.1515358802501034,4.542590193894886
43.0,2.1509795412080077,4.544821255450744
44.0,2.1504279560789263,4.547043937018299
45.0,2.149881074752149,4.5492583215005755
46.0,2.1493388478871434,4.551464490589387
47.0,2.1488012268979575,4.55366252478893
48.0,2.1482681639380137,4.555852503438798
49.0,2.1477396118852816,4.558034504736445
50.0,2.1472155243278195,4.560208605759103
51.0,2.1466958555496736,4.562374882485176
52.0,2.1461805605171236,4.564533409815126
53.0,2.145669594865266,4.566684261591862
54.0,2.1451629148849243,4.568827510620649
55.0,2.144660477509874,4.570963228688543
56.0,2.14416224030438,4.5730914865833805
57.0,2.1436681614510307,4.575212354112323
58.0,2.1431781997388635,4.577325900119967
59.0,2.1426923145517733,4.579432192506043
60.0,2.142210465857196,4.581531298242703
61.0,2.141732614195056,4.583623283391421
62.0,2.1412587206669778,4.585708213119494
63.0,2.1407887469257454,4.58778615171619
64.0,2.1403226551650087,4.5898571626085145
65.0,2.1398604081092283,4.591921308376634
66.0,2.139401969003851,4.593978650768948
67.0,2.1389473016057106,4.596029250716834
68.0,2.138496370173651,4.598073168349057
69.0,2.138049139459356,4.60011046300587
70.0,2.1376055746983953,4.602141193252801
71.0,2.1371656416014635,4.604165416894136
72.0,2.1367293063458215,4.606183190986119
73.0,2.136296535566927,4.608194571849853
74.0,2.135867296350251,4.610199615083935
75.0,2.135441556223277,4.612198375576812
76.0,2.1350192831476726,4.614190907518878
77.0,2.1346004455116394,4.6161772644143095
78.0,2.1341850121224226,4.618157499092654
79.0,2.13377295219899,4.620131663720173
80.0,2.133364235364865,4.622099809810943
81.0,2.132958831641118,4.6240619882377345
82.0,2.132556711439505,4.626018249242652
83.0,2.1321578455557555,4.62796864244756
84.0,2.1317622051630014,4.629913216864297
85.0,2.1313697618053475,4.631852020904672
86.0,2.1309804873915756,4.633785102390261
87.0,2.1305943541889825,4.635712508562004
88.0,2.130211334817347,4.637634286089602
89.0,2.129831402243022,4.639550481080733
90.0,2.1294545297731498,4.641461139090074
91.0,2.1290806910499978,4.643366305128145
92.0,2.1287098600454097,4.64526602366998
93.0,2.1283420110553717,4.6471603386636176
94.0,2.1279771186946888,4.649049293538431
95.0,2.127615157891771,4.650932931213288
96.0,2.1272561038835223,4.652811294104557
97.0,2.1268999322103377,4.65468442413395
98.0,2.1265466187111963,4.656552362736211
99.0,2.1261961395188553,4.658415150866668
100.0,2.1258484710551384,4.660272829008621
101.0,2.1255035900263195,4.662125437180602
102.0,2.1251614734185975,4.663973014943488
103.0,2.124822098493659,4.6658156014074805
104.0,2.124485442784329,4.667653235238952
105.0,2.1241514840903086,4.669485954667163
106.0,2.1238202004739923,4.671313797490847
107.0,2.1234915702563697,4.673136801084682
108.0,2.1231655720130043,4.674955002405629
109.0,2.1228421845700916,4.676768437999161
110.0,2.122521387000592,4.678577144005372
111.0,2.1222031586204375,4.680381156164969
112.0,2.1218874789848114,4.682180509825161
113.0,2.1215743278844985,4.68397523994544
