t,H,L
0.0,2.18,4.44
1.0,2.1786867225966784,4.4426763154463185
2.0,2.1773835033200464,4.445335010523002
3.0,2.1760901912851724,4.447976324744044
4.0,2.174806638894257,4.450600492682626
5.0,2.173532701742457,4.453207744106989
6.0,2.172268238527048,4.455798304111647
7.0,2.171013110959783,4.458372393244126
8.0,2.169767183682306,4.460930227627433
9.0,2.1685303241845073,4.463472019078398
10.0,2.167302402725688,4.465997975222082
11.0,2.166083292258424,4.468508299602388
12.0,2.1648728683550167,4.471003191789033
13.0,2.1636710091364293,4.473482847481026
14.0,2.162477595203607,4.475947458606789
15.0,2.1612925095710844,4.47839721342104
16.0,2.160115637602793,4.480832296598584
17.0,2.1589468669499787,4.483252889325105
18.0,2.15778608749115,4.485659169385096
19.0,2.1566331912739756,4.488051311247019
20.0,2.155488072459057,4.490429486145808
21.0,2.1543506272655035,4.492793862162816
22.0,2.1532207539182426,4.495144604303285
23.0,2.1520983525969988,4.497481874571459
24.0,2.1509833253868758,4.499805832043389
25.0,2.149875576230488,4.502116632937551
26.0,2.1487750108815766,4.504414430683333
27.0,2.1476815368600612,4.5066993759874725
28.0,2.1465950634084705,4.508971616898523
29.0,2.1455155014497027,4.511231298869414
30.0,2.1444427635460688,4.513478564818175
31.0,2.1433767638595707,4.5157135551868866
32.0,2.142317418113369,4.517936407998918
33.0,2.1412646435544027,4.520147258914521
34.0,2.140218358917113,4.52234624128482
35.0,2.1391784843882378,4.524533486204272
36.0,2.138144941572638,4.52670912256163
37.0,2.1371176534601184,4.528873277089475
38.0,2.1360965443932085,4.531026074412363
39.0,2.135081540035873,4.533167637093625
40.0,2.134072567343117,4.535298085680868
41.0,2.133069554531457,4.537417538750231
42.0,2.132072431050228,4.53952611294942
43.0,2.131081127553698,4.541623923039578
44.0,2.130095575873965,4.543711081936008
45.0,2.1291157089946062,4.545787700747817
46.0,2.1281414610250606,4.547853888816476
47.0,2.1271727671757126,4.549909753753371
48.0,2.126209563733663,4.551955401476347
49.0,2.1252517880391575,4.553990936245289
50.0,2.124299378462654,4.556016460696778
51.0,2.1233522743825106,4.558032075877833
52.0,2.1224104161632704,4.560037881278778
53.0,2.1214737451345242,4.562033974865272
54.0,2.120542203570337,4.564020453109498
55.0,2.1196157346692166,4.565997411020572
56.0,2.118694282534608,4.567964942174169
57.0,2.1177777921558967,4.569923138741403
58.0,2.1168662093899093,4.5718720915169815
59.0,2.1159594809428874,4.57381188994665
60.0,2.115057554352931,4.57574262215396
61.0,2.1141603779728855,4.577664374966373
62.0,2.113267900953671,4.579577233940714
63.0,2.112380073228029,4.581481283388007
64.0,2.111496845494681,4.583376606397704
65.0,2.1106181692028874,4.585263284861321
66.0,2.109743996537385,4.587141399495509
67.0,2.108874280403707,4.589011029864563
68.0,2.1080089744138615,4.590872254402403
69.0,2.1071480328723626,4.592725150434015
70.0,2.106291410762605,4.594569794196402
71.0,2.1054390637335696,4.596406260859026
72.0,2.1045909480868534,4.598234624543781
73.0,2.10374702076401,4.600054958344491
74.0,2.102907239334197,4.60186733434596
75.0,2.102071561982117,4.603671823642579
